job,prior.type,scale.trees,prior.exp.value,iterations,sampling,burnin,posterior.size,settings ok,marginal.likelihood ok,stones.1,stones.2,run,mcmc.notes,dep.1,dep.2,dep.3,indep.1,indep.2,indep.3,dep.notes,indep.notes
austronesian-crow-high.polygyny,RevJump,ScaleTrees,10,10050000,1000,50000,10000,,,100,1000,0,,,,,,,,bi-modal,bi-modal
austronesian-crow-matri.anvunclocalresidence,RevJump,ScaleTrees,10,10050000,1000,50000,10000,,,100,1000,3,,x,x,x,,,,,
austronesian-crow-matrilineal,RevJump,ScaleTrees,10,10050000,1000,50000,10000,,,100,1000,3,,x,x,x,,,,,bi-modal
austronesian-crow-polygyny,RevJump,ScaleTrees,10,10050000,1000,50000,10000,,,100,1000,3,,x,x,x,,,,,
austronesian-crow-matrilocal,RevJump,ScaleTrees,10,10010000,1000,10000,10000,,,100,1000,6,,x,x,x,x,x,x,,
austronesian-crow-matrilocal.strict,RevJump,ScaleTrees,10,10010000,1000,10000,10000,,,100,1000,6,,x,x,x,x,x,x,,
austronesian-crow-uni.localresidence,RevJump,ScaleTrees,10,10010000,1000,10000,10000,,,100,1000,6,,x,x,x,x,x,x,,
austronesian-eskimo-absenceofcousinmarriage.permitted,RevJump,ScaleTrees,10,65000000,1000,55000000,10000,,,100,1000,0,,,,,,,,,"bi-modal, but long chains don't resolve this."
austronesian-eskimo-absenceofcousinmarriage.preference,RevJump,ScaleTrees,10,65000000,1000,55000000,10000,,,100,1000,3,,,,,x,x,x,,
austronesian-eskimo-bi.linealdescent,RevJump,ScaleTrees,10,10010000,1000,10000,10000,,,100,1000,6,,x,x,x,x,x,x,,
austronesian-eskimo-monogamy,RevJump,ScaleTrees,10,10050000,1000,50000,10000,,,100,1000,3,,x,x,x,,,,,"bi-modal, but long chains don't resolve this."
austronesian-eskimo-neo.localresidence,RevJump,ScaleTrees,10,65000000,1000,55000000,10000,,,100,1000,3,,x,x,x,,,,,
austronesian-eskimo-nuclear.families,RevJump,ScaleTrees,10,10010000,1000,10000,10000,,,100,1000,6,,x,x,x,x,x,x,,
austronesian-eskimo-uni.linealdescent,RevJump,ScaleTrees,10,10010000,1000,10000,10000,,,100,1000,6,,x,x,x,x,x,x,,
austronesian-hawaiian-absenceofcousinmarriage.permitted,RevJump,ScaleTrees,10,10050000,1000,50000,10000,,,100,1000,3,,x,x,x,,,,,"bi-modal, difference found in rates not anc. State"
austronesian-hawaiian-absenceofcousinmarriage.preference,RevJump,ScaleTrees,10,10010000,1000,10000,10000,,,100,1000,6,,x,x,x,x,x,x,,
austronesian-hawaiian-bi.linealdescent,RevJump,ScaleTrees,10,10010000,1000,10000,10000,,,100,1000,6,,x,x,x,x,x,x,,
austronesian-hawaiian-bi.localextendedfamily,RevJump,ScaleTrees,10,10010000,1000,10000,10000,,,100,1000,6,,x,x,x,x,x,x,,
austronesian-hawaiian-bi.localresidence,RevJump,ScaleTrees,10,10050000,1000,50000,10000,,,100,1000,0,,,,,,,,,
austronesian-iroquois-cross.cousinmarriage.permitted,RevJump,ScaleTrees,10,10010000,1000,10000,10000,,,100,1000,6,,x,x,x,x,x,x,,
austronesian-iroquois-cross.cousinmarriage.preferred,RevJump,ScaleTrees,10,10010000,1000,10000,10000,,,100,1000,6,,x,x,x,x,x,x,,
austronesian-iroquois-exogamy.unilineal.descent,RevJump,ScaleTrees,10,10010000,1000,10000,10000,,,100,1000,6,,x,x,x,x,x,x,,
austronesian-iroquois-high.polygyny,RevJump,ScaleTrees,10,10010000,1000,10000,10000,,,100,1000,6,,x,x,x,x,x,x,,
