Steppingstone sampler:
        No Stones:                  100
        Start It:                   1000000001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-2.274306	-2.274306
1	0.950747	750	-2.243045	-4.517352
2	0.926679	750	-2.204123	-6.721474
3	0.902980	750	-2.151753	-8.873227
4	0.879648	750	-2.120223	-10.993450
5	0.856682	750	-2.094891	-13.088341
6	0.834079	750	-2.069537	-15.157879
7	0.811838	750	-2.027379	-17.185258
8	0.789957	750	-2.211409	-19.396666
9	0.768433	750	-2.198039	-21.594706
10	0.747266	750	-2.071096	-23.665801
11	0.726452	750	-2.143413	-25.809214
12	0.705989	750	-2.022386	-27.831601
13	0.685877	750	-1.934692	-29.766292
14	0.666112	750	-1.927305	-31.693597
15	0.646693	750	-1.847584	-33.541182
16	0.627618	750	-1.812254	-35.353436
17	0.608884	750	-1.858474	-37.211910
18	0.590490	750	-1.812189	-39.024100
19	0.572433	750	-1.842577	-40.866677
20	0.554712	750	-1.883559	-42.750236
21	0.537324	750	-1.773456	-44.523692
22	0.520268	750	-1.734545	-46.258237
23	0.503540	750	-1.799827	-48.058064
24	0.487139	750	-1.764423	-49.822488
25	0.471063	750	-1.662656	-51.485143
26	0.455310	750	-1.541904	-53.027047
27	0.439877	750	-1.492722	-54.519769
28	0.424762	750	-1.522572	-56.042342
29	0.409963	750	-1.551488	-57.593829
30	0.395478	750	-1.512066	-59.105895
31	0.381305	750	-1.444769	-60.550665
32	0.367440	750	-1.426186	-61.976851
33	0.353883	750	-1.472163	-63.449014
34	0.340630	750	-1.398546	-64.847559
35	0.327680	750	-1.311028	-66.158587
36	0.315030	750	-1.344651	-67.503239
37	0.302677	750	-1.382286	-68.885524
38	0.290619	750	-1.361756	-70.247280
39	0.278855	750	-1.367840	-71.615120
40	0.267381	750	-1.384993	-73.000113
41	0.256195	750	-1.249245	-74.249358
42	0.245294	750	-1.284662	-75.534020
43	0.234677	750	-1.207758	-76.741778
44	0.224340	750	-1.222002	-77.963780
45	0.214281	750	-1.320599	-79.284378
46	0.204498	750	-1.082056	-80.366434
47	0.194988	750	-1.133899	-81.500333
48	0.185749	750	-1.073954	-82.574288
49	0.176777	750	-0.976186	-83.550474
50	0.168070	750	-1.020724	-84.571198
51	0.159626	750	-0.996138	-85.567335
52	0.151441	750	-1.014838	-86.582173
53	0.143514	750	-0.941585	-87.523759
54	0.135841	750	-0.911352	-88.435111
55	0.128420	750	-0.863253	-89.298364
56	0.121247	750	-0.899226	-90.197590
57	0.114320	750	-0.835159	-91.032749
58	0.107637	750	-0.815357	-91.848106
59	0.101193	750	-0.728881	-92.576987
60	0.094986	750	-0.728268	-93.305255
61	0.089014	750	-0.713980	-94.019234
62	0.083273	750	-0.676256	-94.695491
63	0.077760	750	-0.616713	-95.312204
64	0.072472	750	-0.656539	-95.968743
65	0.067406	750	-0.719123	-96.687866
66	0.062558	750	-0.643687	-97.331554
67	0.057926	750	-0.597501	-97.929055
68	0.053506	750	-0.550745	-98.479800
69	0.049295	750	-0.494223	-98.974023
70	0.045289	750	-0.469845	-99.443868
71	0.041485	750	-0.483651	-99.927519
72	0.037880	750	-0.453195	-100.380714
73	0.034469	750	-0.505114	-100.885828
74	0.031250	750	-0.357432	-101.243260
75	0.028218	750	-0.371023	-101.614283
76	0.025370	750	-0.377332	-101.991615
77	0.022702	750	-0.354795	-102.346410
78	0.020209	750	-0.380027	-102.726436
79	0.017889	750	-0.368763	-103.095199
80	0.015736	750	-0.306361	-103.401560
81	0.013746	750	-0.265447	-103.667007
82	0.011916	750	-0.245264	-103.912271
83	0.010240	750	-0.242675	-104.154946
84	0.008714	750	-0.228488	-104.383434
85	0.007334	750	-0.207834	-104.591268
86	0.006093	750	-0.219120	-104.810388
87	0.004988	750	-0.172532	-104.982920
88	0.004013	750	-0.124168	-105.107088
89	0.003162	750	-0.136440	-105.243528
90	0.002430	750	-0.106136	-105.349665
91	0.001810	750	-0.076925	-105.426589
92	0.001296	750	-0.069651	-105.496240
93	0.000882	750	-0.059159	-105.555399
94	0.000559	750	-0.061573	-105.616972
95	0.000320	750	-0.040143	-105.657116
96	0.000156	750	-0.021771	-105.678887
97	0.000057	750	-0.014184	-105.693070
98	0.000010	750	-0.007057	-105.700127
99	0.000000	750	-0.001643	-105.701770
Log marginal likelihood:	-105.701770
