Rate	62.50
Rev Jump	12.50
Tree Move	12.50
Global Rate	12.50
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Global Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Global Rate - Dev	Global Rate - Tried	Global Rate - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
29756	0.315466	4845	0.177915	7656	0.549242	7743	0.984760	3.293986	29756	0.315466	0.157146	0	0.000000	0.441580	0.441591	
31025	0.303884	4892	0.137980	7052	0.559841	7031	0.986488	3.293986	31025	0.303884	0.157146	0	0.000000	0.419740	0.430666	
30848	0.419800	4279	0.181584	7553	0.527340	7320	0.986339	3.293986	30848	0.419800	0.157146	0	0.000000	0.498600	0.453310	
29159	0.272883	4312	0.184369	8144	0.447078	8385	0.990340	5.000000	29159	0.272883	0.157146	0	0.000000	0.413940	0.443468	
29538	0.267588	4947	0.184556	7755	0.579368	7760	0.994716	5.000000	29538	0.267588	0.157146	0	0.000000	0.420580	0.438890	
30282	0.271977	4405	0.176617	7709	0.575691	7604	0.995792	5.000000	30282	0.271977	0.157146	0	0.000000	0.420480	0.435822	
30853	0.414708	4287	0.173548	7439	0.595645	7421	0.994340	5.000000	30853	0.414708	0.157146	0	0.000000	0.506980	0.445987	
31468	0.414103	4411	0.188846	7148	0.649273	6973	0.996988	5.000000	31468	0.414103	0.157146	0	0.000000	0.509140	0.453881	
31911	0.511924	3829	0.202142	7204	0.581760	7056	0.994331	5.000000	31911	0.511924	0.157146	0	0.000000	0.566340	0.466377	
31387	0.433555	4233	0.181432	7182	0.585213	7198	0.995693	5.000000	31387	0.433555	0.157146	0	0.000000	0.514920	0.471231	
29889	0.285289	4705	0.171945	7727	0.558820	7679	0.996093	5.000000	29889	0.285289	0.157146	0	0.000000	0.426060	0.467125	
29992	0.233029	5068	0.155091	7509	0.582901	7431	0.995290	5.000000	29992	0.233029	0.157146	0	0.000000	0.390960	0.460778	
29779	0.314282	4733	0.185295	7773	0.564518	7715	0.994297	5.000000	29779	0.314282	0.157146	0	0.000000	0.445900	0.459633	
30359	0.276162	4757	0.160185	7323	0.541445	7561	0.989287	5.000000	30359	0.276162	0.157146	0	0.000000	0.411820	0.456218	
29665	0.277802	4628	0.178695	7892	0.551825	7815	0.984517	5.000000	29665	0.277802	0.157146	0	0.000000	0.422340	0.453959	
28752	0.210003	4504	0.175178	8336	0.517155	8408	0.982873	5.000000	28752	0.210003	0.157146	0	0.000000	0.388040	0.449839	
29585	0.276289	4560	0.186184	8046	0.493289	7809	0.985786	5.000000	29585	0.276289	0.157146	0	0.000000	0.413800	0.447719	
28715	0.264148	4475	0.198212	8389	0.517344	8421	0.987294	5.000000	28715	0.264148	0.157146	0	0.000000	0.422520	0.446320	
29839	0.294715	4835	0.174147	7685	0.571503	7641	0.992933	5.000000	29839	0.294715	0.157146	0	0.000000	0.432300	0.445582	
29869	0.274164	4984	0.158106	7581	0.540034	7566	0.991277	5.000000	29869	0.274164	0.157146	0	0.000000	0.411420	0.443874	
31050	0.430886	4028	0.198361	7444	0.534927	7478	0.993314	5.000000	31050	0.430886	0.157146	0	0.000000	0.511760	0.447106	
32444	0.563771	3596	0.194383	6949	0.549288	7011	0.990729	5.000000	32444	0.563771	0.157146	0	0.000000	0.595060	0.453831	
32721	0.619358	3949	0.187389	6745	0.610675	6585	0.996355	5.000000	32721	0.619358	0.157146	0	0.000000	0.633720	0.461653	
31723	0.530530	4075	0.205153	7071	0.597228	7131	0.992007	5.000000	31723	0.530530	0.157146	0	0.000000	0.579260	0.466553	
32561	0.610946	3879	0.182006	6799	0.549934	6761	0.993344	5.000000	32561	0.610946	0.157146	0	0.000000	0.621080	0.472734	
