Steppingstone sampler:
        No Stones:                  100
        Start It:                   1000000001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-0.498282	-0.498282
1	0.950747	750	-0.495146	-0.993428
2	0.926679	750	-0.484826	-1.478255
3	0.902980	750	-0.487623	-1.965877
4	0.879648	750	-0.473629	-2.439506
5	0.856682	750	-0.462622	-2.902129
6	0.834079	750	-0.466622	-3.368751
7	0.811838	750	-0.446165	-3.814916
8	0.789957	750	-0.512666	-4.327582
9	0.768433	750	-0.436786	-4.764368
10	0.747266	750	-0.434773	-5.199141
11	0.726452	750	-0.429587	-5.628728
12	0.705989	750	-0.417387	-6.046115
13	0.685877	750	-0.412305	-6.458420
14	0.666112	750	-0.408136	-6.866556
15	0.646693	750	-0.398906	-7.265462
16	0.627618	750	-0.429039	-7.694501
17	0.608884	750	-0.447750	-8.142251
18	0.590490	750	-0.394135	-8.536386
19	0.572433	750	-0.397755	-8.934141
20	0.554712	750	-0.405622	-9.339763
21	0.537324	750	-0.380771	-9.720534
22	0.520268	750	-0.348231	-10.068765
23	0.503540	750	-0.348923	-10.417688
24	0.487139	750	-0.359587	-10.777275
25	0.471063	750	-0.344595	-11.121870
26	0.455310	750	-0.334354	-11.456223
27	0.439877	750	-0.318771	-11.774994
28	0.424762	750	-0.327815	-12.102809
29	0.409963	750	-0.314960	-12.417769
30	0.395478	750	-0.362905	-12.780674
31	0.381305	750	-0.330819	-13.111493
32	0.367440	750	-0.284113	-13.395606
33	0.353883	750	-0.306302	-13.701909
34	0.340630	750	-0.303064	-14.004972
35	0.327680	750	-0.297740	-14.302713
36	0.315030	750	-0.319333	-14.622045
37	0.302677	750	-0.305875	-14.927920
38	0.290619	750	-0.326687	-15.254607
39	0.278855	750	-0.302049	-15.556656
40	0.267381	750	-0.254914	-15.811571
41	0.256195	750	-0.280542	-16.092113
42	0.245294	750	-0.320450	-16.412563
43	0.234677	750	-0.267368	-16.679931
44	0.224340	750	-0.262142	-16.942073
45	0.214281	750	-0.252042	-17.194115
46	0.204498	750	-0.254336	-17.448451
47	0.194988	750	-0.254023	-17.702474
48	0.185749	750	-0.213244	-17.915719
49	0.176777	750	-0.235400	-18.151119
50	0.168070	750	-0.220018	-18.371137
51	0.159626	750	-0.213937	-18.585074
52	0.151441	750	-0.193842	-18.778916
53	0.143514	750	-0.238538	-19.017454
54	0.135841	750	-0.177078	-19.194531
55	0.128420	750	-0.200280	-19.394811
56	0.121247	750	-0.221615	-19.616427
57	0.114320	750	-0.201774	-19.818200
58	0.107637	750	-0.195678	-20.013879
59	0.101193	750	-0.153689	-20.167568
60	0.094986	750	-0.170033	-20.337601
61	0.089014	750	-0.180105	-20.517706
62	0.083273	750	-0.173499	-20.691204
63	0.077760	750	-0.155804	-20.847008
64	0.072472	750	-0.319114	-21.166122
65	0.067406	750	-0.170258	-21.336380
66	0.062558	750	-0.136452	-21.472832
67	0.057926	750	-0.117423	-21.590255
68	0.053506	750	-0.124906	-21.715161
69	0.049295	750	-0.161567	-21.876728
70	0.045289	750	-0.111082	-21.987810
71	0.041485	750	-0.113665	-22.101475
72	0.037880	750	-0.112693	-22.214168
73	0.034469	750	-0.087211	-22.301379
74	0.031250	750	-0.087060	-22.388439
75	0.028218	750	-0.108322	-22.496762
76	0.025370	750	-0.143051	-22.639813
77	0.022702	750	-0.133123	-22.772936
78	0.020209	750	-0.080715	-22.853651
79	0.017889	750	-0.075769	-22.929420
80	0.015736	750	-0.061654	-22.991074
81	0.013746	750	-0.118479	-23.109553
82	0.011916	750	-0.089673	-23.199226
83	0.010240	750	-0.070918	-23.270144
84	0.008714	750	-0.151094	-23.421238
85	0.007334	750	-0.062709	-23.483948
86	0.006093	750	-0.075502	-23.559450
87	0.004988	750	-0.026405	-23.585855
88	0.004013	750	-0.065085	-23.650940
89	0.003162	750	-0.098553	-23.749493
90	0.002430	750	-0.048330	-23.797822
91	0.001810	750	-0.063070	-23.860892
92	0.001296	750	-0.111786	-23.972679
93	0.000882	750	-0.033512	-24.006191
94	0.000559	750	-0.061183	-24.067374
95	0.000320	750	-0.030687	-24.098061
96	0.000156	750	-0.017095	-24.115155
97	0.000057	750	-0.019247	-24.134402
98	0.000010	750	-0.006443	-24.140846
99	0.000000	750	-0.003002	-24.143848
Log marginal likelihood:	-24.143848
