Steppingstone sampler:
        No Stones:                  100
        Start It:                   1000000001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-2.056819	-2.056819
1	0.950747	750	-2.024148	-4.080967
2	0.926679	750	-1.991339	-6.072306
3	0.902980	750	-1.989519	-8.061825
4	0.879648	750	-1.934501	-9.996327
5	0.856682	750	-1.963402	-11.959729
6	0.834079	750	-2.054387	-14.014115
7	0.811838	750	-2.032590	-16.046705
8	0.789957	750	-1.892467	-17.939173
9	0.768433	750	-1.852428	-19.791601
10	0.747266	750	-1.818915	-21.610515
11	0.726452	750	-1.750577	-23.361092
12	0.705989	750	-1.724753	-25.085845
13	0.685877	750	-1.727524	-26.813369
14	0.666112	750	-1.695520	-28.508889
15	0.646693	750	-1.724752	-30.233642
16	0.627618	750	-1.717502	-31.951143
17	0.608884	750	-1.643948	-33.595092
18	0.590490	750	-1.588445	-35.183536
19	0.572433	750	-1.572676	-36.756212
20	0.554712	750	-1.618994	-38.375206
21	0.537324	750	-1.632453	-40.007659
22	0.520268	750	-1.607496	-41.615155
23	0.503540	750	-1.478681	-43.093837
24	0.487139	750	-1.414096	-44.507933
25	0.471063	750	-1.442979	-45.950912
26	0.455310	750	-1.367348	-47.318260
27	0.439877	750	-1.323358	-48.641618
28	0.424762	750	-1.271495	-49.913113
29	0.409963	750	-1.257032	-51.170145
30	0.395478	750	-1.274071	-52.444216
31	0.381305	750	-1.282116	-53.726332
32	0.367440	750	-1.309596	-55.035927
33	0.353883	750	-1.184170	-56.220097
34	0.340630	750	-1.229658	-57.449755
35	0.327680	750	-1.225643	-58.675398
36	0.315030	750	-1.137829	-59.813227
37	0.302677	750	-1.090997	-60.904224
38	0.290619	750	-1.114181	-62.018405
39	0.278855	750	-1.084263	-63.102668
40	0.267381	750	-1.059287	-64.161955
41	0.256195	750	-1.061585	-65.223540
42	0.245294	750	-1.039031	-66.262571
43	0.234677	750	-1.114699	-67.377270
44	0.224340	750	-0.978575	-68.355845
45	0.214281	750	-0.938603	-69.294448
46	0.204498	750	-0.937457	-70.231905
47	0.194988	750	-0.902136	-71.134041
48	0.185749	750	-0.872148	-72.006189
49	0.176777	750	-0.935933	-72.942123
50	0.168070	750	-0.781994	-73.724117
51	0.159626	750	-0.909400	-74.633517
52	0.151441	750	-0.963903	-75.597419
53	0.143514	750	-0.876585	-76.474004
54	0.135841	750	-0.831468	-77.305472
55	0.128420	750	-0.746420	-78.051892
56	0.121247	750	-0.754314	-78.806206
57	0.114320	750	-0.764713	-79.570918
58	0.107637	750	-0.807928	-80.378846
59	0.101193	750	-0.795082	-81.173928
60	0.094986	750	-0.898289	-82.072217
61	0.089014	750	-0.675545	-82.747762
62	0.083273	750	-0.737775	-83.485537
63	0.077760	750	-0.767790	-84.253328
64	0.072472	750	-0.633289	-84.886617
65	0.067406	750	-0.602257	-85.488874
66	0.062558	750	-0.593203	-86.082077
67	0.057926	750	-0.634048	-86.716125
68	0.053506	750	-0.651171	-87.367297
69	0.049295	750	-0.502703	-87.870000
70	0.045289	750	-0.419378	-88.289379
71	0.041485	750	-0.418605	-88.707984
72	0.037880	750	-0.459598	-89.167581
73	0.034469	750	-0.505435	-89.673016
74	0.031250	750	-0.470566	-90.143582
75	0.028218	750	-0.427771	-90.571353
76	0.025370	750	-0.370275	-90.941628
77	0.022702	750	-0.300972	-91.242600
78	0.020209	750	-0.284726	-91.527326
79	0.017889	750	-0.343603	-91.870929
80	0.015736	750	-0.280017	-92.150946
81	0.013746	750	-0.298464	-92.449410
82	0.011916	750	-0.288826	-92.738236
83	0.010240	750	-0.230736	-92.968972
84	0.008714	750	-0.238250	-93.207221
85	0.007334	750	-0.214383	-93.421605
86	0.006093	750	-0.252001	-93.673605
87	0.004988	750	-0.252586	-93.926191
88	0.004013	750	-0.193604	-94.119795
89	0.003162	750	-0.086707	-94.206502
90	0.002430	750	-0.122900	-94.329402
91	0.001810	750	-0.108650	-94.438052
92	0.001296	750	-0.078836	-94.516888
93	0.000882	750	-0.244277	-94.761165
94	0.000559	750	-0.054752	-94.815916
95	0.000320	750	-0.034490	-94.850406
96	0.000156	750	-0.024043	-94.874449
97	0.000057	750	-0.017818	-94.892267
98	0.000010	750	-0.018315	-94.910582
99	0.000000	750	-0.003990	-94.914572
Log marginal likelihood:	-94.914572
