Rate	71.43
Rev Jump	14.29
Tree Move	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
38631	0.916544	3309	0.340284	8060	0.487717	0.169433	38632	0.916546	0.809280	0.809284	
38844	0.909407	3010	0.350498	8146	0.477167	0.189721	38844	0.909407	0.805340	0.807312	
38630	0.850194	3334	0.306839	8036	0.508586	0.357699	38630	0.850194	0.759060	0.791228	
39119	0.830210	2713	0.372650	8168	0.478452	0.376888	39119	0.830210	0.747920	0.780401	
39052	0.695969	2853	0.369786	8095	0.504509	0.703161	39052	0.695969	0.646360	0.753593	
38773	0.648983	2966	0.364801	8261	0.485655	0.785368	38773	0.648983	0.605140	0.728851	
38255	0.571402	3374	0.269413	8371	0.818779	1.339550	38255	0.571402	0.592440	0.709364	
38674	0.476289	3209	0.327828	8117	0.548602	1.690924	38674	0.476289	0.478500	0.680506	
38918	0.239170	2914	0.360329	8168	0.520323	2.969994	38918	0.239170	0.292160	0.637356	
37957	0.556814	3698	0.274473	8345	0.857879	2.969994	37957	0.556814	0.586180	0.632239	
37243	0.525441	4173	0.248502	8584	0.942801	4.219970	37243	0.525441	0.573980	0.626942	
35932	0.358427	4452	0.242363	9616	0.898399	5.000000	35932	0.358427	0.451940	0.612359	
35592	0.245870	4820	0.207676	9588	0.936275	5.000000	35592	0.245870	0.374580	0.594068	
35128	0.212992	5036	0.210286	9836	0.948048	5.000000	35128	0.212992	0.357320	0.577158	
38314	0.139401	3324	0.314982	8362	0.578211	5.000000	38314	0.139401	0.224460	0.553645	
38546	0.386577	3170	0.326814	8284	0.591622	2.561280	38546	0.386577	0.416760	0.545089	
37738	0.728523	3617	0.267349	8645	0.972932	2.561280	37738	0.728523	0.737420	0.556403	
37400	0.429706	3960	0.252525	8640	0.826042	3.851814	37400	0.429706	0.484160	0.552389	
35419	0.268613	5145	0.197279	9436	0.880352	5.000000	35419	0.268613	0.376720	0.543144	
36555	0.461524	4147	0.245720	9298	0.926328	5.000000	36555	0.461524	0.530060	0.542489	
38330	0.567936	3664	0.277020	8006	0.920060	5.000000	38330	0.567936	0.603000	0.545371	
38733	0.217128	3412	0.329719	7855	0.541693	5.000000	38733	0.217128	0.275800	0.533118	
36631	0.383337	4209	0.255405	9160	0.902620	5.000000	36631	0.383337	0.467700	0.530273	
33402	0.151159	5525	0.219910	11073	0.994491	5.000000	33402	0.151159	0.345520	0.522575	
37501	0.629157	3993	0.229652	8506	0.970609	2.952936	37501	0.629157	0.655340	0.527886	
36834	0.502443	4263	0.256158	8903	0.959340	5.000000	36834	0.502443	0.562800	0.529229	
37493	0.556717	3864	0.265528	8643	0.966910	5.000000	37493	0.556717	0.605120	0.532040	
38264	0.540482	3546	0.318387	8190	0.900244	5.000000	38264	0.540482	0.583660	0.533883	
39296	0.139811	2658	0.388262	8046	0.489436	5.000000	39296	0.139811	0.209280	0.522690	
38950	0.157227	2923	0.368115	8127	0.504122	4.390136	38950	0.157227	0.225940	0.512798	
39000	0.161410	2984	0.340818	8016	0.488273	4.333408	39000	0.161410	0.224520	0.503499	
37096	0.431610	3893	0.265091	9011	0.900899	4.138379	37096	0.431610	0.503220	0.503490	
35689	0.285550	4441	0.236433	9870	0.893820	5.000000	35689	0.285550	0.401260	0.500392	
34726	0.225854	5245	0.208198	10029	0.979360	5.000000	34726	0.225854	0.375140	0.496709	
38180	0.151362	3531	0.291419	8289	0.593799	5.000000	38180	0.151362	0.234600	0.489220	
38995	0.240031	3021	0.359153	7984	0.485220	2.833063	38995	0.240031	0.286380	0.483585	
38884	0.242645	2893	0.369513	8223	0.480725	2.833063	38884	0.242645	0.289140	0.478330	
38871	0.244887	2991	0.354062	8138	0.488941	2.833063	38871	0.244887	0.291140	0.473404	
39037	0.240464	2839	0.357520	8124	0.478213	2.833063	39037	0.240464	0.285740	0.468592	
39255	0.248351	2903	0.361695	7842	0.462637	2.833063	39255	0.248351	0.288540	0.464091	
38695	0.333221	3483	0.326443	7822	0.542317	2.833063	38695	0.333221	0.365460	0.461685	
38292	0.345111	3549	0.289659	8159	0.628018	2.833063	38292	0.345111	0.387340	0.459915	
37719	0.273098	3630	0.302204	8651	0.672870	2.833063	37719	0.273098	0.344380	0.457228	
35981	0.311387	4645	0.220022	9374	0.993599	2.833063	35981	0.311387	0.430800	0.456628	
36531	0.410227	4387	0.220652	9082	0.949350	2.833063	36531	0.410227	0.491520	0.457403	
36840	0.227470	4107	0.242756	9053	0.847233	4.638073	36840	0.227470	0.340940	0.454871	
35982	0.265438	4948	0.217664	9070	0.940022	4.638073	35982	0.265438	0.383080	0.453344	
36664	0.344180	4141	0.207679	9195	0.842849	4.638073	36664	0.344180	0.424580	0.452744	
38356	0.402336	3606	0.295064	8038	0.738119	4.638073	38356	0.402336	0.448580	0.452659	
38207	0.404324	3398	0.288111	8395	0.753901	5.000000	38207	0.404324	0.455120	0.452709	
36848	0.271684	4546	0.226793	8606	0.791308	5.000000	36848	0.271684	0.357040	0.450833	
38017	0.401084	3789	0.288994	8194	0.748963	5.000000	38017	0.401084	0.449600	0.450809	
38236	0.331154	3439	0.293399	8325	0.687207	5.000000	38236	0.331154	0.387840	0.449621	
38359	0.260956	3266	0.293938	8375	0.647164	5.000000	38359	0.260956	0.327800	0.447365	
38751	0.162964	3240	0.355247	8009	0.503808	5.000000	38751	0.162964	0.230020	0.443413	
39181	0.243868	2896	0.378108	7923	0.510665	3.033851	39181	0.243868	0.293920	0.440744	
38398	0.558831	3607	0.272248	7995	0.830769	3.033851	38398	0.558831	0.581640	0.443216	
38393	0.228479	3411	0.304016	8196	0.618838	5.000000	38393	0.228479	0.297620	0.440705	
38211	0.273141	3644	0.287596	8145	0.624187	5.000000	38211	0.273141	0.331380	0.438852	
38431	0.144545	3140	0.344586	8429	0.505635	5.000000	38431	0.144545	0.217980	0.435171	
37951	0.384786	3810	0.290026	8239	0.739774	4.217921	37951	0.384786	0.436060	0.435186	
34652	0.180884	5372	0.196203	9976	0.994888	4.217921	34652	0.180884	0.344940	0.433730	
37902	0.492481	3775	0.274437	8323	0.842845	3.783185	37902	0.492481	0.534340	0.435327	
38269	0.359691	3517	0.305090	8214	0.698563	5.000000	38269	0.359691	0.411520	0.434955	
37189	0.343731	3847	0.274240	8964	0.786033	5.000000	37189	0.343731	0.417680	0.434689	
37898	0.587683	3694	0.282079	8408	0.947312	5.000000	37898	0.587683	0.625580	0.437582	
36537	0.451515	4144	0.245656	9319	0.948707	5.000000	36537	0.451515	0.527120	0.438918	
35425	0.208638	5349	0.212937	9226	0.945914	5.000000	35425	0.208638	0.345140	0.437539	
36746	0.366870	4366	0.260650	8888	0.832133	5.000000	36746	0.366870	0.440300	0.437579	
37917	0.550255	3817	0.261200	8266	0.941205	5.000000	37917	0.550255	0.592820	0.439797	
37507	0.583038	3642	0.277046	8851	0.965315	5.000000	37507	0.583038	0.628420	0.442453	
37678	0.251128	3805	0.289882	8517	0.670424	5.000000	37678	0.251128	0.325500	0.440829	
34294	0.213915	5429	0.192485	10277	0.977912	5.000000	34294	0.213915	0.368620	0.439840	
34493	0.291450	4961	0.226970	10546	0.983216	5.000000	34493	0.291450	0.430960	0.439720	
37603	0.431109	3611	0.261977	8786	0.875939	5.000000	37603	0.431109	0.497060	0.440484	
34596	0.165048	5428	0.208364	9976	0.973837	5.000000	34596	0.165048	0.331120	0.439045	
37277	0.413445	4092	0.238514	8631	0.968370	2.605991	37277	0.413445	0.494920	0.439771	
35813	0.298886	4789	0.234913	9398	0.923601	4.829659	35813	0.298886	0.410180	0.439392	
36954	0.518347	4071	0.267993	8975	0.965682	4.829659	36954	0.518347	0.578260	0.441150	
36599	0.370529	4388	0.238833	9013	0.914679	5.000000	36599	0.370529	0.457060	0.441348	
37837	0.442662	3627	0.273229	8536	0.860356	5.000000	37837	0.442662	0.501680	0.442093	
37517	0.523763	4055	0.286313	8428	0.919554	5.000000	37517	0.523763	0.571220	0.443668	
36098	0.306776	4729	0.228167	9173	0.898179	5.000000	36098	0.306776	0.407840	0.443236	
35894	0.236753	4844	0.189513	9262	0.861585	5.000000	35894	0.236753	0.347920	0.442102	
36001	0.223994	4772	0.208927	9227	0.887504	5.000000	36001	0.223994	0.345000	0.440959	
35517	0.275023	5049	0.204595	9434	0.942866	5.000000	35517	0.275023	0.393920	0.440412	
36242	0.454583	4477	0.238776	9281	0.966706	5.000000	36242	0.454583	0.530320	0.441446	
34577	0.189837	5108	0.220047	10315	0.990499	5.000000	34577	0.189837	0.358100	0.440499	
