Rate	83.33
Rev Jump	16.67
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
49805	0.245738	10194	0.304100	2.395357	49806	0.245754	0.255654	0.255667	
41878	0.299155	8122	0.286013	2.395357	41878	0.299155	0.297020	0.274464	
42044	0.246884	7956	0.298768	2.395357	42044	0.246884	0.255140	0.268425	
41841	0.255754	8159	0.304817	2.395357	41841	0.255754	0.263760	0.267314	
41677	0.323512	8323	0.294245	2.395357	41677	0.323512	0.318640	0.277185	
41457	0.225028	8543	0.305045	2.395357	41457	0.225028	0.238700	0.270977	
41750	0.223928	8250	0.313697	2.395357	41750	0.223928	0.238740	0.266500	
42239	0.300907	7761	0.282824	2.395357	42239	0.300907	0.298100	0.270354	
41823	0.257394	8177	0.307081	2.395357	41823	0.257394	0.265520	0.269828	
41784	0.286497	8216	0.297468	2.395357	41784	0.286497	0.288300	0.271639	
41836	0.248781	8164	0.312837	2.395357	41836	0.248781	0.259240	0.270532	
42064	0.283996	7936	0.301663	2.395357	42064	0.283996	0.286800	0.271866	
41669	0.243538	8331	0.296123	2.395357	41669	0.243538	0.252300	0.270383	
41680	0.272601	8320	0.309856	2.395357	41680	0.272601	0.278800	0.270976	
41876	0.270107	8124	0.303668	2.395357	41876	0.270107	0.275560	0.271278	
41550	0.261348	8450	0.303669	2.395357	41550	0.261348	0.268500	0.271106	
41687	0.276033	8313	0.308553	2.395357	41687	0.276033	0.281440	0.271707	
41559	0.243846	8441	0.322118	2.395357	41559	0.243846	0.257060	0.270902	
41667	0.238510	8333	0.310812	2.395357	41667	0.238510	0.250560	0.269843	
41690	0.227944	8310	0.307942	2.395357	41690	0.227944	0.241240	0.268427	
41575	0.208731	8425	0.310386	2.395357	41575	0.208731	0.225860	0.266419	
41864	0.307066	8136	0.319567	2.395357	41864	0.307066	0.309100	0.268341	
41410	0.257571	8590	0.293015	2.395357	41410	0.257571	0.263660	0.268140	
41537	0.237981	8463	0.300012	2.395357	41537	0.237981	0.248480	0.267327	
42033	0.274403	7967	0.284800	2.395357	42033	0.274403	0.276060	0.267674	
41496	0.257157	8504	0.311500	2.395357	41496	0.257157	0.266400	0.267625	
41976	0.252287	8024	0.284646	2.395357	41976	0.252287	0.257480	0.267252	
41903	0.265637	8097	0.308386	2.395357	41903	0.265637	0.272560	0.267440	
41842	0.255700	8158	0.298235	2.395357	41842	0.255700	0.262640	0.267276	
41922	0.275869	8078	0.280886	2.395357	41922	0.275869	0.276680	0.267587	
41816	0.240913	8184	0.302786	2.395357	41816	0.240913	0.251040	0.267057	
42164	0.259416	7836	0.291092	2.395357	42164	0.259416	0.264380	0.266974	
41762	0.238758	8238	0.299830	2.395357	41762	0.238758	0.248820	0.266427	
42371	0.295084	7629	0.280246	2.395357	42371	0.295084	0.292820	0.267199	
42007	0.270050	7993	0.298386	2.395357	42007	0.270050	0.274580	0.267409	
42011	0.262479	7989	0.294405	2.395357	42011	0.262479	0.267580	0.267413	
41436	0.240612	8564	0.316324	2.395357	41436	0.240612	0.253580	0.267041	
41985	0.270144	8015	0.294573	2.395357	41985	0.270144	0.274060	0.267225	
41878	0.244377	8122	0.320488	2.395357	41878	0.244377	0.256740	0.266958	
41678	0.258242	8322	0.308580	2.395357	41678	0.258242	0.266620	0.266949	
41841	0.263545	8159	0.294276	2.395357	41841	0.263545	0.268560	0.266988	
41953	0.270136	8047	0.300485	2.395357	41953	0.270136	0.275020	0.267179	
41947	0.266932	8053	0.293928	2.395357	41947	0.266932	0.271280	0.267274	
41648	0.251153	8352	0.305436	2.395357	41648	0.251153	0.260220	0.267114	
41734	0.213902	8266	0.309702	2.395357	41734	0.213902	0.229740	0.266287	
41846	0.246188	8154	0.325239	2.395357	41846	0.246188	0.259080	0.266131	
41884	0.256494	8116	0.300271	2.395357	41884	0.256494	0.263600	0.266078	
41880	0.299952	8120	0.300985	2.395357	41880	0.299952	0.300120	0.266784	
42225	0.251936	7775	0.287203	2.395357	42225	0.251936	0.257420	0.266593	
41682	0.268197	8318	0.320149	2.395357	41682	0.268197	0.276840	0.266798	
41579	0.263547	8421	0.310652	2.395357	41579	0.263547	0.271480	0.266889	
41850	0.226667	8150	0.312025	2.395357	41850	0.226667	0.240580	0.266385	
41785	0.264784	8215	0.309799	2.395357	41785	0.264784	0.272180	0.266494	
42256	0.272103	7744	0.286286	2.395357	42256	0.272103	0.274300	0.266638	
41752	0.234983	8248	0.302861	2.395357	41752	0.234983	0.246180	0.266267	
41603	0.252506	8397	0.314755	2.395357	41603	0.252506	0.262960	0.266209	
42210	0.257072	7790	0.291913	2.395357	42210	0.257072	0.262500	0.266144	
41700	0.239544	8300	0.307590	2.395357	41700	0.239544	0.250840	0.265881	
41752	0.233450	8248	0.301164	2.395357	41752	0.233450	0.244620	0.265522	
41431	0.270981	8569	0.303069	2.395357	41431	0.270981	0.276480	0.265704	
41990	0.276471	8010	0.308240	2.395357	41990	0.276471	0.281560	0.265963	
41634	0.266201	8366	0.280540	2.395357	41634	0.266201	0.268600	0.266005	
42335	0.275139	7665	0.291585	2.395357	42335	0.275139	0.277660	0.266190	
41743	0.245119	8257	0.317791	2.395357	41743	0.245119	0.257120	0.266048	
42012	0.274612	7988	0.301953	2.395357	42012	0.274612	0.278980	0.266247	
41763	0.302110	8237	0.292946	2.395357	41763	0.302110	0.300600	0.266766	
42124	0.232931	7876	0.279076	2.395357	42124	0.232931	0.240200	0.266370	
42025	0.233123	7975	0.289028	2.395357	42025	0.233123	0.242040	0.266013	
41595	0.255728	8405	0.300892	2.395357	41595	0.255728	0.263320	0.265975	
41643	0.270081	8357	0.287663	2.395357	41643	0.270081	0.273020	0.266075	
41765	0.251359	8235	0.297511	2.395357	41765	0.251359	0.258960	0.265975	
41301	0.250212	8699	0.296241	2.395357	41301	0.250212	0.258220	0.265868	
41732	0.257908	8268	0.300556	2.395357	41732	0.257908	0.264960	0.265855	
41723	0.241426	8277	0.298055	2.395357	41723	0.241426	0.250800	0.265652	
41335	0.286634	8665	0.313214	2.395357	41335	0.286634	0.291240	0.265993	
42157	0.294684	7843	0.288793	2.395357	42157	0.294684	0.293760	0.266357	
41485	0.233723	8515	0.303817	2.395357	41485	0.233723	0.245660	0.266089	
41860	0.227329	8140	0.306880	2.395357	41860	0.227329	0.240280	0.265759	
41746	0.280889	8254	0.287012	2.395357	41746	0.280889	0.281900	0.265963	
41619	0.256830	8381	0.288868	2.395357	41619	0.256830	0.262200	0.265916	
42180	0.294073	7820	0.304092	2.395357	42180	0.294073	0.295640	0.266282	
41776	0.294308	8224	0.287451	2.395357	41776	0.294308	0.293180	0.266609	
41667	0.254422	8333	0.302412	2.395357	41667	0.254422	0.262420	0.266559	
41875	0.263140	8125	0.312985	2.395357	41875	0.263140	0.271240	0.266614	
41832	0.244860	8168	0.310357	2.395357	41832	0.244860	0.255560	0.266485	
42002	0.276463	7998	0.305701	2.395357	42002	0.276463	0.281140	0.266655	
42082	0.267359	7918	0.301086	2.395357	42082	0.267359	0.272700	0.266724	
41788	0.266751	8212	0.317949	2.395357	41788	0.266751	0.275160	0.266820	
41978	0.297942	8022	0.310396	2.395357	41978	0.297942	0.299940	0.267191	
41949	0.231615	8051	0.309651	2.395357	41949	0.231615	0.244180	0.266936	
41450	0.241665	8550	0.308304	2.395357	41450	0.241665	0.253060	0.266784	
41446	0.240047	8554	0.306523	2.395357	41446	0.240047	0.251420	0.266617	
41815	0.286165	8185	0.305803	2.395357	41815	0.286165	0.289380	0.266861	
41897	0.256033	8103	0.277428	2.395357	41897	0.256033	0.259500	0.266783	
41743	0.235584	8257	0.301199	2.395357	41743	0.235584	0.246420	0.266569	
41952	0.265518	8048	0.316103	2.395357	41952	0.265518	0.273660	0.266643	
41596	0.253534	8404	0.304974	2.395357	41596	0.253534	0.262180	0.266597	
41773	0.257798	8227	0.310077	2.395357	41773	0.257798	0.266400	0.266595	
41793	0.244419	8207	0.310832	2.395357	41793	0.244419	0.255320	0.266481	
41793	0.242505	8207	0.318874	2.395357	41793	0.242505	0.255040	0.266367	
41544	0.251589	8456	0.318236	2.395357	41544	0.251589	0.262860	0.266332	
41583	0.245990	8417	0.323037	2.395357	41583	0.245990	0.258960	0.266260	
41906	0.247363	8094	0.307388	2.395357	41906	0.247363	0.257080	0.266171	
41992	0.266646	8008	0.286588	2.395357	41992	0.266646	0.269840	0.266207	
42062	0.287457	7938	0.302343	2.395357	42062	0.287457	0.289820	0.266431	
42247	0.290530	7753	0.284148	2.395357	42247	0.290530	0.289540	0.266649	
41552	0.251155	8448	0.306345	2.395357	41552	0.251155	0.260480	0.266591	
42346	0.318094	7654	0.299059	2.395357	42346	0.318094	0.315180	0.267040	
41484	0.246770	8516	0.285932	2.395357	41484	0.246770	0.253440	0.266916	
41643	0.274716	8357	0.303219	2.395357	41643	0.274716	0.279480	0.267030	
42555	0.255740	7445	0.277233	2.395357	42555	0.255740	0.258940	0.266957	
41716	0.272725	8284	0.310237	2.395357	41716	0.272725	0.278940	0.267064	
41618	0.235331	8382	0.305416	2.395357	41618	0.235331	0.247080	0.266887	
41564	0.211674	8436	0.314367	2.395357	41564	0.211674	0.229000	0.266555	
41968	0.243733	8032	0.318227	2.395357	41968	0.243733	0.255700	0.266461	
41604	0.226805	8396	0.292758	2.395357	41604	0.226805	0.237880	0.266215	
41924	0.240411	8076	0.293462	2.395357	41924	0.240411	0.248980	0.266068	
41579	0.262416	8421	0.296521	2.395357	41579	0.262416	0.268160	0.266086	
41509	0.233805	8491	0.307973	2.395357	41509	0.233805	0.246400	0.265921	
41488	0.252410	8512	0.309680	2.395357	41488	0.252410	0.262160	0.265889	
41522	0.249843	8478	0.303138	2.395357	41522	0.249843	0.258880	0.265832	
41843	0.250149	8157	0.300356	2.395357	41843	0.250149	0.258340	0.265770	
41837	0.283744	8163	0.290824	2.395357	41837	0.283744	0.284900	0.265925	
41835	0.272834	8165	0.293570	2.395357	41835	0.272834	0.276220	0.266008	
42019	0.280278	7981	0.284050	2.395357	42019	0.280278	0.280880	0.266127	
41951	0.269815	8049	0.294695	2.395357	41951	0.269815	0.273820	0.266188	
41893	0.282076	8107	0.300604	2.395357	41893	0.282076	0.285080	0.266337	
41897	0.262143	8103	0.298902	2.395357	41897	0.262143	0.268100	0.266350	
41944	0.274557	8056	0.302507	2.395357	41944	0.274557	0.279060	0.266449	
41851	0.238871	8149	0.287520	2.395357	41851	0.238871	0.246800	0.266298	
41992	0.244713	8008	0.302822	2.395357	41992	0.244713	0.254020	0.266204	
42406	0.256450	7594	0.271530	2.395357	42406	0.256450	0.258740	0.266148	
42119	0.281037	7881	0.301231	2.395357	42119	0.281037	0.284220	0.266283	
42174	0.264286	7826	0.325837	2.395357	42174	0.264286	0.273920	0.266340	
41746	0.241149	8254	0.309789	2.395357	41746	0.241149	0.252480	0.266238	
42197	0.266488	7803	0.293605	2.395357	42197	0.266488	0.270720	0.266271	
41796	0.273902	8204	0.310458	2.395357	41796	0.273902	0.279900	0.266370	
42100	0.292447	7900	0.301519	2.395357	42100	0.292447	0.293880	0.266569	
41832	0.239649	8168	0.309011	2.395357	41832	0.239649	0.250980	0.266457	
42014	0.291189	7986	0.292136	2.395357	42014	0.291189	0.291340	0.266635	
41189	0.257205	8811	0.317104	2.395357	41189	0.257205	0.267760	0.266643	
41466	0.221145	8534	0.302789	2.395357	41466	0.221145	0.235080	0.266421	
42484	0.289686	7516	0.277940	2.395357	42484	0.289686	0.287920	0.266571	
41800	0.243828	8200	0.307317	2.395357	41800	0.243828	0.254240	0.266485	
42407	0.262881	7593	0.294218	2.395357	42407	0.262881	0.267640	0.266493	
41812	0.269851	8188	0.300318	2.395357	41812	0.269851	0.274840	0.266550	
42391	0.276733	7609	0.283349	2.395357	42391	0.276733	0.277740	0.266626	
41944	0.297873	8056	0.307349	2.395357	41944	0.297873	0.299400	0.266848	
41877	0.283234	8123	0.309368	2.395357	41877	0.283234	0.287480	0.266986	
41726	0.286488	8274	0.307953	2.395357	41726	0.286488	0.290040	0.267139	
42229	0.274551	7771	0.296358	2.395357	42229	0.274551	0.277940	0.267211	
41718	0.273503	8282	0.286646	2.395357	41718	0.273503	0.275680	0.267266	
41780	0.261249	8220	0.293187	2.395357	41780	0.261249	0.266500	0.267261	
42191	0.287265	7809	0.273915	2.395357	42191	0.287265	0.285180	0.267378	
41548	0.249374	8452	0.307856	2.395357	41548	0.249374	0.259260	0.267325	
41663	0.267672	8337	0.308864	2.395357	41663	0.267672	0.274540	0.267371	
41499	0.280802	8501	0.316786	2.395357	41499	0.280802	0.286920	0.267496	
41474	0.237137	8526	0.313746	2.395357	41474	0.237137	0.250200	0.267386	
42243	0.251119	7757	0.294573	2.395357	42243	0.251119	0.257860	0.267327	
41719	0.256286	8281	0.303224	2.395357	41719	0.256286	0.264060	0.267306	
41783	0.281023	8217	0.296580	2.395357	41783	0.281023	0.283580	0.267407	
42442	0.277956	7558	0.300079	2.395357	42442	0.277956	0.281300	0.267493	
41650	0.233181	8350	0.304431	2.395357	41650	0.233181	0.245080	0.267356	
42049	0.273419	7951	0.279336	2.395357	42049	0.273419	0.274360	0.267398	
41862	0.267044	8138	0.305358	2.395357	41862	0.267044	0.273280	0.267434	
41666	0.253900	8334	0.306096	2.395357	41666	0.253900	0.262600	0.267405	
41811	0.243931	8189	0.297716	2.395357	41811	0.243931	0.252740	0.267317	
41906	0.261920	8094	0.311836	2.395357	41906	0.261920	0.270000	0.267333	
41379	0.241088	8621	0.314929	2.395357	41379	0.241088	0.253820	0.267253	
42094	0.274030	7906	0.297749	2.395357	42094	0.274030	0.277780	0.267315	
41699	0.281062	8301	0.290326	2.395357	41699	0.281062	0.282600	0.267404	
41722	0.267844	8278	0.305750	2.395357	41722	0.267844	0.274120	0.267443	
41572	0.278529	8428	0.301732	2.395357	41572	0.278529	0.282440	0.267530	
42058	0.263113	7942	0.289600	2.395357	42058	0.263113	0.267320	0.267529	
41705	0.222347	8295	0.307052	2.395357	41705	0.222347	0.236400	0.267351	
41890	0.272834	8110	0.277065	2.395357	41890	0.272834	0.273520	0.267386	
41729	0.248460	8271	0.304074	2.395357	41729	0.248460	0.257660	0.267331	
41954	0.265982	8046	0.297663	2.395357	41954	0.265982	0.271080	0.267352	
42097	0.304107	7903	0.287233	2.395357	42097	0.304107	0.301440	0.267542	
41687	0.257370	8313	0.305906	2.395357	41687	0.257370	0.265440	0.267531	
42396	0.330314	7604	0.275776	2.395357	42396	0.330314	0.322020	0.267831	
41928	0.269867	8072	0.292864	2.395357	41928	0.269867	0.273580	0.267863	
41382	0.267193	8618	0.303203	2.395357	41382	0.267193	0.273400	0.267893	
42411	0.305086	7589	0.282909	2.395357	42411	0.305086	0.301720	0.268077	
41705	0.282676	8295	0.299819	2.395357	41705	0.282676	0.285520	0.268171	
41907	0.282196	8093	0.306438	2.395357	41907	0.282196	0.286120	0.268267	
41719	0.218845	8281	0.309504	2.395357	41719	0.218845	0.233860	0.268084	
42040	0.298501	7960	0.276256	2.395357	42040	0.298501	0.294960	0.268226	
41663	0.235893	8337	0.299628	2.395357	41663	0.235893	0.246520	0.268112	
41710	0.258787	8290	0.316285	2.395357	41710	0.258787	0.268320	0.268113	
41927	0.279844	8073	0.292209	2.395357	41927	0.279844	0.281840	0.268185	
41997	0.267210	8003	0.298263	2.395357	41997	0.267210	0.272180	0.268205	
42014	0.278931	7986	0.289131	2.395357	42014	0.278931	0.280560	0.268269	
41708	0.242543	8292	0.301134	2.395357	41708	0.242543	0.252260	0.268187	
41982	0.256491	8018	0.296209	2.395357	41982	0.256491	0.262860	0.268160	
41576	0.252381	8424	0.306268	2.395357	41576	0.252381	0.261460	0.268125	
41999	0.248268	8001	0.299338	2.395357	41999	0.248268	0.256440	0.268066	
41805	0.245186	8195	0.299695	2.395357	41805	0.245186	0.254120	0.267996	
42045	0.262909	7955	0.289001	2.395357	42045	0.262909	0.267060	0.267991	
41844	0.247276	8156	0.300760	2.395357	41844	0.247276	0.256000	0.267931	
41169	0.247856	8831	0.296342	2.395357	41169	0.247856	0.256420	0.267874	
41769	0.275252	8231	0.293281	2.395357	41769	0.275252	0.278220	0.267925	
41777	0.285181	8223	0.309011	2.395357	41777	0.285181	0.289100	0.268029	
41873	0.267667	8127	0.305894	2.395357	41873	0.267667	0.273880	0.268058	
42061	0.235040	7939	0.305202	2.395357	42061	0.235040	0.246180	0.267951	
42444	0.301220	7556	0.293012	2.395357	42444	0.301220	0.299980	0.268107	
41656	0.261043	8344	0.306448	2.395357	41656	0.261043	0.268620	0.268109	
41742	0.270279	8258	0.278518	2.395357	41742	0.270279	0.271640	0.268126	
41138	0.229763	8862	0.316520	2.395357	41138	0.229763	0.245140	0.268016	
41854	0.267430	8146	0.314142	2.395357	41854	0.267430	0.275040	0.268050	
41608	0.218203	8392	0.299571	2.395357	41608	0.218203	0.231860	0.267878	
41659	0.250366	8341	0.310394	2.395357	41659	0.250366	0.260380	0.267843	
41575	0.245436	8425	0.291869	2.395357	41575	0.245436	0.253260	0.267775	
41598	0.243185	8402	0.296120	2.395357	41598	0.243185	0.252080	0.267701	
42094	0.267972	7906	0.305085	2.395357	42094	0.267972	0.273840	0.267730	
42187	0.292578	7813	0.283630	2.395357	42187	0.292578	0.291180	0.267838	
41761	0.311846	8239	0.304527	2.395357	41761	0.311846	0.310640	0.268035	
41787	0.254098	8213	0.304030	2.395357	41787	0.254098	0.262300	0.268009	
41972	0.266725	8028	0.295341	2.395357	41972	0.266725	0.271320	0.268024	
41815	0.246467	8185	0.286133	2.395357	41815	0.246467	0.252960	0.267956	
41987	0.251483	8013	0.295520	2.395357	41987	0.251483	0.258540	0.267913	
42069	0.256056	7931	0.301727	2.395357	42069	0.256056	0.263300	0.267892	
41782	0.257503	8218	0.284011	2.395357	41782	0.257503	0.261860	0.267865	
41951	0.265929	8049	0.299416	2.395357	41951	0.265929	0.271320	0.267881	
41765	0.259476	8235	0.298239	2.395357	41765	0.259476	0.265860	0.267872	
42204	0.317932	7796	0.297973	2.395357	42204	0.317932	0.314820	0.268079	
41828	0.253969	8172	0.282550	2.395357	41828	0.253969	0.258640	0.268038	
41804	0.281504	8196	0.303563	2.395357	41804	0.281504	0.285120	0.268113	
41871	0.282320	8129	0.300283	2.395357	41871	0.282320	0.285240	0.268187	
41584	0.243964	8416	0.300618	2.395357	41584	0.243964	0.253500	0.268124	
41507	0.245742	8493	0.305193	2.395357	41507	0.245742	0.255840	0.268071	
42060	0.231598	7940	0.304660	2.395357	42060	0.231598	0.243200	0.267963	
41993	0.260281	8007	0.291370	2.395357	41993	0.260281	0.265260	0.267952	
41901	0.259397	8099	0.299667	2.395357	41901	0.259397	0.265920	0.267943	
41816	0.263272	8184	0.312072	2.395357	41816	0.263272	0.271260	0.267957	
41672	0.263270	8328	0.289625	2.395357	41672	0.263270	0.267660	0.267956	
42065	0.287460	7935	0.294896	2.395357	42065	0.287460	0.288640	0.268043	
41899	0.248765	8101	0.299716	2.395357	41899	0.248765	0.257020	0.267997	
41862	0.251135	8138	0.306095	2.395357	41862	0.251135	0.260080	0.267964	
41891	0.225609	8109	0.305833	2.395357	41891	0.225609	0.238620	0.267842	
42236	0.262004	7764	0.301391	2.395357	42236	0.262004	0.268120	0.267843	
41664	0.247408	8336	0.300624	2.395357	41664	0.247408	0.256280	0.267795	
41312	0.263216	8688	0.306975	2.395357	41312	0.263216	0.270820	0.267807	
42071	0.284994	7929	0.301930	2.395357	42071	0.284994	0.287680	0.267889	
41686	0.240656	8314	0.302382	2.395357	41686	0.240656	0.250920	0.267820	
42012	0.248953	7988	0.275538	2.395357	42012	0.248953	0.253200	0.267760	
41632	0.291290	8368	0.295411	2.395357	41632	0.291290	0.291980	0.267858	
42056	0.307542	7944	0.292422	2.395357	42056	0.307542	0.305140	0.268008	
42064	0.254707	7936	0.302419	2.395357	42064	0.254707	0.262280	0.267985	
41922	0.296575	8078	0.304902	2.395357	41922	0.296575	0.297920	0.268105	
42396	0.311303	7604	0.294056	2.395357	42396	0.311303	0.308680	0.268267	
41743	0.236854	8257	0.292600	2.395357	41743	0.236854	0.246060	0.268179	
41872	0.275482	8128	0.293553	2.395357	41872	0.275482	0.278420	0.268219	
41714	0.248142	8286	0.327661	2.395357	41714	0.248142	0.261320	0.268192	
41534	0.256609	8466	0.297897	2.395357	41534	0.256609	0.263600	0.268174	
41838	0.274463	8162	0.303847	2.395357	41838	0.274463	0.279260	0.268217	
41758	0.230591	8242	0.317277	2.395357	41758	0.230591	0.244880	0.268126	
41629	0.259483	8371	0.304265	2.395357	41629	0.259483	0.266980	0.268122	
42505	0.274885	7495	0.293262	2.395357	42505	0.274885	0.277640	0.268159	
41514	0.225635	8486	0.283172	2.395357	41514	0.225635	0.235400	0.268033	
41694	0.227179	8306	0.321214	2.395357	41694	0.227179	0.242800	0.267936	
41551	0.230440	8449	0.308912	2.395357	41551	0.230440	0.243700	0.267844	
41683	0.225967	8317	0.314416	2.395357	41683	0.225967	0.240680	0.267741	
43197	0.326412	6803	0.278554	2.395357	43197	0.326412	0.319900	0.267938	
42254	0.287499	7746	0.282081	2.395357	42254	0.287499	0.286660	0.268009	
41310	0.288623	8690	0.311047	2.395357	41310	0.288623	0.292520	0.268101	
41838	0.246092	8162	0.295393	2.395357	41838	0.246092	0.254140	0.268048	
42181	0.255399	7819	0.293644	2.395357	42181	0.255399	0.261380	0.268024	
41901	0.282499	8099	0.293740	2.395357	41901	0.282499	0.284320	0.268084	
42240	0.273082	7760	0.294974	2.395357	42240	0.273082	0.276480	0.268115	
42052	0.299629	7948	0.313790	2.395357	42052	0.299629	0.301880	0.268240	
41665	0.268211	8335	0.302939	2.395357	41665	0.268211	0.274000	0.268261	
42018	0.301014	7982	0.302932	2.395357	42018	0.301014	0.301320	0.268382	
41899	0.243920	8101	0.287989	2.395357	41899	0.243920	0.251060	0.268319	
41716	0.260811	8284	0.298648	2.395357	41716	0.260811	0.267080	0.268314	
41814	0.281509	8186	0.316394	2.395357	41814	0.281509	0.287220	0.268383	
41217	0.208628	8783	0.304793	2.395357	41217	0.208628	0.225520	0.268228	
41936	0.266406	8064	0.297495	2.395357	41936	0.266406	0.271420	0.268239	
41943	0.224805	8057	0.298002	2.395357	41943	0.224805	0.236600	0.268126	
41879	0.206977	8121	0.296023	2.395357	41879	0.206977	0.221440	0.267960	
41747	0.248353	8253	0.303284	2.395357	41747	0.248353	0.257420	0.267922	
41819	0.250054	8181	0.299597	2.395357	41819	0.250054	0.258160	0.267887	
41593	0.231433	8407	0.307720	2.395357	41593	0.231433	0.244260	0.267804	
41438	0.268522	8562	0.315230	2.395357	41438	0.268522	0.276520	0.267835	
41908	0.245920	8092	0.311419	2.395357	41908	0.245920	0.256520	0.267795	
41958	0.280018	8042	0.300920	2.395357	41958	0.280018	0.283380	0.267849	
41628	0.251225	8372	0.298734	2.395357	41628	0.251225	0.259180	0.267819	
41860	0.227353	8140	0.292138	2.395357	41860	0.227353	0.237900	0.267715	
41857	0.259383	8143	0.274960	2.395357	41857	0.259383	0.261920	0.267695	
