Options:
Model:                           MultiState
Tree File Name:                  data/austronesian.bttrees
Data File Name:                  data/austronesian.btdata
Log File Name:                   /Users/sp16194/Desktop/Projects_Git/terminology-anc-state/bt-output/austronesian/09-Aug-15_02.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            8656373
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   /Users/sp16194/Desktop/Projects_Git/terminology-anc-state/bt-output/austronesian/09-Aug-15_02.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     30
Base frequency (PI's):           None
Character Symbols:               1,3,4,5,6,7
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q13                          RJ MCMC
    q14                          RJ MCMC
    q15                          RJ MCMC
    q16                          RJ MCMC
    q17                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q35                          RJ MCMC
    q36                          RJ MCMC
    q37                          RJ MCMC
    q41                          RJ MCMC
    q43                          RJ MCMC
    q45                          RJ MCMC
    q46                          RJ MCMC
    q47                          RJ MCMC
    q51                          RJ MCMC
    q53                          RJ MCMC
    q54                          RJ MCMC
    q56                          RJ MCMC
    q57                          RJ MCMC
    q61                          RJ MCMC
    q63                          RJ MCMC
    q64                          RJ MCMC
    q65                          RJ MCMC
    q67                          RJ MCMC
    q71                          RJ MCMC
    q73                          RJ MCMC
    q74                          RJ MCMC
    q75                          RJ MCMC
    q76                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      4199
     Taxa:                       85
     Sites:                      1
     States:                     6
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	q13	q14	q15	q16	q17	q31	q34	q35	q36	q37	q41	q43	q45	q46	q47	q51	q53	q54	q56	q57	q61	q63	q64	q65	q67	q71	q73	q74	q75	q76	Root P(1)	Root P(3)	Root P(4)	Root P(5)	Root P(6)	Root P(7)	
11000	-98.307155	3213	1	14	'0 0 0 Z Z Z 0 Z Z Z 0 Z 0 Z Z Z Z 0 0 0 0 Z 0 0 0 Z 0 Z 0 0 	11.937578	11.937578	11.937578	0.000000	0.000000	0.000000	11.937578	0.000000	0.000000	0.000000	11.937578	0.000000	11.937578	0.000000	0.000000	0.000000	0.000000	11.937578	11.937578	11.937578	11.937578	0.000000	11.937578	11.937578	11.937578	0.000000	11.937578	0.000000	11.937578	11.937578	0.018166	0.974803	0.000592	0.000108	0.000387	0.005943	
12000	-95.349398	467	1	14	'Z 0 0 0 Z Z 0 Z Z Z 0 Z 0 Z Z Z Z 0 Z 0 0 0 0 Z 0 Z 0 0 0 0 	0.000000	17.095677	17.095677	17.095677	0.000000	0.000000	17.095677	0.000000	0.000000	0.000000	17.095677	0.000000	17.095677	0.000000	0.000000	0.000000	0.000000	17.095677	0.000000	17.095677	17.095677	17.095677	17.095677	0.000000	17.095677	0.000000	17.095677	17.095677	17.095677	17.095677	0.003249	0.849108	0.000264	0.003380	0.071354	0.072645	
13000	-96.119713	1534	1	14	'0 0 0 0 0 Z 0 Z Z Z 0 Z 0 Z Z 0 Z 0 Z Z 0 Z 0 Z 0 Z Z 0 0 0 	17.650988	17.650988	17.650988	17.650988	17.650988	0.000000	17.650988	0.000000	0.000000	0.000000	17.650988	0.000000	17.650988	0.000000	0.000000	17.650988	0.000000	17.650988	0.000000	0.000000	17.650988	0.000000	17.650988	0.000000	17.650988	0.000000	0.000000	17.650988	17.650988	17.650988	0.087647	0.891604	0.007520	0.006351	0.005979	0.000899	
14000	-95.165957	702	1	17	'Z 0 Z 0 0 Z 0 Z Z Z 0 Z 0 Z Z Z Z Z Z Z 0 0 Z 0 0 Z Z 0 0 0 	0.000000	15.666169	0.000000	15.666169	15.666169	0.000000	15.666169	0.000000	0.000000	0.000000	15.666169	0.000000	15.666169	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	15.666169	15.666169	0.000000	15.666169	15.666169	0.000000	0.000000	15.666169	15.666169	15.666169	0.000416	0.982951	0.000007	0.000000	0.016326	0.000299	
15000	-98.699092	2027	1	14	'0 0 0 0 0 Z 0 Z Z Z 0 Z 0 Z Z 0 Z Z Z 0 Z 0 0 0 0 Z Z Z 0 0 	9.322546	9.322546	9.322546	9.322546	9.322546	0.000000	9.322546	0.000000	0.000000	0.000000	9.322546	0.000000	9.322546	0.000000	0.000000	9.322546	0.000000	0.000000	0.000000	9.322546	0.000000	9.322546	9.322546	9.322546	9.322546	0.000000	0.000000	0.000000	9.322546	9.322546	0.014672	0.970107	0.000466	0.000041	0.014672	0.000041	
16000	-97.038703	3562	1	14	'0 0 Z 0 0 Z 0 Z Z Z 0 Z 0 Z Z 0 Z 0 Z Z 0 Z 0 0 0 0 0 Z 0 Z 	13.824556	13.824556	0.000000	13.824556	13.824556	0.000000	13.824556	0.000000	0.000000	0.000000	13.824556	0.000000	13.824556	0.000000	0.000000	13.824556	0.000000	13.824556	0.000000	0.000000	13.824556	0.000000	13.824556	13.824556	13.824556	13.824556	13.824556	0.000000	13.824556	0.000000	0.051418	0.901611	0.003825	0.002068	0.003760	0.037318	
17000	-97.691282	2019	1	18	'0 0 0 0 0 Z 0 Z Z Z 0 Z 0 Z Z Z 0 0 Z Z Z Z 0 Z Z Z Z Z 0 Z 	17.603709	17.603709	17.603709	17.603709	17.603709	0.000000	17.603709	0.000000	0.000000	0.000000	17.603709	0.000000	17.603709	0.000000	0.000000	0.000000	17.603709	17.603709	0.000000	0.000000	0.000000	0.000000	17.603709	0.000000	0.000000	0.000000	0.000000	0.000000	17.603709	0.000000	0.042701	0.808676	0.026377	0.120022	0.000644	0.001581	
18000	-96.097734	443	1	16	'0 0 0 0 0 Z 0 Z Z Z 0 Z 0 Z Z 0 Z 0 Z Z 0 Z Z Z Z 0 0 Z Z 0 	12.267810	12.267810	12.267810	12.267810	12.267810	0.000000	12.267810	0.000000	0.000000	0.000000	12.267810	0.000000	12.267810	0.000000	0.000000	12.267810	0.000000	12.267810	0.000000	0.000000	12.267810	0.000000	0.000000	0.000000	0.000000	12.267810	12.267810	0.000000	0.000000	12.267810	0.032673	0.947383	0.002546	0.001258	0.000238	0.015903	
19000	-98.565737	1566	1	15	'0 Z 0 0 0 Z 0 Z Z 0 0 Z 0 Z Z 0 Z 0 Z Z 0 Z Z Z 0 Z 0 Z 0 0 	12.635252	0.000000	12.635252	12.635252	12.635252	0.000000	12.635252	0.000000	0.000000	12.635252	12.635252	0.000000	12.635252	0.000000	0.000000	12.635252	0.000000	12.635252	0.000000	0.000000	12.635252	0.000000	0.000000	0.000000	12.635252	0.000000	12.635252	0.000000	12.635252	12.635252	0.039979	0.908598	0.006285	0.003604	0.001554	0.039979	
20000	-94.240524	785	1	15	'0 0 0 0 0 Z 0 Z Z Z 0 Z 0 Z Z Z Z 0 Z Z 0 Z Z 0 0 0 0 Z Z 0 	16.561782	16.561782	16.561782	16.561782	16.561782	0.000000	16.561782	0.000000	0.000000	0.000000	16.561782	0.000000	16.561782	0.000000	0.000000	0.000000	0.000000	16.561782	0.000000	0.000000	16.561782	0.000000	0.000000	16.561782	16.561782	16.561782	16.561782	0.000000	0.000000	16.561782	0.020275	0.959625	0.000877	0.000008	0.000717	0.018497	
21000	-94.554162	600	1	18	'0 0 0 0 0 Z 0 Z Z Z 0 Z 0 Z Z Z Z 0 Z Z Z Z 0 0 Z 0 Z Z Z Z 	18.505349	18.505349	18.505349	18.505349	18.505349	0.000000	18.505349	0.000000	0.000000	0.000000	18.505349	0.000000	18.505349	0.000000	0.000000	0.000000	0.000000	18.505349	0.000000	0.000000	0.000000	0.000000	18.505349	18.505349	0.000000	18.505349	0.000000	0.000000	0.000000	0.000000	0.015901	0.983084	0.000726	0.000012	0.000012	0.000265	
22000	-95.722634	1124	1	14	'0 0 0 0 0 Z 0 Z Z Z 0 Z 0 Z Z Z Z 0 Z Z 0 Z 0 0 Z 0 0 0 0 Z 	23.131154	23.131154	23.131154	23.131154	23.131154	0.000000	23.131154	0.000000	0.000000	0.000000	23.131154	0.000000	23.131154	0.000000	0.000000	0.000000	0.000000	23.131154	0.000000	0.000000	23.131154	0.000000	23.131154	23.131154	0.000000	23.131154	23.131154	23.131154	23.131154	0.000000	0.069620	0.836080	0.004999	0.000198	0.004133	0.084970	
