Rate	62.50
Rev Jump	12.50
Tree Move	12.50
Global Rate	12.50
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Global Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Global Rate - Dev	Global Rate - Tried	Global Rate - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
32556	0.710960	3358	0.317749	7050	0.443121	7036	0.956225	2.920327	32556	0.710960	0.694387	0	0.000000	0.681300	0.681306	
33310	0.727109	2741	0.360088	6985	0.469291	6964	0.982769	3.136994	33310	0.727109	0.694387	0	0.000000	0.706580	0.693943	
33173	0.684231	2889	0.350294	6956	0.460178	6982	0.988542	3.770703	33173	0.684231	0.694387	0	0.000000	0.676260	0.688049	
33309	0.618842	2670	0.371536	7043	0.482039	6978	0.993265	5.000000	33309	0.618842	0.694387	0	0.000000	0.638620	0.675692	
33395	0.621770	2555	0.349119	6937	0.489981	7113	0.992127	5.000000	33395	0.621770	0.694387	0	0.000000	0.642240	0.669001	
33266	0.620333	2624	0.381860	7012	0.482744	7098	0.992956	5.000000	33266	0.620333	0.694387	0	0.000000	0.641420	0.664404	
33404	0.629326	2549	0.380934	7024	0.480495	7023	0.990460	5.000000	33404	0.629326	0.694387	0	0.000000	0.646480	0.661844	
33466	0.620988	2665	0.348593	6916	0.482360	6953	0.963469	5.000000	33466	0.620988	0.694387	0	0.000000	0.634920	0.658478	
33098	0.612605	2749	0.364860	7105	0.494018	7048	0.984960	5.000000	33098	0.612605	0.694387	0	0.000000	0.634620	0.655827	
33544	0.625119	2587	0.350213	6981	0.486177	6888	0.988531	5.000000	33544	0.625119	0.694387	0	0.000000	0.641560	0.654401	
33179	0.606378	2594	0.350424	7064	0.487826	7163	0.992601	5.000000	33179	0.606378	0.694387	0	0.000000	0.631680	0.652335	
33408	0.623324	2583	0.335269	6884	0.482568	7125	0.993123	5.000000	33408	0.623324	0.694387	0	0.000000	0.641760	0.651454	
33390	0.626745	2826	0.369781	6847	0.494815	6937	0.993946	5.000000	33390	0.626745	0.694387	0	0.000000	0.645100	0.650965	
33498	0.626067	2690	0.366543	6967	0.475527	6845	0.989774	5.000000	33498	0.626067	0.694387	0	0.000000	0.640920	0.650248	
33497	0.625549	2920	0.360959	6747	0.498444	6836	0.994441	5.000000	33497	0.625549	0.694387	0	0.000000	0.643380	0.649790	
33167	0.620949	3003	0.346986	6926	0.491915	6904	0.993192	5.000000	33167	0.620949	0.694387	0	0.000000	0.638020	0.649054	
33360	0.624071	2643	0.376088	6933	0.487235	7064	0.989666	5.000000	33360	0.624071	0.694387	0	0.000000	0.643640	0.648736	
33451	0.620280	2520	0.326984	7033	0.494099	6996	0.990995	5.000000	33451	0.620280	0.694387	0	0.000000	0.639620	0.648229	
33139	0.617792	2814	0.350036	7095	0.480479	6952	0.993671	5.000000	33139	0.617792	0.694387	0	0.000000	0.635500	0.647559	
33328	0.625630	2762	0.361332	7020	0.477920	6890	0.991872	5.000000	33328	0.625630	0.694387	0	0.000000	0.640760	0.647219	
33363	0.619878	2263	0.364118	7211	0.481348	7163	0.980734	5.000000	33363	0.619878	0.694387	0	0.000000	0.640020	0.646877	
33316	0.627176	2659	0.377962	6945	0.490713	7080	0.989689	5.000000	33316	0.627176	0.694387	0	0.000000	0.646300	0.646850	
33067	0.613391	2669	0.377670	7172	0.464306	7092	0.987592	5.000000	33067	0.613391	0.694387	0	0.000000	0.632500	0.646226	
33595	0.626224	2372	0.408094	7045	0.474805	6988	0.985404	5.000000	33595	0.626224	0.694387	0	0.000000	0.644740	0.646164	
33583	0.627490	2428	0.354201	7078	0.507771	6911	0.958038	5.000000	33583	0.627490	0.694387	0	0.000000	0.642960	0.646036	
33323	0.624133	2678	0.354369	6958	0.475137	7041	0.992473	5.000000	33323	0.624133	0.694387	0	0.000000	0.640820	0.645836	
33258	0.616573	2445	0.379550	7035	0.494243	7262	0.968879	5.000000	33258	0.616573	0.694387	0	0.000000	0.638940	0.645580	
32498	0.606683	2694	0.352635	7448	0.488050	7360	0.987772	5.000000	32498	0.606683	0.694387	0	0.000000	0.631420	0.645075	
33276	0.624534	2903	0.342749	6879	0.492223	6942	0.978104	5.000000	33276	0.624534	0.694387	0	0.000000	0.639060	0.644867	
33433	0.619149	2693	0.352766	6989	0.471026	6885	0.982716	5.000000	33433	0.619149	0.694387	0	0.000000	0.634160	0.644510	
33488	0.624851	2508	0.386364	7051	0.491845	6953	0.973393	5.000000	33488	0.624851	0.694387	0	0.000000	0.642600	0.644449	
33617	0.627926	2561	0.358454	6967	0.485288	6855	0.973012	5.000000	33617	0.627926	0.694387	0	0.000000	0.641560	0.644358	
33434	0.623856	2688	0.364211	6854	0.467756	7024	0.975797	5.000000	33434	0.623856	0.694387	0	0.000000	0.637940	0.644164	
33187	0.619128	2726	0.355466	7054	0.479019	7033	0.994028	5.000000	33187	0.619128	0.694387	0	0.000000	0.637720	0.643974	
