Rate	71.43
Rev Jump	14.29
Tree Move	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
36127	0.323138	6214	0.210814	7659	0.744614	7.753266	36127	0.323138	0.373740	0.373753	
36092	0.326970	6042	0.222277	7866	0.755530	7.753266	36092	0.326970	0.381740	0.377746	
36344	0.330261	6042	0.221119	7614	0.753349	7.753266	36344	0.330261	0.381500	0.378997	
36145	0.324443	6227	0.233981	7628	0.756162	7.753266	36145	0.324443	0.379040	0.379008	
36386	0.332106	6192	0.234012	7422	0.735651	7.753266	36386	0.332106	0.379860	0.379178	
35985	0.329221	6234	0.221206	7781	0.740265	7.753266	35985	0.329221	0.379720	0.379269	
36252	0.330465	6146	0.226163	7602	0.757301	7.753266	36252	0.330465	0.382540	0.379736	
36263	0.326173	6281	0.220825	7456	0.757913	7.753266	36263	0.326173	0.377320	0.379434	
36276	0.328316	6204	0.224694	7520	0.744282	7.753266	36276	0.328316	0.378020	0.379277	
36328	0.325809	6085	0.217913	7587	0.755766	7.753266	36328	0.325809	0.377920	0.379141	
36464	0.328872	6089	0.216127	7447	0.741909	7.753266	36464	0.328872	0.376660	0.378916	
36467	0.327337	6001	0.222463	7532	0.743229	7.753266	36467	0.327337	0.377400	0.378789	
35998	0.331824	6091	0.217862	7911	0.764252	7.753266	35998	0.331824	0.386360	0.379372	
36289	0.323018	6003	0.231551	7708	0.743513	7.753266	36289	0.323018	0.376860	0.379192	
36161	0.328558	6098	0.233027	7741	0.754295	7.753266	36161	0.328558	0.382820	0.379434	
36255	0.326962	6151	0.229231	7594	0.737556	7.753266	36255	0.326962	0.377300	0.379301	
36321	0.325129	6086	0.221492	7593	0.749770	7.753266	36321	0.325129	0.377000	0.379165	
36288	0.332644	6114	0.230291	7598	0.747434	7.753266	36288	0.332644	0.383160	0.379387	
36467	0.326816	6121	0.214181	7412	0.743929	7.753266	36467	0.326816	0.374860	0.379149	
36105	0.325717	6128	0.223727	7767	0.760139	7.753266	36105	0.325717	0.380700	0.379227	
36476	0.325282	5914	0.220494	7610	0.747438	7.753266	36476	0.325282	0.377140	0.379127	
36123	0.336628	6252	0.214331	7625	0.755541	7.753266	36123	0.336628	0.385220	0.379404	
36053	0.329515	6245	0.238911	7702	0.750584	7.753266	36053	0.329515	0.383060	0.379563	
36328	0.327681	6080	0.226151	7592	0.753688	7.753266	36328	0.327681	0.380020	0.379582	
36196	0.329567	6186	0.219851	7618	0.745865	7.753266	36196	0.329567	0.379420	0.379576	
36146	0.330687	6109	0.222622	7745	0.741382	7.753266	36146	0.330687	0.381100	0.379634	
36237	0.322212	6144	0.229004	7619	0.760205	7.753266	36237	0.322212	0.377500	0.379555	
36455	0.333727	6017	0.241981	7528	0.757572	7.753266	36455	0.333727	0.386500	0.379803	
35925	0.325985	6280	0.231051	7795	0.758948	7.753266	35925	0.325985	0.381560	0.379864	
36069	0.326957	6165	0.229035	7766	0.754700	7.753266	36069	0.326957	0.381320	0.379912	
36286	0.331092	6047	0.240284	7667	0.745533	7.753266	36286	0.331092	0.383660	0.380033	
36257	0.333701	6034	0.233344	7709	0.760410	7.753266	36257	0.333701	0.387380	0.380263	
36330	0.335866	6244	0.212204	7426	0.755723	7.753266	36330	0.335866	0.382780	0.380339	
36230	0.321998	6186	0.226156	7584	0.750132	7.753266	36230	0.321998	0.375080	0.380184	
36316	0.336298	6224	0.218348	7460	0.761930	7.753266	36316	0.336298	0.385120	0.380325	
36122	0.331931	6149	0.208977	7729	0.750809	7.753266	36122	0.331931	0.381560	0.380360	
36167	0.335942	6190	0.228433	7643	0.752715	7.753266	36167	0.335942	0.386340	0.380521	
36392	0.326830	6125	0.224816	7483	0.752506	7.753266	36392	0.326830	0.378040	0.380456	
36265	0.331532	6131	0.217909	7604	0.751315	7.753266	36265	0.331532	0.381440	0.380481	
36354	0.329675	6019	0.213158	7627	0.742363	7.753266	36354	0.329675	0.378600	0.380434	
36250	0.333848	5969	0.212431	7781	0.753888	7.753266	36250	0.333848	0.384720	0.380539	
36156	0.330429	6212	0.221829	7632	0.752227	7.753266	36156	0.330429	0.381320	0.380557	
36018	0.323560	6267	0.229296	7715	0.763448	7.753266	36018	0.323560	0.379620	0.380536	
36212	0.327074	6067	0.220702	7721	0.744593	7.753266	36212	0.327074	0.378640	0.380493	
36205	0.332385	6125	0.235265	7670	0.748631	7.753266	36205	0.332385	0.384340	0.380578	
36115	0.334819	6273	0.227802	7612	0.749343	7.753266	36115	0.334819	0.384500	0.380663	
36209	0.327653	6179	0.219291	7612	0.745139	7.753266	36209	0.327653	0.377820	0.380603	
36179	0.330993	6233	0.219958	7588	0.759357	7.753266	36179	0.330993	0.382160	0.380635	
36240	0.326794	6167	0.228636	7593	0.760964	7.753266	36240	0.326794	0.380620	0.380635	
35963	0.330423	6270	0.227911	7767	0.736578	7.753266	35963	0.330423	0.380660	0.380635	
36289	0.322990	6045	0.231431	7666	0.753848	7.753266	36289	0.322990	0.377980	0.380583	
36175	0.332384	6161	0.217173	7664	0.758351	7.753266	36175	0.332384	0.383480	0.380639	
36423	0.327980	6053	0.215596	7524	0.750532	7.753266	36423	0.327980	0.377960	0.380589	
36086	0.325085	6128	0.225685	7786	0.759312	7.753266	36086	0.325085	0.380520	0.380587	
36230	0.329037	6007	0.217912	7763	0.763622	7.753266	36230	0.329037	0.383160	0.380634	
36132	0.328019	6140	0.222638	7728	0.750259	7.753266	36132	0.328019	0.380340	0.380629	
36301	0.324729	6083	0.225382	7616	0.745011	7.753266	36301	0.324729	0.376660	0.380559	
36131	0.327779	6150	0.234146	7719	0.753854	7.753266	36131	0.327779	0.382040	0.380585	
36663	0.327305	5927	0.231820	7410	0.754521	7.753266	36663	0.327305	0.379300	0.380563	
36191	0.327651	6128	0.221116	7681	0.755891	7.753266	36191	0.327651	0.380380	0.380560	
36494	0.328739	6069	0.221948	7437	0.748151	7.753266	36494	0.328739	0.378160	0.380521	
36449	0.324810	6020	0.238372	7531	0.755677	7.753266	36449	0.324810	0.379300	0.380501	
36065	0.323693	6131	0.234383	7804	0.737570	7.753266	36065	0.323693	0.377340	0.380451	
36354	0.330775	6068	0.226269	7578	0.743600	7.753266	36354	0.330775	0.380660	0.380454	
36302	0.333728	6136	0.223272	7562	0.747025	7.753266	36302	0.333728	0.382680	0.380488	
36439	0.323801	5983	0.222297	7578	0.752177	7.753266	36439	0.323801	0.376580	0.380429	
36374	0.325947	6107	0.218438	7519	0.755154	7.753266	36374	0.325947	0.377360	0.380383	
36287	0.329154	6127	0.226049	7586	0.749539	7.753266	36287	0.329154	0.380300	0.380382	
36215	0.326439	6209	0.231760	7576	0.761088	7.753266	36215	0.326439	0.380540	0.380384	
36321	0.329259	6172	0.220188	7507	0.756228	7.753266	36321	0.329259	0.379900	0.380377	
36160	0.330559	6033	0.232389	7807	0.751377	7.753266	36160	0.330559	0.384420	0.380434	
36373	0.324994	5982	0.237044	7645	0.752126	7.753266	36373	0.324994	0.379780	0.380425	
36311	0.325989	6177	0.226000	7512	0.755724	7.753266	36311	0.325989	0.378200	0.380395	
36192	0.330764	6165	0.235199	7643	0.757948	7.753266	36192	0.330764	0.384280	0.380447	
36164	0.329720	6112	0.217768	7724	0.754143	7.753266	36164	0.329720	0.381600	0.380463	
36342	0.330554	6140	0.236971	7518	0.749135	7.753266	36342	0.330554	0.382000	0.380483	
36045	0.326509	6281	0.224646	7674	0.765181	7.753266	36045	0.326509	0.381040	0.380490	
36348	0.325052	6089	0.228609	7563	0.755653	7.753266	36348	0.325052	0.378440	0.380464	
36202	0.329236	6037	0.235879	7761	0.743976	7.753266	36202	0.329236	0.382340	0.380487	
36276	0.329116	6127	0.225396	7597	0.748190	7.753266	36276	0.329116	0.380080	0.380482	
36476	0.328874	5896	0.216248	7628	0.751049	7.753266	36476	0.328874	0.380000	0.380476	
36359	0.329520	6023	0.216669	7618	0.758204	7.753266	36359	0.329520	0.381240	0.380486	
36113	0.333509	6238	0.215614	7649	0.749902	7.753266	36113	0.333509	0.382500	0.380510	
36264	0.326605	6141	0.227162	7595	0.750230	7.753266	36264	0.326605	0.378740	0.380489	
36202	0.333711	6104	0.226737	7694	0.750325	7.753266	36202	0.333711	0.384760	0.380539	
36408	0.328087	6020	0.219601	7572	0.750132	7.753266	36408	0.328087	0.378940	0.380521	
36410	0.332107	6037	0.225940	7553	0.746591	7.753266	36410	0.332107	0.381900	0.380536	
36080	0.328437	6290	0.225437	7630	0.759764	7.753266	36080	0.328437	0.381300	0.380545	
36305	0.330533	6153	0.228181	7542	0.738531	7.753266	36305	0.330533	0.379480	0.380533	
36202	0.329236	6131	0.230142	7667	0.749967	7.753266	36202	0.329236	0.381600	0.380545	
36419	0.336555	6075	0.221235	7506	0.753797	7.753266	36419	0.336555	0.385180	0.380596	
36115	0.328395	6048	0.233135	7837	0.754881	7.753266	36115	0.328395	0.383720	0.380630	
