Rate	62.50
Rev Jump	12.50
Tree Move	12.50
Global Rate	12.50
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Global Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Global Rate - Dev	Global Rate - Tried	Global Rate - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
30642	0.403335	4265	0.178195	7558	0.531093	7535	0.967485	6.431714	30642	0.403335	0.357823	0	0.000000	0.488460	0.488470	
30577	0.347189	4562	0.170978	7428	0.584141	7433	0.991524	5.000000	30577	0.347189	0.357823	0	0.000000	0.462100	0.475285	
32841	0.618434	3569	0.190810	6716	0.606164	6874	0.990981	5.000000	32841	0.618434	0.357823	0	0.000000	0.637480	0.529350	
32790	0.613571	3710	0.179245	6819	0.582490	6681	0.986978	5.000000	32790	0.613571	0.357823	0	0.000000	0.627000	0.553762	
32544	0.591630	3770	0.201061	6746	0.565224	6940	0.987032	5.000000	32544	0.591630	0.357823	0	0.000000	0.613500	0.565710	
31024	0.422641	4315	0.175203	7391	0.564606	7270	0.984044	5.000000	31024	0.422641	0.357823	0	0.000000	0.503900	0.555408	
31285	0.371616	4574	0.175557	7031	0.577727	7110	0.987482	5.000000	31285	0.371616	0.357823	0	0.000000	0.470240	0.543241	
30163	0.284521	4764	0.162469	7607	0.551203	7466	0.986874	5.000000	30163	0.284521	0.357823	0	0.000000	0.418340	0.527629	
32950	0.606100	3594	0.185587	6643	0.586030	6813	0.987671	5.000000	32950	0.606100	0.357823	0	0.000000	0.625200	0.538470	
31978	0.502283	3995	0.190488	7144	0.578947	6883	0.991864	5.000000	31978	0.502283	0.357823	0	0.000000	0.555720	0.540195	
32725	0.588908	3692	0.178765	6818	0.603549	6765	0.994383	5.000000	32725	0.588908	0.357823	0	0.000000	0.615480	0.547039	
32012	0.541422	4068	0.163963	7036	0.637720	6884	0.994189	5.000000	32012	0.541422	0.357823	0	0.000000	0.586600	0.550336	
32848	0.588681	3587	0.165040	6859	0.630850	6706	0.994184	5.000000	32848	0.588681	0.357823	0	0.000000	0.618460	0.555576	
33024	0.607316	3315	0.170739	6703	0.655527	6958	0.991808	5.000000	33024	0.607316	0.357823	0	0.000000	0.638340	0.561488	
32901	0.620923	3694	0.157282	6646	0.626241	6759	0.992602	5.000000	32901	0.620923	0.357823	0	0.000000	0.637620	0.566563	
32911	0.609978	3792	0.174842	6627	0.614154	6670	0.985757	5.000000	32911	0.609978	0.357823	0	0.000000	0.627660	0.570382	
32835	0.618395	3619	0.167173	6757	0.605594	6789	0.996759	5.000000	32835	0.618395	0.357823	0	0.000000	0.635380	0.574205	
