Rate	62.50
Rev Jump	12.50
Tree Move	12.50
Global Rate	12.50
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Global Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Global Rate - Dev	Global Rate - Tried	Global Rate - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
33305	0.622669	2889	0.385601	7022	0.496297	6784	0.986291	5.053238	33306	0.622681	0.321693	0	0.000000	0.640560	0.640567	
33680	0.625356	2469	0.369785	6946	0.491938	6905	0.992180	5.000000	33680	0.625356	0.321693	0	0.000000	0.644860	0.642714	
33556	0.618488	2502	0.402078	6875	0.482618	7067	0.992500	5.000000	33556	0.618488	0.321693	0	0.000000	0.641840	0.642422	
33494	0.629635	2589	0.381615	6938	0.487460	6979	0.988537	5.000000	33494	0.629635	0.321693	0	0.000000	0.647160	0.643607	
33895	0.624989	2161	0.391485	7003	0.494931	6941	0.988330	5.000000	33895	0.624989	0.321693	0	0.000000	0.647120	0.644309	
32697	0.615989	2469	0.388821	7471	0.502476	7363	0.991308	5.000000	32697	0.615989	0.321693	0	0.000000	0.643080	0.644105	
33413	0.620986	2721	0.376332	7005	0.488794	6861	0.994461	5.000000	33413	0.620986	0.321693	0	0.000000	0.640400	0.643575	
33742	0.627645	2611	0.373803	6897	0.476729	6750	0.993481	5.000000	33742	0.627645	0.321693	0	0.000000	0.642960	0.643498	
33173	0.622343	2436	0.383826	7145	0.503989	7246	0.994480	5.000000	33173	0.622343	0.321693	0	0.000000	0.647740	0.643970	
33613	0.625443	2477	0.379491	6845	0.501826	7065	0.990658	5.000000	33613	0.625443	0.321693	0	0.000000	0.647940	0.644367	
33301	0.628390	2684	0.369225	7143	0.438191	6872	0.987922	5.000000	33301	0.628390	0.321693	0	0.000000	0.636720	0.643672	
33817	0.627258	2502	0.372902	6819	0.518991	6862	0.994171	5.000000	33817	0.627258	0.321693	0	0.000000	0.650120	0.644209	
33644	0.622488	2626	0.377761	6950	0.488777	6780	0.984808	5.000000	33644	0.622488	0.321693	0	0.000000	0.640180	0.643899	
33425	0.621541	2628	0.370624	7010	0.498859	6937	0.988179	5.000000	33425	0.621541	0.321693	0	0.000000	0.642020	0.643765	
33315	0.627585	2395	0.366597	7204	0.496669	7086	0.993791	5.000000	33315	0.627585	0.321693	0	0.000000	0.648120	0.644055	
33072	0.627661	2836	0.339563	7069	0.459612	7023	0.993735	5.000000	33072	0.627661	0.321693	0	0.000000	0.638980	0.643738	
33298	0.614211	2879	0.362279	6902	0.491017	6921	0.994798	5.000000	33298	0.614211	0.321693	0	0.000000	0.635380	0.643246	
33349	0.614921	2909	0.322791	6938	0.470741	6804	0.996620	5.000000	33349	0.614921	0.321693	0	0.000000	0.629860	0.642503	
33500	0.620716	2849	0.362232	6928	0.489607	6723	0.995240	5.000000	33500	0.620716	0.321693	0	0.000000	0.638180	0.642275	
33634	0.622257	2460	0.376423	6866	0.481794	7040	0.987074	5.000000	33634	0.622257	0.321693	0	0.000000	0.642240	0.642273	
33667	0.627796	2608	0.371166	6758	0.497484	6967	0.991532	5.000000	33667	0.627796	0.321693	0	0.000000	0.647480	0.642521	
33055	0.626199	2761	0.390800	7121	0.512990	7063	0.989523	5.000000	33055	0.626199	0.321693	0	0.000000	0.648400	0.642789	
33219	0.624372	2527	0.381084	7151	0.489862	7103	0.984795	5.000000	33219	0.624372	0.321693	0	0.000000	0.644040	0.642843	
33374	0.628483	2401	0.348188	7132	0.465648	7093	0.989003	5.000000	33374	0.628483	0.321693	0	0.000000	0.642940	0.642847	
33191	0.628423	2466	0.386050	7232	0.508158	7111	0.992687	5.000000	33191	0.628423	0.321693	0	0.000000	0.650880	0.643168	
33386	0.624453	2594	0.388204	7022	0.491883	6998	0.992141	5.000000	33386	0.624453	0.321693	0	0.000000	0.645040	0.643240	
33578	0.622402	2485	0.369014	7018	0.465375	6919	0.994508	5.000000	33578	0.622402	0.321693	0	0.000000	0.639260	0.643093	
33040	0.607022	2635	0.367362	7161	0.524787	7164	0.993439	5.000000	33040	0.607022	0.321693	0	0.000000	0.637980	0.642910	
33303	0.626460	2283	0.373631	7169	0.475799	7245	0.991166	5.000000	33303	0.626460	0.321693	0	0.000000	0.646160	0.643022	
33547	0.627061	2384	0.351091	7025	0.501352	7044	0.992902	5.000000	33547	0.627061	0.321693	0	0.000000	0.647780	0.643181	
33329	0.616250	2808	0.322293	7019	0.473714	6844	0.993133	5.000000	33329	0.616250	0.321693	0	0.000000	0.631320	0.642798	
32722	0.621019	2526	0.385194	7358	0.438706	7394	0.991750	5.000000	32722	0.621019	0.321693	0	0.000000	0.637100	0.642620	
33443	0.625213	2726	0.378210	6964	0.446439	6867	0.995049	5.000000	33443	0.625213	0.321693	0	0.000000	0.637640	0.642469	
32751	0.613569	3000	0.364667	7018	0.475349	7231	0.994330	5.000000	32751	0.613569	0.321693	0	0.000000	0.634300	0.642229	
33573	0.628154	2675	0.396262	6855	0.493654	6897	0.992026	5.000000	33573	0.628154	0.321693	0	0.000000	0.647500	0.642380	
33278	0.619358	2746	0.392571	6909	0.498625	7067	0.994623	5.000000	33278	0.619358	0.321693	0	0.000000	0.643260	0.642404	
33163	0.625637	2446	0.396566	7190	0.459805	7201	0.990973	5.000000	33163	0.625637	0.321693	0	0.000000	0.643200	0.642426	
33409	0.622287	2422	0.370768	7006	0.465030	7163	0.992182	5.000000	33409	0.622287	0.321693	0	0.000000	0.641060	0.642390	
33243	0.631020	2448	0.361520	7129	0.531351	7180	0.992897	5.000000	33243	0.631020	0.321693	0	0.000000	0.655580	0.642728	
33462	0.619718	2495	0.368737	7064	0.492214	6979	0.983235	5.000000	33462	0.619718	0.321693	0	0.000000	0.639920	0.642658	
33489	0.624205	2692	0.369614	6895	0.480493	6924	0.984835	5.000000	33489	0.624205	0.321693	0	0.000000	0.640620	0.642608	
33715	0.625686	2331	0.391248	6943	0.496903	7011	0.993724	5.000000	33715	0.625686	0.321693	0	0.000000	0.648480	0.642748	
33386	0.627299	2483	0.365284	7042	0.496592	7089	0.995345	5.000000	33386	0.627299	0.321693	0	0.000000	0.648060	0.642871	
33426	0.621762	2398	0.348207	7188	0.508765	6988	0.992416	5.000000	33426	0.621762	0.321693	0	0.000000	0.644200	0.642902	
33972	0.628253	2382	0.392947	6903	0.506736	6743	0.994661	5.000000	33972	0.628253	0.321693	0	0.000000	0.649680	0.643052	
33627	0.617956	2470	0.394737	6920	0.501012	6983	0.989976	5.000000	33627	0.617956	0.321693	0	0.000000	0.642700	0.643045	
33650	0.630045	2399	0.380992	6916	0.475709	7035	0.992608	5.000000	33650	0.630045	0.321693	0	0.000000	0.647760	0.643145	
33734	0.623436	2546	0.391595	6942	0.499568	6778	0.992328	5.000000	33734	0.623436	0.321693	0	0.000000	0.644440	0.643172	
33458	0.632315	2628	0.373668	6954	0.497412	6960	0.993966	5.000000	33458	0.632315	0.321693	0	0.000000	0.650300	0.643317	
