Rate	62.50
Rev Jump	12.50
Tree Move	12.50
Global Rate	12.50
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Global Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Global Rate - Dev	Global Rate - Tried	Global Rate - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
32059	0.455629	5089	0.247593	6437	0.751592	6415	0.958067	9.596853	32059	0.455629	0.923526	0	0.000000	0.537020	0.537029	
31795	0.619028	5176	0.238794	6512	0.753686	6517	0.943993	5.000000	31795	0.619028	0.923526	0	0.000000	0.639560	0.588294	
31663	0.622398	5206	0.255090	6576	0.761709	6555	0.951487	5.000000	31663	0.622398	0.923526	0	0.000000	0.645620	0.607403	
31850	0.613595	5152	0.227290	6438	0.745573	6560	0.963110	5.000000	31850	0.613595	0.923526	0	0.000000	0.636640	0.614712	
31975	0.623174	5063	0.248272	6398	0.756799	6564	0.941651	5.000000	31975	0.623174	0.923526	0	0.000000	0.644120	0.620594	
31845	0.620223	5157	0.241807	6395	0.762471	6603	0.936241	5.000000	31845	0.620223	0.923526	0	0.000000	0.641120	0.624015	
31820	0.624890	5251	0.250048	6492	0.786198	6437	0.934908	5.000000	31820	0.624890	0.923526	0	0.000000	0.646380	0.627210	
32014	0.629256	5182	0.250289	6389	0.769134	6415	0.935776	5.000000	32014	0.629256	0.923526	0	0.000000	0.647180	0.629706	
31836	0.625047	5193	0.245908	6447	0.764387	6524	0.944972	5.000000	31836	0.625047	0.923526	0	0.000000	0.645380	0.631447	
31463	0.621397	5271	0.245494	6442	0.781590	6824	0.928781	5.000000	31463	0.621397	0.923526	0	0.000000	0.644360	0.632739	
31928	0.625251	5211	0.246594	6446	0.767918	6415	0.962120	5.000000	31928	0.625251	0.923526	0	0.000000	0.647400	0.634072	
31456	0.624046	5351	0.240890	6651	0.754323	6542	0.938398	5.000000	31456	0.624046	0.923526	0	0.000000	0.641500	0.634691	
