Options:
Model:                           MultiState
Tree File Name:                  /panfs/panasas01/arch/sp16194/terminology-anc-state/data/utoaztecan.bttrees
Data File Name:                  /panfs/panasas01/arch/sp16194/terminology-anc-state/data/utoaztecan.btdata
Log File Name:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/utoaztecan/scale_trees2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2682945388
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      1000000000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/utoaztecan/scale_trees2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Character Symbols:               1,3,4,5
Using a covarion model:          False
Normalise Q Matrix:              True
Scale Tree:                      627.526411
Restrictions:
    q13                          RJ MCMC
    q14                          RJ MCMC
    q15                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q35                          RJ MCMC
    q41                          RJ MCMC
    q43                          RJ MCMC
    q45                          RJ MCMC
    q51                          RJ MCMC
    q53                          RJ MCMC
    q54                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        GlobalRate - uniform 0.00 100.00 
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       22
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	Global Rate	No Off Parmeters	No Off Zero	Model string	q13	q14	q15	q31	q34	q35	q41	q43	q45	q51	q53	q54	Root P(1)	Root P(3)	Root P(4)	Root P(5)	
50000	-12.486438	693	1.058719	1	4	'0 0 Z Z 0 0 0 0 0 Z 0 Z 	0.125000	0.125000	0.000000	0.000000	0.125000	0.125000	0.125000	0.125000	0.125000	0.000000	0.125000	0.000000	0.000039	0.000092	0.999868	0.000000	
100000	-12.128099	639	1.032969	1	6	'Z Z 0 Z Z 0 0 0 0 Z Z 0 	0.000000	0.000000	0.166667	0.000000	0.000000	0.166667	0.166667	0.166667	0.166667	0.000000	0.000000	0.166667	0.000000	0.000000	0.991734	0.008265	
150000	-11.102781	783	1.150767	1	6	'Z Z 0 Z 0 0 0 0 0 Z Z Z 	0.000000	0.000000	0.166667	0.000000	0.166667	0.166667	0.166667	0.166667	0.166667	0.000000	0.000000	0.000000	0.000000	0.000456	0.999544	0.000000	
200000	-11.855486	176	1.227010	1	6	'Z Z 0 Z Z 0 0 0 0 Z Z 0 	0.000000	0.000000	0.166667	0.000000	0.000000	0.166667	0.166667	0.166667	0.166667	0.000000	0.000000	0.166667	0.000000	0.000000	0.999810	0.000190	
250000	-13.495824	448	1.001372	1	2	'Z 0 Z 0 0 0 0 0 0 0 0 0 	0.000000	0.100000	0.000000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.000074	0.000170	0.994437	0.005319	
300000	-15.762730	185	0.952970	1	7	'0 0 Z Z Z Z 0 Z 0 Z Z 0 	0.200000	0.200000	0.000000	0.000000	0.000000	0.000000	0.200000	0.000000	0.200000	0.000000	0.000000	0.200000	0.000258	0.000000	0.993262	0.006480	
350000	-12.305406	667	1.171221	1	5	'Z 0 Z 0 Z Z 0 0 0 0 Z 0 	0.000000	0.142857	0.000000	0.142857	0.000000	0.000000	0.142857	0.142857	0.142857	0.142857	0.000000	0.142857	0.000112	0.000000	0.990872	0.009015	
400000	-12.520246	573	1.045554	1	3	'0 Z Z 0 0 0 0 0 0 0 0 Z 	0.111111	0.000000	0.000000	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.111111	0.000000	0.000000	0.000139	0.999861	0.000000	
450000	-13.828142	671	0.863259	1	8	'Z Z Z Z 0 Z Z 0 0 0 Z Z 	0.000000	0.000000	0.000000	0.000000	0.250000	0.000000	0.000000	0.250000	0.250000	0.250000	0.000000	0.000000	0.000000	0.000164	0.999836	0.000000	
500000	-13.983362	58	0.787501	1	2	'Z 0 0 0 0 0 0 0 0 Z 0 0 	0.000000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.100000	0.000000	0.100000	0.100000	0.000272	0.000064	0.996690	0.002974	
