Options:
Model:                           MultiState
Tree File Name:                  /panfs/panasas01/arch/sp16194/terminology-anc-state/data/utoaztecan.bttrees
Data File Name:                  /panfs/panasas01/arch/sp16194/terminology-anc-state/data/utoaztecan.btdata
Log File Name:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/utoaztecan/23-Oct-2017-09_59.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2442211186
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      1000000000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   /panfs/panasas01/arch/sp16194/terminology-anc-state/bt-output/utoaztecan/23-Oct-2017-09_59.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     12
Base frequency (PI's):           None
Character Symbols:               1,3,4,5
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q13                          RJ MCMC
    q14                          RJ MCMC
    q15                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q35                          RJ MCMC
    q41                          RJ MCMC
    q43                          RJ MCMC
    q45                          RJ MCMC
    q51                          RJ MCMC
    q53                          RJ MCMC
    q54                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       22
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	q13	q14	q15	q31	q34	q35	q41	q43	q45	q51	q53	q54	Root P(1)	Root P(3)	Root P(4)	Root P(5)	
50000	-12.649023	908	1	4	'Z 0 0 0 0 Z 0 0 0 0 Z Z 	0.000000	48.358630	48.358630	48.358630	48.358630	0.000000	48.358630	48.358630	48.358630	48.358630	0.000000	0.000000	0.000251	0.000070	0.999679	0.000000	
100000	-13.213732	392	1	7	'Z Z 0 Z 0 Z 0 0 0 Z Z Z 	0.000000	0.000000	58.608947	0.000000	58.608947	0.000000	58.608947	58.608947	58.608947	0.000000	0.000000	0.000000	0.000000	0.000033	0.999967	0.000000	
150000	-15.109001	267	1	3	'Z 0 Z 0 0 0 0 0 0 Z 0 0 	0.000000	25.312109	0.000000	25.312109	25.312109	25.312109	25.312109	25.312109	25.312109	0.000000	25.312109	25.312109	0.000000	0.000000	0.999999	0.000001	
200000	-13.896467	283	1	6	'Z Z Z Z Z 0 0 0 0 Z 0 0 	0.000000	0.000000	0.000000	0.000000	0.000000	40.246558	40.246558	40.246558	40.246558	0.000000	40.246558	40.246558	0.000000	0.000000	0.997339	0.002661	
250000	-13.206444	656	1	5	'Z Z 0 0 Z Z 0 0 0 0 Z 0 	0.000000	0.000000	42.519032	42.519032	0.000000	0.000000	42.519032	42.519032	42.519032	42.519032	0.000000	42.519032	0.000000	0.000000	0.998359	0.001641	
300000	-14.826616	725	1	4	'0 Z Z 0 Z 0 0 0 0 Z 0 0 	23.780835	0.000000	0.000000	23.780835	0.000000	23.780835	23.780835	23.780835	23.780835	0.000000	23.780835	23.780835	0.000000	0.000000	0.999999	0.000001	
350000	-14.492761	646	1	4	'Z 0 0 Z 0 Z 0 0 0 0 Z 0 	0.000000	36.558899	36.558899	0.000000	36.558899	0.000000	36.558899	36.558899	36.558899	36.558899	0.000000	36.558899	0.000115	0.000017	0.995981	0.003886	
400000	-12.098297	76	1	5	'0 0 0 Z Z Z 0 0 0 Z Z 0 	62.407802	62.407802	62.407802	0.000000	0.000000	0.000000	62.407802	62.407802	62.407802	0.000000	0.000000	62.407802	0.000289	0.000000	0.999415	0.000296	
450000	-13.743804	652	1	3	'Z Z 0 0 0 Z 0 0 0 0 0 0 	0.000000	0.000000	36.574084	36.574084	36.574084	0.000000	36.574084	36.574084	36.574084	36.574084	36.574084	36.574084	0.000000	0.000032	0.999928	0.000041	
500000	-16.356247	701	1	5	'0 0 Z Z 0 Z 0 0 0 Z 0 Z 	19.173057	19.173057	0.000000	0.000000	19.173057	0.000000	19.173057	19.173057	19.173057	0.000000	19.173057	0.000000	0.000002	0.000002	0.999995	0.000000	
550000	-11.847335	141	1	3	'0 Z Z Z 0 0 0 0 0 0 0 0 	78.642386	0.000000	0.000000	0.000000	78.642386	78.642386	78.642386	78.642386	78.642386	78.642386	78.642386	78.642386	0.000000	0.000157	0.995825	0.004018	
600000	-17.258455	818	1	6	'Z 0 Z 0 0 Z 0 0 0 Z Z Z 	0.000000	13.456291	0.000000	13.456291	13.456291	0.000000	13.456291	13.456291	13.456291	0.000000	0.000000	0.000000	0.000001	0.000001	0.999998	0.000000	
650000	-13.662505	764	1	7	'Z Z Z Z 0 Z 0 0 0 Z Z 0 	0.000000	0.000000	0.000000	0.000000	40.137909	0.000000	40.137909	40.137909	40.137909	0.000000	0.000000	40.137909	0.000000	0.000010	0.999270	0.000721	
700000	-14.649557	632	1	5	'Z Z Z Z 0 Z 0 0 0 0 0 0 	0.000000	0.000000	0.000000	0.000000	28.074311	0.000000	28.074311	28.074311	28.074311	28.074311	28.074311	28.074311	0.000000	0.000007	0.999770	0.000223	
750000	-12.697712	314	1	6	'0 Z 0 Z Z 0 0 0 0 Z Z Z 	61.835891	0.000000	61.835891	0.000000	0.000000	61.835891	61.835891	61.835891	61.835891	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
