Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
831	0.253911	169	0.674556	1.494113	831	0.253911	0.325000	0.280520	
847	0.237308	153	0.679739	1.494113	847	0.237308	0.305000	0.282560	
831	0.246691	169	0.656805	1.494113	831	0.246691	0.316000	0.285132	
809	0.249691	191	0.424084	1.494113	809	0.249691	0.283000	0.284980	
848	0.277123	152	0.513158	1.494113	848	0.277123	0.313000	0.286848	
812	0.266010	188	0.648936	1.494113	812	0.266010	0.338000	0.290044	
815	0.217178	185	0.621622	1.494113	815	0.217178	0.292000	0.290159	
821	0.231425	179	0.497207	1.494113	821	0.231425	0.279000	0.289539	
833	0.234094	167	0.598802	1.494113	833	0.234094	0.295000	0.289827	
849	0.246172	151	0.582781	1.494113	849	0.246172	0.297000	0.290185	
854	0.251756	146	0.513699	1.494113	854	0.251756	0.290000	0.290177	
836	0.265550	164	0.609756	1.494113	836	0.265550	0.322000	0.291623	
838	0.244630	162	0.629630	1.494113	838	0.244630	0.307000	0.292292	
838	0.273270	162	0.648148	1.494113	838	0.273270	0.334000	0.294029	
835	0.252695	165	0.551515	1.494113	835	0.252695	0.302000	0.294348	
845	0.273373	155	0.574194	1.494113	845	0.273373	0.320000	0.295335	
848	0.247642	152	0.651316	1.494113	848	0.247642	0.309000	0.295841	
842	0.233967	158	0.632911	1.494113	842	0.233967	0.297000	0.295882	
845	0.248521	155	0.548387	1.494113	845	0.248521	0.295000	0.295852	
838	0.247017	162	0.654321	1.494113	838	0.247017	0.313000	0.296423	
828	0.236715	172	0.563953	1.494113	828	0.236715	0.293000	0.296313	
808	0.283416	192	0.500000	1.494113	808	0.283416	0.325000	0.297209	
838	0.266110	162	0.487654	1.494113	838	0.266110	0.302000	0.297355	
829	0.255730	171	0.578947	1.494113	829	0.255730	0.311000	0.297756	
829	0.232811	171	0.573099	1.494113	829	0.232811	0.291000	0.297563	
827	0.266022	173	0.520231	1.494113	827	0.266022	0.310000	0.297908	
843	0.232503	157	0.707006	1.494113	843	0.232503	0.307000	0.298154	
810	0.288889	190	0.521053	1.494113	810	0.288889	0.333000	0.299071	
827	0.258767	173	0.450867	1.494113	827	0.258767	0.292000	0.298890	
803	0.275218	197	0.578680	1.494113	803	0.275218	0.335000	0.299793	
843	0.246738	157	0.707006	1.494113	843	0.246738	0.319000	0.300261	
841	0.273484	159	0.616352	1.494113	841	0.273484	0.328000	0.300921	
829	0.237636	171	0.608187	1.494113	829	0.237636	0.301000	0.300923	
841	0.254459	159	0.559748	1.494113	841	0.254459	0.303000	0.300970	
847	0.264463	153	0.588235	1.494113	847	0.264463	0.314000	0.301260	
825	0.261818	175	0.542857	1.494113	825	0.261818	0.311000	0.301472	
817	0.271726	183	0.732240	1.494113	817	0.271726	0.356000	0.302632	
822	0.257908	178	0.634831	1.494113	822	0.257908	0.325000	0.303098	
833	0.222089	167	0.634731	1.494113	833	0.222089	0.291000	0.302851	
844	0.259479	156	0.551282	1.494113	844	0.259479	0.305000	0.302894	
839	0.245530	161	0.652174	1.494113	839	0.245530	0.311000	0.303053	
847	0.250295	153	0.549020	1.494113	847	0.250295	0.296000	0.302917	
820	0.262195	180	0.627778	1.494113	820	0.262195	0.328000	0.303391	
822	0.254258	178	0.556180	1.494113	822	0.254258	0.308000	0.303476	
828	0.260870	172	0.616279	1.494113	828	0.260870	0.322000	0.303813	
839	0.247914	161	0.465839	1.494113	839	0.247914	0.283000	0.303441	
848	0.262972	152	0.513158	1.494113	848	0.262972	0.301000	0.303398	
812	0.222906	188	0.638298	1.494113	812	0.222906	0.301000	0.303357	
839	0.228844	161	0.503106	1.494113	839	0.228844	0.273000	0.302842	
817	0.241126	183	0.579235	1.494113	817	0.241126	0.303000	0.302845	
824	0.245146	176	0.619318	1.494113	824	0.245146	0.311000	0.302979	
812	0.252463	188	0.595745	1.494113	812	0.252463	0.317000	0.303205	
843	0.274021	157	0.611465	1.494113	843	0.274021	0.327000	0.303582	
842	0.256532	158	0.632911	1.494113	842	0.256532	0.316000	0.303777	
834	0.245803	166	0.548193	1.494113	834	0.245803	0.296000	0.303657	
837	0.242533	163	0.564417	1.494113	837	0.242533	0.295000	0.303526	
853	0.266120	147	0.585034	1.494113	853	0.266120	0.313000	0.303667	
827	0.217654	173	0.572254	1.494113	827	0.217654	0.279000	0.303304	
827	0.279323	173	0.450867	1.494113	827	0.279323	0.309000	0.303387	
832	0.262019	168	0.470238	1.494113	832	0.262019	0.297000	0.303296	
829	0.209891	171	0.561404	1.494113	829	0.209891	0.270000	0.302827	
842	0.242280	158	0.500000	1.494113	842	0.242280	0.283000	0.302551	
815	0.269939	185	0.572973	1.494113	815	0.269939	0.326000	0.302873	
814	0.256757	186	0.473118	1.494113	814	0.256757	0.297000	0.302793	
821	0.253350	179	0.726257	1.494113	821	0.253350	0.338000	0.303263	
824	0.257282	176	0.613636	1.494113	824	0.257282	0.320000	0.303483	
820	0.248780	180	0.483333	1.494113	820	0.248780	0.291000	0.303321	
832	0.250000	168	0.613095	1.494113	832	0.250000	0.311000	0.303419	
832	0.231971	168	0.601190	1.494113	832	0.231971	0.294000	0.303300	
829	0.244873	171	0.538012	1.494113	829	0.244873	0.295000	0.303196	
842	0.235154	158	0.601266	1.494113	842	0.235154	0.293000	0.303070	
841	0.247325	159	0.471698	1.494113	841	0.247325	0.283000	0.302826	
830	0.216867	170	0.505882	1.494113	830	0.216867	0.266000	0.302382	
843	0.226572	157	0.566879	1.494113	843	0.226572	0.280000	0.302115	
817	0.231334	183	0.633880	1.494113	817	0.231334	0.305000	0.302149	
839	0.238379	161	0.639752	1.494113	839	0.238379	0.303000	0.302159	
832	0.260817	168	0.523810	1.494113	832	0.260817	0.305000	0.302192	
835	0.239521	165	0.539394	1.494113	835	0.239521	0.289000	0.302042	
836	0.212919	164	0.579268	1.494113	836	0.212919	0.273000	0.301716	
840	0.242857	160	0.400000	1.494113	840	0.242857	0.268000	0.301341	
835	0.277844	165	0.557576	1.494113	835	0.277844	0.324000	0.301590	
837	0.230585	163	0.521472	1.494113	837	0.230585	0.278000	0.301334	
835	0.267066	165	0.612121	1.494113	835	0.267066	0.324000	0.301577	
826	0.268765	174	0.517241	1.494113	826	0.268765	0.312000	0.301688	
822	0.234793	178	0.505618	1.494113	822	0.234793	0.283000	0.301492	
826	0.284504	174	0.586207	1.494113	826	0.284504	0.337000	0.301861	
829	0.264174	171	0.573099	1.494113	829	0.264174	0.317000	0.302018	
830	0.212048	170	0.711765	1.494113	830	0.212048	0.297000	0.301966	
826	0.248184	174	0.557471	1.494113	826	0.248184	0.302000	0.301967	
850	0.255294	150	0.506667	1.494113	850	0.255294	0.293000	0.301877	
838	0.279236	162	0.623457	1.494113	838	0.279236	0.335000	0.302205	
826	0.240920	174	0.574713	1.494113	826	0.240920	0.299000	0.302174	
