Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.124639	-1.124639
1	0.950747	750	-1.179709	-2.304348
2	0.926679	750	-1.131063	-3.435411
3	0.902980	750	-1.126361	-4.561771
4	0.879648	750	-1.088421	-5.650192
5	0.856682	750	-1.101537	-6.751729
6	0.834079	750	-1.076415	-7.828144
7	0.811838	750	-1.078409	-8.906553
8	0.789957	750	-1.052960	-9.959512
9	0.768433	750	-1.035833	-10.995345
10	0.747266	750	-1.013878	-12.009224
11	0.726452	750	-1.004277	-13.013500
12	0.705989	750	-1.003878	-14.017379
13	0.685877	750	-0.974472	-14.991851
14	0.666112	750	-0.950980	-15.942831
15	0.646693	750	-0.943695	-16.886526
16	0.627618	750	-0.946541	-17.833067
17	0.608884	750	-0.898084	-18.731151
18	0.590490	750	-0.908510	-19.639661
19	0.572433	750	-0.890314	-20.529975
20	0.554712	750	-0.858912	-21.388887
21	0.537324	750	-0.852191	-22.241078
22	0.520268	750	-0.838280	-23.079358
23	0.503540	750	-0.825115	-23.904473
24	0.487139	750	-0.799759	-24.704232
25	0.471063	750	-0.805420	-25.509652
26	0.455310	750	-0.779646	-26.289298
27	0.439877	750	-0.769812	-27.059110
28	0.424762	750	-0.770953	-27.830062
29	0.409963	750	-0.744743	-28.574805
30	0.395478	750	-0.722118	-29.296923
31	0.381305	750	-0.726448	-30.023371
32	0.367440	750	-0.697603	-30.720974
33	0.353883	750	-0.697844	-31.418819
34	0.340630	750	-0.684180	-32.102999
35	0.327680	750	-0.654416	-32.757416
36	0.315030	750	-0.645190	-33.402605
37	0.302677	750	-0.653327	-34.055932
38	0.290619	750	-0.623509	-34.679441
39	0.278855	750	-0.605004	-35.284445
40	0.267381	750	-0.598361	-35.882806
41	0.256195	750	-0.573963	-36.456770
42	0.245294	750	-0.570481	-37.027251
43	0.234677	750	-0.562389	-37.589640
44	0.224340	750	-0.550850	-38.140490
45	0.214281	750	-0.540230	-38.680720
46	0.204498	750	-0.521784	-39.202504
47	0.194988	750	-0.506217	-39.708721
48	0.185749	750	-0.497761	-40.206482
49	0.176777	750	-0.490870	-40.697352
50	0.168070	750	-0.461439	-41.158791
51	0.159626	750	-0.462583	-41.621373
52	0.151441	750	-0.449553	-42.070927
53	0.143514	750	-0.437716	-42.508643
54	0.135841	750	-0.420488	-42.929131
55	0.128420	750	-0.411887	-43.341018
56	0.121247	750	-0.401248	-43.742266
57	0.114320	750	-0.403372	-44.145638
58	0.107637	750	-0.408566	-44.554204
59	0.101193	750	-0.392344	-44.946547
60	0.094986	750	-0.372647	-45.319194
61	0.089014	750	-0.353684	-45.672878
62	0.083273	750	-0.354562	-46.027441
63	0.077760	750	-0.332801	-46.360242
64	0.072472	750	-0.316586	-46.676828
65	0.067406	750	-0.314125	-46.990953
66	0.062558	750	-0.313614	-47.304567
67	0.057926	750	-0.303992	-47.608559
68	0.053506	750	-0.281524	-47.890082
69	0.049295	750	-0.280271	-48.170353
70	0.045289	750	-0.261231	-48.431584
71	0.041485	750	-0.275670	-48.707254
72	0.037880	750	-0.245779	-48.953033
73	0.034469	750	-0.244671	-49.197704
74	0.031250	750	-0.237041	-49.434745
75	0.028218	750	-0.255670	-49.690416
76	0.025370	750	-0.207347	-49.897763
77	0.022702	750	-0.228886	-50.126649
78	0.020209	750	-0.217472	-50.344121
79	0.017889	750	-0.225241	-50.569362
80	0.015736	750	-0.218981	-50.788343
81	0.013746	750	-0.175949	-50.964292
82	0.011916	750	-0.180759	-51.145051
83	0.010240	750	-0.168999	-51.314049
84	0.008714	750	-0.159266	-51.473315
85	0.007334	750	-0.144033	-51.617348
86	0.006093	750	-0.112289	-51.729637
87	0.004988	750	-0.134831	-51.864468
88	0.004013	750	-0.113717	-51.978184
89	0.003162	750	-0.096774	-52.074959
90	0.002430	750	-0.081717	-52.156676
91	0.001810	750	-0.071979	-52.228655
92	0.001296	750	-0.071259	-52.299914
93	0.000882	750	-0.050796	-52.350710
94	0.000559	750	-0.046409	-52.397118
95	0.000320	750	-0.033471	-52.430589
96	0.000156	750	-0.021738	-52.452327
97	0.000057	750	-0.012578	-52.464905
98	0.000010	750	-0.005898	-52.470803
99	0.000000	750	-0.001304	-52.472107
Log marginal likelihood:	-52.472107
