Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
856	0.311916	144	0.701389	1.756677	856	0.311916	0.368000	0.370255	
833	0.276110	167	0.778443	1.756677	833	0.276110	0.360000	0.370255	
842	0.292162	158	0.797468	1.756677	842	0.292162	0.372000	0.370255	
841	0.312723	159	0.660377	1.756677	841	0.312723	0.368000	0.370255	
837	0.324970	163	0.773006	1.756677	837	0.324970	0.398000	0.370255	
812	0.318966	188	0.755319	1.756677	812	0.318966	0.401000	0.370256	
865	0.328324	135	0.659259	1.756677	865	0.328324	0.373000	0.370256	
832	0.307692	168	0.720238	1.756677	832	0.307692	0.377000	0.370256	
846	0.294326	154	0.714286	1.756677	846	0.294326	0.359000	0.370256	
861	0.281069	139	0.683453	1.756677	861	0.281069	0.337000	0.370255	
824	0.304612	176	0.761364	1.756677	824	0.304612	0.385000	0.370256	
829	0.317250	171	0.801170	1.756677	829	0.317250	0.400000	0.370256	
828	0.322464	172	0.750000	1.756677	828	0.322464	0.396000	0.370257	
830	0.315663	170	0.717647	1.756677	830	0.315663	0.384000	0.370257	
828	0.323671	172	0.761628	1.756677	828	0.323671	0.399000	0.370257	
846	0.322695	154	0.753247	1.756677	846	0.322695	0.389000	0.370258	
843	0.285884	157	0.783439	1.756677	843	0.285884	0.364000	0.370258	
828	0.307971	172	0.598837	1.756677	828	0.307971	0.358000	0.370257	
855	0.316959	145	0.779310	1.756677	855	0.316959	0.384000	0.370258	
834	0.292566	166	0.789157	1.756677	834	0.292566	0.375000	0.370258	
807	0.277571	193	0.715026	1.756677	807	0.277571	0.362000	0.370257	
849	0.320377	151	0.821192	1.756677	849	0.320377	0.396000	0.370258	
818	0.295844	182	0.730769	1.756677	818	0.295844	0.375000	0.370258	
841	0.298454	159	0.710692	1.756677	841	0.298454	0.364000	0.370258	
852	0.289906	148	0.729730	1.756677	852	0.289906	0.355000	0.370258	
838	0.315036	162	0.759259	1.756677	838	0.315036	0.387000	0.370258	
831	0.283995	169	0.715976	1.756677	831	0.283995	0.357000	0.370258	
