Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-2.086083	-2.086083
1	0.950747	750	-2.001009	-4.087091
2	0.926679	750	-2.014316	-6.101407
3	0.902980	750	-1.989039	-8.090446
4	0.879648	750	-1.980538	-10.070984
5	0.856682	750	-1.944714	-12.015698
6	0.834079	750	-1.914385	-13.930082
7	0.811838	750	-1.874312	-15.804394
8	0.789957	750	-1.835160	-17.639554
9	0.768433	750	-1.836580	-19.476134
10	0.747266	750	-1.831433	-21.307567
11	0.726452	750	-1.761279	-23.068846
12	0.705989	750	-1.740001	-24.808847
13	0.685877	750	-1.731165	-26.540013
14	0.666112	750	-1.697171	-28.237184
15	0.646693	750	-1.640724	-29.877907
16	0.627618	750	-1.645442	-31.523349
17	0.608884	750	-1.563780	-33.087129
18	0.590490	750	-1.588767	-34.675896
19	0.572433	750	-1.563414	-36.239311
20	0.554712	750	-1.506235	-37.745545
21	0.537324	750	-1.474827	-39.220373
22	0.520268	750	-1.455131	-40.675504
23	0.503540	750	-1.433700	-42.109203
24	0.487139	750	-1.413866	-43.523069
25	0.471063	750	-1.387668	-44.910737
26	0.455310	750	-1.372426	-46.283163
27	0.439877	750	-1.344786	-47.627950
28	0.424762	750	-1.323253	-48.951203
29	0.409963	750	-1.281167	-50.232370
30	0.395478	750	-1.266406	-51.498776
31	0.381305	750	-1.244279	-52.743055
32	0.367440	750	-1.211992	-53.955048
33	0.353883	750	-1.190049	-55.145097
34	0.340630	750	-1.166281	-56.311378
35	0.327680	750	-1.151418	-57.462795
36	0.315030	750	-1.118216	-58.581012
37	0.302677	750	-1.086523	-59.667535
38	0.290619	750	-1.054874	-60.722409
39	0.278855	750	-1.046125	-61.768533
40	0.267381	750	-1.034736	-62.803269
41	0.256195	750	-0.992876	-63.796145
42	0.245294	750	-0.958485	-64.754630
43	0.234677	750	-0.978299	-65.732930
44	0.224340	750	-0.919025	-66.651955
45	0.214281	750	-0.902339	-67.554294
46	0.204498	750	-0.882924	-68.437218
47	0.194988	750	-0.864955	-69.302173
48	0.185749	750	-0.834582	-70.136755
49	0.176777	750	-0.814905	-70.951660
50	0.168070	750	-0.805695	-71.757355
51	0.159626	750	-0.793234	-72.550588
52	0.151441	750	-0.748669	-73.299258
53	0.143514	750	-0.736479	-74.035737
54	0.135841	750	-0.704022	-74.739759
55	0.128420	750	-0.726125	-75.465884
56	0.121247	750	-0.682117	-76.148001
57	0.114320	750	-0.662888	-76.810889
58	0.107637	750	-0.630465	-77.441354
59	0.101193	750	-0.610283	-78.051637
60	0.094986	750	-0.604618	-78.656255
61	0.089014	750	-0.585677	-79.241932
62	0.083273	750	-0.552046	-79.793977
63	0.077760	750	-0.537394	-80.331371
64	0.072472	750	-0.526297	-80.857668
65	0.067406	750	-0.516493	-81.374161
66	0.062558	750	-0.484017	-81.858178
67	0.057926	750	-0.476216	-82.334395
68	0.053506	750	-0.453633	-82.788028
69	0.049295	750	-0.428258	-83.216286
70	0.045289	750	-0.432896	-83.649182
71	0.041485	750	-0.387777	-84.036959
72	0.037880	750	-0.387260	-84.424219
73	0.034469	750	-0.370758	-84.794977
74	0.031250	750	-0.352951	-85.147928
75	0.028218	750	-0.326453	-85.474382
76	0.025370	750	-0.317893	-85.792274
77	0.022702	750	-0.294297	-86.086571
78	0.020209	750	-0.259801	-86.346372
79	0.017889	750	-0.263892	-86.610264
80	0.015736	750	-0.243798	-86.854062
81	0.013746	750	-0.231553	-87.085615
82	0.011916	750	-0.222523	-87.308138
83	0.010240	750	-0.189320	-87.497458
84	0.008714	750	-0.190683	-87.688141
85	0.007334	750	-0.183998	-87.872139
86	0.006093	750	-0.150569	-88.022707
87	0.004988	750	-0.141377	-88.164084
88	0.004013	750	-0.127571	-88.291656
89	0.003162	750	-0.098149	-88.389804
90	0.002430	750	-0.089976	-88.479780
91	0.001810	750	-0.084366	-88.564147
92	0.001296	750	-0.062531	-88.626678
93	0.000882	750	-0.052225	-88.678903
94	0.000559	750	-0.040181	-88.719084
95	0.000320	750	-0.028652	-88.747736
96	0.000156	750	-0.022279	-88.770015
97	0.000057	750	-0.013208	-88.783223
98	0.000010	750	-0.006052	-88.789275
99	0.000000	750	-0.001325	-88.790600
Log marginal likelihood:	-88.790600
