Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/austronesian-eskimo-nuclear.families.bttrees
Data File Name:                  ./data/austronesian-eskimo-nuclear.families.btdata
Log File Name:                   ./output/austronesian-eskimo-nuclear.families-indep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            845010451
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/austronesian-eskimo-nuclear.families-indep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.530120,0.301205,0.036145,0.132530)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.085485
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       83
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-83.592832	467	0.329850	2.959422	3.705280	2.816049	0.049999	0.013787	0.336835	0.599379	
12000	-85.925659	446	0.536692	4.903243	1.873824	4.111622	0.035445	0.070192	0.064905	0.829458	
13000	-82.461962	357	0.029578	2.556612	3.769043	4.852242	0.001932	0.001366	0.179123	0.817579	
14000	-82.775048	139	0.158208	3.576794	5.489362	4.157170	0.010068	0.004467	0.255109	0.730357	
15000	-83.872651	398	0.058491	2.829220	11.382983	12.470942	0.000166	0.000094	0.214256	0.785483	
16000	-81.560284	568	0.019998	2.345655	4.813513	3.678913	0.003534	0.001375	0.283398	0.711693	
17000	-83.901204	678	0.174855	3.952644	4.744788	7.309287	0.039878	0.024268	0.189936	0.745919	
18000	-84.841873	265	0.338819	5.677738	4.176966	4.037099	0.036709	0.018173	0.225311	0.719807	
19000	-82.410146	848	0.403255	2.645600	3.856034	3.848637	0.065859	0.034040	0.207612	0.692489	
20000	-82.437907	711	0.184720	2.293778	5.874238	6.143719	0.009299	0.005279	0.211312	0.774111	
21000	-82.948689	383	0.066080	2.484982	7.380041	8.604858	0.016781	0.009575	0.207956	0.765688	
22000	-86.551244	294	0.142110	3.437357	3.904131	0.528708	0.094275	0.000285	0.888105	0.017336	
23000	-81.642350	168	0.005617	3.099288	1.398345	2.523996	0.000132	0.000234	0.080112	0.919522	
24000	-83.361063	430	0.012302	2.537440	1.482946	1.815982	0.001290	0.000829	0.193830	0.804051	
25000	-87.308228	569	1.324727	2.027710	4.093474	4.958816	0.565876	0.367036	0.012937	0.054151	
