Steppingstone sampler:
        No Stones:                  100
        Start It:                   10050001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-2.477202	-2.477202
1	0.950747	750	-2.449548	-4.926750
2	0.926679	750	-2.402152	-7.328901
3	0.902980	750	-2.372585	-9.701487
4	0.879648	750	-2.350318	-12.051805
5	0.856682	750	-2.294692	-14.346497
6	0.834079	750	-2.265231	-16.611728
7	0.811838	750	-2.211140	-18.822868
8	0.789957	750	-2.183522	-21.006390
9	0.768433	750	-2.161460	-23.167850
10	0.747266	750	-2.127504	-25.295355
11	0.726452	750	-2.103882	-27.399237
12	0.705989	750	-2.052529	-29.451766
13	0.685877	750	-2.038800	-31.490566
14	0.666112	750	-1.985093	-33.475659
15	0.646693	750	-1.968181	-35.443840
16	0.627618	750	-1.926366	-37.370207
17	0.608884	750	-1.885118	-39.255325
18	0.590490	750	-1.849144	-41.104469
19	0.572433	750	-1.820126	-42.924595
20	0.554712	750	-1.783188	-44.707783
21	0.537324	750	-1.761397	-46.469181
22	0.520268	750	-1.726994	-48.196175
23	0.503540	750	-1.702978	-49.899153
24	0.487139	750	-1.652021	-51.551174
25	0.471063	750	-1.646149	-53.197323
26	0.455310	750	-1.602610	-54.799933
27	0.439877	750	-1.567398	-56.367330
28	0.424762	750	-1.549455	-57.916785
29	0.409963	750	-1.530409	-59.447195
30	0.395478	750	-1.472161	-60.919356
31	0.381305	750	-1.455713	-62.375069
32	0.367440	750	-1.442562	-63.817631
33	0.353883	750	-1.390777	-65.208409
34	0.340630	750	-1.359780	-66.568188
35	0.327680	750	-1.324413	-67.892602
36	0.315030	750	-1.299080	-69.191682
37	0.302677	750	-1.285285	-70.476967
38	0.290619	750	-1.254093	-71.731060
39	0.278855	750	-1.221034	-72.952094
40	0.267381	750	-1.188195	-74.140289
41	0.256195	750	-1.153772	-75.294061
42	0.245294	750	-1.138482	-76.432542
43	0.234677	750	-1.129490	-77.562033
44	0.224340	750	-1.103728	-78.665760
45	0.214281	750	-1.046732	-79.712492
46	0.204498	750	-1.027694	-80.740186
47	0.194988	750	-0.994006	-81.734192
48	0.185749	750	-0.971172	-82.705364
49	0.176777	750	-0.952476	-83.657840
50	0.168070	750	-0.917717	-84.575556
51	0.159626	750	-0.939855	-85.515411
52	0.151441	750	-0.876756	-86.392167
53	0.143514	750	-0.866193	-87.258360
54	0.135841	750	-0.829240	-88.087600
55	0.128420	750	-0.793951	-88.881552
56	0.121247	750	-0.770046	-89.651598
57	0.114320	750	-0.757811	-90.409409
58	0.107637	750	-0.744811	-91.154220
59	0.101193	750	-0.705022	-91.859242
60	0.094986	750	-0.693706	-92.552947
61	0.089014	750	-0.660022	-93.212969
62	0.083273	750	-0.646740	-93.859709
63	0.077760	750	-0.633564	-94.493273
64	0.072472	750	-0.577001	-95.070274
65	0.067406	750	-0.576595	-95.646869
66	0.062558	750	-0.545280	-96.192150
67	0.057926	750	-0.531120	-96.723269
68	0.053506	750	-0.519003	-97.242272
69	0.049295	750	-0.510818	-97.753091
70	0.045289	750	-0.474266	-98.227357
71	0.041485	750	-0.442990	-98.670347
72	0.037880	750	-0.426895	-99.097242
73	0.034469	750	-0.420190	-99.517431
74	0.031250	750	-0.384723	-99.902154
75	0.028218	750	-0.373534	-100.275688
76	0.025370	750	-0.352299	-100.627987
77	0.022702	750	-0.344323	-100.972310
78	0.020209	750	-0.316524	-101.288834
79	0.017889	750	-0.273773	-101.562607
80	0.015736	750	-0.288006	-101.850613
81	0.013746	750	-0.255377	-102.105990
82	0.011916	750	-0.224636	-102.330626
83	0.010240	750	-0.229402	-102.560028
84	0.008714	750	-0.206019	-102.766047
85	0.007334	750	-0.166141	-102.932187
86	0.006093	750	-0.154756	-103.086943
87	0.004988	750	-0.153815	-103.240758
88	0.004013	750	-0.135012	-103.375769
89	0.003162	750	-0.120838	-103.496607
90	0.002430	750	-0.100375	-103.596982
91	0.001810	750	-0.079962	-103.676944
92	0.001296	750	-0.069025	-103.745968
93	0.000882	750	-0.057406	-103.803375
94	0.000559	750	-0.043418	-103.846793
95	0.000320	750	-0.033652	-103.880445
96	0.000156	750	-0.023088	-103.903533
97	0.000057	750	-0.013222	-103.916755
98	0.000010	750	-0.006466	-103.923221
99	0.000000	750	-0.001502	-103.924723
Log marginal likelihood:	-103.924723
