Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-2.138947	-2.138947
1	0.950747	750	-2.063479	-4.202426
2	0.926679	750	-2.054704	-6.257130
3	0.902980	750	-2.006151	-8.263281
4	0.879648	750	-1.983911	-10.247192
5	0.856682	750	-1.959205	-12.206397
6	0.834079	750	-1.925441	-14.131838
7	0.811838	750	-1.890619	-16.022458
8	0.789957	750	-1.871921	-17.894378
9	0.768433	750	-1.833772	-19.728151
10	0.747266	750	-1.810966	-21.539117
11	0.726452	750	-1.791420	-23.330537
12	0.705989	750	-1.758306	-25.088843
13	0.685877	750	-1.713898	-26.802741
14	0.666112	750	-1.721810	-28.524551
15	0.646693	750	-1.664314	-30.188866
16	0.627618	750	-1.639263	-31.828129
17	0.608884	750	-1.613798	-33.441926
18	0.590490	750	-1.594385	-35.036312
19	0.572433	750	-1.558460	-36.594771
20	0.554712	750	-1.523163	-38.117934
21	0.537324	750	-1.525799	-39.643733
22	0.520268	750	-1.484979	-41.128712
23	0.503540	750	-1.447389	-42.576101
24	0.487139	750	-1.410827	-43.986927
25	0.471063	750	-1.415677	-45.402604
26	0.455310	750	-1.383277	-46.785880
27	0.439877	750	-1.356145	-48.142025
28	0.424762	750	-1.323775	-49.465801
29	0.409963	750	-1.289404	-50.755204
30	0.395478	750	-1.257806	-52.013010
31	0.381305	750	-1.249939	-53.262949
32	0.367440	750	-1.215669	-54.478617
33	0.353883	750	-1.186024	-55.664641
34	0.340630	750	-1.164033	-56.828674
35	0.327680	750	-1.157065	-57.985739
36	0.315030	750	-1.131091	-59.116830
37	0.302677	750	-1.111775	-60.228605
38	0.290619	750	-1.072867	-61.301472
39	0.278855	750	-1.055055	-62.356527
40	0.267381	750	-1.013255	-63.369781
41	0.256195	750	-1.017239	-64.387020
42	0.245294	750	-0.978922	-65.365942
43	0.234677	750	-0.962523	-66.328464
44	0.224340	750	-0.918254	-67.246719
45	0.214281	750	-0.935372	-68.182090
46	0.204498	750	-0.895818	-69.077908
47	0.194988	750	-0.854923	-69.932831
48	0.185749	750	-0.860353	-70.793184
49	0.176777	750	-0.847542	-71.640726
50	0.168070	750	-0.802305	-72.443031
51	0.159626	750	-0.804625	-73.247656
52	0.151441	750	-0.748557	-73.996214
53	0.143514	750	-0.746825	-74.743039
54	0.135841	750	-0.713728	-75.456767
55	0.128420	750	-0.686925	-76.143691
56	0.121247	750	-0.693059	-76.836750
57	0.114320	750	-0.645306	-77.482056
58	0.107637	750	-0.645326	-78.127382
59	0.101193	750	-0.615015	-78.742396
60	0.094986	750	-0.615728	-79.358124
61	0.089014	750	-0.574382	-79.932506
62	0.083273	750	-0.570722	-80.503228
63	0.077760	750	-0.535850	-81.039077
64	0.072472	750	-0.496302	-81.535379
65	0.067406	750	-0.495346	-82.030725
66	0.062558	750	-0.479088	-82.509813
67	0.057926	750	-0.461763	-82.971576
68	0.053506	750	-0.441826	-83.413401
69	0.049295	750	-0.425079	-83.838480
70	0.045289	750	-0.413103	-84.251583
71	0.041485	750	-0.395014	-84.646597
72	0.037880	750	-0.392687	-85.039284
73	0.034469	750	-0.352617	-85.391900
74	0.031250	750	-0.338770	-85.730670
75	0.028218	750	-0.358019	-86.088690
76	0.025370	750	-0.314361	-86.403051
77	0.022702	750	-0.292352	-86.695403
78	0.020209	750	-0.277873	-86.973276
79	0.017889	750	-0.260750	-87.234027
80	0.015736	750	-0.241790	-87.475816
81	0.013746	750	-0.245632	-87.721449
82	0.011916	750	-0.213045	-87.934493
83	0.010240	750	-0.199525	-88.134018
84	0.008714	750	-0.199276	-88.333294
85	0.007334	750	-0.163520	-88.496815
86	0.006093	750	-0.151534	-88.648348
87	0.004988	750	-0.124151	-88.772499
88	0.004013	750	-0.123283	-88.895782
89	0.003162	750	-0.100615	-88.996397
90	0.002430	750	-0.089036	-89.085433
91	0.001810	750	-0.076644	-89.162077
92	0.001296	750	-0.063607	-89.225685
93	0.000882	750	-0.047480	-89.273165
94	0.000559	750	-0.042611	-89.315776
95	0.000320	750	-0.029653	-89.345429
96	0.000156	750	-0.021577	-89.367006
97	0.000057	750	-0.013278	-89.380284
98	0.000010	750	-0.005941	-89.386225
99	0.000000	750	-0.001289	-89.387514
Log marginal likelihood:	-89.387514
