Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-2.256279	-2.256279
1	0.950747	750	-2.245703	-4.501982
2	0.926679	750	-2.198979	-6.700961
3	0.902980	750	-2.154514	-8.855475
4	0.879648	750	-2.137800	-10.993275
5	0.856682	750	-2.083402	-13.076677
6	0.834079	750	-2.071755	-15.148432
7	0.811838	750	-2.026123	-17.174555
8	0.789957	750	-2.015248	-19.189803
9	0.768433	750	-1.968098	-21.157902
10	0.747266	750	-1.934865	-23.092766
11	0.726452	750	-1.894867	-24.987634
12	0.705989	750	-1.867856	-26.855490
13	0.685877	750	-1.851776	-28.707266
14	0.666112	750	-1.811364	-30.518630
15	0.646693	750	-1.770350	-32.288981
16	0.627618	750	-1.755118	-34.044099
17	0.608884	750	-1.727090	-35.771188
18	0.590490	750	-1.692559	-37.463747
19	0.572433	750	-1.675967	-39.139715
20	0.554712	750	-1.635016	-40.774731
21	0.537324	750	-1.601905	-42.376636
22	0.520268	750	-1.578241	-43.954877
23	0.503540	750	-1.543849	-45.498726
24	0.487139	750	-1.524037	-47.022763
25	0.471063	750	-1.475344	-48.498107
26	0.455310	750	-1.451545	-49.949652
27	0.439877	750	-1.424817	-51.374469
28	0.424762	750	-1.401243	-52.775712
29	0.409963	750	-1.376400	-54.152112
30	0.395478	750	-1.379530	-55.531641
31	0.381305	750	-1.319830	-56.851471
32	0.367440	750	-1.291412	-58.142883
33	0.353883	750	-1.266238	-59.409121
34	0.340630	750	-1.229452	-60.638573
35	0.327680	750	-1.211181	-61.849754
36	0.315030	750	-1.183036	-63.032790
37	0.302677	750	-1.150822	-64.183612
38	0.290619	750	-1.133790	-65.317402
39	0.278855	750	-1.102119	-66.419521
40	0.267381	750	-1.082056	-67.501577
41	0.256195	750	-1.057496	-68.559072
42	0.245294	750	-1.016935	-69.576007
43	0.234677	750	-0.999220	-70.575228
44	0.224340	750	-0.971777	-71.547005
45	0.214281	750	-0.968427	-72.515432
46	0.204498	750	-0.930571	-73.446004
47	0.194988	750	-0.898133	-74.344137
48	0.185749	750	-0.892340	-75.236477
49	0.176777	750	-0.845284	-76.081760
50	0.168070	750	-0.838911	-76.920671
51	0.159626	750	-0.812980	-77.733651
52	0.151441	750	-0.786629	-78.520280
53	0.143514	750	-0.763144	-79.283424
54	0.135841	750	-0.750176	-80.033600
55	0.128420	750	-0.725982	-80.759582
56	0.121247	750	-0.705859	-81.465441
57	0.114320	750	-0.682177	-82.147618
58	0.107637	750	-0.661874	-82.809492
59	0.101193	750	-0.641329	-83.450821
60	0.094986	750	-0.613413	-84.064234
61	0.089014	750	-0.601806	-84.666040
62	0.083273	750	-0.565231	-85.231271
63	0.077760	750	-0.566653	-85.797924
64	0.072472	750	-0.541447	-86.339371
65	0.067406	750	-0.515660	-86.855030
66	0.062558	750	-0.496770	-87.351800
67	0.057926	750	-0.472681	-87.824481
68	0.053506	750	-0.463810	-88.288291
69	0.049295	750	-0.448034	-88.736325
70	0.045289	750	-0.416652	-89.152977
71	0.041485	750	-0.397096	-89.550073
72	0.037880	750	-0.381162	-89.931236
73	0.034469	750	-0.354031	-90.285267
74	0.031250	750	-0.348967	-90.634233
75	0.028218	750	-0.332262	-90.966495
76	0.025370	750	-0.312826	-91.279321
77	0.022702	750	-0.301194	-91.580515
78	0.020209	750	-0.296563	-91.877078
79	0.017889	750	-0.267992	-92.145070
80	0.015736	750	-0.242428	-92.387498
81	0.013746	750	-0.246571	-92.634069
82	0.011916	750	-0.215387	-92.849455
83	0.010240	750	-0.201319	-93.050774
84	0.008714	750	-0.184535	-93.235309
85	0.007334	750	-0.162476	-93.397784
86	0.006093	750	-0.158799	-93.556583
87	0.004988	750	-0.149233	-93.705816
88	0.004013	750	-0.117530	-93.823346
89	0.003162	750	-0.106192	-93.929538
90	0.002430	750	-0.097603	-94.027141
91	0.001810	750	-0.082296	-94.109437
92	0.001296	750	-0.065044	-94.174481
93	0.000882	750	-0.056697	-94.231178
94	0.000559	750	-0.044157	-94.275335
95	0.000320	750	-0.029330	-94.304665
96	0.000156	750	-0.022176	-94.326841
97	0.000057	750	-0.012489	-94.339330
98	0.000010	750	-0.006388	-94.345718
99	0.000000	750	-0.001363	-94.347081
Log marginal likelihood:	-94.347081
