Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
849	0.208481	151	0.688742	1.577307	849	0.208481	0.281000	0.247523	
831	0.279182	169	0.739645	1.577307	831	0.279182	0.357000	0.256645	
846	0.242317	154	0.870130	1.577307	846	0.242317	0.339000	0.262980	
815	0.267485	185	0.805405	1.577307	815	0.267485	0.367000	0.270409	
838	0.254177	162	0.648148	1.577307	838	0.254177	0.318000	0.273582	
820	0.260976	180	0.755556	1.577307	820	0.260976	0.350000	0.278358	
846	0.265957	154	0.720779	1.577307	846	0.265957	0.336000	0.281748	
844	0.296209	156	0.762821	1.577307	844	0.296209	0.369000	0.286595	
828	0.283816	172	0.627907	1.577307	828	0.283816	0.343000	0.289564	
820	0.269512	180	0.733333	1.577307	820	0.269512	0.353000	0.292735	
840	0.273810	160	0.718750	1.577307	840	0.273810	0.345000	0.295224	
838	0.288783	162	0.753086	1.577307	838	0.288783	0.364000	0.298350	
832	0.241587	168	0.761905	1.577307	832	0.241587	0.329000	0.299683	
840	0.283333	160	0.731250	1.577307	840	0.283333	0.355000	0.301987	
843	0.275208	157	0.675159	1.577307	843	0.275208	0.338000	0.303428	
830	0.267470	170	0.764706	1.577307	830	0.267470	0.352000	0.305296	
838	0.275656	162	0.728395	1.577307	838	0.275656	0.349000	0.306915	
837	0.255675	163	0.773006	1.577307	837	0.255675	0.340000	0.308096	
852	0.271127	148	0.777027	1.577307	852	0.271127	0.346000	0.309403	
826	0.261501	174	0.729885	1.577307	826	0.261501	0.343000	0.310523	
847	0.221960	153	0.653595	1.577307	847	0.221960	0.288000	0.309796	
829	0.255730	171	0.789474	1.577307	829	0.255730	0.347000	0.310959	
839	0.246722	161	0.770186	1.577307	839	0.246722	0.331000	0.311566	
824	0.263350	176	0.744318	1.577307	824	0.263350	0.348000	0.312638	
845	0.259172	155	0.677419	1.577307	845	0.259172	0.324000	0.312962	
855	0.239766	145	0.737931	1.577307	855	0.239766	0.312000	0.312936	
837	0.248507	163	0.693252	1.577307	837	0.248507	0.321000	0.313154	
829	0.281062	171	0.707602	1.577307	829	0.281062	0.354000	0.314229	
829	0.258142	171	0.795322	1.577307	829	0.258142	0.350000	0.315146	
838	0.261337	162	0.728395	1.577307	838	0.261337	0.337000	0.315692	
841	0.240190	159	0.716981	1.577307	841	0.240190	0.316000	0.315700	
820	0.289024	180	0.772222	1.577307	820	0.289024	0.376000	0.317135	
821	0.249695	179	0.804469	1.577307	821	0.249695	0.349000	0.317876	
823	0.267315	177	0.723164	1.577307	823	0.267315	0.348000	0.318561	
854	0.225995	146	0.712329	1.577307	854	0.225995	0.297000	0.318082	
832	0.257212	168	0.750000	1.577307	832	0.257212	0.340000	0.318558	
841	0.254459	159	0.767296	1.577307	841	0.254459	0.336000	0.318929	
844	0.281991	156	0.692308	1.577307	844	0.281991	0.346000	0.319493	
826	0.259080	174	0.729885	1.577307	826	0.259080	0.341000	0.319932	
825	0.248485	175	0.668571	1.577307	825	0.248485	0.322000	0.319974	
834	0.258993	166	0.753012	1.577307	834	0.258993	0.341000	0.320386	
840	0.246429	160	0.768750	1.577307	840	0.246429	0.330000	0.320571	
832	0.242788	168	0.642857	1.577307	832	0.242788	0.310000	0.320371	
848	0.248821	152	0.651316	1.577307	848	0.248821	0.310000	0.320179	
820	0.235366	180	0.750000	1.577307	820	0.235366	0.328000	0.320321	
792	0.261364	208	0.812500	1.577307	792	0.261364	0.376000	0.321316	
847	0.266824	153	0.745098	1.577307	847	0.266824	0.340000	0.321643	
830	0.267470	170	0.729412	1.577307	830	0.267470	0.346000	0.322063	
830	0.242169	170	0.835294	1.577307	830	0.242169	0.343000	0.322418	
831	0.294826	169	0.692308	1.577307	831	0.294826	0.362000	0.323078	
810	0.271605	190	0.689474	1.577307	810	0.271605	0.351000	0.323536	
823	0.236938	177	0.757062	1.577307	823	0.236938	0.329000	0.323624	
850	0.260000	150	0.720000	1.577307	850	0.260000	0.329000	0.323709	
817	0.274174	183	0.715847	1.577307	817	0.274174	0.355000	0.324198	
838	0.278043	162	0.759259	1.577307	838	0.278043	0.356000	0.324687	
840	0.282143	160	0.731250	1.577307	840	0.282143	0.354000	0.325131	
802	0.234414	198	0.757576	1.577307	802	0.234414	0.338000	0.325324	
817	0.255814	183	0.803279	1.577307	817	0.255814	0.356000	0.325775	
831	0.258724	169	0.662722	1.577307	831	0.258724	0.327000	0.325792	
835	0.252695	165	0.703030	1.577307	835	0.252695	0.327000	0.325810	
829	0.276236	171	0.742690	1.577307	829	0.276236	0.356000	0.326235	
825	0.232727	175	0.800000	1.577307	825	0.232727	0.332000	0.326315	
830	0.255422	170	0.752941	1.577307	830	0.255422	0.340000	0.326502	
827	0.233374	173	0.780347	1.577307	827	0.233374	0.328000	0.326523	
843	0.253855	157	0.700637	1.577307	843	0.253855	0.324000	0.326489	
849	0.308598	151	0.635762	1.577307	849	0.308598	0.358000	0.326904	
827	0.240629	173	0.722543	1.577307	827	0.240629	0.324000	0.326866	
826	0.238499	174	0.781609	1.577307	826	0.238499	0.333000	0.326945	
825	0.252121	175	0.771429	1.577307	825	0.252121	0.343000	0.327148	
841	0.247325	159	0.641509	1.577307	841	0.247325	0.310000	0.326933	
824	0.275485	176	0.750000	1.577307	824	0.275485	0.359000	0.327329	
835	0.245509	165	0.709091	1.577307	835	0.245509	0.322000	0.327264	
821	0.252132	179	0.670391	1.577307	821	0.252132	0.327000	0.327261	
806	0.277916	194	0.680412	1.577307	806	0.277916	0.356000	0.327603	
840	0.267857	160	0.725000	1.577307	840	0.267857	0.341000	0.327761	
844	0.253555	156	0.743590	1.577307	844	0.253555	0.330000	0.327787	
836	0.242823	164	0.621951	1.577307	836	0.242823	0.305000	0.327525	
836	0.264354	164	0.743902	1.577307	836	0.264354	0.343000	0.327701	
832	0.236779	168	0.797619	1.577307	832	0.236779	0.331000	0.327738	
831	0.269555	169	0.733728	1.577307	831	0.269555	0.348000	0.327963	
820	0.236585	180	0.633333	1.577307	820	0.236585	0.308000	0.327744	
854	0.264637	146	0.767123	1.577307	854	0.264637	0.338000	0.327855	
842	0.219715	158	0.689873	1.577307	842	0.219715	0.294000	0.327491	
