Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
815	0.245399	185	0.837838	2.198170	815	0.245399	0.355000	0.327150	
843	0.236062	157	0.777070	2.198170	843	0.236062	0.321000	0.327032	
820	0.202439	180	0.900000	2.198170	820	0.202439	0.328000	0.327050	
818	0.254279	182	0.769231	2.198170	818	0.254279	0.348000	0.327438	
844	0.260664	156	0.807692	2.198170	844	0.260664	0.346000	0.327776	
828	0.225845	172	0.738372	2.198170	828	0.225845	0.314000	0.327530	
842	0.241093	158	0.784810	2.198170	842	0.241093	0.327000	0.327521	
834	0.260192	166	0.728916	2.198170	834	0.260192	0.338000	0.327701	
849	0.262662	151	0.814570	2.198170	849	0.262662	0.346000	0.328011	
838	0.241050	162	0.814815	2.198170	838	0.241050	0.334000	0.328111	
830	0.249398	170	0.882353	2.198170	830	0.249398	0.357000	0.328585	
830	0.250602	170	0.811765	2.198170	830	0.250602	0.346000	0.328866	
819	0.227106	181	0.795580	2.198170	819	0.227106	0.330000	0.328884	
854	0.247073	146	0.801370	2.198170	854	0.247073	0.328000	0.328870	
812	0.237685	188	0.792553	2.198170	812	0.237685	0.342000	0.329072	
833	0.236495	167	0.790419	2.198170	833	0.236495	0.329000	0.329071	
837	0.256870	163	0.742331	2.198170	837	0.256870	0.336000	0.329174	
831	0.264741	169	0.816568	2.198170	831	0.264741	0.358000	0.329598	
827	0.212817	173	0.786127	2.198170	827	0.212817	0.312000	0.329343	
850	0.262353	150	0.833333	2.198170	850	0.262353	0.348000	0.329610	
828	0.259662	172	0.773256	2.198170	828	0.259662	0.348000	0.329869	
850	0.264706	150	0.813333	2.198170	850	0.264706	0.347000	0.330107	
847	0.244392	153	0.836601	2.198170	847	0.244392	0.335000	0.330174	
840	0.229762	160	0.850000	2.198170	840	0.229762	0.329000	0.330158	
840	0.197619	160	0.793750	2.198170	840	0.197619	0.293000	0.329662	
838	0.426014	162	0.814815	1.370852	838	0.426014	0.489000	0.331759	
822	0.256691	178	0.792135	2.276052	822	0.256691	0.352000	0.332022	
857	0.254376	143	0.790210	2.276052	857	0.254376	0.331000	0.332009	
836	0.265550	164	0.786585	2.276052	836	0.265550	0.351000	0.332249	
821	0.198538	179	0.865922	2.276052	821	0.198538	0.318000	0.332071	
829	0.318456	171	0.783626	1.838815	829	0.318456	0.398000	0.332885	
841	0.286564	159	0.786164	1.838815	841	0.286564	0.366000	0.333289	
849	0.333333	151	0.794702	1.838815	849	0.333333	0.403000	0.334129	
833	0.324130	167	0.832335	1.838815	833	0.324130	0.409000	0.335020	
843	0.340451	157	0.834395	1.838815	843	0.340451	0.418000	0.335996	
821	0.311815	179	0.782123	1.838815	821	0.311815	0.396000	0.336694	
