Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.354914	-1.354914
1	0.950747	750	-1.325465	-2.680379
2	0.926679	750	-1.296609	-3.976988
3	0.902980	750	-1.287017	-5.264005
4	0.879648	750	-1.275924	-6.539929
5	0.856682	750	-1.282160	-7.822089
6	0.834079	750	-1.231237	-9.053326
7	0.811838	750	-1.230851	-10.284177
8	0.789957	750	-1.200378	-11.484555
9	0.768433	750	-1.180281	-12.664836
10	0.747266	750	-1.179612	-13.844448
11	0.726452	750	-1.148016	-14.992464
12	0.705989	750	-1.136268	-16.128732
13	0.685877	750	-1.107090	-17.235822
14	0.666112	750	-1.102124	-18.337946
15	0.646693	750	-1.082980	-19.420926
16	0.627618	750	-1.058541	-20.479467
17	0.608884	750	-1.052781	-21.532248
18	0.590490	750	-1.037654	-22.569902
19	0.572433	750	-1.006226	-23.576128
20	0.554712	750	-0.985080	-24.561208
21	0.537324	750	-0.975874	-25.537081
22	0.520268	750	-0.958438	-26.495519
23	0.503540	750	-0.940245	-27.435764
24	0.487139	750	-0.921621	-28.357385
25	0.471063	750	-0.911089	-29.268474
26	0.455310	750	-0.887558	-30.156032
27	0.439877	750	-0.872904	-31.028936
28	0.424762	750	-0.870423	-31.899359
29	0.409963	750	-0.837426	-32.736785
30	0.395478	750	-0.827297	-33.564081
31	0.381305	750	-0.805151	-34.369233
32	0.367440	750	-0.787136	-35.156369
33	0.353883	750	-0.790377	-35.946747
34	0.340630	750	-0.764113	-36.710860
35	0.327680	750	-0.736682	-37.447542
36	0.315030	750	-0.733218	-38.180760
37	0.302677	750	-0.715676	-38.896436
38	0.290619	750	-0.714797	-39.611233
39	0.278855	750	-0.681070	-40.292303
40	0.267381	750	-0.670333	-40.962636
41	0.256195	750	-0.650607	-41.613243
42	0.245294	750	-0.639683	-42.252926
43	0.234677	750	-0.622112	-42.875039
44	0.224340	750	-0.609577	-43.484616
45	0.214281	750	-0.602085	-44.086701
46	0.204498	750	-0.583992	-44.670693
47	0.194988	750	-0.561660	-45.232352
48	0.185749	750	-0.556158	-45.788510
49	0.176777	750	-0.531989	-46.320499
50	0.168070	750	-0.523675	-46.844174
51	0.159626	750	-0.509760	-47.353933
52	0.151441	750	-0.493970	-47.847903
53	0.143514	750	-0.483603	-48.331506
54	0.135841	750	-0.482846	-48.814352
55	0.128420	750	-0.471875	-49.286227
56	0.121247	750	-0.445119	-49.731345
57	0.114320	750	-0.427914	-50.159259
58	0.107637	750	-0.437551	-50.596810
59	0.101193	750	-0.405019	-51.001829
60	0.094986	750	-0.398406	-51.400235
61	0.089014	750	-0.396059	-51.796294
62	0.083273	750	-0.379151	-52.175445
63	0.077760	750	-0.370909	-52.546354
64	0.072472	750	-0.349536	-52.895889
65	0.067406	750	-0.333688	-53.229578
66	0.062558	750	-0.324106	-53.553683
67	0.057926	750	-0.341737	-53.895421
68	0.053506	750	-0.301344	-54.196765
69	0.049295	750	-0.301675	-54.498440
70	0.045289	750	-0.274837	-54.773277
71	0.041485	750	-0.276963	-55.050240
72	0.037880	750	-0.274110	-55.324350
73	0.034469	750	-0.256113	-55.580464
74	0.031250	750	-0.244918	-55.825381
75	0.028218	750	-0.256952	-56.082333
76	0.025370	750	-0.222931	-56.305264
77	0.022702	750	-0.204341	-56.509605
78	0.020209	750	-0.191038	-56.700643
79	0.017889	750	-0.204144	-56.904787
80	0.015736	750	-0.169459	-57.074246
81	0.013746	750	-0.185017	-57.259264
82	0.011916	750	-0.153988	-57.413252
83	0.010240	750	-0.138904	-57.552155
84	0.008714	750	-0.140709	-57.692864
85	0.007334	750	-0.122382	-57.815247
86	0.006093	750	-0.124671	-57.939918
87	0.004988	750	-0.117202	-58.057119
88	0.004013	750	-0.080010	-58.137129
89	0.003162	750	-0.072524	-58.209653
90	0.002430	750	-0.065883	-58.275536
91	0.001810	750	-0.053594	-58.329130
92	0.001296	750	-0.047850	-58.376979
93	0.000882	750	-0.043324	-58.420304
94	0.000559	750	-0.031608	-58.451911
95	0.000320	750	-0.026831	-58.478742
96	0.000156	750	-0.016520	-58.495263
97	0.000057	750	-0.008347	-58.503610
98	0.000010	750	-0.004532	-58.508141
99	0.000000	750	-0.001106	-58.509248
Log marginal likelihood:	-58.509248
