Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
844	0.274882	156	0.737179	1.852844	844	0.274882	0.347000	0.244614	
832	0.252404	168	0.738095	1.852844	832	0.252404	0.334000	0.252062	
830	0.237349	170	0.752941	1.852844	830	0.237349	0.325000	0.257672	
831	0.269555	169	0.739645	1.852844	831	0.269555	0.349000	0.264195	
839	0.251490	161	0.670807	1.852844	839	0.251490	0.319000	0.267849	
830	0.265060	170	0.664706	1.852844	830	0.265060	0.333000	0.271921	
821	0.197320	179	0.770950	1.852844	821	0.197320	0.300000	0.273572	
848	0.463443	152	0.651316	1.194876	848	0.463443	0.492000	0.285706	
847	0.327037	153	0.679739	1.698668	847	0.327037	0.381000	0.290722	
846	0.290780	154	0.720779	1.698668	846	0.290780	0.357000	0.294035	
828	0.315217	172	0.761628	1.698668	828	0.315217	0.392000	0.298700	
816	0.307598	184	0.706522	1.698668	816	0.307598	0.381000	0.302441	
826	0.311138	174	0.649425	1.698668	826	0.311138	0.370000	0.305378	
844	0.318720	156	0.737179	1.698668	844	0.318720	0.384000	0.308654	
830	0.313253	170	0.747059	1.698668	830	0.313253	0.387000	0.311788	
837	0.283154	163	0.742331	1.698668	837	0.283154	0.358000	0.313565	
841	0.268728	159	0.698113	1.698668	841	0.268728	0.337000	0.314433	
863	0.256083	137	0.671533	1.698668	863	0.256083	0.313000	0.314382	
843	0.293001	157	0.694268	1.698668	843	0.293001	0.356000	0.315817	
833	0.315726	167	0.682635	1.698668	833	0.315726	0.377000	0.317856	
838	0.268496	162	0.716049	1.698668	838	0.268496	0.341000	0.318603	
825	0.290909	175	0.680000	1.698668	825	0.290909	0.359000	0.319865	
851	0.297297	149	0.738255	1.698668	851	0.297297	0.363000	0.321172	
837	0.286738	163	0.723926	1.698668	837	0.286738	0.358000	0.322255	
