Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
810	0.297531	190	0.731579	1.575970	810	0.297531	0.380000	0.360604	
836	0.265550	164	0.817073	1.575970	836	0.265550	0.356000	0.360220	
847	0.273908	153	0.830065	1.575970	847	0.273908	0.359000	0.360126	
842	0.267221	158	0.784810	1.575970	842	0.267221	0.349000	0.359331	
813	0.280443	187	0.866310	1.575970	813	0.280443	0.390000	0.361376	
823	0.268530	177	0.909605	1.575970	823	0.268530	0.382000	0.362665	
830	0.286747	170	0.758824	1.575970	830	0.286747	0.367000	0.362920	
826	0.263923	174	0.787356	1.575970	826	0.263923	0.355000	0.362480	
845	0.276923	155	0.787097	1.575970	845	0.276923	0.356000	0.362139	
808	0.243812	192	0.859375	1.575970	808	0.243812	0.362000	0.362132	
832	0.256010	168	0.845238	1.575970	832	0.256010	0.355000	0.361792	
816	0.225490	184	0.826087	1.575970	816	0.225490	0.336000	0.360620	
831	0.251504	169	0.816568	1.575970	831	0.251504	0.347000	0.360028	
825	0.227879	175	0.737143	1.575970	825	0.227879	0.317000	0.358235	
838	0.261337	162	0.796296	1.575970	838	0.261337	0.348000	0.357826	
823	0.277035	177	0.807910	1.575970	823	0.277035	0.371000	0.358332	
809	0.244747	191	0.795812	1.575970	809	0.244747	0.350000	0.358024	
832	0.262019	168	0.767857	1.575970	832	0.262019	0.347000	0.357630	
820	0.290244	180	0.800000	1.575970	820	0.290244	0.382000	0.358470	
801	0.314607	199	0.804020	1.575970	801	0.314607	0.412000	0.360255	
831	0.261131	169	0.857988	1.575970	831	0.261131	0.362000	0.360311	
833	0.249700	167	0.820359	1.575970	833	0.249700	0.345000	0.359833	
840	0.270238	160	0.837500	1.575970	840	0.270238	0.361000	0.359868	
827	0.264813	173	0.809249	1.575970	827	0.264813	0.359000	0.359842	
830	0.277108	170	0.805882	1.575970	830	0.277108	0.367000	0.360047	
833	0.242497	167	0.874251	1.575970	833	0.242497	0.348000	0.359712	
813	0.260763	187	0.759358	1.575970	813	0.260763	0.354000	0.359558	
833	0.274910	167	0.856287	1.575970	833	0.274910	0.372000	0.359885	
