Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/bantu-iroquois-cross.cousinmarriage.permitted.bttrees
Data File Name:                  ./data/bantu-iroquois-cross.cousinmarriage.permitted.btdata
Log File Name:                   ./output/bantu-iroquois-cross.cousinmarriage.permitted-indep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3263978737
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/bantu-iroquois-cross.cousinmarriage.permitted-indep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.348485,0.015152,0.500000,0.136364)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.101827
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       66
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-70.800347	719	6.969183	4.299972	4.231322	27.013744	0.348422	0.015149	0.500052	0.136378	
12000	-70.099300	439	5.830655	3.355188	3.705705	15.000456	0.349044	0.015175	0.499552	0.136230	
13000	-68.843421	408	1.519815	2.839396	2.625645	20.539918	0.300068	0.013046	0.539696	0.147190	
14000	-68.332254	967	1.702599	2.224688	1.039272	4.280894	0.348857	0.012490	0.521528	0.117125	
15000	-68.211256	465	0.632238	2.079822	12.513284	66.409291	0.242985	0.010565	0.586496	0.159954	
16000	-69.493626	354	4.387641	2.594969	1.835293	11.428999	0.350370	0.015236	0.498438	0.135957	
17000	-71.092631	989	7.157635	3.100063	3.244722	11.915775	0.350493	0.015233	0.498401	0.135873	
18000	-69.982418	747	0.868947	3.337889	1.634100	13.263773	0.248400	0.010806	0.581984	0.158811	
19000	-68.251730	416	2.124351	2.949494	2.720359	18.317288	0.321573	0.013981	0.522064	0.142381	
20000	-69.898467	38	3.021780	2.018180	3.725743	26.830584	0.357320	0.015536	0.492757	0.134388	
21000	-69.862868	350	2.857287	2.284956	21.055931	95.429125	0.352376	0.015321	0.496809	0.135493	
22000	-69.138817	647	1.968519	2.384602	0.971115	6.414856	0.335742	0.014279	0.513096	0.136883	
23000	-72.032487	408	9.590190	3.148796	2.818571	17.308978	0.349487	0.015195	0.499178	0.136140	
24000	-70.299456	610	0.866213	2.852798	1.024809	2.576455	0.246017	0.005268	0.660050	0.088665	
25000	-71.376522	515	38.673887	21.706052	6.519334	30.838497	0.348485	0.015152	0.500000	0.136364	
26000	-71.649524	288	17.714639	7.902061	5.154061	30.030375	0.348485	0.015152	0.500000	0.136364	
27000	-68.828472	442	5.235761	3.478060	1.439446	7.994790	0.347128	0.014989	0.501934	0.135950	
28000	-72.780141	31	23.548236	8.016140	5.474009	38.025439	0.348485	0.015152	0.500000	0.136364	
29000	-69.326677	73	2.579281	2.718058	4.466072	15.414693	0.335612	0.014592	0.510555	0.139241	
30000	-71.202359	242	10.473545	5.193416	4.935564	20.524197	0.348598	0.015156	0.499908	0.136338	
