Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
839	0.290822	161	0.621118	1.419273	839	0.290822	0.344000	0.265067	
825	0.256970	175	0.520000	1.419273	825	0.256970	0.303000	0.268228	
852	0.269953	148	0.594595	1.419273	852	0.269953	0.318000	0.272056	
835	0.235928	165	0.606061	1.419273	835	0.235928	0.297000	0.273838	
828	0.276570	172	0.598837	1.419273	828	0.276570	0.332000	0.277715	
827	0.238210	173	0.566474	1.419273	827	0.238210	0.295000	0.278795	
841	0.274673	159	0.534591	1.419273	841	0.274673	0.316000	0.280983	
852	0.255869	148	0.500000	1.419273	852	0.255869	0.292000	0.281595	
826	0.306295	174	0.557471	1.419273	826	0.306295	0.350000	0.285196	
854	0.252927	146	0.561644	1.419273	854	0.252927	0.298000	0.285836	
848	0.271226	152	0.631579	1.419273	848	0.271226	0.326000	0.287748	
832	0.264423	168	0.529762	1.419273	832	0.264423	0.309000	0.288714	
806	0.287841	194	0.536082	1.419273	806	0.287841	0.336000	0.290770	
837	0.271207	163	0.613497	1.419273	837	0.271207	0.327000	0.292279	
824	0.285194	176	0.579545	1.419273	824	0.285194	0.337000	0.294068	
831	0.268351	169	0.644970	1.419273	831	0.268351	0.332000	0.295527	
849	0.277974	151	0.496689	1.419273	849	0.277974	0.311000	0.296100	
829	0.270205	171	0.485380	1.419273	829	0.270205	0.307000	0.296489	
842	0.275534	158	0.525316	1.419273	842	0.275534	0.315000	0.297128	
812	0.246305	188	0.553191	1.419273	812	0.246305	0.304000	0.297357	
799	0.282854	201	0.562189	1.419273	799	0.282854	0.339000	0.298700	
826	0.277240	174	0.574713	1.419273	826	0.277240	0.329000	0.299647	
834	0.255396	166	0.728916	1.419273	834	0.255396	0.334000	0.300688	
825	0.241212	175	0.657143	1.419273	825	0.241212	0.314000	0.301079	
839	0.258641	161	0.440994	1.419273	839	0.258641	0.288000	0.300706	
804	0.261194	196	0.571429	1.419273	804	0.261194	0.322000	0.301297	
796	0.257538	204	0.642157	1.419273	796	0.257538	0.336000	0.302235	
834	0.267386	166	0.433735	1.419273	834	0.267386	0.295000	0.302045	
827	0.264813	173	0.566474	1.419273	827	0.264813	0.317000	0.302428	
864	0.297454	136	0.470588	1.419273	864	0.297454	0.321000	0.302892	
863	0.293163	137	0.722628	1.419273	863	0.293163	0.352000	0.304090	
826	0.278450	174	0.632184	1.419273	826	0.278450	0.340000	0.304945	
840	0.258333	160	0.612500	1.419273	840	0.258333	0.315000	0.305179	
830	0.266265	170	0.658824	1.419273	830	0.266265	0.333000	0.305811	
828	0.234300	172	0.587209	1.419273	828	0.234300	0.295000	0.305571	
848	0.294811	152	0.500000	1.419273	848	0.294811	0.326000	0.306015	
839	0.270560	161	0.658385	1.419273	839	0.270560	0.333000	0.306589	
826	0.306295	174	0.482759	1.419273	826	0.306295	0.337000	0.307223	
