Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-2.055755	-2.055755
1	0.950747	750	-2.043689	-4.099444
2	0.926679	750	-2.010312	-6.109756
3	0.902980	750	-1.978250	-8.088006
4	0.879648	750	-1.944995	-10.033001
5	0.856682	750	-1.928226	-11.961228
6	0.834079	750	-1.873113	-13.834340
7	0.811838	750	-1.848377	-15.682718
8	0.789957	750	-1.841315	-17.524033
9	0.768433	750	-1.812996	-19.337028
10	0.747266	750	-1.759449	-21.096477
11	0.726452	750	-1.748861	-22.845338
12	0.705989	750	-1.715145	-24.560483
13	0.685877	750	-1.691823	-26.252307
14	0.666112	750	-1.650273	-27.902580
15	0.646693	750	-1.634423	-29.537002
16	0.627618	750	-1.589350	-31.126352
17	0.608884	750	-1.578575	-32.704926
18	0.590490	750	-1.549257	-34.254183
19	0.572433	750	-1.517670	-35.771853
20	0.554712	750	-1.501264	-37.273117
21	0.537324	750	-1.467878	-38.740994
22	0.520268	750	-1.428792	-40.169786
23	0.503540	750	-1.441483	-41.611269
24	0.487139	750	-1.395783	-43.007052
25	0.471063	750	-1.374693	-44.381745
26	0.455310	750	-1.353071	-45.734816
27	0.439877	750	-1.306887	-47.041703
28	0.424762	750	-1.318331	-48.360034
29	0.409963	750	-1.257355	-49.617389
30	0.395478	750	-1.230539	-50.847929
31	0.381305	750	-1.218014	-52.065942
32	0.367440	750	-1.191640	-53.257582
33	0.353883	750	-1.153112	-54.410695
34	0.340630	750	-1.143768	-55.554463
35	0.327680	750	-1.116908	-56.671371
36	0.315030	750	-1.089268	-57.760639
37	0.302677	750	-1.093419	-58.854058
38	0.290619	750	-1.045321	-59.899378
39	0.278855	750	-1.028934	-60.928312
40	0.267381	750	-0.996912	-61.925225
41	0.256195	750	-0.976675	-62.901900
42	0.245294	750	-0.964628	-63.866528
43	0.234677	750	-0.931710	-64.798238
44	0.224340	750	-0.908136	-65.706373
45	0.214281	750	-0.881515	-66.587888
46	0.204498	750	-0.872070	-67.459958
47	0.194988	750	-0.849165	-68.309123
48	0.185749	750	-0.837938	-69.147061
49	0.176777	750	-0.815852	-69.962912
50	0.168070	750	-0.785891	-70.748803
51	0.159626	750	-0.767161	-71.515964
52	0.151441	750	-0.735529	-72.251493
53	0.143514	750	-0.717719	-72.969213
54	0.135841	750	-0.706787	-73.676000
55	0.128420	750	-0.682371	-74.358371
56	0.121247	750	-0.646898	-75.005269
57	0.114320	750	-0.646087	-75.651355
58	0.107637	750	-0.605034	-76.256389
59	0.101193	750	-0.581892	-76.838281
60	0.094986	750	-0.593745	-77.432026
61	0.089014	750	-0.570503	-78.002530
62	0.083273	750	-0.548943	-78.551473
63	0.077760	750	-0.520172	-79.071644
64	0.072472	750	-0.514654	-79.586298
65	0.067406	750	-0.489068	-80.075366
66	0.062558	750	-0.462893	-80.538260
67	0.057926	750	-0.443360	-80.981620
68	0.053506	750	-0.422798	-81.404418
69	0.049295	750	-0.413054	-81.817472
70	0.045289	750	-0.398370	-82.215842
71	0.041485	750	-0.372129	-82.587971
72	0.037880	750	-0.362196	-82.950167
73	0.034469	750	-0.350973	-83.301140
74	0.031250	750	-0.339110	-83.640250
75	0.028218	750	-0.310901	-83.951151
76	0.025370	750	-0.305782	-84.256933
77	0.022702	750	-0.266503	-84.523436
78	0.020209	750	-0.254611	-84.778047
79	0.017889	750	-0.224894	-85.002942
80	0.015736	750	-0.246583	-85.249525
81	0.013746	750	-0.210268	-85.459794
82	0.011916	750	-0.201428	-85.661221
83	0.010240	750	-0.189482	-85.850703
84	0.008714	750	-0.168590	-86.019293
85	0.007334	750	-0.150863	-86.170157
86	0.006093	750	-0.134084	-86.304241
87	0.004988	750	-0.113454	-86.417695
88	0.004013	750	-0.108846	-86.526541
89	0.003162	750	-0.093409	-86.619950
90	0.002430	750	-0.083898	-86.703848
91	0.001810	750	-0.066311	-86.770160
92	0.001296	750	-0.056757	-86.826917
93	0.000882	750	-0.049390	-86.876307
94	0.000559	750	-0.034877	-86.911183
95	0.000320	750	-0.027581	-86.938764
96	0.000156	750	-0.017797	-86.956561
97	0.000057	750	-0.011380	-86.967940
98	0.000010	750	-0.005048	-86.972989
99	0.000000	750	-0.001082	-86.974071
Log marginal likelihood:	-86.974071
