Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-2.154942	-2.154942
1	0.950747	750	-2.108557	-4.263499
2	0.926679	750	-2.084700	-6.348199
3	0.902980	750	-2.033359	-8.381558
4	0.879648	750	-2.007163	-10.388721
5	0.856682	750	-1.992139	-12.380860
6	0.834079	750	-1.957860	-14.338719
7	0.811838	750	-1.928957	-16.267677
8	0.789957	750	-1.895797	-18.163474
9	0.768433	750	-1.868202	-20.031676
10	0.747266	750	-1.825759	-21.857435
11	0.726452	750	-1.800202	-23.657637
12	0.705989	750	-1.778850	-25.436486
13	0.685877	750	-1.751967	-27.188454
14	0.666112	750	-1.726295	-28.914749
15	0.646693	750	-1.706791	-30.621540
16	0.627618	750	-1.667514	-32.289054
17	0.608884	750	-1.651917	-33.940971
18	0.590490	750	-1.602404	-35.543375
19	0.572433	750	-1.572503	-37.115878
20	0.554712	750	-1.543346	-38.659224
21	0.537324	750	-1.521510	-40.180734
22	0.520268	750	-1.493404	-41.674138
23	0.503540	750	-1.477572	-43.151710
24	0.487139	750	-1.434513	-44.586223
25	0.471063	750	-1.411012	-45.997236
26	0.455310	750	-1.387135	-47.384371
27	0.439877	750	-1.356477	-48.740847
28	0.424762	750	-1.326436	-50.067284
29	0.409963	750	-1.304722	-51.372006
30	0.395478	750	-1.276765	-52.648771
31	0.381305	750	-1.245100	-53.893871
32	0.367440	750	-1.231004	-55.124875
33	0.353883	750	-1.200468	-56.325343
34	0.340630	750	-1.171669	-57.497012
35	0.327680	750	-1.158205	-58.655217
36	0.315030	750	-1.129209	-59.784426
37	0.302677	750	-1.102887	-60.887313
38	0.290619	750	-1.066209	-61.953522
39	0.278855	750	-1.048437	-63.001959
40	0.267381	750	-1.030667	-64.032627
41	0.256195	750	-1.010298	-65.042925
42	0.245294	750	-0.969349	-66.012274
43	0.234677	750	-0.950351	-66.962625
44	0.224340	750	-0.929963	-67.892588
45	0.214281	750	-0.907803	-68.800391
46	0.204498	750	-0.883486	-69.683877
47	0.194988	750	-0.866093	-70.549969
48	0.185749	750	-0.849306	-71.399275
49	0.176777	750	-0.815602	-72.214877
50	0.168070	750	-0.791941	-73.006818
51	0.159626	750	-0.769395	-73.776213
52	0.151441	750	-0.757252	-74.533465
53	0.143514	750	-0.744098	-75.277563
54	0.135841	750	-0.714174	-75.991737
55	0.128420	750	-0.690078	-76.681815
56	0.121247	750	-0.669497	-77.351312
57	0.114320	750	-0.648851	-78.000163
58	0.107637	750	-0.630096	-78.630259
59	0.101193	750	-0.605109	-79.235369
60	0.094986	750	-0.580727	-79.816096
61	0.089014	750	-0.569683	-80.385779
62	0.083273	750	-0.544339	-80.930118
63	0.077760	750	-0.530106	-81.460224
64	0.072472	750	-0.514712	-81.974936
65	0.067406	750	-0.490961	-82.465897
66	0.062558	750	-0.467188	-82.933085
67	0.057926	750	-0.444925	-83.378010
68	0.053506	750	-0.429925	-83.807935
69	0.049295	750	-0.416718	-84.224653
70	0.045289	750	-0.390399	-84.615052
71	0.041485	750	-0.379382	-84.994434
72	0.037880	750	-0.361042	-85.355477
73	0.034469	750	-0.348904	-85.704381
74	0.031250	750	-0.324744	-86.029125
75	0.028218	750	-0.306042	-86.335166
76	0.025370	750	-0.286395	-86.621562
77	0.022702	750	-0.276436	-86.897998
78	0.020209	750	-0.253362	-87.151360
79	0.017889	750	-0.247444	-87.398804
80	0.015736	750	-0.237334	-87.636138
81	0.013746	750	-0.213580	-87.849718
82	0.011916	750	-0.201152	-88.050870
83	0.010240	750	-0.185052	-88.235921
84	0.008714	750	-0.173428	-88.409349
85	0.007334	750	-0.153360	-88.562709
86	0.006093	750	-0.145789	-88.708499
87	0.004988	750	-0.120412	-88.828911
88	0.004013	750	-0.111875	-88.940785
89	0.003162	750	-0.095725	-89.036510
90	0.002430	750	-0.084197	-89.120707
91	0.001810	750	-0.074126	-89.194833
92	0.001296	750	-0.062139	-89.256972
93	0.000882	750	-0.049954	-89.306927
94	0.000559	750	-0.038295	-89.345222
95	0.000320	750	-0.028153	-89.373374
96	0.000156	750	-0.019343	-89.392717
97	0.000057	750	-0.011998	-89.404715
98	0.000010	750	-0.005686	-89.410401
99	0.000000	750	-0.001165	-89.411566
Log marginal likelihood:	-89.411566
