Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
796	0.459799	204	0.563725	1.037854	796	0.459799	0.481000	0.359240	
799	0.175219	201	0.721393	1.698379	799	0.175219	0.285000	0.353054	
826	0.343826	174	0.695402	1.174599	826	0.343826	0.405000	0.357049	
829	0.334138	171	0.719298	1.174599	829	0.334138	0.400000	0.360117	
819	0.340659	181	0.635359	1.174599	819	0.340659	0.394000	0.362376	
825	0.333333	175	0.702857	1.174599	825	0.333333	0.398000	0.364602	
833	0.382953	167	0.640719	1.174599	833	0.382953	0.426000	0.368214	
827	0.368803	173	0.658960	1.174599	827	0.368803	0.419000	0.371035	
823	0.345079	177	0.740113	1.174599	823	0.345079	0.415000	0.373349	
828	0.393720	172	0.709302	1.174599	828	0.393720	0.448000	0.377081	
810	0.355556	190	0.636842	1.174599	810	0.355556	0.409000	0.378601	
829	0.322075	171	0.690058	1.174599	829	0.322075	0.385000	0.378892	
820	0.360976	180	0.688889	1.174599	820	0.360976	0.420000	0.380679	
811	0.325524	189	0.645503	1.174599	811	0.325524	0.386000	0.380901	
846	0.342790	154	0.733766	1.174599	846	0.342790	0.403000	0.381785	
833	0.312125	167	0.736527	1.174599	833	0.312125	0.383000	0.381831	
813	0.328413	187	0.673797	1.174599	813	0.328413	0.393000	0.382245	
822	0.360097	178	0.646067	1.174599	822	0.360097	0.411000	0.383272	
825	0.340606	175	0.674286	1.174599	825	0.340606	0.399000	0.383814	
820	0.324390	180	0.711111	1.174599	820	0.324390	0.394000	0.384154	
819	0.387057	181	0.646409	1.174599	819	0.387057	0.434000	0.385762	
823	0.339004	177	0.745763	1.174599	823	0.339004	0.411000	0.386550	
801	0.353308	199	0.673367	1.174599	801	0.353308	0.417000	0.387473	
829	0.332931	171	0.690058	1.174599	829	0.332931	0.394000	0.387665	
834	0.335731	166	0.710843	1.174599	834	0.335731	0.398000	0.387960	
822	0.329684	178	0.719101	1.174599	822	0.329684	0.399000	0.388267	
809	0.343634	191	0.680628	1.174599	809	0.343634	0.408000	0.388800	
843	0.333333	157	0.681529	1.174599	843	0.333333	0.388000	0.388779	
825	0.355152	175	0.742857	1.174599	825	0.355152	0.423000	0.389657	
825	0.390303	175	0.440000	1.174599	825	0.390303	0.399000	0.389890	
806	0.382134	194	0.680412	1.174599	806	0.382134	0.440000	0.391112	
826	0.386199	174	0.614943	1.174599	826	0.386199	0.426000	0.391943	
834	0.357314	166	0.716867	1.174599	834	0.357314	0.417000	0.392526	
841	0.369798	159	0.647799	1.174599	841	0.369798	0.414000	0.393014	
822	0.354015	178	0.747191	1.174599	822	0.354015	0.424000	0.393702	
837	0.370370	163	0.576687	1.174599	837	0.370370	0.404000	0.393926	
809	0.364648	191	0.612565	1.174599	809	0.364648	0.412000	0.394311	
805	0.346584	195	0.594872	1.174599	805	0.346584	0.395000	0.394325	
835	0.383234	165	0.709091	1.174599	835	0.383234	0.437000	0.395196	
829	0.379976	171	0.637427	1.174599	829	0.379976	0.424000	0.395772	
830	0.348193	170	0.758824	1.174599	830	0.348193	0.418000	0.396208	
809	0.341162	191	0.701571	1.174599	809	0.341162	0.410000	0.396473	
840	0.350000	160	0.606250	1.174599	840	0.350000	0.391000	0.396370	
847	0.351830	153	0.614379	1.174599	847	0.351830	0.392000	0.396289	
806	0.306452	194	0.742268	1.174599	806	0.306452	0.391000	0.396193	
812	0.347291	188	0.739362	1.174599	812	0.347291	0.421000	0.396636	
825	0.386667	175	0.600000	1.174599	825	0.386667	0.424000	0.397116	
825	0.355152	175	0.662857	1.174599	825	0.355152	0.409000	0.397321	
823	0.332928	177	0.785311	1.174599	823	0.332928	0.413000	0.397586	
841	0.350773	159	0.767296	1.174599	841	0.350773	0.417000	0.397910	
825	0.375758	175	0.657143	1.174599	825	0.375758	0.425000	0.398354	
807	0.361834	193	0.766839	1.174599	807	0.361834	0.440000	0.399026	
838	0.375895	162	0.641975	1.174599	838	0.375895	0.419000	0.399343	
824	0.387136	176	0.636364	1.174599	824	0.387136	0.431000	0.399838	
820	0.356098	180	0.616667	1.174599	820	0.356098	0.403000	0.399886	
807	0.340768	193	0.720207	1.174599	807	0.340768	0.414000	0.400100	
828	0.361111	172	0.604651	1.174599	828	0.361111	0.403000	0.400143	
825	0.358788	175	0.468571	1.174599	825	0.358788	0.378000	0.399818	
836	0.348086	164	0.500000	1.174599	836	0.348086	0.373000	0.399429	
829	0.361882	171	0.666667	1.174599	829	0.361882	0.414000	0.399637	
822	0.333333	178	0.702247	1.174599	822	0.333333	0.399000	0.399628	
834	0.358513	166	0.632530	1.174599	834	0.358513	0.404000	0.399689	
834	0.329736	166	0.692771	1.174599	834	0.329736	0.390000	0.399556	
819	0.361416	181	0.613260	1.174599	819	0.361416	0.407000	0.399657	
823	0.354800	177	0.661017	1.174599	823	0.354800	0.409000	0.399781	
825	0.383030	175	0.622857	1.174599	825	0.383030	0.425000	0.400113	
821	0.370280	179	0.597765	1.174599	821	0.370280	0.411000	0.400255	
818	0.378973	182	0.670330	1.174599	818	0.378973	0.432000	0.400662	
810	0.372840	190	0.657895	1.174599	810	0.372840	0.427000	0.400995	
824	0.402913	176	0.602273	1.174599	824	0.402913	0.438000	0.401457	
806	0.120347	194	0.592784	2.214699	806	0.120347	0.212000	0.399119	
812	0.146552	188	0.765957	1.903615	812	0.146552	0.263000	0.397459	
822	0.159367	178	0.668539	1.867721	822	0.159367	0.250000	0.395682	
817	0.357405	183	0.693989	1.143565	817	0.357405	0.419000	0.395960	
847	0.377804	153	0.588235	1.143565	847	0.377804	0.410000	0.396125	
807	0.346964	193	0.777202	1.143565	807	0.346964	0.430000	0.396519	
832	0.373798	168	0.589286	1.143565	832	0.373798	0.410000	0.396674	
812	0.360837	188	0.776596	1.143565	812	0.360837	0.439000	0.397155	
822	0.319951	178	0.730337	1.143565	822	0.319951	0.393000	0.397108	
825	0.386667	175	0.577143	1.143565	825	0.386667	0.420000	0.397362	
