Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-0.459130	-0.459130
1	0.950747	750	-0.441766	-0.900896
2	0.926679	750	-0.443303	-1.344199
3	0.902980	750	-0.448239	-1.792438
4	0.879648	750	-0.430392	-2.222831
5	0.856682	750	-0.431054	-2.653884
6	0.834079	750	-0.421074	-3.074959
7	0.811838	750	-0.419224	-3.494183
8	0.789957	750	-0.430126	-3.924309
9	0.768433	750	-0.400504	-4.324813
10	0.747266	750	-0.403686	-4.728498
11	0.726452	750	-0.390882	-5.119380
12	0.705989	750	-0.397082	-5.516462
13	0.685877	750	-0.383512	-5.899974
14	0.666112	750	-0.388767	-6.288741
15	0.646693	750	-0.362984	-6.651725
16	0.627618	750	-0.372423	-7.024148
17	0.608884	750	-0.363180	-7.387328
18	0.590490	750	-0.359087	-7.746415
19	0.572433	750	-0.345490	-8.091905
20	0.554712	750	-0.338279	-8.430184
21	0.537324	750	-0.346166	-8.776350
22	0.520268	750	-0.344539	-9.120889
23	0.503540	750	-0.321265	-9.442154
24	0.487139	750	-0.317541	-9.759695
25	0.471063	750	-0.317003	-10.076697
26	0.455310	750	-0.311543	-10.388240
27	0.439877	750	-0.314035	-10.702275
28	0.424762	750	-0.303404	-11.005680
29	0.409963	750	-0.309244	-11.314923
30	0.395478	750	-0.286997	-11.601920
31	0.381305	750	-0.296071	-11.897992
32	0.367440	750	-0.295005	-12.192997
33	0.353883	750	-0.276341	-12.469338
34	0.340630	750	-0.275986	-12.745324
35	0.327680	750	-0.268891	-13.014215
36	0.315030	750	-0.283064	-13.297279
37	0.302677	750	-0.271117	-13.568396
38	0.290619	750	-0.253845	-13.822241
39	0.278855	750	-0.250097	-14.072338
40	0.267381	750	-0.249898	-14.322236
41	0.256195	750	-0.251036	-14.573272
42	0.245294	750	-0.231621	-14.804893
43	0.234677	750	-0.240835	-15.045729
44	0.224340	750	-0.216490	-15.262219
45	0.214281	750	-0.227953	-15.490172
46	0.204498	750	-0.219937	-15.710109
47	0.194988	750	-0.210787	-15.920896
48	0.185749	750	-0.210458	-16.131354
49	0.176777	750	-0.205563	-16.336917
50	0.168070	750	-0.201289	-16.538206
51	0.159626	750	-0.192817	-16.731023
52	0.151441	750	-0.203313	-16.934336
53	0.143514	750	-0.189968	-17.124304
54	0.135841	750	-0.192615	-17.316919
55	0.128420	750	-0.185451	-17.502370
56	0.121247	750	-0.172351	-17.674721
57	0.114320	750	-0.162071	-17.836792
58	0.107637	750	-0.173889	-18.010681
59	0.101193	750	-0.165431	-18.176111
60	0.094986	750	-0.159636	-18.335747
61	0.089014	750	-0.153688	-18.489435
62	0.083273	750	-0.132813	-18.622248
63	0.077760	750	-0.146255	-18.768503
64	0.072472	750	-0.143420	-18.911923
65	0.067406	750	-0.130684	-19.042607
66	0.062558	750	-0.130197	-19.172804
67	0.057926	750	-0.129251	-19.302055
68	0.053506	750	-0.121223	-19.423278
69	0.049295	750	-0.107060	-19.530339
70	0.045289	750	-0.115231	-19.645569
71	0.041485	750	-0.100417	-19.745987
72	0.037880	750	-0.093134	-19.839121
73	0.034469	750	-0.092640	-19.931761
74	0.031250	750	-0.095359	-20.027120
75	0.028218	750	-0.082932	-20.110051
76	0.025370	750	-0.077674	-20.187725
77	0.022702	750	-0.066502	-20.254227
78	0.020209	750	-0.064148	-20.318375
79	0.017889	750	-0.068857	-20.387232
80	0.015736	750	-0.058041	-20.445273
81	0.013746	750	-0.063189	-20.508462
82	0.011916	750	-0.048418	-20.556880
83	0.010240	750	-0.047492	-20.604372
84	0.008714	750	-0.046162	-20.650534
85	0.007334	750	-0.037501	-20.688035
86	0.006093	750	-0.037552	-20.725586
87	0.004988	750	-0.034502	-20.760088
88	0.004013	750	-0.028194	-20.788282
89	0.003162	750	-0.024355	-20.812637
90	0.002430	750	-0.020253	-20.832891
91	0.001810	750	-0.020476	-20.853366
92	0.001296	750	-0.014434	-20.867801
93	0.000882	750	-0.012472	-20.880273
94	0.000559	750	-0.011087	-20.891359
95	0.000320	750	-0.006506	-20.897865
96	0.000156	750	-0.004847	-20.902712
97	0.000057	750	-0.002894	-20.905607
98	0.000010	750	-0.001382	-20.906989
99	0.000000	750	-0.000305	-20.907293
Log marginal likelihood:	-20.907293
