Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/uto-hawaiian-absenceofcousinmarriage.permitted.bttrees
Data File Name:                  ./data/uto-hawaiian-absenceofcousinmarriage.permitted.btdata
Log File Name:                   ./output/uto-hawaiian-absenceofcousinmarriage.permitted-indep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1311760355
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/uto-hawaiian-absenceofcousinmarriage.permitted-indep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.000000,0.263158,0.105263,0.631579)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.095105
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      800
     Taxa:                       19
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-18.728902	437	11.552350	1.978514	10.563980	1.530735	0.000000	0.263011	0.103906	0.633083	
12000	-17.616954	637	15.411940	7.276442	0.991729	0.627494	0.000000	0.292099	0.003178	0.704723	
13000	-17.557650	94	13.531998	4.235888	1.443119	0.633861	0.000000	0.289769	0.005596	0.704635	
14000	-17.521145	595	20.051530	8.914099	3.675282	1.804424	0.000000	0.279595	0.038601	0.681804	
15000	-17.985949	203	17.222220	7.591700	30.028795	1.503922	0.000000	0.262958	0.105276	0.631766	
16000	-17.603488	532	15.254090	5.832931	41.766463	4.083660	0.000000	0.264231	0.105107	0.630662	
17000	-18.405697	94	26.198337	22.096081	47.998989	6.896961	0.000000	0.263154	0.105263	0.631583	
18000	-17.988316	735	14.054067	7.358900	5.858547	1.979858	0.000000	0.266331	0.090303	0.643366	
19000	-17.575019	35	15.041759	9.112022	10.734472	2.707806	0.000000	0.263029	0.103457	0.633515	
20000	-17.952352	746	13.521188	4.952673	8.728684	2.772032	0.000000	0.262314	0.098136	0.639550	
21000	-19.211416	401	39.030100	8.683559	29.587536	12.459169	0.000000	0.263139	0.105174	0.631688	
22000	-18.571102	347	9.078601	2.545591	10.625602	2.830633	0.000000	0.259006	0.102634	0.638360	
