Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
857	0.280047	143	0.762238	2.032147	857	0.280047	0.349000	0.363149	
831	0.285199	169	0.857988	2.032147	831	0.285199	0.382000	0.364720	
840	0.300000	160	0.793750	2.032147	840	0.300000	0.379000	0.365818	
819	0.239316	181	0.861878	2.032147	819	0.239316	0.352000	0.364831	
845	0.271006	155	0.819355	2.032147	845	0.271006	0.356000	0.364242	
852	0.266432	148	0.898649	2.032147	852	0.266432	0.360000	0.363977	
845	0.289941	155	0.774194	2.032147	845	0.289941	0.365000	0.364037	
844	0.287915	156	0.858974	2.032147	844	0.287915	0.377000	0.364758	
840	0.251190	160	0.837500	2.032147	840	0.251190	0.345000	0.363718	
794	0.294710	206	0.854369	2.032147	794	0.294710	0.410000	0.366032	
832	0.283654	168	0.815476	2.032147	832	0.283654	0.373000	0.366364	
835	0.285030	165	0.775758	2.032147	835	0.285030	0.366000	0.366347	
841	0.280618	159	0.805031	2.032147	841	0.280618	0.364000	0.366245	
840	0.261905	160	0.787500	2.032147	840	0.261905	0.346000	0.365401	
837	0.254480	163	0.846626	2.032147	837	0.254480	0.351000	0.364825	
827	0.282950	173	0.780347	2.032147	827	0.282950	0.369000	0.364986	
862	0.272622	138	0.797101	2.032147	862	0.272622	0.345000	0.364246	
845	0.295858	155	0.806452	2.032147	845	0.295858	0.375000	0.364630	
832	0.277644	168	0.815476	2.032147	832	0.277644	0.368000	0.364746	
854	0.304450	146	0.835616	2.032147	854	0.304450	0.382000	0.365321	
823	0.286756	177	0.734463	2.032147	823	0.286756	0.366000	0.365343	
853	0.262603	147	0.836735	2.032147	853	0.262603	0.347000	0.364770	
834	0.318945	166	0.807229	2.032147	834	0.318945	0.400000	0.365837	
845	0.287574	155	0.851613	2.032147	845	0.287574	0.375000	0.366107	
839	0.293206	161	0.832298	2.032147	839	0.293206	0.380000	0.366504	
846	0.258865	154	0.863636	2.032147	846	0.258865	0.352000	0.366101	
854	0.244731	146	0.863014	2.032147	854	0.244731	0.335000	0.365260	
816	0.269608	184	0.820652	2.032147	816	0.269608	0.371000	0.365411	
837	0.254480	163	0.852761	2.032147	837	0.254480	0.352000	0.365068	
824	0.259709	176	0.818182	2.032147	824	0.259709	0.358000	0.364891	
841	0.262782	159	0.716981	2.032147	841	0.262782	0.335000	0.364162	
824	0.234223	176	0.761364	2.032147	824	0.234223	0.327000	0.363277	
840	0.294048	160	0.787500	2.032147	840	0.294048	0.373000	0.363503	
814	0.264128	186	0.806452	2.032147	814	0.264128	0.365000	0.363537	
839	0.289631	161	0.795031	2.032147	839	0.289631	0.371000	0.363703	
850	0.275294	150	0.860000	2.032147	850	0.275294	0.363000	0.363688	
840	0.296429	160	0.800000	2.032147	840	0.296429	0.377000	0.363971	
847	0.285714	153	0.888889	2.032147	847	0.285714	0.378000	0.364263	
821	0.271620	179	0.731844	2.032147	821	0.271620	0.354000	0.364054	
836	0.269139	164	0.798780	2.032147	836	0.269139	0.356000	0.363893	
848	0.304245	152	0.868421	2.032147	848	0.304245	0.390000	0.364405	
844	0.290284	156	0.826923	2.032147	844	0.290284	0.374000	0.364589	
820	0.292683	180	0.783333	2.032147	820	0.292683	0.381000	0.364899	
822	0.246959	178	0.825843	2.032147	822	0.246959	0.350000	0.364623	
822	0.295620	178	0.814607	2.032147	822	0.295620	0.388000	0.365048	
814	0.261671	186	0.827957	2.032147	814	0.261671	0.367000	0.365083	
837	0.265233	163	0.846626	2.032147	837	0.265233	0.360000	0.364994	
837	0.259259	163	0.828221	2.032147	837	0.259259	0.352000	0.364770	
828	0.286232	172	0.860465	2.032147	828	0.286232	0.385000	0.365112	
836	0.285885	164	0.780488	2.032147	836	0.285885	0.367000	0.365144	
835	0.288623	165	0.775758	2.032147	835	0.288623	0.369000	0.365207	
820	0.274390	180	0.844444	2.032147	820	0.274390	0.377000	0.365397	
827	0.290206	173	0.832370	2.032147	827	0.290206	0.384000	0.365693	
825	0.271515	175	0.817143	2.032147	825	0.271515	0.367000	0.365713	
830	0.254217	170	0.788235	2.032147	830	0.254217	0.345000	0.365394	
820	0.287805	180	0.794444	2.032147	820	0.287805	0.379000	0.365601	
805	0.275776	195	0.753846	2.032147	805	0.275776	0.369000	0.365651	
836	0.255981	164	0.798780	2.032147	836	0.255981	0.345000	0.365348	
831	0.305656	169	0.852071	2.032147	831	0.305656	0.398000	0.365821	
830	0.249398	170	0.847059	2.032147	830	0.249398	0.351000	0.365609	
829	0.284680	171	0.812865	2.032147	829	0.284680	0.375000	0.365741	
825	0.254545	175	0.800000	2.032147	825	0.254545	0.350000	0.365523	
822	0.294404	178	0.831461	2.032147	822	0.294404	0.390000	0.365858	
842	0.266033	158	0.765823	2.032147	842	0.266033	0.345000	0.365576	
820	0.242683	180	0.816667	2.032147	820	0.242683	0.346000	0.365315	
842	0.305226	158	0.873418	2.032147	842	0.305226	0.395000	0.365706	
840	0.294048	160	0.843750	2.032147	840	0.294048	0.382000	0.365917	
808	0.292079	192	0.796875	2.032147	808	0.292079	0.389000	0.366213	
848	0.267689	152	0.842105	2.032147	848	0.267689	0.355000	0.366071	
828	0.294686	172	0.819767	2.032147	828	0.294686	0.385000	0.366308	
827	0.278114	173	0.797688	2.032147	827	0.278114	0.368000	0.366329	
855	0.278363	145	0.758621	2.032147	855	0.278363	0.348000	0.366105	
831	0.269555	169	0.834320	2.032147	831	0.269555	0.365000	0.366092	
811	0.293465	189	0.756614	2.032147	811	0.293465	0.381000	0.366269	
845	0.257988	155	0.864516	2.032147	845	0.257988	0.352000	0.366102	
813	0.301353	187	0.802139	2.032147	813	0.301353	0.395000	0.366438	
826	0.286925	174	0.793103	2.032147	826	0.286925	0.375000	0.366536	
812	0.333744	188	0.792553	2.032147	812	0.333744	0.420000	0.367144	
821	0.274056	179	0.821229	2.032147	821	0.274056	0.372000	0.367198	
830	0.284337	170	0.817647	2.032147	830	0.284337	0.375000	0.367285	
834	0.287770	166	0.849398	2.032147	834	0.287770	0.381000	0.367436	
835	0.267066	165	0.751515	2.032147	835	0.267066	0.347000	0.367213	
865	0.308671	135	0.822222	2.032147	865	0.308671	0.378000	0.367329	
819	0.322344	181	0.801105	2.032147	819	0.322344	0.409000	0.367773	
838	0.262530	162	0.864198	2.032147	838	0.262530	0.360000	0.367691	
826	0.282082	174	0.781609	2.032147	826	0.282082	0.369000	0.367705	
835	0.316168	165	0.769697	2.032147	835	0.316168	0.391000	0.367945	
824	0.288835	176	0.857955	2.032147	824	0.288835	0.389000	0.368160	
831	0.291215	169	0.786982	2.032147	831	0.291215	0.375000	0.368229	
834	0.262590	166	0.825301	2.032147	834	0.262590	0.356000	0.368106	
829	0.262967	171	0.865497	2.032147	829	0.262967	0.366000	0.368085	
829	0.234017	171	0.771930	2.032147	829	0.234017	0.326000	0.367673	
830	0.261446	170	0.805882	2.032147	830	0.261446	0.354000	0.367540	
839	0.240763	161	0.838509	2.032147	839	0.240763	0.337000	0.367246	
822	0.249392	178	0.842697	2.032147	822	0.249392	0.355000	0.367130	
837	0.270012	163	0.822086	2.032147	837	0.270012	0.360000	0.367063	
844	0.265403	156	0.820513	2.032147	844	0.265403	0.352000	0.366922	
824	0.296117	176	0.823864	2.032147	824	0.296117	0.389000	0.367126	
832	0.277644	168	0.869048	2.032147	832	0.277644	0.377000	0.367217	
839	0.265793	161	0.807453	2.032147	839	0.265793	0.353000	0.367088	
831	0.294826	169	0.905325	2.032147	831	0.294826	0.398000	0.367366	
841	0.282996	159	0.817610	2.032147	841	0.282996	0.368000	0.367372	
847	0.283353	153	0.830065	2.032147	847	0.283353	0.367000	0.367368	
830	0.301205	170	0.841176	2.032147	830	0.301205	0.393000	0.367593	
826	0.254237	174	0.770115	2.032147	826	0.254237	0.344000	0.367388	
838	0.256563	162	0.827160	2.032147	838	0.256563	0.349000	0.367230	
845	0.295858	155	0.819355	2.032147	845	0.295858	0.377000	0.367313	
831	0.252708	169	0.846154	2.032147	831	0.252708	0.353000	0.367192	
813	0.289053	187	0.860963	2.032147	813	0.289053	0.396000	0.367434	
811	0.297164	189	0.846561	2.032147	811	0.297164	0.401000	0.367714	
841	0.280618	159	0.792453	2.032147	841	0.280618	0.362000	0.367666	
845	0.312426	155	0.787097	2.032147	845	0.312426	0.386000	0.367817	
854	0.276347	146	0.773973	2.032147	854	0.276347	0.349000	0.367664	
823	0.272175	177	0.836158	2.032147	823	0.272175	0.372000	0.367699	
820	0.275610	180	0.844444	2.032147	820	0.275610	0.378000	0.367781	
841	0.285375	159	0.805031	2.032147	841	0.285375	0.368000	0.367783	
811	0.298397	189	0.814815	2.032147	811	0.298397	0.396000	0.368005	
814	0.283784	186	0.827957	2.032147	814	0.283784	0.385000	0.368138	
839	0.266985	161	0.807453	2.032147	839	0.266985	0.354000	0.368028	
844	0.266588	156	0.762821	2.032147	844	0.266588	0.344000	0.367843	
833	0.291717	167	0.850299	2.032147	833	0.291717	0.385000	0.367974	
822	0.254258	178	0.797753	2.032147	822	0.254258	0.351000	0.367846	
829	0.277443	171	0.818713	2.032147	829	0.277443	0.370000	0.367862	
825	0.259394	175	0.777143	2.032147	825	0.259394	0.350000	0.367729	
832	0.281250	168	0.809524	2.032147	832	0.281250	0.370000	0.367745	
816	0.250000	184	0.798913	2.032147	816	0.250000	0.351000	0.367622	
835	0.261078	165	0.818182	2.032147	835	0.261078	0.353000	0.367516	
853	0.308324	147	0.857143	2.032147	853	0.308324	0.389000	0.367671	
837	0.289128	163	0.742331	2.032147	837	0.289128	0.363000	0.367638	
