Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/uto-iroquois-cross.cousinmarriage.permitted.bttrees
Data File Name:                  ./data/uto-iroquois-cross.cousinmarriage.permitted.btdata
Log File Name:                   ./output/uto-iroquois-cross.cousinmarriage.permitted-indep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            4235944304
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/uto-iroquois-cross.cousinmarriage.permitted-indep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.736842,0.052632,0.210526,0.000000)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.095105
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      800
     Taxa:                       19
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-16.089658	522	8.272986	12.814544	0.517319	10.614746	0.744376	0.045446	0.210177	0.000000	
12000	-16.791927	357	14.744764	18.744607	2.689362	16.291094	0.739779	0.049700	0.210521	0.000000	
13000	-16.814762	490	2.614652	8.658659	3.008966	16.009482	0.744352	0.053034	0.202613	0.000000	
14000	-18.529697	101	5.337556	8.495791	3.264500	10.477633	0.760423	0.048652	0.190925	0.000000	
15000	-15.875625	126	4.790180	9.122495	1.509693	9.174910	0.750817	0.046263	0.202920	0.000000	
16000	-15.170495	303	7.308855	46.774222	2.487761	16.565238	0.737262	0.052091	0.210646	0.000000	
17000	-14.160798	347	6.099689	29.495799	1.074024	21.465536	0.736948	0.052508	0.210544	0.000000	
18000	-15.103462	412	2.770654	21.822877	0.799251	38.015138	0.736884	0.052634	0.210482	0.000000	
19000	-14.030010	519	6.943308	26.750532	2.303397	22.822944	0.737856	0.051923	0.210221	0.000000	
20000	-16.905506	11	7.017865	8.909666	2.953848	28.401301	0.738309	0.052735	0.208956	0.000000	
21000	-14.721494	466	5.579899	13.671374	1.178617	19.418613	0.747866	0.051437	0.200697	0.000000	
22000	-14.559172	700	8.133896	45.990581	1.269826	17.571183	0.737362	0.051963	0.210675	0.000000	
23000	-15.137294	104	4.287782	18.106793	0.442747	19.547945	0.739099	0.051901	0.209000	0.000000	
24000	-14.299967	314	6.859156	21.781263	5.500708	37.546449	0.736858	0.052633	0.210510	0.000000	
25000	-14.591126	657	4.135555	19.535119	1.369180	22.608016	0.742135	0.051675	0.206189	0.000000	
26000	-14.969235	468	21.455913	41.085586	2.163402	18.279706	0.737244	0.052115	0.210641	0.000000	
