Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
827	0.264813	173	0.699422	2.339718	827	0.264813	0.340000	0.329606	
816	0.287990	184	0.625000	2.339718	816	0.287990	0.350000	0.331306	
834	0.185851	166	0.620482	2.339718	834	0.185851	0.258000	0.325667	
825	0.373333	175	0.640000	1.538541	825	0.373333	0.420000	0.332405	
813	0.409594	187	0.663102	1.538541	813	0.409594	0.457000	0.340711	
831	0.356197	169	0.621302	1.824441	831	0.356197	0.401000	0.344478	
845	0.332544	155	0.767742	1.824441	845	0.332544	0.400000	0.347744	
828	0.345411	172	0.738372	1.824441	828	0.345411	0.413000	0.351369	
820	0.374390	180	0.688889	1.824441	820	0.374390	0.431000	0.355560	
822	0.343066	178	0.702247	1.824441	822	0.343066	0.407000	0.358132	
822	0.328467	178	0.589888	1.824441	822	0.328467	0.375000	0.358935	
810	0.361728	190	0.705263	1.824441	810	0.361728	0.427000	0.362029	
835	0.337725	165	0.666667	1.824441	835	0.337725	0.392000	0.363332	
806	0.347395	194	0.525773	1.824441	806	0.347395	0.382000	0.364110	
833	0.334934	167	0.742515	1.824441	833	0.334934	0.403000	0.365665	
812	0.370690	188	0.723404	1.824441	812	0.370690	0.437000	0.368409	
850	0.329412	150	0.686667	1.824441	850	0.329412	0.383000	0.368949	
812	0.354680	188	0.686170	1.824441	812	0.354680	0.417000	0.370665	
816	0.367647	184	0.581522	1.824441	816	0.367647	0.407000	0.371918	
835	0.372455	165	0.587879	1.824441	835	0.372455	0.408000	0.373121	
840	0.366667	160	0.593750	1.824441	840	0.366667	0.403000	0.374085	
825	0.366061	175	0.588571	1.824441	825	0.366061	0.405000	0.375051	
850	0.376471	150	0.613333	1.824441	850	0.376471	0.412000	0.376170	
831	0.340554	169	0.692308	1.824441	831	0.340554	0.400000	0.376871	
809	0.363412	191	0.649215	1.824441	809	0.363412	0.418000	0.378046	
815	0.333742	185	0.708108	1.824441	815	0.333742	0.403000	0.378739	
832	0.337740	168	0.726190	1.824441	832	0.337740	0.403000	0.379395	
815	0.327607	185	0.556757	1.824441	815	0.327607	0.370000	0.379148	
836	0.314593	164	0.658537	1.824441	836	0.314593	0.371000	0.378939	
807	0.334572	193	0.689119	1.824441	807	0.334572	0.403000	0.379541	
827	0.350665	173	0.710983	1.824441	827	0.350665	0.413000	0.380357	
844	0.357820	156	0.692308	1.824441	844	0.357820	0.410000	0.381062	
828	0.334541	172	0.639535	1.824441	828	0.334541	0.387000	0.381200	
841	0.362663	159	0.654088	1.824441	841	0.362663	0.409000	0.381832	
834	0.369305	166	0.572289	1.824441	834	0.369305	0.403000	0.382303	
808	0.316832	192	0.635417	1.824441	808	0.316832	0.378000	0.382209	
807	0.322181	193	0.663212	1.824441	807	0.322181	0.388000	0.382332	
845	0.333728	155	0.638710	1.824441	845	0.333728	0.381000	0.382305	
829	0.332931	171	0.608187	1.824441	829	0.332931	0.380000	0.382258	
833	0.354142	167	0.628743	1.824441	833	0.354142	0.400000	0.382612	
809	0.367120	191	0.643979	1.824441	809	0.367120	0.420000	0.383345	
849	0.333333	151	0.549669	1.824441	849	0.333333	0.366000	0.383012	
822	0.341849	178	0.685393	1.824441	822	0.341849	0.403000	0.383389	
821	0.393423	179	0.541899	1.824441	821	0.393423	0.420000	0.384067	
846	0.378251	154	0.629870	1.824441	846	0.378251	0.417000	0.384666	
839	0.363528	161	0.627329	1.824441	839	0.363528	0.406000	0.385047	
798	0.344612	202	0.613861	1.824441	798	0.344612	0.399000	0.385291	
838	0.347255	162	0.672840	1.824441	838	0.347255	0.400000	0.385545	
