Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
825	0.454545	175	0.777143	1.222858	825	0.454545	0.511000	0.314699	
836	0.320574	164	0.865854	1.596488	836	0.320574	0.410000	0.322640	
829	0.375151	171	0.777778	1.596488	829	0.375151	0.444000	0.331974	
828	0.317633	172	0.761628	1.596488	828	0.317633	0.394000	0.336405	
833	0.328932	167	0.730539	1.596488	833	0.328932	0.396000	0.340377	
816	0.351716	184	0.652174	1.596488	816	0.351716	0.407000	0.344541	
786	0.307888	214	0.570093	1.596488	786	0.307888	0.364000	0.345686	
811	0.326757	189	0.793651	1.596488	811	0.326757	0.415000	0.349536	
841	0.350773	159	0.742138	1.596488	841	0.350773	0.413000	0.352876	
844	0.334123	156	0.673077	1.596488	844	0.334123	0.387000	0.354582	
822	0.290754	178	0.758427	1.596488	822	0.290754	0.374000	0.355507	
795	0.305660	205	0.804878	1.596488	795	0.305660	0.408000	0.357893	
839	0.334923	161	0.745342	1.596488	839	0.334923	0.401000	0.359767	
784	0.343112	216	0.467593	1.596488	784	0.343112	0.370000	0.360193	
831	0.328520	169	0.775148	1.596488	831	0.328520	0.404000	0.361946	
850	0.325882	150	0.800000	1.596488	850	0.325882	0.397000	0.363294	
835	0.370060	165	0.836364	1.596488	835	0.370060	0.447000	0.366394	
830	0.309639	170	0.764706	1.596488	830	0.309639	0.387000	0.367130	
834	0.341727	166	0.819277	1.596488	834	0.341727	0.421000	0.368987	
852	0.328638	148	0.682432	1.596488	852	0.328638	0.381000	0.369388	
841	0.344828	159	0.754717	1.596488	841	0.344828	0.410000	0.370698	
856	0.379673	144	0.791667	1.596488	856	0.379673	0.439000	0.372832	
825	0.356364	175	0.782857	1.596488	825	0.356364	0.431000	0.374595	
800	0.365000	200	0.795000	1.596488	800	0.365000	0.451000	0.376842	
849	0.374558	151	0.682119	1.596488	849	0.374558	0.421000	0.378103	
846	0.308511	154	0.779221	1.596488	846	0.308511	0.381000	0.378184	
836	0.300239	164	0.743902	1.596488	836	0.300239	0.373000	0.378044	
845	0.344379	155	0.741935	1.596488	845	0.344379	0.406000	0.378780	
835	0.346108	165	0.557576	1.596488	835	0.346108	0.381000	0.378836	
850	0.336471	150	0.760000	1.596488	850	0.336471	0.400000	0.379366	
826	0.357143	174	0.747126	1.596488	826	0.357143	0.425000	0.380479	
844	0.299763	156	0.788462	1.596488	844	0.299763	0.376000	0.380372	
814	0.330467	186	0.747312	1.596488	814	0.330467	0.408000	0.381014	
823	0.345079	177	0.666667	1.596488	823	0.345079	0.402000	0.381491	
825	0.351515	175	0.777143	1.596488	825	0.351515	0.426000	0.382480	
844	0.317536	156	0.756410	1.596488	844	0.317536	0.386000	0.382557	
832	0.313702	168	0.803571	1.596488	832	0.313702	0.396000	0.382843	
828	0.339372	172	0.732558	1.596488	828	0.339372	0.407000	0.383346	
822	0.324818	178	0.724719	1.596488	822	0.324818	0.396000	0.383604	
846	0.346336	154	0.792208	1.596488	846	0.346336	0.415000	0.384232	
833	0.289316	167	0.772455	1.596488	833	0.289316	0.370000	0.383953	
849	0.372203	151	0.768212	1.596488	849	0.372203	0.432000	0.384877	
829	0.331725	171	0.795322	1.596488	829	0.331725	0.411000	0.385370	
850	0.327059	150	0.780000	1.596488	850	0.327059	0.395000	0.385548	
831	0.352587	169	0.710059	1.596488	831	0.352587	0.413000	0.386048	
853	0.337632	147	0.721088	1.596488	853	0.337632	0.394000	0.386190	
830	0.373494	170	0.723529	1.596488	830	0.373494	0.433000	0.387011	
823	0.311057	177	0.768362	1.596488	823	0.311057	0.392000	0.387097	
777	0.328185	223	0.354260	1.596488	777	0.328185	0.334000	0.386197	
826	0.361985	174	0.724138	1.596488	826	0.361985	0.425000	0.386844	
821	0.313033	179	0.731844	1.596488	821	0.313033	0.388000	0.386863	
850	0.314118	150	0.746667	1.596488	850	0.314118	0.379000	0.386736	
851	0.360752	149	0.711409	1.596488	851	0.360752	0.413000	0.387153	
830	0.379518	170	0.700000	1.596488	830	0.379518	0.434000	0.387885	
844	0.344787	156	0.564103	1.596488	844	0.344787	0.379000	0.387748	
826	0.273608	174	0.683908	1.596488	826	0.273608	0.345000	0.387100	
839	0.327771	161	0.788820	1.596488	839	0.327771	0.402000	0.387323	
812	0.316502	188	0.776596	1.596488	812	0.316502	0.403000	0.387553	
812	0.327586	188	0.702128	1.596488	812	0.327586	0.398000	0.387705	
815	0.333742	185	0.702703	1.596488	815	0.333742	0.402000	0.387909	
834	0.364508	166	0.716867	1.596488	834	0.364508	0.423000	0.388403	
836	0.316986	164	0.829268	1.596488	836	0.316986	0.401000	0.388578	
817	0.342717	183	0.704918	1.596488	817	0.342717	0.409000	0.388858	
821	0.350792	179	0.737430	1.596488	821	0.350792	0.420000	0.389279	
824	0.331311	176	0.676136	1.596488	824	0.331311	0.392000	0.389315	
850	0.336471	150	0.733333	1.596488	850	0.336471	0.396000	0.389403	
858	0.357809	142	0.823944	1.596488	858	0.357809	0.424000	0.389852	
828	0.359903	172	0.738372	1.596488	828	0.359903	0.425000	0.390303	
810	0.297531	190	0.789474	1.596488	810	0.297531	0.391000	0.390312	
841	0.340071	159	0.798742	1.596488	841	0.340071	0.413000	0.390595	
845	0.325444	155	0.838710	1.596488	845	0.325444	0.405000	0.390773	
833	0.302521	167	0.766467	1.596488	833	0.302521	0.380000	0.390642	
849	0.334511	151	0.748344	1.596488	849	0.334511	0.397000	0.390718	
821	0.336175	179	0.793296	1.596488	821	0.336175	0.418000	0.391043	
826	0.338983	174	0.798851	1.596488	826	0.338983	0.419000	0.391372	
841	0.272295	159	0.723270	1.596488	841	0.272295	0.344000	0.390821	
808	0.294554	192	0.666667	1.596488	808	0.294554	0.366000	0.390536	
820	0.317073	180	0.705556	1.596488	820	0.317073	0.387000	0.390496	
847	0.336482	153	0.797386	1.596488	847	0.336482	0.407000	0.390681	
843	0.326216	157	0.624204	1.596488	843	0.326216	0.373000	0.390485	
834	0.292566	166	0.777108	1.596488	834	0.292566	0.373000	0.390292	
840	0.320238	160	0.787500	1.596488	840	0.320238	0.395000	0.390344	
824	0.277913	176	0.750000	1.596488	824	0.277913	0.361000	0.390028	
831	0.312876	169	0.828402	1.596488	831	0.312876	0.400000	0.390134	
822	0.300487	178	0.702247	1.596488	822	0.300487	0.372000	0.389943	
852	0.319249	148	0.756757	1.596488	852	0.319249	0.384000	0.389881	
816	0.330882	184	0.755435	1.596488	816	0.330882	0.409000	0.390078	
839	0.315852	161	0.732919	1.596488	839	0.315852	0.383000	0.390006	
832	0.326923	168	0.732143	1.596488	832	0.326923	0.395000	0.390057	
835	0.334132	165	0.751515	1.596488	835	0.334132	0.403000	0.390186	
829	0.323281	171	0.730994	1.596488	829	0.323281	0.393000	0.390214	
821	0.338611	179	0.642458	1.596488	821	0.338611	0.393000	0.390241	
814	0.330467	186	0.731183	1.596488	814	0.330467	0.405000	0.390385	
812	0.306650	188	0.760638	1.596488	812	0.306650	0.392000	0.390400	
796	0.339196	204	0.568627	1.596488	796	0.339196	0.386000	0.390358	
840	0.309524	160	0.743750	1.596488	840	0.309524	0.379000	0.390251	
836	0.296651	164	0.737805	1.596488	836	0.296651	0.369000	0.390052	
828	0.335749	172	0.622093	1.596488	828	0.335749	0.385000	0.390006	
818	0.337408	182	0.791209	1.596488	818	0.337408	0.420000	0.390281	
833	0.345738	167	0.796407	1.596488	833	0.345738	0.421000	0.390560	
855	0.306433	145	0.827586	1.596488	855	0.306433	0.382000	0.390483	
838	0.342482	162	0.635802	1.596488	838	0.342482	0.390000	0.390479	
834	0.290168	166	0.746988	1.596488	834	0.290168	0.366000	0.390262	
812	0.301724	188	0.696809	1.596488	812	0.301724	0.376000	0.390137	
854	0.296253	146	0.767123	1.596488	854	0.296253	0.365000	0.389918	
848	0.331368	152	0.750000	1.596488	848	0.331368	0.395000	0.389962	
849	0.329800	151	0.801325	1.596488	849	0.329800	0.401000	0.390056	
835	0.338922	165	0.660606	1.596488	835	0.338922	0.392000	0.390073	
834	0.327338	166	0.722892	1.596488	834	0.327338	0.393000	0.390098	
817	0.341493	183	0.803279	1.596488	817	0.341493	0.426000	0.390397	
804	0.303483	196	0.744898	1.596488	804	0.303483	0.390000	0.390393	
832	0.317308	168	0.744048	1.596488	832	0.317308	0.389000	0.390382	
822	0.328467	178	0.539326	1.596488	822	0.328467	0.366000	0.390184	
833	0.325330	167	0.694611	1.596488	833	0.325330	0.387000	0.390158	
841	0.322235	159	0.754717	1.596488	841	0.322235	0.391000	0.390165	
822	0.327251	178	0.747191	1.596488	822	0.327251	0.402000	0.390259	
812	0.312808	188	0.521277	1.596488	812	0.312808	0.352000	0.389958	
824	0.319175	176	0.767045	1.596488	824	0.319175	0.398000	0.390020	
818	0.326406	182	0.719780	1.596488	818	0.326406	0.398000	0.390082	
841	0.336504	159	0.767296	1.596488	841	0.336504	0.405000	0.390197	
816	0.328431	184	0.744565	1.596488	816	0.328431	0.405000	0.390310	
839	0.320620	161	0.763975	1.596488	839	0.320620	0.392000	0.390323	
818	0.319071	182	0.763736	1.596488	818	0.319071	0.400000	0.390396	
817	0.325581	183	0.814208	1.596488	817	0.325581	0.415000	0.390579	
827	0.351874	173	0.757225	1.596488	827	0.351874	0.422000	0.390812	
845	0.323077	155	0.677419	1.596488	845	0.323077	0.378000	0.390718	
850	0.322353	150	0.753333	1.596488	850	0.322353	0.387000	0.390691	
838	0.328162	162	0.777778	1.596488	838	0.328162	0.401000	0.390765	
836	0.311005	164	0.707317	1.596488	836	0.311005	0.376000	0.390659	
835	0.312575	165	0.812121	1.596488	835	0.312575	0.395000	0.390690	
827	0.301088	173	0.786127	1.596488	827	0.301088	0.385000	0.390650	
857	0.339557	143	0.748252	1.596488	857	0.339557	0.398000	0.390701	
817	0.343941	183	0.688525	1.596488	817	0.343941	0.407000	0.390815	
838	0.348449	162	0.697531	1.596488	838	0.348449	0.405000	0.390914	
842	0.350356	158	0.797468	1.596488	842	0.350356	0.421000	0.391121	
825	0.341818	175	0.731429	1.596488	825	0.341818	0.410000	0.391251	
848	0.318396	152	0.618421	1.596488	848	0.318396	0.364000	0.391065	
831	0.352587	169	0.810651	1.596488	831	0.352587	0.430000	0.391328	
797	0.319950	203	0.788177	1.596488	797	0.319950	0.415000	0.391487	
835	0.340120	165	0.745455	1.596488	835	0.340120	0.407000	0.391591	
848	0.337264	152	0.769737	1.596488	848	0.337264	0.403000	0.391666	
841	0.321046	159	0.786164	1.596488	841	0.321046	0.395000	0.391688	
828	0.320048	172	0.767442	1.596488	828	0.320048	0.397000	0.391723	
864	0.306713	136	0.772059	1.596488	864	0.306713	0.370000	0.391582	
843	0.376038	157	0.745223	1.596488	843	0.376038	0.434000	0.391856	
819	0.321123	181	0.696133	1.596488	819	0.321123	0.389000	0.391837	
816	0.284314	184	0.684783	1.596488	816	0.284314	0.358000	0.391622	
855	0.299415	145	0.731034	1.596488	855	0.299415	0.362000	0.391434	
838	0.342482	162	0.839506	1.596488	838	0.342482	0.423000	0.391633	
816	0.350490	184	0.815217	1.596488	816	0.350490	0.436000	0.391910	
830	0.308434	170	0.747059	1.596488	830	0.308434	0.383000	0.391855	
852	0.342723	148	0.844595	1.596488	852	0.342723	0.417000	0.392010	
848	0.326651	152	0.717105	1.596488	848	0.326651	0.386000	0.391973	
833	0.364946	167	0.736527	1.596488	833	0.364946	0.427000	0.392187	
847	0.337662	153	0.725490	1.596488	847	0.337662	0.397000	0.392216	
844	0.310427	156	0.826923	1.596488	844	0.310427	0.391000	0.392208	
811	0.287300	189	0.703704	1.596488	811	0.287300	0.366000	0.392052	
826	0.300242	174	0.804598	1.596488	826	0.300242	0.388000	0.392027	
834	0.338129	166	0.722892	1.596488	834	0.338129	0.402000	0.392086	
838	0.375895	162	0.629630	1.596488	838	0.375895	0.417000	0.392233	
858	0.356643	142	0.711268	1.596488	858	0.356643	0.407000	0.392319	
827	0.313180	173	0.612717	1.596488	827	0.313180	0.365000	0.392161	
838	0.354415	162	0.685185	1.596488	838	0.354415	0.408000	0.392252	
835	0.328144	165	0.618182	1.596488	835	0.328144	0.376000	0.392159	
827	0.309553	173	0.768786	1.596488	827	0.309553	0.389000	0.392141	
831	0.322503	169	0.775148	1.596488	831	0.322503	0.399000	0.392180	
830	0.332530	170	0.735294	1.596488	830	0.332530	0.401000	0.392229	
791	0.324905	209	0.693780	1.596488	791	0.324905	0.402000	0.392284	
816	0.329657	184	0.750000	1.596488	816	0.329657	0.407000	0.392367	
833	0.331333	167	0.862275	1.596488	833	0.331333	0.420000	0.392520	
823	0.328068	177	0.836158	1.596488	823	0.328068	0.418000	0.392661	
838	0.360382	162	0.777778	1.596488	838	0.360382	0.428000	0.392855	
841	0.347206	159	0.641509	1.596488	841	0.347206	0.394000	0.392861	
836	0.328947	164	0.774390	1.596488	836	0.328947	0.402000	0.392911	
815	0.321472	185	0.697297	1.596488	815	0.321472	0.391000	0.392901	
819	0.321123	181	0.740331	1.596488	819	0.321123	0.397000	0.392923	
825	0.333333	175	0.828571	1.596488	825	0.333333	0.420000	0.393067	
825	0.357576	175	0.754286	1.596488	825	0.357576	0.427000	0.393248	
837	0.307049	163	0.803681	1.596488	837	0.307049	0.388000	0.393220	
840	0.288095	160	0.650000	1.596488	840	0.288095	0.346000	0.392972	
839	0.367104	161	0.807453	1.596488	839	0.367104	0.438000	0.393207	
821	0.320341	179	0.770950	1.596488	821	0.320341	0.401000	0.393248	
812	0.320197	188	0.728723	1.596488	812	0.320197	0.397000	0.393267	
826	0.324455	174	0.729885	1.596488	826	0.324455	0.395000	0.393276	
833	0.320528	167	0.796407	1.596488	833	0.320528	0.400000	0.393311	
818	0.326406	182	0.670330	1.596488	818	0.326406	0.389000	0.393289	
820	0.321951	180	0.788889	1.596488	820	0.321951	0.406000	0.393353	
838	0.315036	162	0.672840	1.596488	838	0.315036	0.373000	0.393251	
844	0.305687	156	0.801282	1.596488	844	0.305687	0.383000	0.393199	
828	0.375604	172	0.750000	1.596488	828	0.375604	0.440000	0.393433	
814	0.347666	186	0.645161	1.596488	814	0.347666	0.403000	0.393481	
817	0.330477	183	0.759563	1.596488	817	0.330477	0.409000	0.393557	
841	0.337693	159	0.691824	1.596488	841	0.337693	0.394000	0.393560	
850	0.328235	150	0.773333	1.596488	850	0.328235	0.395000	0.393567	
848	0.320755	152	0.717105	1.596488	848	0.320755	0.381000	0.393505	
821	0.347138	179	0.737430	1.596488	821	0.347138	0.417000	0.393619	
831	0.347774	169	0.816568	1.596488	831	0.347774	0.427000	0.393781	
820	0.321951	180	0.650000	1.596488	820	0.321951	0.381000	0.393719	
857	0.340723	143	0.664336	1.596488	857	0.340723	0.387000	0.393687	
841	0.309156	159	0.805031	1.596488	841	0.309156	0.388000	0.393660	
858	0.333333	142	0.711268	1.596488	858	0.333333	0.387000	0.393628	
810	0.322222	190	0.668421	1.596488	810	0.322222	0.388000	0.393602	
848	0.321934	152	0.835526	1.596488	848	0.321934	0.400000	0.393632	
831	0.324910	169	0.680473	1.596488	831	0.324910	0.385000	0.393592	
822	0.298054	178	0.662921	1.596488	822	0.298054	0.363000	0.393449	
848	0.284198	152	0.750000	1.596488	848	0.284198	0.355000	0.393271	
834	0.333333	166	0.692771	1.596488	834	0.333333	0.393000	0.393270	
837	0.311828	163	0.625767	1.596488	837	0.311828	0.363000	0.393131	
840	0.338095	160	0.743750	1.596488	840	0.338095	0.403000	0.393176	
828	0.346618	172	0.750000	1.596488	828	0.346618	0.416000	0.393280	
839	0.311085	161	0.788820	1.596488	839	0.311085	0.388000	0.393256	
834	0.323741	166	0.771084	1.596488	834	0.323741	0.398000	0.393278	
833	0.333733	167	0.832335	1.596488	833	0.333733	0.417000	0.393384	
830	0.296386	170	0.758824	1.596488	830	0.296386	0.375000	0.393302	
840	0.335714	160	0.756250	1.596488	840	0.335714	0.403000	0.393345	
820	0.298780	180	0.783333	1.596488	820	0.298780	0.386000	0.393312	
832	0.338942	168	0.761905	1.596488	832	0.338942	0.410000	0.393386	
837	0.335723	163	0.828221	1.596488	837	0.335723	0.416000	0.393485	
826	0.329298	174	0.781609	1.596488	826	0.329298	0.408000	0.393548	
840	0.304762	160	0.843750	1.596488	840	0.304762	0.391000	0.393537	
827	0.332527	173	0.734104	1.596488	827	0.332527	0.402000	0.393574	
844	0.310427	156	0.788462	1.596488	844	0.310427	0.385000	0.393537	
821	0.362972	179	0.720670	1.596488	821	0.362972	0.427000	0.393681	
831	0.333333	169	0.798817	1.596488	831	0.333333	0.412000	0.393759	
838	0.337709	162	0.598765	1.596488	838	0.337709	0.380000	0.393700	
836	0.321770	164	0.689024	1.596488	836	0.321770	0.382000	0.393651	
820	0.340244	180	0.711111	1.596488	820	0.340244	0.407000	0.393707	
825	0.361212	175	0.771429	1.596488	825	0.361212	0.433000	0.393872	
836	0.321770	164	0.798780	1.596488	836	0.321770	0.400000	0.393898	
808	0.305693	192	0.750000	1.596488	808	0.305693	0.391000	0.393886	
803	0.328767	197	0.776650	1.596488	803	0.328767	0.417000	0.393982	
833	0.328932	167	0.784431	1.596488	833	0.328932	0.405000	0.394027	
837	0.327360	163	0.662577	1.596488	837	0.327360	0.382000	0.393978	
859	0.330617	141	0.709220	1.596488	859	0.330617	0.384000	0.393937	
833	0.302521	167	0.718563	1.596488	833	0.302521	0.372000	0.393847	
830	0.319277	170	0.747059	1.596488	830	0.319277	0.392000	0.393840	
834	0.353717	166	0.716867	1.596488	834	0.353717	0.414000	0.393921	
825	0.376970	175	0.760000	1.596488	825	0.376970	0.444000	0.394123	
841	0.355529	159	0.691824	1.596488	841	0.355529	0.409000	0.394183	
834	0.311751	166	0.771084	1.596488	834	0.311751	0.388000	0.394158	
828	0.316425	172	0.755814	1.596488	828	0.316425	0.392000	0.394150	
836	0.333732	164	0.731707	1.596488	836	0.333732	0.399000	0.394169	
849	0.333333	151	0.708609	1.596488	849	0.333333	0.390000	0.394153	
833	0.312125	167	0.670659	1.596488	833	0.312125	0.372000	0.394065	
832	0.355769	168	0.702381	1.596488	832	0.355769	0.414000	0.394144	
839	0.311085	161	0.745342	1.596488	839	0.311085	0.381000	0.394092	
817	0.372093	183	0.797814	1.596488	817	0.372093	0.450000	0.394310	
842	0.315914	158	0.721519	1.596488	842	0.315914	0.380000	0.394254	
825	0.351515	175	0.765714	1.596488	825	0.351515	0.424000	0.394369	
835	0.329341	165	0.824242	1.596488	835	0.329341	0.411000	0.394433	
816	0.338235	184	0.722826	1.596488	816	0.338235	0.409000	0.394489	
834	0.300959	166	0.795181	1.596488	834	0.300959	0.383000	0.394445	
835	0.318563	165	0.763636	1.596488	835	0.318563	0.392000	0.394436	
811	0.320592	189	0.788360	1.596488	811	0.320592	0.409000	0.394491	
851	0.331375	149	0.852349	1.596488	851	0.331375	0.409000	0.394546	
822	0.312652	178	0.617978	1.596488	822	0.312652	0.367000	0.394442	
816	0.310049	184	0.744565	1.596488	816	0.310049	0.390000	0.394425	
836	0.356459	164	0.804878	1.596488	836	0.356459	0.430000	0.394558	
788	0.312183	212	0.566038	1.596488	788	0.312183	0.366000	0.394452	
840	0.333333	160	0.825000	1.596488	840	0.333333	0.412000	0.394517	
831	0.311673	169	0.751479	1.596488	831	0.311673	0.386000	0.394486	
834	0.346523	166	0.771084	1.596488	834	0.346523	0.417000	0.394568	
835	0.324551	165	0.751515	1.596488	835	0.324551	0.395000	0.394570	
843	0.355872	157	0.694268	1.596488	843	0.355872	0.409000	0.394623	
831	0.306859	169	0.603550	1.596488	831	0.306859	0.357000	0.394486	
857	0.332555	143	0.671329	1.596488	857	0.332555	0.381000	0.394437	
830	0.331325	170	0.794118	1.596488	830	0.331325	0.410000	0.394493	
833	0.345738	167	0.694611	1.596488	833	0.345738	0.404000	0.394527	
838	0.326969	162	0.790123	1.596488	838	0.326969	0.402000	0.394554	
838	0.315036	162	0.858025	1.596488	838	0.315036	0.403000	0.394584	
836	0.326555	164	0.719512	1.596488	836	0.326555	0.391000	0.394572	
833	0.303721	167	0.664671	1.596488	833	0.303721	0.364000	0.394463	
839	0.356377	161	0.745342	1.596488	839	0.356377	0.419000	0.394550	
836	0.330144	164	0.762195	1.596488	836	0.330144	0.401000	0.394573	
838	0.365155	162	0.722222	1.596488	838	0.365155	0.423000	0.394672	
837	0.328554	163	0.705521	1.596488	837	0.328554	0.390000	0.394656	
835	0.325749	165	0.806061	1.596488	835	0.325749	0.405000	0.394692	
844	0.337678	156	0.724359	1.596488	844	0.337678	0.398000	0.394703	
859	0.335274	141	0.737589	1.596488	859	0.335274	0.392000	0.394694	
835	0.359281	165	0.787879	1.596488	835	0.359281	0.430000	0.394816	
830	0.320482	170	0.723529	1.596488	830	0.320482	0.389000	0.394796	
844	0.276066	156	0.750000	1.596488	844	0.276066	0.350000	0.394642	
832	0.325721	168	0.720238	1.596488	832	0.325721	0.392000	0.394633	
844	0.284360	156	0.782051	1.596488	844	0.284360	0.362000	0.394522	
840	0.358333	160	0.756250	1.596488	840	0.358333	0.422000	0.394616	
856	0.313084	144	0.805556	1.596488	856	0.313084	0.384000	0.394580	
811	0.334155	189	0.777778	1.596488	811	0.334155	0.418000	0.394659	
856	0.357477	144	0.784722	1.596488	856	0.357477	0.419000	0.394740	
868	0.304147	132	0.734848	1.596488	868	0.304147	0.361000	0.394627	
837	0.345281	163	0.754601	1.596488	837	0.345281	0.412000	0.394685	
844	0.311611	156	0.705128	1.596488	844	0.311611	0.373000	0.394613	
819	0.326007	181	0.812155	1.596488	819	0.326007	0.414000	0.394678	
827	0.309553	173	0.705202	1.596488	827	0.309553	0.378000	0.394622	
815	0.288344	185	0.800000	1.596488	815	0.288344	0.383000	0.394584	
843	0.353499	157	0.783439	1.596488	843	0.353499	0.421000	0.394671	
834	0.318945	166	0.789157	1.596488	834	0.318945	0.397000	0.394678	
825	0.373333	175	0.680000	1.596488	825	0.373333	0.427000	0.394784	
815	0.321472	185	0.810811	1.596488	815	0.321472	0.412000	0.394840	
830	0.327711	170	0.735294	1.596488	830	0.327711	0.397000	0.394847	
836	0.321770	164	0.670732	1.596488	836	0.321770	0.379000	0.394796	
834	0.314149	166	0.734940	1.596488	834	0.314149	0.384000	0.394761	
841	0.351962	159	0.798742	1.596488	841	0.351962	0.423000	0.394851	
816	0.273284	184	0.788043	1.596488	816	0.273284	0.368000	0.394766	
807	0.323420	193	0.740933	1.596488	807	0.323420	0.404000	0.394795	
822	0.313869	178	0.780899	1.596488	822	0.313869	0.397000	0.394802	
847	0.337662	153	0.790850	1.596488	847	0.337662	0.407000	0.394841	
810	0.314815	190	0.778947	1.596488	810	0.314815	0.403000	0.394866	
831	0.347774	169	0.686391	1.596488	831	0.347774	0.405000	0.394898	
845	0.325444	155	0.851613	1.596488	845	0.325444	0.407000	0.394936	
843	0.339265	157	0.777070	1.596488	843	0.339265	0.408000	0.394977	
825	0.346667	175	0.800000	1.596488	825	0.346667	0.426000	0.395074	
845	0.321893	155	0.748387	1.596488	845	0.321893	0.388000	0.395052	
826	0.334140	174	0.816092	1.596488	826	0.334140	0.418000	0.395123	
844	0.303318	156	0.634615	1.596488	844	0.303318	0.355000	0.394999	
825	0.304242	175	0.531429	1.596488	825	0.304242	0.344000	0.394842	
847	0.334120	153	0.666667	1.596488	847	0.334120	0.385000	0.394812	
810	0.314815	190	0.552632	1.596488	810	0.314815	0.360000	0.394705	
820	0.340244	180	0.777778	1.596488	820	0.340244	0.419000	0.394779	
828	0.324879	172	0.738372	1.596488	828	0.324879	0.396000	0.394783	
831	0.330927	169	0.804734	1.596488	831	0.330927	0.411000	0.394832	
828	0.271739	172	0.773256	1.596488	828	0.271739	0.358000	0.394721	
831	0.316486	169	0.775148	1.596488	831	0.316486	0.394000	0.394719	
851	0.354877	149	0.758389	1.596488	851	0.354877	0.415000	0.394780	
849	0.334511	151	0.781457	1.596488	849	0.334511	0.402000	0.394801	
822	0.357664	178	0.747191	1.596488	822	0.357664	0.427000	0.394897	
822	0.341849	178	0.820225	1.596488	822	0.341849	0.427000	0.394993	
820	0.302439	180	0.727778	1.596488	820	0.302439	0.379000	0.394945	
845	0.358580	155	0.787097	1.596488	845	0.358580	0.425000	0.395034	
829	0.341375	171	0.795322	1.596488	829	0.341375	0.419000	0.395105	
834	0.320144	166	0.783133	1.596488	834	0.320144	0.397000	0.395111	
841	0.329370	159	0.748428	1.596488	841	0.329370	0.396000	0.395113	
839	0.321812	161	0.801242	1.596488	839	0.321812	0.399000	0.395125	
847	0.358914	153	0.692810	1.596488	847	0.358914	0.410000	0.395168	
826	0.319613	174	0.758621	1.596488	826	0.319613	0.396000	0.395170	
837	0.309438	163	0.742331	1.596488	837	0.309438	0.380000	0.395126	
832	0.312500	168	0.815476	1.596488	832	0.312500	0.397000	0.395132	
