Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/austronesian-hawaiian-absenceofcousinmarriage.permitted.bttrees
Data File Name:                  ./data/austronesian-hawaiian-absenceofcousinmarriage.permitted.btdata
Log File Name:                   ./output/austronesian-hawaiian-absenceofcousinmarriage.permitted-dep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1437333523
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-hawaiian-absenceofcousinmarriage.permitted-dep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.126582,0.316456,0.126582,0.430380)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000084
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       79
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-98.232441	843	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	3.647499	0.000000	3.647499	3.647499	3.647499	3.647499	3.647499	0.001193	0.486899	0.018167	0.493741	
12000	-99.356716	486	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	5.064015	5.064015	5.064015	5.064015	5.064015	0.000000	0.693265	0.004542	0.302193	
13000	-98.605473	902	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	5.102673	0.000000	5.102673	5.102673	5.102673	5.102673	5.102673	0.002505	0.543081	0.022530	0.431883	
14000	-103.099893	2	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	11.553099	0.000000	11.553099	11.553099	11.553099	11.553099	11.553099	0.031977	0.474716	0.062563	0.430744	
15000	-97.744779	346	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	4.772172	0.000000	4.772172	4.772172	4.772172	4.772172	4.772172	0.001514	0.539504	0.017794	0.441188	
16000	-98.980518	662	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	4.369630	4.369630	4.369630	4.369630	4.369630	0.000000	0.622048	0.007749	0.370202	
17000	-98.633899	425	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	4.372063	0.000000	4.372063	4.372063	4.372063	4.372063	4.372063	0.006163	0.478871	0.036588	0.478378	
18000	-98.757943	818	1	1	'0 0 Z 0 0 0 0 0 	D	4.036216	4.036216	0.000000	4.036216	4.036216	4.036216	4.036216	4.036216	0.162520	0.244349	0.137657	0.455474	
19000	-98.978169	182	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	4.090989	4.090989	4.090989	4.090989	4.090989	0.000000	0.597547	0.006010	0.396443	
20000	-100.018126	880	1	1	'0 0 Z 0 0 0 0 0 	D	4.857184	4.857184	0.000000	4.857184	4.857184	4.857184	4.857184	4.857184	0.156585	0.262716	0.127084	0.453615	
21000	-99.479820	337	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	5.805122	0.000000	5.805122	5.805122	5.805122	5.805122	5.805122	0.008415	0.539658	0.035027	0.416900	
22000	-99.322825	291	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	3.384141	0.000000	3.384141	3.384141	3.384141	3.384141	3.384141	0.001677	0.377851	0.024443	0.596029	
23000	-97.514676	98	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	5.768428	0.000000	5.768428	5.768428	5.768428	5.768428	5.768428	0.003496	0.559532	0.024087	0.412884	
24000	-98.414517	251	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	6.232993	0.000000	6.232993	6.232993	6.232993	6.232993	6.232993	0.007390	0.543692	0.033729	0.415189	
25000	-99.211809	198	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	5.720285	5.720285	5.720285	5.720285	5.720285	0.000000	0.745316	0.002784	0.251899	
26000	-98.601083	585	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	4.139303	0.000000	4.139303	4.139303	4.139303	4.139303	4.139303	0.003994	0.469762	0.031233	0.495011	
27000	-99.786071	573	1	1	'0 0 Z 0 0 0 0 0 	D	4.125989	4.125989	0.000000	4.125989	4.125989	4.125989	4.125989	4.125989	0.159526	0.237055	0.117623	0.485797	
28000	-100.057309	776	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	8.796419	0.000000	8.796419	8.796419	8.796419	8.796419	8.796419	0.014430	0.531319	0.042909	0.411341	
29000	-100.633476	923	1	1	'0 0 Z 0 0 0 0 0 	D	8.540715	8.540715	0.000000	8.540715	8.540715	8.540715	8.540715	8.540715	0.129598	0.304981	0.131160	0.434260	
30000	-98.866643	557	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	6.203163	0.000000	6.203163	6.203163	6.203163	6.203163	6.203163	0.006980	0.546410	0.032607	0.414003	
31000	-98.241661	493	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	6.271871	0.000000	6.271871	6.271871	6.271871	6.271871	6.271871	0.005338	0.570181	0.028492	0.395989	
32000	-99.354363	758	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	5.197061	5.197061	5.197061	5.197061	5.197061	0.000000	0.678603	0.008193	0.313204	
33000	-98.676165	736	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	4.501348	0.000000	4.501348	4.501348	4.501348	4.501348	4.501348	0.001180	0.496486	0.018119	0.484215	
34000	-97.894424	705	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	4.781464	0.000000	4.781464	4.781464	4.781464	4.781464	4.781464	0.002906	0.567272	0.023049	0.406772	
35000	-99.502477	762	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	6.353616	6.353616	6.353616	6.353616	6.353616	0.000000	0.645860	0.014248	0.339892	
36000	-98.096272	295	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	5.810725	0.000000	5.810725	5.810725	5.810725	5.810725	5.810725	0.005437	0.553073	0.029212	0.412277	
37000	-98.875775	303	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	5.063401	0.000000	5.063401	5.063401	5.063401	5.063401	5.063401	0.003204	0.546032	0.024712	0.426052	
38000	-99.537868	117	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	3.931020	3.931020	3.931020	3.931020	3.931020	0.000000	0.567625	0.003782	0.428593	
39000	-95.061092	372	2	2	'Z 0 Z 0 0 1 0 0 	D	0.000000	4.827334	0.000000	4.827334	4.827334	22.061348	4.827334	4.827334	0.231699	0.145271	0.180205	0.442826	
40000	-99.078948	965	2	3	'Z Z Z 1 1 1 0 0 	D	0.000000	0.000000	0.000000	5.277901	5.277901	5.277901	2.450517	2.450517	0.000000	0.645607	0.006123	0.348270	
41000	-100.285060	717	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	3.569345	3.569345	3.569345	3.569345	3.569345	0.000000	0.483918	0.010483	0.505599	
42000	-98.330575	585	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	4.809455	0.000000	4.809455	4.809455	4.809455	4.809455	4.809455	0.005683	0.508289	0.033600	0.452428	
43000	-101.425168	647	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	9.616295	0.000000	9.616295	9.616295	9.616295	9.616295	9.616295	0.025104	0.496323	0.054945	0.423627	
44000	-97.376302	960	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	5.142598	0.000000	5.142598	5.142598	5.142598	5.142598	5.142598	0.005557	0.531867	0.031500	0.431076	
45000	-98.226595	752	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	4.383570	4.383570	4.383570	4.383570	4.383570	0.000000	0.579486	0.018957	0.401557	
46000	-99.108958	270	1	1	'0 0 Z 0 0 0 0 0 	D	5.495757	5.495757	0.000000	5.495757	5.495757	5.495757	5.495757	5.495757	0.153852	0.263811	0.136034	0.446303	
47000	-98.258041	780	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	5.022476	0.000000	5.022476	5.022476	5.022476	5.022476	5.022476	0.004097	0.526262	0.028727	0.440914	
48000	-98.809968	652	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	3.888887	0.000000	3.888887	3.888887	3.888887	3.888887	3.888887	0.000484	0.454466	0.013279	0.531771	
49000	-98.080099	530	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	4.454039	0.000000	4.454039	4.454039	4.454039	4.454039	4.454039	0.002871	0.521959	0.024589	0.450580	
50000	-100.243566	297	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	3.131262	3.131262	3.131262	3.131262	3.131262	0.000000	0.442787	0.009434	0.547778	
51000	-98.612671	557	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	5.622833	0.000000	5.622833	5.622833	5.622833	5.622833	5.622833	0.005199	0.542029	0.029611	0.423161	
52000	-97.657534	771	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	4.739483	0.000000	4.739483	4.739483	4.739483	4.739483	4.739483	0.002931	0.520328	0.025087	0.451655	
53000	-97.701263	704	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	5.645366	0.000000	5.645366	5.645366	5.645366	5.645366	5.645366	0.005310	0.557538	0.027910	0.409242	
54000	-98.217388	245	1	1	'0 0 Z 0 0 0 0 0 	D	4.396853	4.396853	0.000000	4.396853	4.396853	4.396853	4.396853	4.396853	0.158374	0.258327	0.133972	0.449327	
55000	-99.018498	494	1	1	'0 0 Z 0 0 0 0 0 	D	5.107032	5.107032	0.000000	5.107032	5.107032	5.107032	5.107032	5.107032	0.145796	0.291603	0.119184	0.443417	
56000	-98.834721	34	1	1	'0 0 Z 0 0 0 0 0 	D	4.845080	4.845080	0.000000	4.845080	4.845080	4.845080	4.845080	4.845080	0.154201	0.267548	0.131969	0.446281	
57000	-99.304124	718	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	5.313863	5.313863	5.313863	5.313863	5.313863	0.000000	0.719268	0.003466	0.277266	
58000	-99.585717	734	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	6.137849	6.137849	6.137849	6.137849	6.137849	0.000000	0.667955	0.011027	0.321018	
59000	-98.892597	77	2	3	'Z Z Z 0 1 1 0 0 	D	0.000000	0.000000	0.000000	5.210407	5.201548	5.201548	5.210407	5.210407	0.000000	0.690394	0.006011	0.303595	
60000	-98.372906	746	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	4.852641	4.852641	4.852641	4.852641	4.852641	0.000000	0.666407	0.006331	0.327262	
61000	-98.963572	678	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	4.894676	0.000000	4.894676	4.894676	4.894676	4.894676	4.894676	0.006531	0.530106	0.033709	0.429653	
62000	-97.449725	461	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	4.252401	0.000000	4.252401	4.252401	4.252401	4.252401	4.252401	0.001436	0.460903	0.020665	0.516996	
63000	-99.660985	519	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	8.030847	0.000000	8.030847	8.030847	8.030847	8.030847	8.030847	0.010807	0.542183	0.038727	0.408283	
64000	-98.234694	780	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	5.261552	0.000000	5.261552	5.261552	5.261552	5.261552	5.261552	0.004575	0.535108	0.029444	0.430873	
65000	-102.735399	35	1	1	'0 0 Z 0 0 0 0 0 	D	22.305674	22.305674	0.000000	22.305674	22.305674	22.305674	22.305674	22.305674	0.126595	0.316357	0.126627	0.430421	
66000	-99.310417	358	1	1	'0 0 Z 0 0 0 0 0 	D	4.197551	4.197551	0.000000	4.197551	4.197551	4.197551	4.197551	4.197551	0.166265	0.247121	0.131259	0.455354	
67000	-98.395111	854	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	4.987642	4.987642	4.987642	4.987642	4.987642	0.000000	0.692022	0.005690	0.302288	
68000	-98.729943	883	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	3.691260	0.000000	3.691260	3.691260	3.691260	3.691260	3.691260	0.000905	0.419821	0.019142	0.560132	
69000	-99.430843	402	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	3.850523	0.000000	3.850523	3.850523	3.850523	3.850523	3.850523	0.003475	0.439985	0.030974	0.525566	
70000	-100.753559	654	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	3.411155	0.000000	3.411155	3.411155	3.411155	3.411155	3.411155	0.000769	0.404675	0.017046	0.577510	
71000	-97.998997	877	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	4.099033	0.000000	4.099033	4.099033	4.099033	4.099033	4.099033	0.005671	0.462201	0.036774	0.495354	
72000	-98.543695	225	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	4.432271	4.432271	4.432271	4.432271	4.432271	0.000000	0.615467	0.008352	0.376181	
73000	-98.668961	687	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	4.458233	0.000000	4.458233	4.458233	4.458233	4.458233	4.458233	0.001170	0.477235	0.018672	0.502922	
74000	-98.751638	975	1	1	'0 0 Z 0 0 0 0 0 	D	5.392592	5.392592	0.000000	5.392592	5.392592	5.392592	5.392592	5.392592	0.154065	0.264517	0.132921	0.448497	
75000	-99.162873	359	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	3.541401	3.541401	3.541401	3.541401	3.541401	0.000000	0.450623	0.007668	0.541708	
76000	-99.098810	730	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	3.776562	3.776562	3.776562	3.776562	3.776562	0.000000	0.562641	0.006529	0.430830	
77000	-99.841963	990	1	1	'0 0 Z 0 0 0 0 0 	D	4.938424	4.938424	0.000000	4.938424	4.938424	4.938424	4.938424	4.938424	0.155021	0.265251	0.134862	0.444866	
78000	-98.801645	526	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	4.142599	4.142599	4.142599	4.142599	4.142599	0.000000	0.605578	0.005600	0.388822	
79000	-99.316513	972	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	6.919468	0.000000	6.919468	6.919468	6.919468	6.919468	6.919468	0.011314	0.548797	0.036988	0.402901	
80000	-98.418720	459	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	4.892983	0.000000	4.892983	4.892983	4.892983	4.892983	4.892983	0.003727	0.530029	0.026612	0.439632	
81000	-98.235902	497	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	4.213647	4.213647	4.213647	4.213647	4.213647	0.000000	0.600229	0.010253	0.389518	
82000	-98.330294	588	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	5.259446	0.000000	5.259446	5.259446	5.259446	5.259446	5.259446	0.007500	0.526764	0.035699	0.430037	
83000	-99.872913	272	1	1	'0 0 Z 0 0 0 0 0 	D	5.672510	5.672510	0.000000	5.672510	5.672510	5.672510	5.672510	5.672510	0.145483	0.276617	0.136529	0.441371	
84000	-98.893543	414	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	5.598588	5.598588	5.598588	5.598588	5.598588	0.000000	0.737323	0.003231	0.259446	
85000	-97.736808	142	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	6.080969	0.000000	6.080969	6.080969	6.080969	6.080969	6.080969	0.004091	0.566550	0.025452	0.403907	
86000	-96.115969	210	2	2	'Z 0 Z 1 0 0 1 1 	D	0.000000	11.073856	0.000000	4.685401	11.073856	11.073856	4.685401	4.685401	0.072842	0.306986	0.105102	0.515069	
87000	-98.429508	627	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	5.086650	0.000000	5.086650	5.086650	5.086650	5.086650	5.086650	0.007079	0.532644	0.033678	0.426600	
88000	-99.238551	433	1	1	'0 0 Z 0 0 0 0 0 	D	4.766887	4.766887	0.000000	4.766887	4.766887	4.766887	4.766887	4.766887	0.162961	0.250632	0.126499	0.459908	
89000	-97.943676	63	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	5.525986	0.000000	5.525986	5.525986	5.525986	5.525986	5.525986	0.006188	0.541465	0.031815	0.420532	
90000	-99.003654	255	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	4.249666	4.249666	4.249666	4.249666	4.249666	0.000000	0.598609	0.013064	0.388327	
91000	-98.698318	552	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	6.296864	0.000000	6.296864	6.296864	6.296864	6.296864	6.296864	0.007734	0.549142	0.033594	0.409530	
92000	-99.936182	574	1	1	'0 0 Z 0 0 0 0 0 	D	3.935523	3.935523	0.000000	3.935523	3.935523	3.935523	3.935523	3.935523	0.182955	0.217610	0.120402	0.479034	
93000	-98.269161	839	1	1	'0 0 Z 0 0 0 0 0 	D	4.610534	4.610534	0.000000	4.610534	4.610534	4.610534	4.610534	4.610534	0.161836	0.249206	0.136208	0.452750	
94000	-98.831105	534	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	3.783349	0.000000	3.783349	3.783349	3.783349	3.783349	3.783349	0.003783	0.439557	0.031961	0.524700	
95000	-99.880080	338	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	3.475692	0.000000	3.475692	3.475692	3.475692	3.475692	3.475692	0.000397	0.391496	0.013325	0.594782	
96000	-100.242184	211	1	1	'0 0 Z 0 0 0 0 0 	D	6.091451	6.091451	0.000000	6.091451	6.091451	6.091451	6.091451	6.091451	0.133254	0.300442	0.131696	0.434607	
97000	-98.671888	708	1	1	'0 0 Z 0 0 0 0 0 	D	4.022689	4.022689	0.000000	4.022689	4.022689	4.022689	4.022689	4.022689	0.176415	0.232203	0.126294	0.465088	
98000	-98.969276	742	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	5.023109	5.023109	5.023109	5.023109	5.023109	0.000000	0.715604	0.002921	0.281475	
99000	-98.699664	687	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	4.405911	0.000000	4.405911	4.405911	4.405911	4.405911	4.405911	0.001115	0.472131	0.018475	0.508279	
