Rate	71.43
Rev Jump	14.29
Tree Move	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
698	0.275072	144	0.000000	158	0.778481	2.445020	698	0.275072	0.315000	0.298427	
723	0.293223	133	0.000000	144	0.791667	2.445020	723	0.293223	0.326000	0.300725	
730	0.339726	108	0.000000	162	0.790123	2.445020	730	0.339726	0.376000	0.306515	
733	0.270123	128	0.000000	139	0.834532	2.445020	733	0.270123	0.314000	0.307049	
727	0.292985	132	0.000000	141	0.751773	2.445020	727	0.292985	0.319000	0.307846	
739	0.296346	120	0.000000	141	0.758865	2.445020	739	0.296346	0.326000	0.308981	
719	0.255911	128	0.000000	153	0.745098	2.445020	719	0.255911	0.298000	0.308335	
744	0.314516	120	0.000000	136	0.816176	2.445020	744	0.314516	0.345000	0.310372	
727	0.273728	130	0.015385	143	0.755245	2.445020	727	0.273728	0.309000	0.310299	
728	0.296703	122	0.049180	150	0.593333	2.445020	728	0.296703	0.311000	0.310334	
737	0.295794	129	0.015504	134	0.746269	2.445020	737	0.295794	0.320000	0.310795	
715	0.317483	117	0.017094	168	0.732143	2.445020	715	0.317483	0.352000	0.312668	
737	0.191316	118	0.000000	145	0.793103	2.445020	737	0.191316	0.256000	0.310204	
726	0.305785	139	0.000000	135	0.814815	1.655917	726	0.305785	0.332000	0.311112	
763	0.330275	109	0.000000	128	0.726562	1.655917	763	0.330275	0.345000	0.312468	
741	0.325236	107	0.000000	152	0.657895	1.655917	741	0.325236	0.341000	0.313565	
743	0.298789	125	0.000000	132	0.757576	1.655917	743	0.298789	0.322000	0.313877	
762	0.288714	100	0.040000	138	0.753623	1.655917	762	0.288714	0.328000	0.314382	
761	0.335085	107	0.000000	132	0.795455	1.655917	761	0.335085	0.360000	0.315955	
719	0.283727	132	0.000000	149	0.805369	1.655917	719	0.283727	0.324000	0.316223	
734	0.335150	117	0.000000	149	0.818792	1.655917	734	0.335150	0.368000	0.317893	
708	0.327684	108	0.000000	184	0.793478	1.655917	708	0.327684	0.378000	0.319771	
740	0.327027	119	0.000000	141	0.794326	1.655917	740	0.327027	0.354000	0.320808	
727	0.325997	133	0.000000	140	0.742857	1.655917	727	0.325997	0.341000	0.321402	
715	0.296503	129	0.000000	156	0.743590	1.655917	715	0.296503	0.328000	0.321591	
719	0.350487	115	0.034783	166	0.734940	1.655917	719	0.350487	0.378000	0.323158	
723	0.413555	119	0.000000	158	0.683544	1.655917	723	0.413555	0.407000	0.325424	
730	0.305479	116	0.000000	154	0.772727	2.438000	730	0.305479	0.342000	0.325860	
738	0.307588	132	0.000000	130	0.792308	2.438000	738	0.307588	0.330000	0.325966	
722	0.283934	135	0.014815	143	0.811189	2.438000	722	0.283934	0.323000	0.325892	
716	0.287709	129	0.015504	155	0.825806	2.438000	716	0.287709	0.336000	0.326138	
746	0.316354	116	0.000000	138	0.768116	2.438000	746	0.316354	0.342000	0.326516	
740	0.291892	102	0.000000	158	0.696203	2.438000	740	0.291892	0.326000	0.326504	
715	0.282517	134	0.000000	151	0.807947	2.438000	715	0.282517	0.324000	0.326447	
730	0.302740	119	0.000000	151	0.794702	2.438000	730	0.302740	0.341000	0.326771	
721	0.274619	121	0.000000	158	0.784810	2.438000	721	0.274619	0.322000	0.326667	
729	0.289438	125	0.016000	146	0.712329	2.438000	729	0.289438	0.317000	0.326461	
714	0.288515	126	0.000000	160	0.843750	2.438000	714	0.288515	0.341000	0.326764	
749	0.291055	121	0.000000	130	0.746154	2.438000	749	0.291055	0.315000	0.326524	
722	0.310249	151	0.000000	127	0.748031	2.438000	722	0.310249	0.319000	0.326373	
