Rate	71.43
Rev Jump	14.29
Tree Move	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
760	0.232895	97	0.000000	143	0.643357	2.988283	760	0.232895	0.269000	0.293064	
756	0.212963	109	0.018349	135	0.777778	2.988283	756	0.212963	0.268000	0.290976	
720	0.266667	124	0.000000	156	0.730769	2.988283	720	0.266667	0.306000	0.292131	
743	0.267833	131	0.000000	126	0.698413	2.988283	743	0.267833	0.287000	0.291765	
741	0.246964	116	0.000000	143	0.699301	2.988283	741	0.246964	0.283000	0.291181	
752	0.269947	104	0.000000	144	0.701389	2.988283	752	0.269947	0.304000	0.291982	
735	0.291156	102	0.000000	163	0.705521	2.988283	735	0.291156	0.329000	0.294159	
713	0.239832	118	0.016949	169	0.704142	2.988283	713	0.239832	0.292000	0.294039	
761	0.262812	107	0.000000	132	0.803030	2.988283	761	0.262812	0.306000	0.294669	
753	0.270916	81	0.024691	166	0.789157	2.988283	753	0.270916	0.337000	0.296785	
715	0.243357	125	0.000000	160	0.800000	2.988283	715	0.243357	0.302000	0.297033	
748	0.264706	110	0.036364	142	0.718310	2.988283	748	0.264706	0.304000	0.297350	
730	0.243836	111	0.009009	159	0.698113	2.988283	730	0.243836	0.290000	0.297031	
717	0.210600	116	0.008621	167	0.778443	2.988283	717	0.210600	0.282000	0.296404	
744	0.229839	103	0.000000	153	0.718954	2.988283	744	0.229839	0.281000	0.295788	
715	0.227972	121	0.033058	164	0.756098	2.988283	715	0.227972	0.291000	0.295604	
749	0.244326	102	0.000000	149	0.738255	2.988283	749	0.244326	0.293000	0.295508	
620	0.250000	123	0.032520	257	0.782101	2.988283	620	0.250000	0.360000	0.297811	
747	0.246319	111	0.000000	142	0.802817	2.988283	747	0.246319	0.298000	0.297817	
736	0.240489	125	0.000000	139	0.769784	2.988283	736	0.240489	0.284000	0.297357	
747	0.235609	94	0.000000	159	0.805031	2.988283	747	0.235609	0.304000	0.297571	
775	0.238710	89	0.000000	136	0.735294	2.988283	775	0.238710	0.285000	0.297178	
747	0.250335	95	0.042105	158	0.721519	2.988283	747	0.250335	0.305000	0.297415	
760	0.236842	101	0.000000	139	0.719424	2.988283	760	0.236842	0.280000	0.296903	
759	0.259552	84	0.000000	157	0.745223	2.988283	759	0.259552	0.314000	0.297392	
763	0.243775	96	0.000000	141	0.695035	2.988283	763	0.243775	0.284000	0.297020	
750	0.253333	117	0.017094	133	0.774436	2.988283	750	0.253333	0.295000	0.296965	
770	0.214286	103	0.019417	127	0.614173	2.988283	770	0.214286	0.245000	0.295597	
733	0.231924	121	0.016529	146	0.719178	2.988283	733	0.231924	0.277000	0.295121	
698	0.239255	120	0.033333	182	0.719780	2.988283	698	0.239255	0.302000	0.295293	
771	0.265888	101	0.000000	128	0.742188	2.988283	771	0.265888	0.300000	0.295407	
745	0.246980	111	0.000000	144	0.743056	2.988283	745	0.246980	0.291000	0.295302	
771	0.247730	105	0.000000	124	0.766129	2.988283	771	0.247730	0.286000	0.295086	
750	0.278667	102	0.000000	148	0.729730	2.988283	750	0.278667	0.317000	0.295584	
767	0.284224	109	0.036697	124	0.637097	2.988283	767	0.284224	0.301000	0.295705	
713	0.214586	104	0.000000	183	0.721311	2.988283	713	0.214586	0.285000	0.295472	
761	0.241787	115	0.000000	124	0.766129	2.988283	761	0.241787	0.279000	0.295121	
726	0.243802	103	0.019417	171	0.678363	2.988283	726	0.243802	0.295000	0.295119	
