Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
820	0.286585	180	0.788889	2.171979	820	0.286585	0.377000	0.339738	
841	0.284185	159	0.836478	2.171979	841	0.284185	0.372000	0.340359	
854	0.249415	146	0.869863	2.171979	854	0.249415	0.340000	0.340352	
841	0.287753	159	0.792453	2.171979	841	0.287753	0.368000	0.340864	
863	0.276941	137	0.759124	2.171979	863	0.276941	0.343000	0.340903	
839	0.265793	161	0.751553	2.171979	839	0.265793	0.344000	0.340958	
829	0.252111	171	0.736842	2.171979	829	0.252111	0.335000	0.340854	
832	0.241587	168	0.761905	2.171979	832	0.241587	0.329000	0.340649	
848	0.312500	152	0.822368	2.171979	848	0.312500	0.390000	0.341486	
839	0.247914	161	0.782609	2.171979	839	0.247914	0.334000	0.341361	
820	0.241463	180	0.794444	2.171979	820	0.241463	0.341000	0.341355	
835	0.233533	165	0.818182	2.171979	835	0.233533	0.330000	0.341172	
840	0.286905	160	0.737500	2.171979	840	0.286905	0.359000	0.341455	
820	0.253659	180	0.850000	2.171979	820	0.253659	0.361000	0.341760	
826	0.246973	174	0.770115	2.171979	826	0.246973	0.338000	0.341702	
822	0.256691	178	0.775281	2.171979	822	0.256691	0.349000	0.341813	
818	0.235941	182	0.714286	2.171979	818	0.235941	0.323000	0.341532	
835	0.213174	165	0.775758	2.171979	835	0.213174	0.306000	0.341010	
813	0.261993	187	0.754011	2.171979	813	0.261993	0.354000	0.341198	
838	0.247017	162	0.746914	2.171979	838	0.247017	0.328000	0.341009	
849	0.246172	151	0.788079	2.171979	849	0.246172	0.328000	0.340826	
844	0.273697	156	0.788462	2.171979	844	0.273697	0.354000	0.341009	
844	0.227488	156	0.801282	2.171979	844	0.227488	0.317000	0.340680	
843	0.245552	157	0.847134	2.171979	843	0.245552	0.340000	0.340671	
847	0.264463	153	0.797386	2.171979	847	0.264463	0.346000	0.340742	
843	0.270463	157	0.802548	2.171979	843	0.270463	0.354000	0.340917	
849	0.280330	151	0.741722	2.171979	849	0.280330	0.350000	0.341035	
806	0.245658	194	0.747423	2.171979	806	0.245658	0.343000	0.341060	
857	0.255543	143	0.755245	2.171979	857	0.255543	0.327000	0.340882	
843	0.249110	157	0.789809	2.171979	843	0.249110	0.334000	0.340796	
853	0.269637	147	0.755102	2.171979	853	0.269637	0.341000	0.340798	
847	0.255018	153	0.810458	2.171979	847	0.255018	0.340000	0.340789	
851	0.276146	149	0.744966	2.171979	851	0.276146	0.346000	0.340851	
837	0.253286	163	0.828221	2.171979	837	0.253286	0.347000	0.340925	
816	0.254902	184	0.804348	2.171979	816	0.254902	0.356000	0.341102	
865	0.283237	135	0.770370	2.171979	865	0.283237	0.349000	0.341194	
849	0.254417	151	0.821192	2.171979	849	0.254417	0.340000	0.341180	
851	0.224442	149	0.845638	2.171979	851	0.224442	0.317000	0.340905	
824	0.256068	176	0.778409	2.171979	824	0.256068	0.348000	0.340985	
832	0.262019	168	0.821429	2.171979	832	0.262019	0.356000	0.341152	
