Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/bantu-iroquois-uni.linealdescent.bttrees
Data File Name:                  ./data/bantu-iroquois-uni.linealdescent.btdata
Log File Name:                   ./output/bantu-iroquois-uni.linealdescent-indep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            4077911377
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/bantu-iroquois-uni.linealdescent-indep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.072464,0.289855,0.086957,0.550725)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000000
Restrictions:
    alpha1                       RJ MCMC
    beta1                        RJ MCMC
    alpha2                       RJ MCMC
    beta2                        RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       69
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-76.076095	851	1	0	'0 0 0 0 	1.568650	1.568650	1.568650	1.568650	0.037337	0.325317	0.043077	0.594269	
12000	-76.931676	571	1	0	'0 0 0 0 	1.568352	1.568352	1.568352	1.568352	0.044502	0.371015	0.041160	0.543323	
13000	-78.549506	188	2	0	'0 0 0 1 	24.342073	24.342073	24.342073	6.345068	0.072464	0.289855	0.086957	0.550725	
14000	-77.864733	263	1	0	'0 0 0 0 	1.029491	1.029491	1.029491	1.029491	0.044617	0.470427	0.027408	0.457549	
15000	-75.789389	291	1	0	'0 0 0 0 	1.645812	1.645812	1.645812	1.645812	0.040122	0.351027	0.040993	0.567858	
16000	-76.298411	730	1	0	'0 0 0 0 	1.187913	1.187913	1.187913	1.187913	0.046172	0.514500	0.023565	0.415763	
17000	-75.056260	830	1	0	'0 0 0 0 	1.046590	1.046590	1.046590	1.046590	0.051921	0.562573	0.021233	0.364274	
18000	-77.657989	337	1	0	'0 0 0 0 	1.017688	1.017688	1.017688	1.017688	0.050399	0.498838	0.027038	0.423724	
19000	-75.853622	271	1	0	'0 0 0 0 	1.907737	1.907737	1.907737	1.907737	0.043739	0.324762	0.049505	0.581995	
20000	-76.157072	328	1	0	'0 0 0 0 	1.845883	1.845883	1.845883	1.845883	0.043950	0.347757	0.044965	0.563328	
21000	-76.676891	718	1	0	'0 0 0 0 	1.160078	1.160078	1.160078	1.160078	0.047459	0.453538	0.030934	0.468069	
