Rate	71.43
Rev Jump	14.29
Tree Move	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
770	0.253247	103	0.077670	127	0.401575	2.860924	770	0.253247	0.254000	0.346696	
719	0.261474	110	0.054545	171	0.508772	2.860924	719	0.261474	0.281000	0.341222	
727	0.248968	106	0.028302	167	0.604790	2.860924	727	0.248968	0.285000	0.336897	
767	0.255541	106	0.028302	127	0.661417	2.860924	767	0.255541	0.283000	0.333048	
746	0.269437	107	0.037383	147	0.653061	2.860924	746	0.269437	0.301000	0.330911	
740	0.285135	104	0.019231	156	0.429487	2.860924	740	0.285135	0.280000	0.327730	
734	0.262943	112	0.017857	154	0.474026	2.860924	734	0.262943	0.268000	0.324216	
729	0.267490	133	0.030075	138	0.405797	2.860924	729	0.267490	0.255000	0.320371	
727	0.261348	124	0.032258	149	0.489933	2.860924	727	0.261348	0.267000	0.317562	
728	0.285714	107	0.037383	165	0.478788	2.860924	728	0.285714	0.291000	0.316234	
737	0.280868	116	0.000000	147	0.469388	2.860924	737	0.280868	0.276000	0.314318	
745	0.263087	98	0.040816	157	0.464968	2.860924	745	0.263087	0.273000	0.312440	
728	0.263736	112	0.035714	160	0.437500	2.860924	728	0.263736	0.266000	0.310421	
737	0.255088	123	0.016260	140	0.485714	2.860924	737	0.255088	0.258000	0.308237	
752	0.238032	118	0.033898	130	0.523077	2.860924	752	0.238032	0.251000	0.305948	
723	0.262794	113	0.053097	164	0.439024	2.860924	723	0.262794	0.268000	0.304488	
750	0.268000	121	0.016529	129	0.457364	2.860924	750	0.268000	0.262000	0.302915	
762	0.271654	96	0.041667	142	0.359155	2.860924	762	0.271654	0.262000	0.301454	
757	0.211361	106	0.103774	137	0.394161	2.860924	757	0.211361	0.225000	0.298817	
715	0.234965	117	0.025641	168	0.535714	2.860924	715	0.234965	0.261000	0.297557	
735	0.231293	119	0.016807	146	0.472603	2.860924	735	0.231293	0.241000	0.295732	
763	0.276540	116	0.017241	121	0.487603	2.860924	763	0.276540	0.272000	0.294991	
728	0.271978	97	0.020619	175	0.440000	2.860924	728	0.271978	0.277000	0.294446	
721	0.242718	116	0.000000	163	0.429448	2.860924	721	0.242718	0.245000	0.292991	
742	0.250674	114	0.035088	144	0.486111	2.860924	742	0.250674	0.260000	0.292049	
731	0.251710	125	0.016000	144	0.493056	2.860924	731	0.251710	0.257000	0.291075	
739	0.248985	124	0.000000	137	0.481752	2.860924	739	0.248985	0.250000	0.289965	
731	0.284542	133	0.015038	136	0.352941	2.860924	731	0.284542	0.258000	0.289124	
734	0.260218	112	0.071429	154	0.370130	2.860924	734	0.260218	0.256000	0.288275	
758	0.281003	113	0.000000	129	0.410853	2.860924	758	0.281003	0.266000	0.287718	
735	0.242177	123	0.048780	142	0.549296	2.860924	735	0.242177	0.262000	0.287091	
723	0.268326	111	0.072072	166	0.518072	2.860924	723	0.268326	0.288000	0.287112	
737	0.251018	107	0.000000	156	0.378205	2.860924	737	0.251018	0.244000	0.286110	
710	0.209859	113	0.035398	177	0.610169	2.860924	710	0.209859	0.261000	0.285539	
734	0.230245	127	0.015748	139	0.496403	2.860924	734	0.230245	0.240000	0.284527	
745	0.271141	113	0.017699	142	0.387324	2.860924	745	0.271141	0.259000	0.283972	
712	0.269663	109	0.036697	179	0.530726	2.860924	712	0.269663	0.291000	0.284122	
735	0.247619	107	0.056075	158	0.449367	2.860924	735	0.247619	0.259000	0.283598	
689	0.294630	133	0.030075	178	0.539326	2.860924	689	0.294630	0.303000	0.283994	
737	0.287653	115	0.034783	148	0.479730	2.860924	737	0.287653	0.287000	0.284054	
758	0.275726	117	0.051282	125	0.392000	2.860924	758	0.275726	0.264000	0.283661	
747	0.254351	100	0.040000	153	0.509804	2.860924	747	0.254351	0.272000	0.283437	
764	0.227749	94	0.000000	142	0.535211	2.860924	764	0.227749	0.250000	0.282806	
748	0.275401	93	0.000000	159	0.402516	2.860924	748	0.275401	0.270000	0.282569	
718	0.292479	121	0.016529	161	0.391304	2.860924	718	0.292479	0.275000	0.282431	
727	0.288858	119	0.042017	154	0.584416	2.860924	727	0.288858	0.305000	0.282834	
731	0.254446	106	0.028302	163	0.472393	2.860924	731	0.254446	0.266000	0.282539	
714	0.253501	129	0.000000	157	0.535032	2.860924	714	0.253501	0.265000	0.282237	
759	0.262187	89	0.067416	152	0.447368	2.860924	759	0.262187	0.273000	0.282080	
724	0.240331	127	0.031496	149	0.469799	2.860924	724	0.240331	0.248000	0.281512	
769	0.262679	82	0.048780	149	0.389262	2.860924	769	0.262679	0.264000	0.281225	
747	0.257028	110	0.000000	143	0.468531	2.860924	747	0.257028	0.259000	0.280866	
747	0.267738	106	0.018868	147	0.428571	2.860924	747	0.267738	0.265000	0.280615	
753	0.235060	107	0.000000	140	0.471429	2.860924	753	0.235060	0.243000	0.280027	
758	0.286280	106	0.018868	136	0.500000	2.860924	758	0.286280	0.287000	0.280134	
736	0.229620	115	0.000000	149	0.530201	2.860924	736	0.229620	0.248000	0.279647	
751	0.282290	104	0.019231	145	0.524138	2.860924	751	0.282290	0.290000	0.279802	
744	0.297043	119	0.050420	137	0.510949	2.860924	744	0.297043	0.297000	0.280055	
749	0.259012	96	0.000000	155	0.509677	2.860924	749	0.259012	0.273000	0.279952	
747	0.269076	106	0.018868	147	0.374150	2.860924	747	0.269076	0.258000	0.279639	
706	0.291785	101	0.019802	193	0.492228	2.860924	706	0.291785	0.303000	0.279968	
725	0.273103	123	0.016260	152	0.486842	2.860924	725	0.273103	0.274000	0.279885	
733	0.263302	119	0.033613	148	0.513514	2.860924	733	0.263302	0.273000	0.279791	
745	0.276510	110	0.000000	145	0.517241	2.860924	745	0.276510	0.281000	0.279807	
750	0.272000	124	0.032258	126	0.531746	2.860924	750	0.272000	0.275000	0.279743	
717	0.255230	131	0.053435	152	0.493421	2.860924	717	0.255230	0.265000	0.279549	
733	0.281037	109	0.009174	158	0.518987	2.860924	733	0.281037	0.289000	0.279672	
728	0.255495	121	0.066116	151	0.516556	2.860924	728	0.255495	0.272000	0.279573	
739	0.221922	106	0.056604	155	0.445161	2.860924	739	0.221922	0.239000	0.279060	
710	0.266197	124	0.032258	166	0.487952	2.860924	710	0.266197	0.274000	0.278997	
747	0.263722	108	0.018519	145	0.248276	2.860924	747	0.263722	0.235000	0.278453	
789	0.277567	98	0.102041	113	0.539823	2.860924	789	0.277567	0.290000	0.278594	
727	0.264099	108	0.018519	165	0.442424	2.860924	727	0.264099	0.267000	0.278454	
740	0.258108	109	0.000000	151	0.602649	2.860924	740	0.258108	0.282000	0.278497	
729	0.238683	117	0.034188	154	0.324675	2.860924	729	0.238683	0.228000	0.277903	
