Rate	71.43
Rev Jump	14.29
Tree Move	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
765	0.261438	100	0.040000	135	0.651852	3.173853	765	0.261438	0.292000	0.252250	
730	0.247945	125	0.000000	145	0.462069	3.173853	730	0.247945	0.248000	0.251896	
741	0.256410	99	0.060606	160	0.631250	3.173853	741	0.256410	0.297000	0.255365	
721	0.226075	113	0.053097	166	0.596386	3.173853	721	0.226075	0.268000	0.256267	
742	0.284367	106	0.037736	152	0.559211	3.173853	742	0.284367	0.300000	0.259183	
737	0.257802	102	0.058824	161	0.447205	3.173853	737	0.257802	0.268000	0.259734	
750	0.236000	119	0.050420	131	0.564885	3.173853	750	0.236000	0.257000	0.259573	
742	0.239892	105	0.057143	153	0.457516	3.173853	742	0.239892	0.254000	0.259263	
753	0.201859	106	0.018868	141	0.517730	3.173853	753	0.201859	0.227000	0.257565	
680	0.233824	110	0.018182	210	0.619048	3.173853	680	0.233824	0.291000	0.259237	
734	0.211172	121	0.049587	145	0.489655	3.173853	734	0.211172	0.232000	0.257940	
766	0.224543	101	0.039604	133	0.669173	3.173853	766	0.224543	0.265000	0.258261	
760	0.222368	107	0.037383	133	0.639098	3.173853	760	0.222368	0.258000	0.258250	
762	0.211286	93	0.021505	145	0.510345	3.173853	762	0.211286	0.237000	0.257364	
736	0.209239	125	0.016000	139	0.539568	3.173853	736	0.209239	0.231000	0.256310	
721	0.219140	103	0.019417	176	0.460227	3.173853	721	0.219140	0.241000	0.255721	
728	0.245879	117	0.017094	155	0.516129	3.173853	728	0.245879	0.261000	0.255916	
739	0.215156	110	0.072727	151	0.410596	3.173853	739	0.215156	0.229000	0.254955	
723	0.207469	115	0.034783	162	0.345679	3.173853	723	0.207469	0.210000	0.253405	
743	0.282638	101	0.019802	156	0.551282	3.173853	743	0.282638	0.298000	0.254892	
758	0.230871	96	0.083333	146	0.452055	3.173853	758	0.230871	0.249000	0.254701	
707	0.239038	110	0.072727	183	0.562842	3.173853	707	0.239038	0.280000	0.255492	
745	0.224161	111	0.072072	144	0.569444	3.173853	745	0.224161	0.257000	0.255538	
720	0.234722	112	0.026786	168	0.428571	3.173853	720	0.234722	0.244000	0.255198	
723	0.201936	109	0.064220	168	0.625000	3.173853	723	0.201936	0.258000	0.255278	
719	0.207232	100	0.080000	181	0.558011	3.173853	719	0.207232	0.258000	0.255354	
751	0.223702	99	0.080808	150	0.566667	3.173853	751	0.223702	0.261000	0.255507	
729	0.255144	102	0.000000	169	0.562130	3.173853	729	0.255144	0.281000	0.256177	
732	0.256831	105	0.000000	163	0.558282	3.173853	732	0.256831	0.279000	0.256763	
712	0.252809	108	0.037037	180	0.594444	3.173853	712	0.252809	0.291000	0.257619	
745	0.248322	94	0.021277	161	0.496894	3.173853	745	0.248322	0.267000	0.257847	
741	0.237517	94	0.000000	165	0.539394	3.173853	741	0.237517	0.265000	0.258018	
745	0.206711	103	0.019417	152	0.500000	3.173853	745	0.206711	0.232000	0.257413	
770	0.238961	106	0.037736	124	0.532258	3.173853	770	0.238961	0.254000	0.257335	
738	0.249322	107	0.074766	155	0.587097	3.173853	738	0.249322	0.283000	0.257905	
709	0.249647	105	0.057143	186	0.532258	3.173853	709	0.249647	0.282000	0.258429	
772	0.246114	95	0.042105	133	0.571429	3.173853	772	0.246114	0.270000	0.258675	
767	0.277705	99	0.020202	134	0.544776	3.173853	767	0.277705	0.288000	0.259286	
679	0.231222	99	0.020202	222	0.590090	3.173853	679	0.231222	0.290000	0.259913	
724	0.244475	124	0.016129	152	0.611842	3.173853	724	0.244475	0.272000	0.260155	
741	0.253711	125	0.032000	134	0.597015	3.173853	741	0.253711	0.272000	0.260387	
732	0.263661	110	0.036364	158	0.462025	3.173853	732	0.263661	0.270000	0.260572	
741	0.252362	118	0.033898	141	0.496454	3.173853	741	0.252362	0.261000	0.260580	
756	0.246032	99	0.040404	145	0.572414	3.173853	756	0.246032	0.273000	0.260810	
757	0.235139	98	0.020408	145	0.586207	3.173853	757	0.235139	0.265000	0.260886	
758	0.201847	105	0.038095	137	0.525547	3.173853	758	0.201847	0.229000	0.260317	
720	0.245833	114	0.052632	166	0.451807	3.173853	720	0.245833	0.258000	0.260276	
744	0.252688	127	0.031496	129	0.472868	3.173853	744	0.252688	0.253000	0.260151	
741	0.244265	113	0.035398	146	0.527397	3.173853	741	0.244265	0.262000	0.260182	
730	0.246575	114	0.017544	156	0.564103	3.173853	730	0.246575	0.270000	0.260346	
736	0.211957	118	0.033898	146	0.595890	3.173853	736	0.211957	0.247000	0.260127	
764	0.244764	110	0.036364	126	0.603175	3.173853	764	0.244764	0.267000	0.260238	
744	0.233871	120	0.033333	136	0.566176	3.173853	744	0.233871	0.255000	0.260155	
731	0.236662	119	0.067227	150	0.606667	3.173853	731	0.236662	0.272000	0.260340	
728	0.243132	108	0.111111	164	0.640244	3.173853	728	0.243132	0.294000	0.260858	
728	0.185440	126	0.095238	146	0.541096	3.173853	728	0.185440	0.226000	0.260329	
762	0.259843	98	0.040816	140	0.571429	3.058607	762	0.259843	0.282000	0.260653	
716	0.217877	124	0.032258	160	0.600000	3.058607	716	0.217877	0.256000	0.260584	
749	0.240320	110	0.036364	141	0.673759	3.058607	749	0.240320	0.279000	0.260851	
722	0.254848	100	0.060000	178	0.578652	3.058607	722	0.254848	0.293000	0.261311	
762	0.283465	106	0.018868	132	0.575758	3.058607	762	0.283465	0.294000	0.261771	
731	0.250342	131	0.015267	138	0.514493	3.058607	731	0.250342	0.256000	0.261691	
744	0.244624	97	0.020619	159	0.534591	3.058607	744	0.244624	0.269000	0.261791	
730	0.210959	111	0.054054	159	0.559748	3.058607	730	0.210959	0.249000	0.261618	
720	0.226389	110	0.054545	170	0.552941	3.058607	720	0.226389	0.263000	0.261637	
725	0.256552	122	0.049180	153	0.660131	3.058607	725	0.256552	0.293000	0.262049	
736	0.279891	99	0.000000	165	0.521212	3.058607	736	0.279891	0.292000	0.262438	
744	0.251344	95	0.063158	161	0.521739	3.058607	744	0.251344	0.277000	0.262625	
739	0.254398	109	0.055046	152	0.539474	3.058607	739	0.254398	0.276000	0.262794	
737	0.237449	125	0.080000	138	0.644928	3.058607	737	0.237449	0.274000	0.262934	
756	0.259259	120	0.066667	124	0.620968	3.058607	756	0.259259	0.281000	0.263157	
719	0.255911	120	0.066667	161	0.565217	3.058607	719	0.255911	0.283000	0.263399	
728	0.243132	109	0.055046	163	0.490798	3.058607	728	0.243132	0.263000	0.263394	
723	0.242047	106	0.056604	171	0.625731	3.058607	723	0.242047	0.288000	0.263687	
741	0.260459	123	0.048780	136	0.507353	3.058607	741	0.260459	0.268000	0.263738	
754	0.246684	114	0.070175	132	0.545455	3.058607	754	0.246684	0.266000	0.263764	
759	0.258235	101	0.019802	140	0.471429	3.058607	759	0.258235	0.264000	0.263767	
733	0.249659	117	0.034188	150	0.580000	3.058607	733	0.249659	0.274000	0.263883	
721	0.245492	139	0.014388	140	0.564286	3.058607	721	0.245492	0.258000	0.263817	
731	0.220246	124	0.096774	145	0.600000	3.058607	731	0.220246	0.260000	0.263775	
717	0.242678	125	0.032000	158	0.455696	3.058607	717	0.242678	0.250000	0.263623	
