Rate	71.43
Rev Jump	14.29
Tree Move	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
739	0.223275	124	0.129032	137	0.598540	3.557264	739	0.223275	0.263000	0.272339	
736	0.254076	124	0.169355	140	0.578571	3.557264	736	0.254076	0.289000	0.273727	
742	0.196765	123	0.146341	135	0.585185	3.557264	742	0.196765	0.243000	0.271364	
701	0.222539	152	0.105263	147	0.673469	3.369160	701	0.222539	0.271000	0.271338	
735	0.257143	118	0.144068	147	0.687075	3.369160	735	0.257143	0.307000	0.273715	
760	0.268421	96	0.125000	144	0.631944	3.369160	760	0.268421	0.307000	0.275795	
720	0.276389	92	0.097826	188	0.601064	3.369160	720	0.276389	0.321000	0.278454	
728	0.234890	132	0.128788	140	0.600000	3.369160	728	0.234890	0.272000	0.278096	
731	0.248974	111	0.117117	158	0.683544	3.369160	731	0.248974	0.303000	0.279406	
728	0.243132	114	0.087719	158	0.632911	3.369160	728	0.243132	0.287000	0.279786	
730	0.238356	124	0.120968	146	0.616438	3.369160	730	0.238356	0.279000	0.279749	
722	0.242382	134	0.104478	144	0.625000	3.369160	722	0.242382	0.279000	0.279715	
659	0.220030	147	0.095238	194	0.587629	3.369160	659	0.220030	0.273000	0.279423	
784	0.264031	91	0.131868	125	0.704000	3.369160	784	0.264031	0.307000	0.280572	
725	0.227586	114	0.149123	161	0.677019	3.369160	725	0.227586	0.291000	0.280989	
680	0.213235	132	0.136364	188	0.659574	3.369160	680	0.213235	0.287000	0.281220	
721	0.239945	142	0.105634	137	0.678832	3.369160	721	0.239945	0.281000	0.281212	
719	0.255911	123	0.170732	158	0.683544	3.369160	719	0.255911	0.313000	0.282347	
728	0.228022	120	0.200000	152	0.723684	3.369160	728	0.228022	0.300000	0.282956	
735	0.269388	115	0.069565	150	0.666667	3.369160	735	0.269388	0.306000	0.283724	
743	0.265141	107	0.130841	150	0.640000	3.369160	743	0.265141	0.307000	0.284475	
717	0.246862	134	0.119403	149	0.624161	3.369160	717	0.246862	0.286000	0.284522	
733	0.245566	121	0.157025	146	0.712329	3.369160	733	0.245566	0.303000	0.285082	
751	0.258322	119	0.159664	130	0.515385	3.369160	751	0.258322	0.280000	0.284933	
709	0.255289	133	0.120301	158	0.620253	3.369160	709	0.255289	0.295000	0.285220	
715	0.216783	93	0.118280	192	0.666667	3.369160	715	0.216783	0.294000	0.285464	
709	0.284908	141	0.148936	150	0.593333	3.369160	709	0.284908	0.312000	0.286181	
717	0.216179	136	0.088235	147	0.687075	3.369160	717	0.216179	0.268000	0.285703	
733	0.237381	137	0.153285	130	0.653846	3.369160	733	0.237381	0.280000	0.285557	
732	0.263661	112	0.133929	156	0.653846	3.369160	732	0.263661	0.310000	0.286168	
722	0.249307	128	0.156250	150	0.706667	3.369160	722	0.249307	0.306000	0.286652	
731	0.166895	123	0.089431	146	0.623288	3.369160	731	0.166895	0.224000	0.285160	
731	0.207934	133	0.097744	136	0.691176	3.321613	731	0.207934	0.259000	0.284552	
762	0.217848	111	0.135135	127	0.582677	3.321613	762	0.217848	0.255000	0.283880	
753	0.200531	102	0.166667	145	0.662069	3.321613	753	0.200531	0.264000	0.283438	
754	0.298408	120	0.083333	126	0.626984	3.321613	754	0.298408	0.314000	0.284103	
739	0.221922	114	0.140351	147	0.755102	3.321613	739	0.221922	0.291000	0.284249	
722	0.263158	118	0.152542	160	0.656250	3.321613	722	0.263158	0.313000	0.284848	
742	0.258760	125	0.112000	133	0.624060	3.321613	742	0.258760	0.289000	0.284933	
739	0.270636	108	0.092593	153	0.653595	3.321613	739	0.270636	0.310000	0.285434	
746	0.241287	126	0.071429	128	0.601562	3.321613	746	0.241287	0.266000	0.285053	
749	0.222964	104	0.134615	147	0.659864	3.321613	749	0.222964	0.278000	0.284918	
738	0.212737	127	0.118110	135	0.629630	3.321613	738	0.212737	0.257000	0.284391	
742	0.249326	95	0.136842	163	0.680982	3.321613	742	0.249326	0.309000	0.284847	
720	0.272222	114	0.087719	166	0.668675	3.321613	720	0.272222	0.317000	0.285431	
741	0.229420	118	0.135593	141	0.609929	3.321613	741	0.229420	0.272000	0.285191	
721	0.255201	129	0.155039	150	0.646667	3.321613	721	0.255201	0.301000	0.285469	
716	0.254190	131	0.114504	153	0.542484	3.321613	716	0.254190	0.280000	0.285374	
753	0.237716	106	0.084906	141	0.581560	3.321613	753	0.237716	0.270000	0.285114	
752	0.250000	114	0.149123	134	0.656716	3.321613	752	0.250000	0.293000	0.285245	
712	0.228933	136	0.139706	152	0.578947	3.321613	712	0.228933	0.270000	0.284995	
695	0.274820	130	0.169231	175	0.662857	3.321613	695	0.274820	0.329000	0.285705	
724	0.244475	138	0.123188	138	0.623188	3.321613	724	0.244475	0.280000	0.285615	
728	0.233516	110	0.145455	162	0.716049	3.321613	728	0.233516	0.302000	0.285871	
740	0.251351	120	0.133333	140	0.685714	3.321613	740	0.251351	0.298000	0.286057	
755	0.262252	113	0.132743	132	0.666667	3.321613	755	0.262252	0.301000	0.286284	
748	0.255348	115	0.104348	137	0.642336	3.321613	748	0.255348	0.291000	0.286354	
767	0.245111	93	0.150538	140	0.664286	3.321613	767	0.245111	0.295000	0.286481	
727	0.242091	115	0.173913	158	0.550633	3.321613	727	0.242091	0.283000	0.286431	
718	0.236769	125	0.104000	157	0.630573	3.321613	718	0.236769	0.282000	0.286367	
731	0.244870	112	0.142857	157	0.509554	3.321613	731	0.244870	0.275000	0.286207	
762	0.237533	121	0.173554	117	0.615385	3.321613	762	0.237533	0.274000	0.286038	
709	0.253879	134	0.097015	157	0.585987	3.321613	709	0.253879	0.285000	0.286023	
676	0.242604	110	0.118182	214	0.630841	3.321613	676	0.242604	0.312000	0.286375	
737	0.253731	123	0.170732	140	0.692857	3.321613	737	0.253731	0.305000	0.286623	
686	0.271137	146	0.095890	168	0.630952	3.321613	686	0.271137	0.306000	0.286878	
722	0.263158	151	0.125828	127	0.669291	3.321613	722	0.263158	0.294000	0.286970	
