Rate	71.43
Rev Jump	14.29
Tree Move	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
753	0.296149	111	0.018018	136	0.470588	4.999335	753	0.296149	0.289000	0.376875	
753	0.322709	96	0.000000	151	0.456954	4.999335	753	0.322709	0.312000	0.371469	
750	0.306667	91	0.043956	159	0.584906	4.999335	750	0.306667	0.327000	0.368049	
755	0.284768	105	0.000000	140	0.471429	4.999335	755	0.284768	0.281000	0.361831	
764	0.291885	109	0.036697	127	0.527559	4.999335	764	0.291885	0.294000	0.357310	
704	0.309659	130	0.030769	166	0.512048	4.999335	704	0.309659	0.307000	0.354165	
756	0.305556	92	0.021739	152	0.657895	4.999335	756	0.305556	0.333000	0.352920	
722	0.306094	93	0.021505	185	0.394595	4.999335	722	0.306094	0.296000	0.349758	
765	0.301961	100	0.020000	135	0.570370	4.999335	765	0.301961	0.310000	0.347666	
689	0.298984	88	0.045455	223	0.524664	4.999335	689	0.298984	0.327000	0.346633	
737	0.289009	117	0.051282	146	0.561644	4.999335	737	0.289009	0.301000	0.344460	
738	0.327913	114	0.017544	148	0.635135	4.999335	738	0.327913	0.338000	0.344166	
767	0.325945	100	0.000000	133	0.496241	4.999335	767	0.325945	0.316000	0.342942	
652	0.283742	134	0.014925	214	0.546729	4.999335	652	0.283742	0.304000	0.341319	
723	0.309820	119	0.016807	158	0.430380	4.999335	723	0.309820	0.294000	0.339426	
700	0.314286	112	0.053571	188	0.606383	4.999335	700	0.314286	0.340000	0.339448	
738	0.322493	119	0.016807	143	0.538462	4.999335	738	0.322493	0.317000	0.338617	
735	0.307483	105	0.000000	160	0.637500	4.999335	735	0.307483	0.328000	0.338238	
759	0.304348	108	0.018519	133	0.684211	4.999335	759	0.304348	0.324000	0.337747	
746	0.288204	96	0.041667	158	0.594937	4.999335	746	0.288204	0.313000	0.336922	
716	0.342179	125	0.016000	159	0.459119	4.999335	716	0.342179	0.320000	0.336376	
660	0.304545	118	0.033898	222	0.554054	4.999335	660	0.304545	0.328000	0.336114	
735	0.307483	116	0.034483	149	0.610738	4.999335	735	0.307483	0.321000	0.335656	
677	0.280650	120	0.050000	203	0.600985	4.999335	677	0.280650	0.318000	0.335137	
717	0.317992	109	0.000000	174	0.591954	4.999335	717	0.317992	0.331000	0.335019	
714	0.285714	110	0.054545	176	0.642045	4.999335	714	0.285714	0.323000	0.334685	
744	0.282258	107	0.000000	149	0.516779	4.999335	744	0.282258	0.287000	0.333396	
745	0.323490	114	0.000000	141	0.631206	4.999335	745	0.323490	0.330000	0.333307	
766	0.279373	99	0.020202	135	0.577778	4.999335	766	0.279373	0.294000	0.332299	
765	0.288889	104	0.019231	131	0.595420	4.999335	765	0.288889	0.301000	0.331517	
750	0.309333	107	0.018692	143	0.643357	4.999335	750	0.309333	0.326000	0.331382	
736	0.316576	113	0.000000	151	0.582781	4.999335	736	0.316576	0.321000	0.331135	
736	0.308424	119	0.000000	145	0.510345	4.999335	736	0.308424	0.301000	0.330434	
683	0.303075	123	0.032520	194	0.597938	4.999335	683	0.303075	0.327000	0.330356	
757	0.322325	100	0.020000	143	0.517483	4.999335	757	0.322325	0.320000	0.330126	
731	0.295486	106	0.037736	163	0.644172	4.999335	731	0.295486	0.325000	0.330015	
738	0.318428	113	0.000000	149	0.530201	4.999335	738	0.318428	0.314000	0.329674	
741	0.291498	109	0.000000	150	0.680000	4.999335	741	0.291498	0.318000	0.329431	
741	0.280702	122	0.000000	137	0.583942	4.999335	741	0.280702	0.288000	0.328585	
729	0.294925	87	0.045977	184	0.494565	4.999335	729	0.294925	0.310000	0.328213	
716	0.301676	125	0.000000	159	0.666667	4.999335	716	0.301676	0.322000	0.328092	
631	0.269414	121	0.033058	248	0.572581	4.999335	631	0.269414	0.316000	0.327859	
751	0.316911	118	0.016949	131	0.610687	4.999335	751	0.316911	0.320000	0.327711	
731	0.287278	110	0.018182	159	0.534591	4.999335	731	0.287278	0.297000	0.327142	
749	0.340454	107	0.018692	144	0.534722	4.999335	749	0.340454	0.334000	0.327267	
707	0.312588	144	0.013889	149	0.617450	4.999335	707	0.312588	0.315000	0.327048	
731	0.316005	112	0.017857	157	0.585987	4.999335	731	0.316005	0.325000	0.327012	
704	0.282670	122	0.016393	174	0.528736	4.999335	704	0.282670	0.293000	0.326425	
727	0.310867	119	0.000000	154	0.467532	4.999335	727	0.310867	0.298000	0.325944	
727	0.308116	106	0.018868	167	0.706587	4.999335	727	0.308116	0.344000	0.326245	
667	0.278861	109	0.018349	224	0.598214	4.999335	667	0.278861	0.322000	0.326175	
725	0.291034	104	0.019231	171	0.602339	4.999335	725	0.291034	0.316000	0.326011	
726	0.336088	113	0.000000	161	0.577640	4.999335	726	0.336088	0.337000	0.326185	
729	0.323731	121	0.033058	150	0.533333	4.999335	729	0.323731	0.320000	0.326089	
725	0.321379	122	0.000000	153	0.594771	4.999335	725	0.321379	0.324000	0.326057	
732	0.352459	121	0.033058	147	0.448980	4.999335	732	0.352459	0.328000	0.326086	
738	0.281843	98	0.020408	164	0.560976	4.999335	738	0.281843	0.302000	0.325726	
733	0.327422	104	0.000000	163	0.582822	4.999335	733	0.327422	0.335000	0.325863	
686	0.304665	121	0.033058	193	0.580311	4.999335	686	0.304665	0.325000	0.325850	
745	0.322148	97	0.020619	158	0.594937	4.999335	745	0.322148	0.336000	0.325995	
735	0.287075	103	0.019417	162	0.561728	4.999335	735	0.287075	0.304000	0.325686	
740	0.314865	101	0.019802	159	0.496855	4.999335	740	0.314865	0.314000	0.325523	
743	0.329744	118	0.033898	139	0.683453	4.999335	743	0.329744	0.344000	0.325776	
752	0.319149	111	0.036036	137	0.562044	4.999335	752	0.319149	0.321000	0.325712	
726	0.298898	110	0.018182	164	0.530488	4.999335	726	0.298898	0.306000	0.325449	
744	0.302419	120	0.000000	136	0.588235	4.999335	744	0.302419	0.305000	0.325180	
749	0.284379	98	0.000000	153	0.516340	4.999335	749	0.284379	0.292000	0.324749	
710	0.281690	116	0.017241	174	0.586207	4.999335	710	0.281690	0.304000	0.324483	
746	0.289544	117	0.017094	137	0.642336	4.999335	746	0.289544	0.306000	0.324249	
768	0.322917	85	0.000000	147	0.523810	4.999335	768	0.322917	0.325000	0.324258	
751	0.346205	89	0.000000	160	0.537500	4.999335	751	0.346205	0.346000	0.324527	
749	0.292390	105	0.000000	146	0.534247	4.999335	749	0.292390	0.297000	0.324191	
758	0.312665	104	0.019231	138	0.536232	4.999335	758	0.312665	0.313000	0.324056	
761	0.293035	116	0.017241	123	0.626016	4.999335	761	0.293035	0.302000	0.323794	
736	0.285326	118	0.016949	146	0.636986	4.999335	736	0.285326	0.305000	0.323573	
761	0.315375	109	0.055046	130	0.515385	4.999335	761	0.315375	0.313000	0.323450	
703	0.331437	120	0.066667	177	0.497175	4.999335	703	0.331437	0.329000	0.323514	
721	0.317614	117	0.000000	162	0.685185	4.999335	721	0.317614	0.340000	0.323701	
737	0.325645	120	0.016667	143	0.531469	4.999335	737	0.325645	0.318000	0.323637	
724	0.298343	110	0.018182	166	0.560241	4.999335	724	0.298343	0.311000	0.323496	
739	0.334235	120	0.033333	141	0.560284	4.999335	739	0.334235	0.330000	0.323568	
714	0.313725	129	0.031008	157	0.656051	4.999335	714	0.313725	0.331000	0.323649	
747	0.310576	122	0.016393	131	0.679389	4.999335	747	0.310576	0.323000	0.323642	
749	0.305741	100	0.000000	151	0.569536	4.999335	749	0.305741	0.315000	0.323550	
714	0.352941	120	0.025000	166	0.608434	4.999335	714	0.352941	0.356000	0.323891	
708	0.358757	130	0.007692	162	0.425926	4.999335	708	0.358757	0.324000	0.323892	
720	0.319444	117	0.017094	163	0.533742	4.999335	720	0.319444	0.319000	0.323842	
713	0.302945	124	0.016129	163	0.644172	4.999335	713	0.302945	0.323000	0.323833	
713	0.328191	96	0.031250	191	0.486911	4.999335	713	0.328191	0.330000	0.323896	
620	0.303226	124	0.040323	256	0.597656	4.999335	620	0.303226	0.346000	0.324117	
712	0.310393	106	0.037736	182	0.598901	4.999335	712	0.310393	0.334000	0.324215	
731	0.303694	133	0.075188	136	0.514706	4.999335	731	0.303694	0.302000	0.323997	
764	0.276178	104	0.038462	132	0.666667	4.999335	764	0.276178	0.303000	0.323793	
757	0.317041	104	0.000000	139	0.582734	4.999335	757	0.317041	0.321000	0.323766	
609	0.310345	129	0.062016	262	0.538168	4.999335	609	0.310345	0.338000	0.323902	
727	0.287483	102	0.000000	171	0.538012	4.999335	727	0.287483	0.301000	0.323686	
764	0.324607	106	0.018868	130	0.530769	4.999335	764	0.324607	0.319000	0.323642	
743	0.339166	105	0.019048	152	0.552632	4.999335	743	0.339166	0.338000	0.323775	
724	0.321823	113	0.035398	163	0.546012	4.999335	724	0.321823	0.326000	0.323795	
757	0.319683	94	0.021277	149	0.644295	4.999335	757	0.319683	0.340000	0.323943	
706	0.296034	122	0.032787	172	0.511628	4.999335	706	0.296034	0.301000	0.323736	
721	0.320388	111	0.054054	168	0.517857	4.999335	721	0.320388	0.324000	0.323738	
747	0.306560	107	0.037383	146	0.506849	4.999335	747	0.306560	0.307000	0.323590	
737	0.312076	107	0.000000	156	0.551282	4.999335	737	0.312076	0.316000	0.323523	
744	0.279570	120	0.050000	136	0.595588	4.999335	744	0.279570	0.295000	0.323275	
723	0.309820	129	0.015504	148	0.560811	4.999335	723	0.309820	0.309000	0.323152	
724	0.317680	118	0.000000	158	0.575949	4.999335	724	0.317680	0.321000	0.323134	
737	0.314790	132	0.015152	131	0.580153	4.999335	737	0.314790	0.310000	0.323023	
767	0.341591	100	0.000000	133	0.548872	4.999335	767	0.341591	0.335000	0.323123	
689	0.293179	119	0.067227	192	0.703125	4.999335	689	0.293179	0.345000	0.323306	
739	0.312585	119	0.000000	142	0.471831	4.999335	739	0.312585	0.298000	0.323097	
732	0.308743	115	0.017391	153	0.516340	4.999335	732	0.308743	0.307000	0.322965	
768	0.290365	103	0.000000	129	0.550388	4.999335	768	0.290365	0.294000	0.322729	
726	0.337466	127	0.000000	147	0.625850	4.999335	726	0.337466	0.337000	0.322844	
688	0.303779	122	0.032787	190	0.573684	4.999335	688	0.303779	0.322000	0.322837	
756	0.325397	110	0.018182	134	0.582090	4.999335	756	0.325397	0.326000	0.322863	
630	0.300000	117	0.068376	253	0.537549	4.999335	630	0.300000	0.333000	0.322942	
701	0.308131	124	0.032258	175	0.588571	4.999335	701	0.308131	0.323000	0.322943	
746	0.296247	110	0.018182	144	0.652778	4.999335	746	0.296247	0.317000	0.322897	
746	0.335121	105	0.038095	149	0.590604	4.999335	746	0.335121	0.342000	0.323044	
727	0.312242	111	0.018018	162	0.666667	4.999335	727	0.312242	0.337000	0.323150	
734	0.314714	111	0.090090	155	0.638710	4.999335	734	0.314714	0.340000	0.323278	
689	0.346880	109	0.045872	202	0.564356	4.999335	689	0.346880	0.358000	0.323539	
763	0.338139	105	0.047619	132	0.575758	4.999335	763	0.338139	0.339000	0.323654	
732	0.290984	110	0.036364	158	0.506329	4.999335	732	0.290984	0.297000	0.323457	
725	0.339310	123	0.000000	152	0.532895	4.999335	725	0.339310	0.327000	0.323483	
731	0.317373	105	0.038095	164	0.554878	4.999335	731	0.317373	0.327000	0.323509	
715	0.281119	127	0.015748	158	0.569620	4.999335	715	0.281119	0.293000	0.323288	
726	0.296143	119	0.016807	155	0.535484	4.999335	726	0.296143	0.300000	0.323120	
749	0.300401	121	0.016529	130	0.515385	4.999335	749	0.300401	0.294000	0.322912	
744	0.305108	96	0.041667	160	0.512500	4.999335	744	0.305108	0.313000	0.322842	
726	0.320937	118	0.000000	156	0.602564	4.999335	726	0.320937	0.327000	0.322871	
648	0.291667	96	0.062500	256	0.500000	4.999335	648	0.291667	0.323000	0.322872	
746	0.335121	109	0.000000	145	0.579310	4.999335	746	0.335121	0.334000	0.322949	
716	0.296089	114	0.052632	170	0.617647	4.999335	716	0.296089	0.323000	0.322949	
726	0.311295	133	0.000000	141	0.411348	4.999335	726	0.311295	0.284000	0.322683	
732	0.336066	114	0.000000	154	0.506494	4.999335	732	0.336066	0.324000	0.322692	
739	0.300406	105	0.019048	156	0.551282	4.999335	739	0.300406	0.310000	0.322606	
690	0.305797	105	0.038095	205	0.604878	4.999335	690	0.305797	0.339000	0.322716	
732	0.308743	109	0.000000	159	0.698113	4.999335	732	0.308743	0.337000	0.322811	
689	0.304790	134	0.014925	177	0.536723	4.999335	689	0.304790	0.307000	0.322706	
736	0.304348	106	0.056604	158	0.544304	4.999335	736	0.304348	0.316000	0.322662	
747	0.310576	105	0.038095	148	0.560811	4.999335	747	0.310576	0.319000	0.322638	
760	0.305263	92	0.021739	148	0.662162	4.999335	760	0.305263	0.332000	0.322699	
680	0.311765	138	0.057971	182	0.554945	4.999335	680	0.311765	0.321000	0.322688	
741	0.313090	105	0.000000	154	0.636364	4.999335	741	0.313090	0.330000	0.322735	
765	0.326797	99	0.020202	136	0.602941	4.999335	765	0.326797	0.334000	0.322807	
728	0.320055	128	0.000000	144	0.583333	4.999335	728	0.320055	0.317000	0.322770	
748	0.304813	112	0.000000	140	0.464286	4.999335	748	0.304813	0.293000	0.322583	
729	0.336077	111	0.090090	160	0.525000	4.999335	729	0.336077	0.339000	0.322685	
686	0.282799	125	0.064000	189	0.566138	4.999335	686	0.282799	0.309000	0.322600	
673	0.277860	116	0.034483	211	0.540284	4.999335	673	0.277860	0.305000	0.322492	
724	0.305249	113	0.017699	163	0.607362	4.999335	724	0.305249	0.322000	0.322489	
739	0.319350	101	0.019802	160	0.725000	4.999335	739	0.319350	0.354000	0.322681	
728	0.317308	107	0.000000	165	0.484848	4.999335	728	0.317308	0.311000	0.322610	
726	0.315427	113	0.008850	161	0.596273	4.999335	726	0.315427	0.326000	0.322631	
