Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/uto-iroquois-cross.cousinmarriage.preferred.bttrees
Data File Name:                  ./data/uto-iroquois-cross.cousinmarriage.preferred.btdata
Log File Name:                   ./output/uto-iroquois-cross.cousinmarriage.preferred-dep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3916137559
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/uto-iroquois-cross.cousinmarriage.preferred-dep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.631579,0.157895,0.210526,0.000000)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.104381
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       19
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-14.706763	154	1	1	'0 0 0 0 0 Z 0 0 	D	5.479523	5.479523	5.479523	5.479523	5.479523	0.000000	5.479523	5.479523	0.999783	0.000008	0.000209	0.000000	
12000	-11.892691	502	1	4	'0 0 0 Z Z Z 0 Z 	D	21.105196	21.105196	21.105196	0.000000	0.000000	0.000000	21.105196	0.000000	0.999574	0.000426	0.000000	0.000000	
13000	-13.124869	239	1	3	'0 0 Z Z 0 Z 0 0 	D	15.549775	15.549775	0.000000	0.000000	15.549775	0.000000	15.549775	15.549775	0.996711	0.000000	0.003289	0.000000	
14000	-12.506722	681	1	4	'0 0 Z Z 0 Z 0 Z 	D	27.056431	27.056431	0.000000	0.000000	27.056431	0.000000	27.056431	0.000000	0.994437	0.000000	0.005563	0.000000	
15000	-13.800039	409	1	5	'0 0 Z Z 0 Z Z Z 	D	7.398168	7.398168	0.000000	0.000000	7.398168	0.000000	0.000000	0.000000	0.999274	0.000000	0.000726	0.000000	
16000	-12.703084	279	1	3	'0 0 Z Z 0 Z 0 0 	D	18.659097	18.659097	0.000000	0.000000	18.659097	0.000000	18.659097	18.659097	0.997838	0.000000	0.002162	0.000000	
17000	-11.866806	654	1	2	'0 0 0 Z 0 Z 0 0 	D	20.579707	20.579707	20.579707	0.000000	20.579707	0.000000	20.579707	20.579707	0.999482	0.000443	0.000074	0.000000	
18000	-13.167301	48	1	3	'0 0 0 Z Z Z 0 0 	D	8.354997	8.354997	8.354997	0.000000	0.000000	0.000000	8.354997	8.354997	0.999842	0.000158	0.000000	0.000000	
19000	-11.766993	280	1	2	'0 0 0 0 Z Z 0 0 	D	28.813907	28.813907	28.813907	28.813907	0.000000	0.000000	28.813907	28.813907	0.999405	0.000595	0.000000	0.000000	
20000	-12.875174	567	1	2	'0 0 Z 0 Z 0 0 0 	D	15.307144	15.307144	0.000000	15.307144	0.000000	15.307144	15.307144	15.307144	1.000000	0.000000	0.000000	0.000000	
