Rate	71.43
Rev Jump	14.29
Tree Move	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
731	0.365253	137	0.029197	132	0.803030	5.000000	731	0.365253	0.377000	0.562676	
720	0.388889	117	0.051282	163	0.730061	5.000000	720	0.388889	0.405000	0.549538	
736	0.353261	114	0.017544	150	0.666667	5.000000	736	0.353261	0.362000	0.535113	
728	0.372253	102	0.019608	170	0.770588	5.000000	728	0.372253	0.404000	0.525748	
731	0.355677	125	0.064000	144	0.743056	5.000000	731	0.355677	0.375000	0.515699	
775	0.357419	88	0.022727	137	0.781022	5.000000	775	0.357419	0.386000	0.507593	
731	0.365253	121	0.016529	148	0.743243	5.000000	731	0.365253	0.379000	0.500029	
765	0.389542	108	0.018519	127	0.724409	5.000000	765	0.389542	0.392000	0.494028	
714	0.382353	125	0.032000	161	0.695652	5.000000	714	0.382353	0.389000	0.488501	
755	0.384106	106	0.037736	139	0.784173	5.000000	755	0.384106	0.403000	0.484226	
753	0.350598	105	0.038095	142	0.732394	5.000000	753	0.350598	0.372000	0.478882	
732	0.400273	122	0.049180	146	0.698630	5.000000	732	0.400273	0.401000	0.475342	
728	0.377747	110	0.036364	162	0.753086	5.000000	728	0.377747	0.401000	0.472110	
718	0.394150	137	0.029197	145	0.813793	5.000000	718	0.394150	0.405000	0.469314	
770	0.379221	96	0.062500	134	0.783582	5.000000	770	0.379221	0.403000	0.466661	
739	0.384303	107	0.018692	154	0.798701	5.000000	739	0.384303	0.409000	0.464444	
759	0.399209	87	0.022989	154	0.766234	5.000000	759	0.399209	0.423000	0.462909	
730	0.405479	117	0.068376	153	0.705882	5.000000	730	0.405479	0.412000	0.461091	
730	0.410959	124	0.000000	146	0.773973	5.000000	730	0.410959	0.413000	0.459432	
719	0.376912	115	0.000000	166	0.807229	5.000000	719	0.376912	0.405000	0.457618	
752	0.375000	122	0.016393	126	0.666667	5.000000	752	0.375000	0.368000	0.454727	
767	0.408083	99	0.020202	134	0.761194	5.000000	767	0.408083	0.417000	0.453548	
749	0.367156	111	0.000000	140	0.828571	5.000000	749	0.367156	0.391000	0.451653	
764	0.390052	103	0.038835	133	0.751880	5.000000	764	0.390052	0.402000	0.450193	
723	0.378976	118	0.093220	159	0.786164	5.000000	723	0.378976	0.410000	0.449044	
755	0.389404	107	0.028037	138	0.710145	5.000000	755	0.389404	0.395000	0.447543	
742	0.361186	115	0.017391	143	0.552448	5.000000	742	0.361186	0.349000	0.444880	
765	0.418301	97	0.061856	138	0.731884	5.000000	765	0.418301	0.427000	0.444409	
746	0.403485	105	0.057143	149	0.791946	5.000000	746	0.403485	0.425000	0.443912	
727	0.383769	114	0.035088	159	0.729560	5.000000	727	0.383769	0.399000	0.442789	
734	0.382834	118	0.016949	148	0.770270	5.000000	734	0.382834	0.397000	0.441672	
745	0.436242	98	0.040816	157	0.840764	5.000000	745	0.436242	0.461000	0.442132	
765	0.411765	109	0.091743	126	0.785714	5.000000	765	0.411765	0.424000	0.441711	
741	0.372470	125	0.032000	134	0.865672	5.000000	741	0.372470	0.396000	0.440672	
733	0.388813	100	0.050000	167	0.688623	5.000000	733	0.388813	0.405000	0.439879	
726	0.388430	106	0.009434	168	0.827381	5.000000	726	0.388430	0.422000	0.439490	
756	0.365079	107	0.037383	137	0.802920	5.000000	756	0.365079	0.390000	0.438437	
724	0.367403	138	0.014493	138	0.652174	5.000000	724	0.367403	0.358000	0.436762	
715	0.401399	111	0.036036	174	0.701149	5.000000	715	0.401399	0.413000	0.436277	
753	0.365206	97	0.082474	150	0.786667	5.000000	753	0.365206	0.401000	0.435571	
744	0.376344	126	0.031746	130	0.738462	5.000000	744	0.376344	0.380000	0.434482	
730	0.364384	130	0.030769	140	0.750000	5.000000	730	0.364384	0.375000	0.433338	
755	0.394702	113	0.017699	132	0.704545	5.000000	755	0.394702	0.393000	0.432577	
731	0.398085	114	0.035088	155	0.754839	5.000000	731	0.398085	0.412000	0.432196	
735	0.361905	119	0.050420	146	0.815068	5.000000	735	0.361905	0.391000	0.431447	
736	0.387228	112	0.053571	152	0.750000	5.000000	736	0.387228	0.405000	0.430974	
742	0.378706	96	0.031250	162	0.709877	5.000000	742	0.378706	0.399000	0.430414	
705	0.385816	138	0.036232	157	0.719745	5.000000	705	0.385816	0.390000	0.429717	
734	0.361035	113	0.035398	153	0.705882	5.000000	734	0.361035	0.377000	0.428823	
745	0.367785	120	0.016667	135	0.718519	5.000000	745	0.367785	0.373000	0.427893	
717	0.336123	113	0.070796	170	0.735294	5.000000	717	0.336123	0.374000	0.427009	
717	0.382148	113	0.017699	170	0.652941	5.000000	717	0.382148	0.387000	0.426364	
750	0.380000	112	0.017857	138	0.760870	5.000000	750	0.380000	0.392000	0.425819	
749	0.409880	106	0.037736	145	0.731034	5.000000	749	0.409880	0.417000	0.425681	
725	0.354483	128	0.031250	147	0.707483	5.000000	725	0.354483	0.365000	0.424747	
748	0.352941	110	0.018182	142	0.697183	5.000000	748	0.352941	0.365000	0.423842	
758	0.385224	103	0.038835	139	0.776978	5.000000	758	0.385224	0.404000	0.423546	
731	0.365253	113	0.035398	156	0.794872	5.000000	731	0.365253	0.395000	0.423126	
741	0.387314	104	0.028846	155	0.819355	5.000000	741	0.387314	0.417000	0.423037	
720	0.404167	107	0.028037	173	0.670520	5.000000	720	0.404167	0.410000	0.422851	
744	0.384409	119	0.050420	137	0.773723	5.000000	744	0.384409	0.398000	0.422501	
751	0.351531	109	0.055046	140	0.757143	5.000000	751	0.351531	0.376000	0.421855	
738	0.367209	117	0.017094	145	0.772414	5.000000	738	0.367209	0.385000	0.421350	
763	0.402359	107	0.000000	130	0.746154	5.000000	763	0.402359	0.404000	0.421116	
745	0.389262	110	0.054545	145	0.717241	5.000000	745	0.389262	0.400000	0.420834	
741	0.383266	127	0.047244	132	0.833333	5.000000	741	0.383266	0.400000	0.420560	
724	0.383978	123	0.048780	153	0.686275	5.000000	724	0.383978	0.389000	0.420150	
732	0.374317	115	0.017391	153	0.771242	5.000000	732	0.374317	0.394000	0.419815	
750	0.394667	105	0.038095	145	0.724138	5.000000	750	0.394667	0.405000	0.419628	
734	0.358311	111	0.036036	155	0.735484	5.000000	734	0.358311	0.381000	0.419145	
763	0.386632	96	0.020833	141	0.751773	5.000000	763	0.386632	0.403000	0.418945	
756	0.382275	100	0.060000	144	0.756944	5.000000	756	0.382275	0.404000	0.418763	
762	0.388451	99	0.020202	139	0.798561	5.000000	762	0.388451	0.409000	0.418646	
753	0.373174	105	0.057143	142	0.690141	5.000000	753	0.373174	0.385000	0.418245	
744	0.399194	96	0.000000	160	0.706250	5.000000	744	0.399194	0.410000	0.418148	
748	0.399733	108	0.055556	144	0.680556	5.000000	748	0.399733	0.403000	0.417972	
742	0.389488	113	0.106195	145	0.744828	5.000000	742	0.389488	0.409000	0.417869	
742	0.389488	121	0.016529	137	0.686131	5.000000	742	0.389488	0.385000	0.417495	
715	0.397203	128	0.031250	157	0.719745	5.000000	715	0.397203	0.401000	0.417310	
740	0.412162	120	0.016667	140	0.728571	5.000000	740	0.412162	0.409000	0.417218	
750	0.397333	112	0.035714	138	0.717391	5.000000	750	0.397333	0.401000	0.417039	
739	0.365359	123	0.016260	138	0.789855	5.000000	739	0.365359	0.381000	0.416648	
718	0.366295	116	0.017241	166	0.740964	5.000000	718	0.366295	0.388000	0.416340	
712	0.408708	135	0.044444	153	0.816993	5.000000	712	0.408708	0.422000	0.416400	
738	0.407859	107	0.018692	155	0.729032	5.000000	738	0.407859	0.416000	0.416396	
738	0.383469	99	0.020202	163	0.791411	5.000000	738	0.383469	0.414000	0.416371	
783	0.342273	85	0.058824	132	0.795455	5.000000	783	0.342273	0.378000	0.415975	
759	0.361001	112	0.008929	129	0.728682	5.000000	759	0.361001	0.369000	0.415496	
703	0.384068	120	0.016667	177	0.768362	5.000000	703	0.384068	0.408000	0.415420	
732	0.398907	115	0.034783	153	0.705882	5.000000	732	0.398907	0.404000	0.415306	
733	0.422920	112	0.053571	155	0.709677	5.000000	733	0.422920	0.426000	0.415412	
730	0.393151	106	0.018868	164	0.719512	5.000000	730	0.393151	0.407000	0.415329	
749	0.355140	116	0.000000	135	0.770370	5.000000	749	0.355140	0.370000	0.414889	
722	0.398892	117	0.034188	161	0.745342	5.000000	722	0.398892	0.412000	0.414861	
758	0.437995	100	0.080000	142	0.732394	5.000000	758	0.437995	0.444000	0.415139	
764	0.426702	84	0.000000	152	0.756579	5.000000	764	0.426702	0.441000	0.415383	
732	0.418033	121	0.049587	147	0.768707	5.000000	732	0.418033	0.425000	0.415473	
738	0.443089	108	0.027778	154	0.668831	5.000000	738	0.443089	0.433000	0.415635	
727	0.372765	114	0.043860	159	0.672956	5.000000	727	0.372765	0.383000	0.415336	
737	0.371777	112	0.017857	151	0.768212	5.000000	737	0.371777	0.392000	0.415123	
746	0.404826	102	0.000000	152	0.756579	5.000000	746	0.404826	0.417000	0.415140	
731	0.387141	112	0.053571	157	0.751592	5.000000	731	0.387141	0.407000	0.415068	
736	0.403533	93	0.043011	171	0.760234	5.000000	736	0.403533	0.431000	0.415209	
740	0.379730	109	0.055046	151	0.701987	5.000000	740	0.379730	0.393000	0.415014	
728	0.353022	114	0.052632	158	0.772152	5.000000	728	0.353022	0.385000	0.414753	
734	0.405995	120	0.016667	146	0.767123	5.000000	734	0.405995	0.412000	0.414729	
730	0.378082	112	0.017857	158	0.746835	5.000000	730	0.378082	0.396000	0.414569	
719	0.381085	116	0.017241	165	0.703030	5.000000	719	0.381085	0.392000	0.414378	
736	0.389946	108	0.037037	156	0.756410	5.000000	736	0.389946	0.409000	0.414333	
725	0.360000	121	0.033058	154	0.707792	5.000000	725	0.360000	0.374000	0.413997	
