Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-0.432638	-0.432638
1	0.950747	750	-0.424881	-0.857519
2	0.926679	750	-0.419587	-1.277106
3	0.902980	750	-0.415775	-1.692881
4	0.879648	750	-0.413527	-2.106408
5	0.856682	750	-0.402798	-2.509207
6	0.834079	750	-0.401738	-2.910944
7	0.811838	750	-0.393449	-3.304393
8	0.789957	750	-0.389846	-3.694239
9	0.768433	750	-0.377415	-4.071655
10	0.747266	750	-0.374706	-4.446360
11	0.726452	750	-0.371732	-4.818092
12	0.705989	750	-0.366465	-5.184557
13	0.685877	750	-0.358291	-5.542849
14	0.666112	750	-0.349174	-5.892022
15	0.646693	750	-0.347416	-6.239438
16	0.627618	750	-0.344173	-6.583612
17	0.608884	750	-0.335977	-6.919589
18	0.590490	750	-0.326682	-7.246271
19	0.572433	750	-0.324742	-7.571013
20	0.554712	750	-0.324089	-7.895102
21	0.537324	750	-0.314678	-8.209780
22	0.520268	750	-0.306936	-8.516716
23	0.503540	750	-0.301618	-8.818335
24	0.487139	750	-0.299898	-9.118233
25	0.471063	750	-0.301446	-9.419679
26	0.455310	750	-0.289403	-9.709082
27	0.439877	750	-0.283513	-9.992595
28	0.424762	750	-0.278275	-10.270870
29	0.409963	750	-0.271051	-10.541921
30	0.395478	750	-0.267321	-10.809242
31	0.381305	750	-0.259356	-11.068597
32	0.367440	750	-0.256286	-11.324883
33	0.353883	750	-0.251376	-11.576259
34	0.340630	750	-0.246955	-11.823214
35	0.327680	750	-0.243820	-12.067034
36	0.315030	750	-0.240429	-12.307463
37	0.302677	750	-0.240337	-12.547800
38	0.290619	750	-0.226451	-12.774251
39	0.278855	750	-0.227563	-13.001814
40	0.267381	750	-0.219400	-13.221213
41	0.256195	750	-0.212881	-13.434094
42	0.245294	750	-0.207736	-13.641831
43	0.234677	750	-0.201058	-13.842889
44	0.224340	750	-0.200122	-14.043011
45	0.214281	750	-0.196230	-14.239241
46	0.204498	750	-0.192500	-14.431740
47	0.194988	750	-0.189293	-14.621033
48	0.185749	750	-0.183726	-14.804759
49	0.176777	750	-0.175497	-14.980256
50	0.168070	750	-0.174780	-15.155036
51	0.159626	750	-0.170391	-15.325428
52	0.151441	750	-0.161408	-15.486836
53	0.143514	750	-0.159489	-15.646325
54	0.135841	750	-0.153323	-15.799648
55	0.128420	750	-0.149373	-15.949021
56	0.121247	750	-0.142213	-16.091234
57	0.114320	750	-0.137648	-16.228882
58	0.107637	750	-0.139733	-16.368615
59	0.101193	750	-0.136933	-16.505548
60	0.094986	750	-0.131635	-16.637183
61	0.089014	750	-0.123609	-16.760792
62	0.083273	750	-0.120003	-16.880796
63	0.077760	750	-0.120311	-17.001107
64	0.072472	750	-0.110863	-17.111969
65	0.067406	750	-0.133733	-17.245702
66	0.062558	750	-0.103417	-17.349120
67	0.057926	750	-0.101504	-17.450624
68	0.053506	750	-0.095577	-17.546200
69	0.049295	750	-0.090852	-17.637052
70	0.045289	750	-0.182864	-17.819916
71	0.041485	750	-0.135439	-17.955355
72	0.037880	750	-0.076989	-18.032344
73	0.034469	750	-0.079270	-18.111614
74	0.031250	750	-0.073074	-18.184688
75	0.028218	750	-0.067668	-18.252356
76	0.025370	750	-0.061164	-18.313520
77	0.022702	750	-0.059160	-18.372681
78	0.020209	750	-0.055544	-18.428225
79	0.017889	750	-0.052083	-18.480307
80	0.015736	750	-0.048281	-18.528588
81	0.013746	750	-0.043429	-18.572017
82	0.011916	750	-0.039117	-18.611134
83	0.010240	750	-0.037373	-18.648506
84	0.008714	750	-0.036804	-18.685310
85	0.007334	750	-0.040588	-18.725899
86	0.006093	750	-0.063047	-18.788945
87	0.004988	750	-0.055068	-18.844013
88	0.004013	750	-0.057363	-18.901376
89	0.003162	750	-0.032029	-18.933405
90	0.002430	750	-0.016356	-18.949761
91	0.001810	750	-0.013586	-18.963347
92	0.001296	750	-0.011168	-18.974514
93	0.000882	750	-0.022222	-18.996736
94	0.000559	750	-0.019465	-19.016201
95	0.000320	750	-0.005883	-19.022084
96	0.000156	750	-0.003695	-19.025779
97	0.000057	750	-0.002220	-19.027999
98	0.000010	750	-0.001069	-19.029068
99	0.000000	750	-0.000227	-19.029295
Log marginal likelihood:	-19.029295
