Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/austronesian-crow-uni.localresidence.bttrees
Data File Name:                  ./data/austronesian-crow-uni.localresidence.btdata
Log File Name:                   ./output/austronesian-crow-uni.localresidence-indep2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            725374021
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/austronesian-crow-uni.localresidence-indep2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.595238,0.333333,0.000000,0.071429)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.084799
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       84
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-65.108030	699	0.410298	10.120092	0.704109	2.976781	0.052311	0.795366	0.000000	0.152323	
12000	-64.394685	842	1.005586	12.012622	1.116094	2.170210	0.213268	0.650337	0.000000	0.136395	
13000	-64.324268	842	0.781401	10.852420	2.565033	3.128942	0.405506	0.491257	0.000000	0.103238	
14000	-68.739465	623	1.456884	19.046068	0.388632	2.137973	0.028984	0.799562	0.000000	0.171455	
15000	-72.344828	246	0.551254	3.646867	2.513191	3.086052	0.548895	0.433152	0.000000	0.017953	
16000	-64.897051	470	0.238842	9.101320	1.490557	4.071462	0.266704	0.527174	0.000000	0.206122	
17000	-65.224344	19	0.367123	8.587159	1.113621	1.663778	0.720037	0.237318	0.000000	0.042645	
18000	-70.420079	490	1.901060	21.094844	2.619924	4.234139	0.403974	0.490867	0.000000	0.105159	
19000	-69.423838	293	1.376071	18.186307	1.258951	3.050140	0.215976	0.645495	0.000000	0.138529	
20000	-65.356009	27	0.365616	10.601106	1.664047	2.246479	0.576499	0.303785	0.000000	0.119716	
21000	-66.916314	222	4.430842	27.804143	1.378928	3.738847	0.305543	0.571934	0.000000	0.122522	
22000	-70.262254	12	0.636097	16.133865	1.559353	3.347014	0.248926	0.609068	0.000000	0.142006	
23000	-70.226171	357	2.792680	32.132588	2.262036	1.994479	0.734739	0.218450	0.000000	0.046811	
24000	-65.666050	842	3.525535	30.351499	1.536126	2.978860	0.214926	0.646539	0.000000	0.138535	
25000	-71.041151	913	0.320825	16.136196	1.348524	2.219017	0.337289	0.511614	0.000000	0.151097	
26000	-73.743159	146	4.315353	25.842520	2.440943	1.099079	0.952017	0.039516	0.000000	0.008467	
27000	-67.605783	592	0.805594	8.184539	0.895768	3.616894	0.084136	0.835624	0.000000	0.080241	
28000	-69.577260	991	0.861944	22.859268	1.795692	2.882983	0.398364	0.495336	0.000000	0.106299	
29000	-68.060715	291	3.009784	36.997801	0.597979	2.388326	0.096999	0.743648	0.000000	0.159353	
30000	-69.295886	57	4.645157	42.428305	2.155369	3.205465	0.414500	0.482177	0.000000	0.103324	
31000	-68.926378	215	3.570299	34.222465	0.511427	2.201357	0.058011	0.775756	0.000000	0.166233	
32000	-69.217955	827	2.465738	33.712424	1.996965	2.167400	0.554379	0.366982	0.000000	0.078639	
33000	-67.576004	842	3.142276	16.571524	2.283553	2.792123	0.408749	0.489152	0.000000	0.102099	
34000	-69.230123	227	1.265145	25.101229	0.902810	2.525948	0.163958	0.688470	0.000000	0.147572	
35000	-69.548112	160	2.231229	30.199412	2.272059	2.247862	0.606993	0.323653	0.000000	0.069354	
36000	-70.913800	182	1.939993	13.226851	1.166670	2.847594	0.222634	0.644211	0.000000	0.133156	
37000	-68.415040	47	1.596294	30.054550	1.300290	1.537493	0.674744	0.267857	0.000000	0.057399	
38000	-68.564079	119	2.123665	24.563676	1.509132	2.648660	0.365290	0.522704	0.000000	0.112006	
39000	-68.739808	762	1.144534	16.423985	1.663404	2.905260	0.413549	0.482758	0.000000	0.103693	
40000	-70.056692	723	2.494436	19.013964	0.678491	2.542413	0.091293	0.748591	0.000000	0.160117	
41000	-68.119091	275	1.519422	27.827377	0.836540	1.798704	0.225850	0.637529	0.000000	0.136621	
42000	-71.105046	828	1.334838	20.599221	2.781733	3.049207	0.556782	0.364941	0.000000	0.078278	
43000	-63.505800	470	0.511583	9.200336	0.883125	3.121521	0.210020	0.674274	0.000000	0.115707	
44000	-69.226957	35	0.918171	6.016088	0.296001	3.110360	0.006611	0.949953	0.000000	0.043436	
45000	-71.356243	687	14.231160	88.198903	2.611578	2.554079	0.593504	0.334761	0.000000	0.071735	
46000	-70.772625	420	1.257558	14.568816	0.902290	3.515141	0.131001	0.715994	0.000000	0.153006	
47000	-65.714494	470	0.253807	13.459204	1.533585	1.938129	0.589860	0.244847	0.000000	0.165294	
48000	-68.264933	659	2.210293	24.246130	1.262505	1.743486	0.505715	0.407064	0.000000	0.087221	
49000	-63.822646	470	1.265845	15.838781	1.527360	3.409760	0.357100	0.529204	0.000000	0.113696	
50000	-68.527021	500	1.222295	23.383678	1.541891	2.020193	0.507480	0.405551	0.000000	0.086969	
51000	-64.205560	19	1.500593	18.129138	0.659720	3.203269	0.132782	0.713763	0.000000	0.153455	
52000	-66.148864	470	0.877076	16.968688	1.536479	5.109694	0.256901	0.604180	0.000000	0.138918	
53000	-72.618900	914	0.923899	14.082595	3.922990	5.346043	0.556108	0.364026	0.000000	0.079866	
54000	-67.559003	738	4.523752	51.525763	0.961750	2.009410	0.259958	0.609447	0.000000	0.130596	
55000	-72.865385	849	0.785739	5.447447	1.875832	4.412634	0.338757	0.612616	0.000000	0.048627	
56000	-65.784500	222	2.987151	21.349272	0.928777	2.996026	0.251377	0.616946	0.000000	0.131677	
57000	-73.734347	781	0.322411	4.241186	1.310854	4.197019	0.255371	0.703630	0.000000	0.040999	
58000	-70.888279	722	0.423636	8.013390	1.553904	1.637958	0.649948	0.279663	0.000000	0.070389	
59000	-71.233649	546	0.938393	7.050777	1.895754	3.300819	0.338689	0.597474	0.000000	0.063837	
60000	-72.380021	764	0.891967	12.972310	4.377599	3.465447	0.675643	0.265547	0.000000	0.058810	
61000	-69.852756	606	3.280840	50.566929	2.225245	3.572217	0.419314	0.478212	0.000000	0.102474	
62000	-68.878543	950	2.571402	27.887169	1.012011	2.297006	0.176715	0.678000	0.000000	0.145284	
