Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/austronesian-iroquois-cross.cousinmarriage.permitted.bttrees
Data File Name:                  ./data/austronesian-iroquois-cross.cousinmarriage.permitted.btdata
Log File Name:                   ./output/austronesian-iroquois-cross.cousinmarriage.permitted-indep2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1591662669
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/austronesian-iroquois-cross.cousinmarriage.permitted-indep2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.772152,0.050633,0.101266,0.075949)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.083703
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       79
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-69.857085	763	3.474629	17.475536	1.099255	3.601020	0.858983	0.011279	0.112798	0.016940	
12000	-66.575195	242	1.188999	2.767856	1.996318	21.999013	0.912276	0.059874	0.015908	0.011942	
13000	-65.626349	369	0.899533	2.714639	8.911630	68.204598	0.912609	0.059843	0.015742	0.011806	
14000	-68.310276	157	4.159235	12.989461	2.055184	11.062501	0.779670	0.047698	0.101566	0.071066	
15000	-68.493786	436	6.300353	26.334485	1.479176	13.296731	0.770847	0.051223	0.101095	0.076835	
16000	-66.306227	775	0.373330	3.844880	8.787306	49.730197	0.637352	0.041794	0.183345	0.137509	
17000	-65.803862	255	0.844081	5.007633	2.205934	15.623797	0.707251	0.046348	0.140839	0.105563	
18000	-66.346979	308	1.748685	4.948200	3.277248	30.922045	0.830579	0.054464	0.065689	0.049267	
19000	-65.874399	35	1.669593	5.326394	3.008894	26.045896	0.869300	0.057030	0.042088	0.031581	
20000	-67.623778	563	3.590416	12.593918	3.437242	17.843820	0.772993	0.050585	0.100900	0.075522	
21000	-69.895997	747	2.517464	10.383722	0.472997	4.718563	0.843556	0.017301	0.112705	0.026438	
22000	-65.261987	100	1.085776	2.603267	4.682417	38.903102	0.924454	0.060620	0.008529	0.006397	
23000	-66.267800	85	1.463307	6.028097	1.494471	9.367995	0.782789	0.042543	0.107713	0.066955	
24000	-68.907987	390	6.497067	30.034093	8.301946	32.112115	0.772152	0.050633	0.101266	0.075949	
25000	-65.605635	69	0.887118	6.098737	3.080348	23.565329	0.620728	0.040704	0.193465	0.145103	
26000	-65.663641	583	1.886020	5.616219	1.415215	14.629228	0.857284	0.059837	0.046087	0.036792	
27000	-66.583918	617	2.166463	8.481997	3.348694	17.345390	0.769206	0.050307	0.103251	0.077235	
28000	-69.784549	702	2.054522	5.410030	0.616387	2.886814	0.906150	0.009662	0.075036	0.009151	
29000	-70.717810	569	1.801872	0.968795	3.247236	12.770232	0.939458	0.059100	0.000839	0.000603	
30000	-65.137166	144	1.601781	6.970642	2.883389	31.993236	0.816013	0.053517	0.074549	0.055921	
31000	-66.788743	417	1.457492	7.623113	3.459645	17.349545	0.706708	0.046184	0.141410	0.105697	
32000	-66.895222	57	1.451746	0.668550	2.276745	14.952039	0.938411	0.061217	0.000213	0.000159	
33000	-67.717090	164	3.823876	23.124230	6.849304	38.524547	0.772102	0.050630	0.101296	0.075972	
34000	-66.447597	662	1.177616	4.177918	5.996260	30.011427	0.852317	0.055890	0.052453	0.039340	
35000	-66.753387	854	3.210554	9.744267	2.029492	15.468316	0.777229	0.050955	0.098189	0.073627	
36000	-65.232173	561	1.353450	6.145482	5.619049	37.540006	0.749493	0.049147	0.115063	0.086297	
37000	-65.836239	390	1.260301	0.734188	8.799099	49.306648	0.938029	0.061510	0.000263	0.000198	
38000	-66.850463	18	1.733203	10.568899	4.963428	30.663382	0.741436	0.048619	0.119969	0.089976	
39000	-67.590188	156	1.506245	4.464996	7.081056	25.862169	0.853439	0.055963	0.051771	0.038828	
40000	-72.070562	53	0.311039	0.168375	1.637243	8.670559	0.952170	0.047747	0.000053	0.000030	
41000	-67.442855	302	4.282475	17.164391	3.232455	29.588593	0.772139	0.050633	0.101272	0.075956	
42000	-71.261714	877	6.735041	13.430488	1.966095	16.525693	0.772335	0.050735	0.101026	0.075904	
43000	-67.317772	97	4.681871	18.273019	5.987603	32.994998	0.772165	0.050634	0.101258	0.075943	
44000	-64.877331	952	0.944267	0.661570	5.054768	32.877728	0.937027	0.061444	0.000874	0.000655	
45000	-68.843619	677	2.154494	8.685162	2.847731	10.074671	0.775933	0.046876	0.104787	0.072404	
46000	-65.970187	310	0.878715	4.081529	2.074393	15.588238	0.812028	0.053285	0.076941	0.057746	
47000	-69.783257	795	1.337809	6.675093	0.621591	2.232586	0.839924	0.003145	0.150487	0.006444	
48000	-67.829796	982	1.804500	8.758807	1.048473	13.212874	0.734995	0.052849	0.116416	0.095740	
49000	-66.495939	780	1.789866	6.838181	2.128712	9.344744	0.790908	0.043116	0.102232	0.063743	
50000	-67.419502	394	0.973731	6.881773	1.306621	7.154012	0.671631	0.029015	0.200357	0.098998	
51000	-68.962764	231	5.112827	36.789854	3.337644	30.131001	0.772151	0.050633	0.101266	0.075950	
52000	-64.458425	837	0.937478	0.405672	8.304401	63.888816	0.938180	0.061520	0.000171	0.000128	
53000	-68.835704	46	2.236048	6.944053	5.744642	19.210661	0.796252	0.052158	0.086662	0.064928	
54000	-66.685594	976	1.757200	3.105782	1.330873	13.765501	0.906381	0.060760	0.018599	0.014260	
55000	-66.269429	546	1.201568	5.274452	1.901488	19.778114	0.759850	0.050024	0.108459	0.081667	
56000	-66.387942	607	0.870041	1.257674	3.664376	21.334346	0.936031	0.061366	0.001488	0.001115	
57000	-67.267320	647	2.527524	8.365502	1.130934	13.956330	0.774918	0.052990	0.096567	0.075526	
58000	-68.392431	193	0.058786	4.641676	1.330701	9.573138	0.169087	0.009994	0.489798	0.331122	
59000	-66.519159	532	3.841153	12.011230	4.492824	28.976858	0.781583	0.051249	0.095526	0.071642	
60000	-66.160946	716	1.606927	4.763449	2.802707	18.207821	0.839911	0.055053	0.060032	0.045005	
61000	-68.928304	197	3.673957	10.195144	2.672793	10.678910	0.785384	0.047185	0.099238	0.068192	
