Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
835	0.317365	165	0.836364	1.612588	835	0.317365	0.403000	0.325152	
842	0.250594	158	0.778481	1.612588	842	0.250594	0.334000	0.325890	
824	0.224515	176	0.835227	1.612588	824	0.224515	0.332000	0.326360	
834	0.257794	166	0.753012	1.612588	834	0.257794	0.340000	0.327334	
827	0.258767	173	0.855491	1.612588	827	0.258767	0.362000	0.329645	
839	0.276520	161	0.788820	1.612588	839	0.276520	0.359000	0.331479	
816	0.253676	184	0.842391	1.612588	816	0.253676	0.362000	0.333275	
813	0.302583	187	0.743316	1.612588	813	0.302583	0.385000	0.336148	
831	0.255114	169	0.786982	1.612588	831	0.255114	0.345000	0.336614	
811	0.245376	189	0.783069	1.612588	811	0.245376	0.347000	0.337133	
823	0.278250	177	0.790960	1.612588	823	0.278250	0.369000	0.338651	
825	0.231515	175	0.737143	1.612588	825	0.231515	0.320000	0.337803	
843	0.246738	157	0.821656	1.612588	843	0.246738	0.337000	0.337768	
818	0.243276	182	0.895604	1.612588	818	0.243276	0.362000	0.338778	
815	0.236810	185	0.789189	1.612588	815	0.236810	0.339000	0.338786	
834	0.231415	166	0.807229	1.612588	834	0.231415	0.327000	0.338333	
827	0.272068	173	0.757225	1.612588	827	0.272068	0.356000	0.338987	
808	0.288366	192	0.807292	1.612588	808	0.288366	0.388000	0.340738	
833	0.235294	167	0.826347	1.612588	833	0.235294	0.334000	0.340505	
814	0.233415	186	0.763441	1.612588	814	0.233415	0.332000	0.340222	
827	0.252721	173	0.763006	1.612588	827	0.252721	0.341000	0.340247	
827	0.234583	173	0.716763	1.612588	827	0.234583	0.318000	0.339552	
814	0.251843	186	0.784946	1.612588	814	0.251843	0.351000	0.339899	
832	0.230769	168	0.815476	1.612588	832	0.230769	0.329000	0.339578	
817	0.239902	183	0.846995	1.612588	817	0.239902	0.351000	0.339905	
816	0.264706	184	0.798913	1.612588	816	0.264706	0.363000	0.340546	
823	0.251519	177	0.774011	1.612588	823	0.251519	0.344000	0.340639	
817	0.232558	183	0.890710	1.612588	817	0.232558	0.353000	0.340965	
805	0.191304	195	0.805128	1.612588	805	0.191304	0.311000	0.340196	
847	0.247934	153	0.705882	1.596642	847	0.247934	0.318000	0.339642	
800	0.277500	200	0.785000	1.596642	800	0.277500	0.379000	0.340601	
819	0.274725	181	0.762431	1.596642	819	0.274725	0.363000	0.341135	
832	0.274038	168	0.761905	1.596642	832	0.274038	0.356000	0.341480	
809	0.248455	191	0.732984	1.596642	809	0.248455	0.341000	0.341470	
829	0.275030	171	0.836257	1.596642	829	0.275030	0.371000	0.342126	
800	0.245000	200	0.835000	1.596642	800	0.245000	0.363000	0.342580	
829	0.240048	171	0.836257	1.596642	829	0.240048	0.342000	0.342567	
816	0.235294	184	0.842391	1.596642	816	0.235294	0.347000	0.342660	
821	0.298417	179	0.759777	1.596642	821	0.298417	0.381000	0.343442	
819	0.239316	181	0.828729	1.596642	819	0.239316	0.346000	0.343493	
805	0.240994	195	0.779487	1.596642	805	0.240994	0.346000	0.343542	
818	0.254279	182	0.840659	1.596642	818	0.254279	0.361000	0.343878	
838	0.252983	162	0.833333	1.596642	838	0.252983	0.347000	0.343937	
830	0.275904	170	0.782353	1.596642	830	0.275904	0.362000	0.344271	
851	0.242068	149	0.859060	1.596642	851	0.242068	0.334000	0.344085	
804	0.282338	196	0.806122	1.596642	804	0.282338	0.385000	0.344815	
849	0.229682	151	0.662252	1.596642	849	0.229682	0.295000	0.343941	
847	0.217237	153	0.738562	1.596642	847	0.217237	0.297000	0.343132	
832	0.271635	168	0.845238	1.596642	832	0.271635	0.368000	0.343553	
813	0.250923	187	0.807487	1.596642	813	0.250923	0.355000	0.343744	
832	0.235577	168	0.797619	1.596642	832	0.235577	0.330000	0.343519	
848	0.245283	152	0.756579	1.596642	848	0.245283	0.323000	0.343188	
824	0.250000	176	0.789773	1.596642	824	0.250000	0.345000	0.343217	
824	0.242718	176	0.789773	1.596642	824	0.242718	0.339000	0.343151	
835	0.276647	165	0.848485	1.596642	835	0.276647	0.371000	0.343579	
825	0.273939	175	0.782857	1.596642	825	0.273939	0.363000	0.343874	
820	0.214634	180	0.750000	1.596642	820	0.214634	0.311000	0.343383	
820	0.251220	180	0.850000	1.596642	820	0.251220	0.359000	0.343613	
822	0.284672	178	0.797753	1.596642	822	0.284672	0.376000	0.344082	
810	0.258025	190	0.868421	1.596642	810	0.258025	0.374000	0.344509	
820	0.260976	180	0.844444	1.596642	820	0.260976	0.366000	0.344812	
818	0.213936	182	0.791209	1.596642	818	0.213936	0.319000	0.344454	
828	0.256039	172	0.813953	1.596642	828	0.256039	0.352000	0.344557	
829	0.248492	171	0.830409	1.596642	829	0.248492	0.348000	0.344603	
834	0.230216	166	0.855422	1.596642	834	0.230216	0.334000	0.344462	
819	0.262515	181	0.828729	1.596642	819	0.262515	0.365000	0.344732	
842	0.232779	158	0.784810	1.596642	842	0.232779	0.320000	0.344411	
825	0.266667	175	0.788571	1.596642	825	0.266667	0.358000	0.344585	
816	0.245098	184	0.782609	1.596642	816	0.245098	0.344000	0.344578	
820	0.285366	180	0.783333	1.596642	820	0.285366	0.375000	0.344958	
818	0.273839	182	0.763736	1.596642	818	0.273839	0.363000	0.345181	
837	0.277180	163	0.748466	1.596642	837	0.277180	0.354000	0.345288	
834	0.262590	166	0.843373	1.596642	834	0.262590	0.359000	0.345454	
805	0.240994	195	0.820513	1.596642	805	0.240994	0.354000	0.345555	
835	0.283832	165	0.812121	1.596642	835	0.283832	0.371000	0.345855	
836	0.276316	164	0.786585	1.596642	836	0.276316	0.360000	0.346019	
816	0.240196	184	0.885870	1.596642	816	0.240196	0.359000	0.346168	
802	0.244389	198	0.838384	1.596642	802	0.244389	0.362000	0.346348	
815	0.235583	185	0.745946	1.596642	815	0.235583	0.330000	0.346165	
829	0.256936	171	0.812865	1.596642	829	0.256936	0.352000	0.346229	
848	0.244104	152	0.769737	1.596642	848	0.244104	0.324000	0.345985	
833	0.267707	167	0.808383	1.596642	833	0.267707	0.358000	0.346116	
813	0.302583	187	0.796791	1.596642	813	0.302583	0.395000	0.346641	
826	0.261501	174	0.804598	1.596642	826	0.261501	0.356000	0.346741	
806	0.248139	194	0.731959	1.596642	806	0.248139	0.342000	0.346691	
820	0.275610	180	0.822222	1.596642	820	0.275610	0.374000	0.346976	
822	0.248175	178	0.792135	1.596642	822	0.248175	0.345000	0.346955	
811	0.247842	189	0.846561	1.596642	811	0.247842	0.361000	0.347098	
823	0.244228	177	0.785311	1.596642	823	0.244228	0.340000	0.347027	
824	0.218447	176	0.789773	1.596642	824	0.218447	0.319000	0.346747	
821	0.261876	179	0.787709	1.596642	821	0.261876	0.356000	0.346838	
822	0.260341	178	0.820225	1.596642	822	0.260341	0.360000	0.346967	
808	0.215347	192	0.854167	1.596642	808	0.215347	0.338000	0.346880	
822	0.254258	178	0.865169	1.596642	822	0.254258	0.363000	0.347035	
821	0.228989	179	0.849162	1.596642	821	0.228989	0.340000	0.346968	
808	0.232673	192	0.755208	1.596642	808	0.232673	0.333000	0.346836	
819	0.262515	181	0.801105	1.596642	819	0.262515	0.360000	0.346959	
806	0.291563	194	0.809278	1.596642	806	0.291563	0.392000	0.347376	
840	0.290476	160	0.850000	1.596642	840	0.290476	0.380000	0.347676	
819	0.274725	181	0.801105	1.596642	819	0.274725	0.370000	0.347879	
814	0.242015	186	0.844086	1.596642	814	0.242015	0.354000	0.347934	
814	0.228501	186	0.790323	1.596642	814	0.228501	0.333000	0.347800	
834	0.239808	166	0.801205	1.596642	834	0.239808	0.333000	0.347669	
843	0.275208	157	0.834395	1.596642	843	0.275208	0.363000	0.347804	
833	0.265306	167	0.868263	1.596642	833	0.265306	0.366000	0.347962	
832	0.268029	168	0.785714	1.596642	832	0.268029	0.355000	0.348023	
810	0.285185	190	0.789474	1.596642	810	0.285185	0.381000	0.348305	
848	0.237028	152	0.789474	1.596642	848	0.237028	0.321000	0.348073	
826	0.271186	174	0.804598	1.596642	826	0.271186	0.364000	0.348207	
819	0.235653	181	0.817680	1.596642	819	0.235653	0.341000	0.348147	
813	0.273063	187	0.850267	1.596642	813	0.273063	0.381000	0.348419	
815	0.222086	185	0.745946	1.596642	815	0.222086	0.319000	0.348177	
814	0.253071	186	0.774194	1.596642	814	0.253071	0.350000	0.348192	
830	0.237349	170	0.788235	1.596642	830	0.237349	0.331000	0.348054	
814	0.253071	186	0.870968	1.596642	814	0.253071	0.368000	0.348213	
841	0.253270	159	0.842767	1.596642	841	0.253270	0.347000	0.348204	
837	0.296296	163	0.736196	1.596642	837	0.296296	0.368000	0.348359	
828	0.250000	172	0.796512	1.596642	828	0.250000	0.344000	0.348325	
824	0.281553	176	0.880682	1.596642	824	0.281553	0.387000	0.348625	
814	0.254300	186	0.817204	1.596642	814	0.254300	0.359000	0.348705	
841	0.240190	159	0.855346	1.596642	841	0.240190	0.338000	0.348623	
839	0.238379	161	0.813665	1.596642	839	0.238379	0.331000	0.348490	
834	0.267386	166	0.807229	1.596642	834	0.267386	0.357000	0.348554	
813	0.254613	187	0.887701	1.596642	813	0.254613	0.373000	0.348736	
816	0.214461	184	0.701087	1.596642	816	0.214461	0.304000	0.348405	
793	0.272383	207	0.772947	1.596642	793	0.272383	0.376000	0.348608	
808	0.245050	192	0.770833	1.596642	808	0.245050	0.346000	0.348589	
829	0.214717	171	0.748538	1.596642	829	0.214717	0.306000	0.348280	
790	0.287342	210	0.761905	1.596642	790	0.287342	0.387000	0.348559	
829	0.260555	171	0.830409	1.596642	829	0.260555	0.358000	0.348626	
830	0.265060	170	0.829412	1.596642	830	0.265060	0.361000	0.348714	
827	0.240629	173	0.803468	1.596642	827	0.240629	0.338000	0.348638	
821	0.266748	179	0.804469	1.596642	821	0.266748	0.363000	0.348739	
836	0.238038	164	0.823171	1.596642	836	0.238038	0.334000	0.348636	
829	0.290712	171	0.783626	1.596642	829	0.290712	0.375000	0.348818	
816	0.272059	184	0.864130	1.596642	816	0.272059	0.381000	0.349039	
807	0.256506	193	0.782383	1.596642	807	0.256506	0.358000	0.349100	
818	0.234719	182	0.791209	1.596642	818	0.234719	0.336000	0.349011	
820	0.258537	180	0.794444	1.596642	820	0.258537	0.355000	0.349051	
830	0.245783	170	0.752941	1.596642	830	0.245783	0.332000	0.348938	
836	0.244019	164	0.743902	1.596642	836	0.244019	0.326000	0.348786	
796	0.291457	204	0.818627	1.596642	796	0.291457	0.399000	0.349116	
838	0.272076	162	0.802469	1.596642	838	0.272076	0.358000	0.349174	
834	0.237410	166	0.753012	1.596642	834	0.237410	0.323000	0.349004	
