Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
829	0.278649	171	0.801170	1.986183	829	0.278649	0.368000	0.371248	
849	0.313310	151	0.788079	1.986183	849	0.313310	0.385000	0.371512	
817	0.261934	183	0.825137	1.986183	817	0.261934	0.365000	0.371389	
848	0.286557	152	0.684211	1.986183	848	0.286557	0.347000	0.370938	
835	0.307784	165	0.751515	1.986183	835	0.307784	0.381000	0.371121	
853	0.268464	147	0.829932	1.986183	853	0.268464	0.351000	0.370761	
830	0.256627	170	0.752941	1.986183	830	0.256627	0.341000	0.370239	
833	0.286915	167	0.772455	1.986183	833	0.286915	0.368000	0.370201	
844	0.293839	156	0.814103	1.986183	844	0.293839	0.375000	0.370282	
836	0.278708	164	0.823171	1.986183	836	0.278708	0.368000	0.370244	
814	0.253071	186	0.817204	1.986183	814	0.253071	0.358000	0.370043	
860	0.295349	140	0.764286	1.986183	860	0.295349	0.361000	0.369897	
841	0.293698	159	0.842767	1.986183	841	0.293698	0.381000	0.370073	
836	0.307416	164	0.743902	1.986183	836	0.307416	0.379000	0.370213	
861	0.332172	139	0.762590	1.986183	861	0.332172	0.392000	0.370548	
833	0.297719	167	0.730539	1.986183	833	0.297719	0.370000	0.370540	
806	0.277916	194	0.788660	1.986183	806	0.277916	0.377000	0.370636	
833	0.289316	167	0.760479	1.986183	833	0.289316	0.368000	0.370597	
842	0.298100	158	0.860759	1.986183	842	0.298100	0.387000	0.370835	
832	0.330529	168	0.785714	1.986183	832	0.330529	0.407000	0.371352	
837	0.292712	163	0.852761	1.986183	837	0.292712	0.384000	0.371530	
840	0.272619	160	0.712500	1.986183	840	0.272619	0.343000	0.371134	
848	0.283019	152	0.855263	1.986183	848	0.283019	0.370000	0.371118	
837	0.262843	163	0.858896	1.986183	837	0.262843	0.360000	0.370968	
818	0.317848	182	0.747253	1.986183	818	0.317848	0.396000	0.371302	
841	0.234245	159	0.761006	1.986183	841	0.234245	0.318000	0.370600	
834	0.296163	166	0.807229	1.986183	834	0.296163	0.381000	0.370735	
818	0.255501	182	0.802198	1.986183	818	0.255501	0.355000	0.370534	
