Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/bantu-iroquois-uni.linealdescent.bttrees
Data File Name:                  ./data/bantu-iroquois-uni.linealdescent.btdata
Log File Name:                   ./output/bantu-iroquois-uni.linealdescent-indep2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            468377176
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/bantu-iroquois-uni.linealdescent-indep2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.072464,0.289855,0.086957,0.550725)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.100855
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       69
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-74.015593	728	3.354762	2.831793	9.945794	2.186458	0.070423	0.282150	0.088162	0.559265	
12000	-76.299435	595	0.204462	2.900334	14.018094	4.317334	0.013045	0.052184	0.127464	0.807306	
13000	-74.399478	661	0.650879	2.553258	34.646648	11.262531	0.030000	0.120000	0.115909	0.734090	
14000	-73.348606	930	2.177879	1.989932	43.344492	5.363007	0.075368	0.301472	0.084976	0.538184	
15000	-73.247060	93	3.377236	3.120259	32.721337	5.027318	0.069158	0.276634	0.089210	0.564998	
16000	-75.096323	368	20.110092	13.700980	26.082571	4.905291	0.072464	0.289855	0.086957	0.550725	
17000	-75.970593	818	16.655379	8.222076	11.025263	2.355928	0.072399	0.289905	0.086878	0.550818	
18000	-77.036201	935	7.711662	2.987970	5.883685	1.599777	0.070974	0.293335	0.084265	0.551425	
19000	-75.192089	509	23.734787	15.203427	17.131397	2.801328	0.072464	0.289855	0.086957	0.550724	
20000	-74.860737	741	3.316288	4.602982	23.496685	4.089160	0.069072	0.276286	0.089269	0.565373	
21000	-72.909752	522	1.826219	2.326929	15.258253	3.788646	0.068116	0.272466	0.089920	0.569498	
22000	-72.865012	334	2.761159	2.563943	21.030857	4.665532	0.068793	0.275173	0.089459	0.566574	
23000	-73.554438	408	4.883404	2.586769	15.819012	2.964416	0.073569	0.294274	0.086203	0.545954	
24000	-75.106021	125	4.514492	2.798210	17.845003	6.069970	0.072628	0.290514	0.086844	0.550014	
25000	-75.073052	428	0.484148	2.150879	29.533004	2.728969	0.038019	0.152078	0.110441	0.699462	
26000	-72.989666	236	3.442543	2.574336	20.379344	5.025532	0.072018	0.288070	0.087261	0.552652	
27000	-72.987577	873	1.340046	2.196663	11.261260	2.101529	0.067219	0.268904	0.090520	0.573356	
28000	-72.403668	498	1.741198	1.767007	26.249432	4.670394	0.075317	0.301266	0.085011	0.538406	
29000	-74.519809	278	11.744119	6.909959	25.990520	5.186985	0.072464	0.289855	0.086957	0.550725	
30000	-73.300614	112	2.952599	2.142956	20.135280	4.734753	0.076778	0.307110	0.084015	0.532097	
31000	-78.953902	325	16.108512	12.306276	0.960297	1.459132	0.028518	0.323193	0.034222	0.614067	
32000	-73.757081	561	2.269051	2.696969	19.576168	4.077810	0.066453	0.265814	0.091054	0.576679	
33000	-73.471634	478	3.497514	3.215968	27.262590	3.854478	0.068959	0.275836	0.089346	0.565858	
34000	-73.878401	371	3.490349	3.959853	9.726227	2.622310	0.068781	0.276219	0.089012	0.565988	
35000	-74.421374	527	2.083264	2.542186	19.200179	6.143740	0.065583	0.262334	0.091648	0.580435	
36000	-74.929534	776	13.605974	7.418085	57.916258	11.597732	0.072464	0.289855	0.086956	0.550724	
37000	-75.770568	256	8.450296	3.617239	30.203046	6.203066	0.072644	0.290578	0.086833	0.549944	
38000	-74.815060	884	5.598948	2.833070	20.818987	5.571726	0.073287	0.293150	0.086395	0.547168	
39000	-74.251906	707	2.923914	2.708020	8.185587	1.499205	0.070091	0.280526	0.088509	0.560874	
40000	-73.175276	621	1.802199	1.660761	49.316797	12.544520	0.088320	0.353278	0.076146	0.482256	
41000	-72.774376	205	0.355142	1.751357	19.684940	3.250696	0.029358	0.117430	0.116347	0.736865	
42000	-71.768376	90	1.637180	2.004941	33.936824	6.938038	0.070099	0.280396	0.088569	0.560936	
43000	-75.070345	633	1.737920	2.911057	4.189247	1.666373	0.048187	0.231102	0.083866	0.636845	
44000	-76.051498	48	5.156887	2.655643	6.456085	2.743631	0.071978	0.297141	0.083712	0.547170	
45000	-78.846092	7	1.164037	3.377257	15.167220	1.403076	0.048720	0.194780	0.103204	0.653296	
46000	-75.506064	887	24.553812	12.990907	18.169313	2.825174	0.072464	0.289855	0.086957	0.550724	
47000	-73.547934	438	1.494141	1.483808	25.953939	8.062518	0.089152	0.356607	0.075578	0.478663	
48000	-75.031656	793	6.430351	4.460515	25.093727	3.591296	0.072255	0.289020	0.087099	0.551626	
49000	-74.193705	207	3.123245	3.725337	44.328776	8.822011	0.068317	0.273266	0.089784	0.568633	
50000	-74.971911	263	2.961539	1.956913	8.756417	2.401805	0.077361	0.311176	0.082981	0.528482	
51000	-73.466304	423	2.585014	2.321015	17.703522	4.191683	0.074693	0.298775	0.085435	0.541098	
52000	-75.552936	689	12.144147	7.617256	14.428782	3.532970	0.072461	0.289857	0.086953	0.550729	
53000	-73.455098	921	0.056409	1.736567	27.192234	6.925912	0.003380	0.013520	0.134059	0.849041	
54000	-74.047867	326	1.814324	2.911966	11.541845	3.458753	0.063790	0.255318	0.092799	0.588093	
55000	-73.524634	418	1.817304	1.989001	20.120397	2.630733	0.072581	0.290319	0.086878	0.550222	
56000	-75.686932	155	6.237378	5.788867	12.467050	2.894477	0.071979	0.288077	0.087223	0.552720	
57000	-73.200158	136	0.752758	2.516453	18.834485	3.135887	0.047846	0.191384	0.103741	0.657029	
58000	-78.408756	598	29.746442	13.387235	47.637651	18.203935	0.072464	0.289855	0.086957	0.550725	
