Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-2.013047	-2.013047
1	0.950747	750	-1.946722	-3.959769
2	0.926679	750	-1.914825	-5.874595
3	0.902980	750	-1.888427	-7.763022
4	0.879648	750	-1.877987	-9.641009
5	0.856682	750	-1.861597	-11.502607
6	0.834079	750	-1.850377	-13.352983
7	0.811838	750	-1.803481	-15.156465
8	0.789957	750	-1.764614	-16.921078
9	0.768433	750	-1.741390	-18.662468
10	0.747266	750	-1.710510	-20.372978
11	0.726452	750	-1.678474	-22.051452
12	0.705989	750	-1.654772	-23.706225
13	0.685877	750	-1.616695	-25.322919
14	0.666112	750	-1.598184	-26.921103
15	0.646693	750	-1.572639	-28.493743
16	0.627618	750	-1.555771	-30.049514
17	0.608884	750	-1.514387	-31.563901
18	0.590490	750	-1.496331	-33.060231
19	0.572433	750	-1.478233	-34.538465
20	0.554712	750	-1.427927	-35.966391
21	0.537324	750	-1.414577	-37.380969
22	0.520268	750	-1.383455	-38.764423
23	0.503540	750	-1.370145	-40.134568
24	0.487139	750	-1.344545	-41.479113
25	0.471063	750	-1.337978	-42.817091
26	0.455310	750	-1.294536	-44.111626
27	0.439877	750	-1.267395	-45.379021
28	0.424762	750	-1.242756	-46.621777
29	0.409963	750	-1.222214	-47.843991
30	0.395478	750	-1.184952	-49.028943
31	0.381305	750	-1.168363	-50.197306
32	0.367440	750	-1.148676	-51.345982
33	0.353883	750	-1.131770	-52.477751
34	0.340630	750	-1.104230	-53.581981
35	0.327680	750	-1.063466	-54.645447
36	0.315030	750	-1.061939	-55.707386
37	0.302677	750	-1.050623	-56.758009
38	0.290619	750	-1.031391	-57.789400
39	0.278855	750	-1.003795	-58.793196
40	0.267381	750	-0.979918	-59.773114
41	0.256195	750	-0.937944	-60.711058
42	0.245294	750	-0.928080	-61.639138
43	0.234677	750	-0.914202	-62.553339
44	0.224340	750	-0.872359	-63.425699
45	0.214281	750	-0.853019	-64.278718
46	0.204498	750	-0.838252	-65.116970
47	0.194988	750	-0.810058	-65.927027
48	0.185749	750	-0.796793	-66.723820
49	0.176777	750	-0.775403	-67.499223
50	0.168070	750	-0.773187	-68.272410
51	0.159626	750	-0.734074	-69.006484
52	0.151441	750	-0.722290	-69.728774
53	0.143514	750	-0.702463	-70.431238
54	0.135841	750	-0.691212	-71.122450
55	0.128420	750	-0.651623	-71.774072
56	0.121247	750	-0.636360	-72.410433
57	0.114320	750	-0.648676	-73.059108
58	0.107637	750	-0.592078	-73.651186
59	0.101193	750	-0.583003	-74.234190
60	0.094986	750	-0.566474	-74.800664
61	0.089014	750	-0.536646	-75.337310
62	0.083273	750	-0.520753	-75.858063
63	0.077760	750	-0.508924	-76.366987
64	0.072472	750	-0.496715	-76.863701
65	0.067406	750	-0.478213	-77.341914
66	0.062558	750	-0.450887	-77.792801
67	0.057926	750	-0.432787	-78.225588
68	0.053506	750	-0.424890	-78.650477
69	0.049295	750	-0.410775	-79.061252
70	0.045289	750	-0.385210	-79.446462
71	0.041485	750	-0.372817	-79.819279
72	0.037880	750	-0.367081	-80.186360
73	0.034469	750	-0.333565	-80.519925
74	0.031250	750	-0.330397	-80.850323
75	0.028218	750	-0.306084	-81.156407
76	0.025370	750	-0.286584	-81.442990
77	0.022702	750	-0.272877	-81.715867
78	0.020209	750	-0.268523	-81.984390
79	0.017889	750	-0.226698	-82.211089
80	0.015736	750	-0.217892	-82.428981
81	0.013746	750	-0.215404	-82.644385
82	0.011916	750	-0.191069	-82.835453
83	0.010240	750	-0.178563	-83.014016
84	0.008714	750	-0.155238	-83.169254
85	0.007334	750	-0.142952	-83.312207
86	0.006093	750	-0.135627	-83.447833
87	0.004988	750	-0.114778	-83.562611
88	0.004013	750	-0.099190	-83.661801
89	0.003162	750	-0.093766	-83.755567
90	0.002430	750	-0.076398	-83.831966
91	0.001810	750	-0.065166	-83.897132
92	0.001296	750	-0.057686	-83.954818
93	0.000882	750	-0.043060	-83.997878
94	0.000559	750	-0.036208	-84.034086
95	0.000320	750	-0.027044	-84.061130
96	0.000156	750	-0.018537	-84.079667
97	0.000057	750	-0.011479	-84.091146
98	0.000010	750	-0.005138	-84.096284
99	0.000000	750	-0.001021	-84.097305
Log marginal likelihood:	-84.097305
