Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
821	0.360536	179	0.664804	1.153366	821	0.360536	0.415000	0.389783	
830	0.343373	170	0.670588	1.153366	830	0.343373	0.399000	0.390551	
832	0.319712	168	0.601190	1.153366	832	0.319712	0.367000	0.388739	
850	0.364706	150	0.593333	1.153366	850	0.364706	0.399000	0.389472	
845	0.326627	155	0.690323	1.153366	845	0.326627	0.383000	0.389041	
824	0.320388	176	0.636364	1.153366	824	0.320388	0.376000	0.388226	
835	0.367665	165	0.666667	1.153366	835	0.367665	0.417000	0.389918	
835	0.332934	165	0.642424	1.153366	835	0.332934	0.384000	0.389589	
822	0.329684	178	0.623596	1.153366	822	0.329684	0.382000	0.389190	
852	0.362676	148	0.547297	1.153366	852	0.362676	0.390000	0.389231	
842	0.313539	158	0.632911	1.153366	842	0.313539	0.364000	0.388029	
830	0.322892	170	0.576471	1.153366	830	0.322892	0.366000	0.387028	
828	0.336957	172	0.610465	1.153366	828	0.336957	0.384000	0.386896	
840	0.341667	160	0.593750	1.153366	840	0.341667	0.382000	0.386692	
845	0.351479	155	0.600000	1.153366	845	0.351479	0.390000	0.386825	
847	0.344746	153	0.660131	1.153366	847	0.344746	0.393000	0.387062	
856	0.380841	144	0.569444	1.153366	856	0.380841	0.408000	0.387837	
814	0.329238	186	0.779570	1.153366	814	0.329238	0.413000	0.388736	
847	0.351830	153	0.614379	1.153366	847	0.351830	0.392000	0.388849	
842	0.333729	158	0.683544	1.153366	842	0.333729	0.389000	0.388854	
838	0.343675	162	0.660494	1.153366	838	0.343675	0.395000	0.389052	
826	0.383777	174	0.701149	1.153366	826	0.383777	0.439000	0.390613	
816	0.306373	184	0.652174	1.153366	816	0.306373	0.370000	0.389988	
829	0.353438	171	0.619883	1.153366	829	0.353438	0.399000	0.390253	
827	0.339782	173	0.699422	1.153366	827	0.339782	0.402000	0.390589	
835	0.359281	165	0.636364	1.153366	835	0.359281	0.405000	0.390989	
829	0.344994	171	0.561404	1.153366	829	0.344994	0.382000	0.390746	
841	0.353151	159	0.672956	1.153366	841	0.353151	0.404000	0.391095	
831	0.303249	169	0.710059	1.153366	831	0.303249	0.372000	0.390605	
844	0.344787	156	0.615385	1.153366	844	0.344787	0.387000	0.390515	
836	0.330144	164	0.640244	1.153366	836	0.330144	0.381000	0.390283	
813	0.325953	187	0.588235	1.153366	813	0.325953	0.375000	0.389919	
837	0.377539	163	0.588957	1.153366	837	0.377539	0.412000	0.390433	
849	0.366313	151	0.635762	1.153366	849	0.366313	0.407000	0.390809	
833	0.310924	167	0.772455	1.153366	833	0.310924	0.388000	0.390747	
833	0.392557	167	0.634731	1.153366	833	0.392557	0.433000	0.391665	
847	0.348288	153	0.568627	1.153366	847	0.348288	0.382000	0.391460	
829	0.313631	171	0.654971	1.153366	829	0.313631	0.372000	0.391054	
833	0.345738	167	0.628743	1.153366	833	0.345738	0.393000	0.391094	
827	0.327690	173	0.670520	1.153366	827	0.327690	0.387000	0.391012	
830	0.325301	170	0.658824	1.153366	830	0.325301	0.382000	0.390835	
833	0.361345	167	0.580838	1.153366	833	0.361345	0.398000	0.390973	
851	0.364277	149	0.543624	1.153366	851	0.364277	0.391000	0.390974	
834	0.350120	166	0.608434	1.153366	834	0.350120	0.393000	0.391011	
819	0.334554	181	0.607735	1.153366	819	0.334554	0.384000	0.390884	
834	0.330935	166	0.572289	1.153366	834	0.330935	0.371000	0.390529	
818	0.352078	182	0.543956	1.153366	818	0.352078	0.387000	0.390467	
853	0.369285	147	0.619048	1.153366	853	0.369285	0.406000	0.390735	
841	0.343639	159	0.685535	1.153366	841	0.343639	0.398000	0.390858	
821	0.352010	179	0.553073	1.153366	821	0.352010	0.388000	0.390810	
834	0.322542	166	0.662651	1.153366	834	0.322542	0.379000	0.390617	
843	0.365362	157	0.566879	1.153366	843	0.365362	0.397000	0.390720	
832	0.364183	168	0.690476	1.153366	832	0.364183	0.419000	0.391168	
816	0.334559	184	0.646739	1.153366	816	0.334559	0.392000	0.391181	
834	0.314149	166	0.584337	1.153366	834	0.314149	0.359000	0.390686	
847	0.341204	153	0.633987	1.153366	847	0.341204	0.386000	0.390615	
849	0.360424	151	0.635762	1.153366	849	0.360424	0.402000	0.390785	
838	0.329356	162	0.604938	1.153366	838	0.329356	0.374000	0.390538	
831	0.316486	169	0.751479	1.153366	831	0.316486	0.390000	0.390531	
837	0.360812	163	0.687117	1.153366	837	0.360812	0.414000	0.390866	
852	0.325117	148	0.614865	1.153366	852	0.325117	0.368000	0.390544	
861	0.371661	139	0.633094	1.153366	861	0.371661	0.408000	0.390786	
826	0.349879	174	0.683908	1.153366	826	0.349879	0.408000	0.391022	
825	0.370909	175	0.702857	1.153366	825	0.370909	0.429000	0.391535	
826	0.346247	174	0.620690	1.153366	826	0.346247	0.394000	0.391568	
834	0.369305	166	0.578313	1.153366	834	0.369305	0.404000	0.391732	
822	0.346715	178	0.567416	1.153366	822	0.346715	0.386000	0.391657	
835	0.371257	165	0.587879	1.153366	835	0.371257	0.407000	0.391854	
850	0.325882	150	0.653333	1.153366	850	0.325882	0.375000	0.391641	
811	0.325524	189	0.645503	1.153366	811	0.325524	0.386000	0.391570	
845	0.366864	155	0.658065	1.153366	845	0.366864	0.412000	0.391822	
847	0.353011	153	0.555556	1.153366	847	0.353011	0.384000	0.391727	
816	0.343137	184	0.635870	1.153366	816	0.343137	0.397000	0.391790	
833	0.333733	167	0.658683	1.153366	833	0.333733	0.388000	0.391745	
819	0.340659	181	0.806630	1.153366	819	0.340659	0.425000	0.392137	
820	0.315854	180	0.755556	1.153366	820	0.315854	0.395000	0.392170	
824	0.350728	176	0.664773	1.153366	824	0.350728	0.406000	0.392329	
818	0.320293	182	0.653846	1.153366	818	0.320293	0.381000	0.392200	
830	0.383133	170	0.570588	1.153366	830	0.383133	0.415000	0.392456	
864	0.356481	136	0.661765	1.153366	864	0.356481	0.398000	0.392518	
830	0.322892	170	0.735294	1.153366	830	0.322892	0.393000	0.392523	
838	0.334129	162	0.753086	1.153366	838	0.334129	0.402000	0.392626	
837	0.281959	163	0.785276	1.153366	837	0.281959	0.364000	0.392318	
831	0.326113	169	0.674556	1.153366	831	0.326113	0.385000	0.392241	
851	0.351351	149	0.624161	1.153366	851	0.351351	0.392000	0.392238	
825	0.360000	175	0.640000	1.153366	825	0.360000	0.409000	0.392413	
807	0.319703	193	0.704663	1.153366	807	0.319703	0.394000	0.392429	
854	0.332553	146	0.732877	1.153366	854	0.332553	0.391000	0.392414	
844	0.321090	156	0.570513	1.153366	844	0.321090	0.360000	0.392087	
824	0.376214	176	0.755682	1.153366	824	0.376214	0.443000	0.392596	
831	0.321300	169	0.680473	1.153366	831	0.321300	0.382000	0.392491	
828	0.345411	172	0.686047	1.153366	828	0.345411	0.404000	0.392604	
