Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/bantu-omaha-patrilocal.bttrees
Data File Name:                  ./data/bantu-omaha-patrilocal.btdata
Log File Name:                   ./output/bantu-omaha-patrilocal-indep2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3759988543
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/bantu-omaha-patrilocal-indep2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.260870,0.623188,0.000000,0.115942)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.100855
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       69
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-67.265128	307	0.962783	11.911506	12.915113	2.191207	0.261080	0.622576	0.000000	0.116344	
12000	-63.877110	271	1.647762	14.731385	12.101582	4.769016	0.260853	0.623193	0.000000	0.115954	
13000	-66.983796	443	3.287158	31.898844	6.543803	3.264374	0.258490	0.625194	0.000000	0.116315	
14000	-63.021856	357	0.938555	7.945157	28.039303	8.959504	0.261465	0.624611	0.000000	0.113924	
15000	-66.679082	102	1.578487	4.107348	27.086172	7.063810	0.269185	0.643053	0.000000	0.087762	
16000	-66.886656	283	2.004510	20.044366	9.115734	2.325430	0.261131	0.622968	0.000000	0.115901	
17000	-67.542711	15	7.221554	25.177839	24.935132	7.043590	0.260870	0.623188	0.000000	0.115942	
18000	-64.706915	270	2.505421	15.506451	33.818561	9.797752	0.260871	0.623191	0.000000	0.115939	
19000	-69.150866	938	2.112647	7.553031	10.403613	2.027361	0.265910	0.623959	0.000000	0.110131	
20000	-63.852207	111	0.510403	5.173304	35.787503	15.393099	0.263585	0.629676	0.000000	0.106739	
21000	-65.104057	681	3.047516	14.823920	45.272364	19.256461	0.260872	0.623195	0.000000	0.115933	
22000	-66.521928	740	1.855671	8.603346	18.982213	10.787493	0.261171	0.623909	0.000000	0.114920	
23000	-67.138161	43	0.979424	3.674741	8.804306	3.170693	0.270331	0.646688	0.000000	0.082982	
24000	-64.574497	229	0.857940	3.241382	20.070610	5.966469	0.269559	0.643947	0.000000	0.086494	
25000	-65.354215	444	0.819723	5.259412	11.854479	3.226709	0.264550	0.631800	0.000000	0.103650	
26000	-64.702789	372	0.631314	7.255498	27.061483	7.664918	0.261691	0.625152	0.000000	0.113157	
27000	-66.987301	359	2.017015	8.588917	10.659153	4.681732	0.261058	0.623725	0.000000	0.115217	
28000	-64.677614	58	2.467466	15.947835	43.131451	11.234626	0.260870	0.623189	0.000000	0.115941	
29000	-67.376511	950	1.594780	19.733227	8.378714	2.633920	0.260909	0.623150	0.000000	0.115941	
30000	-67.375900	966	0.466819	7.050742	24.040158	5.088588	0.260839	0.623115	0.000000	0.116047	
31000	-65.088697	814	7.710765	39.944344	30.249553	12.126068	0.260870	0.623188	0.000000	0.115942	
32000	-64.315156	585	1.977033	17.587372	19.160611	5.961029	0.260869	0.623186	0.000000	0.115946	
33000	-65.381253	397	1.013888	13.395584	17.150456	4.738324	0.260760	0.622924	0.000000	0.116316	
34000	-65.467265	555	2.088528	16.845654	11.606424	3.331090	0.260922	0.623142	0.000000	0.115935	
35000	-65.316943	605	2.062009	13.244406	23.720370	5.528033	0.260872	0.623195	0.000000	0.115933	
36000	-66.294388	52	2.698849	18.647982	7.774019	3.534210	0.259830	0.624065	0.000000	0.116105	
37000	-66.849805	483	0.714270	6.467918	7.086886	2.171631	0.263481	0.626702	0.000000	0.109817	
38000	-66.571646	188	1.108548	4.087807	14.185664	6.027250	0.268571	0.641594	0.000000	0.089834	
39000	-65.433394	730	7.811509	46.114805	27.618241	7.260859	0.260870	0.623188	0.000000	0.115942	
40000	-65.000866	809	3.490639	30.675751	26.190004	9.207041	0.260870	0.623188	0.000000	0.115942	
41000	-65.590688	738	5.528561	40.686893	15.238736	5.009251	0.260871	0.623187	0.000000	0.115942	
42000	-66.255144	908	2.474083	9.012235	12.693503	5.147311	0.261270	0.624194	0.000000	0.114536	
43000	-64.125851	13	3.378323	23.515316	24.263060	7.843849	0.260870	0.623188	0.000000	0.115942	
44000	-65.925175	606	2.651975	21.479458	10.748956	3.505718	0.260895	0.623167	0.000000	0.115938	
45000	-63.823600	482	2.136909	14.928250	36.262052	12.121471	0.260871	0.623191	0.000000	0.115939	
46000	-65.230082	678	0.853888	8.001661	18.452592	8.599674	0.261256	0.624111	0.000000	0.114633	
47000	-64.760474	819	1.406548	11.686876	13.012634	4.455497	0.260868	0.623186	0.000000	0.115947	
48000	-64.700428	576	4.224867	22.164919	45.073292	16.136954	0.260870	0.623188	0.000000	0.115942	
49000	-64.173090	869	2.354587	12.603893	36.356599	10.619312	0.260898	0.623255	0.000000	0.115847	
50000	-65.339972	775	1.676404	6.808528	10.715706	4.488760	0.262927	0.628541	0.000000	0.108532	
51000	-64.596181	838	0.603874	3.899836	38.108023	9.757837	0.269245	0.643196	0.000000	0.087560	
52000	-64.699512	14	3.327271	31.484890	26.328880	9.704391	0.260870	0.623188	0.000000	0.115942	
53000	-65.256724	71	7.694700	64.816606	16.929085	6.140693	0.260870	0.623188	0.000000	0.115942	
54000	-65.146759	328	1.587031	6.824828	18.962404	8.199927	0.262385	0.626809	0.000000	0.110806	
55000	-64.594191	271	4.338409	40.430438	25.766706	10.577459	0.260870	0.623188	0.000000	0.115942	
56000	-66.639167	963	1.934404	21.668608	8.704605	4.044977	0.260523	0.623481	0.000000	0.115997	
57000	-64.399186	633	1.594239	13.515047	14.413260	4.562584	0.260863	0.623162	0.000000	0.115974	
58000	-63.903161	524	1.309381	6.042600	41.415750	14.002177	0.263636	0.629797	0.000000	0.106567	
59000	-64.600334	981	4.835227	30.976282	28.632092	9.527861	0.260870	0.623188	0.000000	0.115942	
60000	-64.465334	618	2.802520	15.690232	36.926354	10.904127	0.260871	0.623191	0.000000	0.115938	
61000	-64.684135	545	1.040695	10.374027	16.140548	4.480779	0.260836	0.623101	0.000000	0.116063	
62000	-65.800668	317	2.515120	27.981938	14.044304	6.500680	0.260868	0.623190	0.000000	0.115942	
63000	-64.095456	99	0.799584	5.260966	19.577884	9.319901	0.263332	0.629070	0.000000	0.107599	
64000	-65.133640	208	1.116952	14.411061	14.099220	5.218313	0.260810	0.623054	0.000000	0.116137	
65000	-64.304199	128	3.689228	25.664739	10.245794	4.136508	0.260762	0.623279	0.000000	0.115959	
66000	-64.958320	840	1.329144	7.627434	12.922481	4.817853	0.261582	0.624904	0.000000	0.113514	
67000	-63.461137	111	1.272862	7.669897	12.040816	4.402591	0.261583	0.624920	0.000000	0.113498	
68000	-64.528793	717	2.781739	21.342495	28.585238	12.000133	0.260870	0.623188	0.000000	0.115942	
69000	-67.329111	77	4.780379	20.566109	9.839128	2.821167	0.260954	0.623118	0.000000	0.115929	
70000	-65.794948	274	4.471774	29.517144	14.634705	3.439609	0.260913	0.623152	0.000000	0.115935	
71000	-64.861296	479	2.552161	19.299180	23.063520	7.342327	0.260870	0.623188	0.000000	0.115942	
72000	-65.969394	545	2.043007	9.965079	10.772852	5.383149	0.260983	0.623653	0.000000	0.115363	
73000	-64.895172	937	1.637318	13.015741	22.579969	9.991187	0.260866	0.623180	0.000000	0.115954	
74000	-64.382435	249	2.400535	23.766201	14.182429	5.223898	0.260869	0.623189	0.000000	0.115942	
75000	-65.198215	372	1.413779	8.944409	36.164645	20.310022	0.261299	0.624215	0.000000	0.114485	
76000	-65.236900	523	2.346076	12.061316	19.474571	6.164526	0.260876	0.623203	0.000000	0.115921	
77000	-65.721171	752	3.825305	19.802269	26.512226	12.130106	0.260870	0.623188	0.000000	0.115942	
78000	-65.974472	579	0.723989	2.969959	7.876142	2.982917	0.274737	0.662958	0.000000	0.062305	
79000	-65.701988	242	5.487075	29.653344	23.881438	6.860482	0.260870	0.623188	0.000000	0.115942	
80000	-63.881154	687	0.666189	5.768566	45.939353	21.256261	0.263676	0.629893	0.000000	0.106431	
81000	-64.625773	163	5.532192	43.067527	29.369686	12.122435	0.260870	0.623188	0.000000	0.115942	
82000	-66.476703	394	2.695391	28.400433	9.266770	5.265550	0.260675	0.623352	0.000000	0.115972	
83000	-65.677646	595	0.663633	4.977429	20.625440	10.367119	0.264345	0.631490	0.000000	0.104166	
84000	-64.734727	904	1.173667	6.529410	27.456989	11.504903	0.263192	0.628736	0.000000	0.108073	
85000	-67.129735	915	1.585396	4.628543	12.732921	6.197979	0.265462	0.634178	0.000000	0.100360	
86000	-66.780807	127	1.286707	3.513831	18.192643	4.857061	0.267007	0.637850	0.000000	0.095144	
87000	-64.881708	698	1.268583	13.639670	19.728588	6.894538	0.260857	0.623158	0.000000	0.115985	
88000	-65.407471	413	1.478495	9.672471	20.611795	5.131798	0.261049	0.623617	0.000000	0.115334	
89000	-64.347857	186	4.120644	36.444876	22.656983	8.793144	0.260870	0.623188	0.000000	0.115942	
90000	-69.409105	496	0.332257	6.700975	6.210719	3.144627	0.246269	0.617075	0.000000	0.136656	
91000	-65.356873	66	1.443916	16.923887	23.821173	6.315506	0.260864	0.623174	0.000000	0.115962	
92000	-66.037247	172	1.106295	1.953576	34.724260	11.094134	0.283619	0.677533	0.000000	0.038848	
93000	-64.377347	908	0.942607	11.038097	28.853199	14.147872	0.260702	0.622788	0.000000	0.116510	
94000	-65.072424	586	2.690972	16.667743	32.146238	7.734316	0.260870	0.623189	0.000000	0.115942	
95000	-66.382415	12	3.925353	26.342236	27.734321	5.338906	0.260870	0.623188	0.000000	0.115942	
96000	-65.177899	932	1.713368	17.978923	9.092712	3.083173	0.260827	0.623221	0.000000	0.115952	
97000	-70.913933	28	3.851027	8.388671	23.895660	6.360293	0.260976	0.623442	0.000000	0.115582	
98000	-68.393878	517	0.868160	1.972419	11.943380	2.544424	0.278891	0.665917	0.000000	0.055192	
99000	-65.416546	248	0.983712	1.573071	12.256459	4.619727	0.284348	0.679300	0.000000	0.036352	
100000	-64.758144	917	0.766511	7.114987	16.826742	6.833570	0.262202	0.626374	0.000000	0.111424	
101000	-65.882366	945	5.389052	31.048239	13.714101	4.313984	0.260872	0.623187	0.000000	0.115942	
102000	-67.020894	862	1.825177	4.804624	39.365933	16.418808	0.266968	0.637757	0.000000	0.095275	
103000	-66.044002	766	0.928641	6.218934	11.011049	6.117465	0.262924	0.628179	0.000000	0.108897	
104000	-67.506439	279	2.177298	7.453455	17.709187	3.744635	0.261610	0.624952	0.000000	0.113438	
105000	-64.777208	463	1.698828	13.346305	16.968834	7.189156	0.260868	0.623184	0.000000	0.115948	
106000	-63.899534	896	1.984594	14.880920	27.410512	8.057982	0.260870	0.623189	0.000000	0.115942	
107000	-64.488181	53	7.098857	53.985610	29.787326	9.200661	0.260870	0.623188	0.000000	0.115942	
108000	-65.376095	944	0.836249	0.891593	33.234715	11.213023	0.291284	0.695846	0.000000	0.012870	
109000	-65.174825	771	3.627888	26.713746	17.837828	6.021819	0.260870	0.623188	0.000000	0.115942	
110000	-64.448627	349	2.152680	17.015969	34.154336	9.589552	0.260869	0.623188	0.000000	0.115943	
111000	-65.913645	509	1.198180	16.836639	15.704010	4.326884	0.260865	0.623171	0.000000	0.115964	
112000	-63.613389	144	1.765942	12.696073	33.915514	13.331623	0.260901	0.623265	0.000000	0.115834	
113000	-65.753857	806	1.381151	19.495488	22.771933	6.908791	0.260869	0.623187	0.000000	0.115944	
114000	-64.015189	542	3.366323	18.383814	37.697229	15.327091	0.260870	0.623189	0.000000	0.115941	
115000	-64.942273	330	1.653611	13.924022	29.541965	7.031454	0.260866	0.623181	0.000000	0.115953	
116000	-64.198903	1000	2.597458	20.739430	13.212340	4.662466	0.260869	0.623189	0.000000	0.115942	
117000	-63.980293	9	2.104495	13.972083	28.033356	9.045220	0.260871	0.623191	0.000000	0.115939	
