Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
853	0.386870	147	0.782313	1.067730	853	0.386870	0.445000	0.269975	
871	0.390356	129	0.759690	1.067730	871	0.390356	0.438000	0.283976	
823	0.427704	177	0.757062	1.067730	823	0.427704	0.486000	0.299515	
841	0.297265	159	0.723270	1.321092	841	0.297265	0.365000	0.304193	
829	0.297949	171	0.719298	1.321092	829	0.297949	0.370000	0.308579	
817	0.292534	183	0.748634	1.321092	817	0.292534	0.376000	0.312793	
840	0.313095	160	0.781250	1.321092	840	0.313095	0.388000	0.317217	
830	0.256627	170	0.794118	1.321092	830	0.256627	0.348000	0.318927	
843	0.294187	157	0.707006	1.321092	843	0.294187	0.359000	0.321036	
831	0.306859	169	0.710059	1.321092	831	0.306859	0.375000	0.323734	
825	0.289697	175	0.742857	1.321092	825	0.289697	0.369000	0.325889	
835	0.307784	165	0.721212	1.321092	835	0.307784	0.376000	0.328167	
856	0.350467	144	0.756944	1.321092	856	0.350467	0.409000	0.331681	
857	0.310385	143	0.741259	1.321092	857	0.310385	0.372000	0.333361	
823	0.317132	177	0.723164	1.321092	823	0.317132	0.389000	0.335587	
834	0.312950	166	0.680723	1.321092	834	0.312950	0.374000	0.337064	
816	0.349265	184	0.788043	1.321092	816	0.349265	0.430000	0.340506	
823	0.302552	177	0.779661	1.321092	823	0.302552	0.387000	0.342166	
837	0.264038	163	0.748466	1.321092	837	0.264038	0.343000	0.342195	
822	0.290754	178	0.775281	1.321092	822	0.290754	0.377000	0.343355	
832	0.280048	168	0.708333	1.321092	832	0.280048	0.352000	0.343634	
810	0.290123	190	0.678947	1.321092	810	0.290123	0.364000	0.344270	
823	0.300122	177	0.785311	1.321092	823	0.300122	0.386000	0.345535	
831	0.314079	169	0.763314	1.321092	831	0.314079	0.390000	0.346843	
803	0.259029	197	0.817259	1.321092	803	0.259029	0.369000	0.347476	
845	0.287574	155	0.877419	1.321092	845	0.287574	0.379000	0.348351	
835	0.318563	165	0.812121	1.321092	835	0.318563	0.400000	0.349747	
825	0.294545	175	0.731429	1.321092	825	0.294545	0.371000	0.350307	
825	0.309091	175	0.765714	1.321092	825	0.309091	0.389000	0.351299	
835	0.289820	165	0.745455	1.321092	835	0.289820	0.365000	0.351641	
830	0.285542	170	0.788235	1.321092	830	0.285542	0.371000	0.352113	
831	0.288809	169	0.822485	1.321092	831	0.288809	0.379000	0.352754	
841	0.273484	159	0.792453	1.321092	841	0.273484	0.356000	0.352829	
814	0.280098	186	0.860215	1.321092	814	0.280098	0.388000	0.353628	
820	0.314634	180	0.722222	1.321092	820	0.314634	0.388000	0.354392	
825	0.275152	175	0.817143	1.321092	825	0.275152	0.370000	0.354731	
815	0.296933	185	0.745946	1.321092	815	0.296933	0.380000	0.355269	
842	0.333729	158	0.664557	1.321092	842	0.333729	0.386000	0.355909	
826	0.308717	174	0.695402	1.321092	826	0.308717	0.376000	0.356319	
852	0.308685	148	0.750000	1.321092	852	0.308685	0.374000	0.356673	
823	0.302552	177	0.672316	1.321092	823	0.302552	0.368000	0.356895	
824	0.336165	176	0.772727	1.321092	824	0.336165	0.413000	0.357974	
814	0.285012	186	0.811828	1.321092	814	0.285012	0.383000	0.358446	
847	0.306966	153	0.718954	1.321092	847	0.306966	0.370000	0.358660	
828	0.276570	172	0.802326	1.321092	828	0.276570	0.367000	0.358812	
806	0.282878	194	0.731959	1.321092	806	0.282878	0.370000	0.359011	
845	0.321893	155	0.825806	1.321092	845	0.321893	0.400000	0.359731	
847	0.321133	153	0.745098	1.321092	847	0.321133	0.386000	0.360183	
822	0.270073	178	0.808989	1.321092	822	0.270073	0.366000	0.360282	
826	0.331719	174	0.752874	1.321092	826	0.331719	0.405000	0.361027	
853	0.282532	147	0.741497	1.321092	853	0.282532	0.350000	0.360847	
840	0.275000	160	0.775000	1.321092	840	0.275000	0.355000	0.360752	
815	0.296933	185	0.789189	1.321092	815	0.296933	0.388000	0.361185	
812	0.341133	188	0.734043	1.321092	812	0.341133	0.415000	0.362026	
831	0.305656	169	0.698225	1.321092	831	0.305656	0.372000	0.362179	
848	0.308962	152	0.710526	1.321092	848	0.308962	0.370000	0.362298	
839	0.328963	161	0.726708	1.321092	839	0.328963	0.393000	0.362756	
828	0.287440	172	0.808140	1.321092	828	0.287440	0.377000	0.362965	
838	0.310263	162	0.740741	1.321092	838	0.310263	0.380000	0.363212	
858	0.300699	142	0.760563	1.321092	858	0.300699	0.366000	0.363252	
841	0.254459	159	0.792453	1.321092	841	0.254459	0.340000	0.362924	
828	0.260870	172	0.767442	1.321092	828	0.260870	0.348000	0.362717	
837	0.267622	163	0.748466	1.321092	837	0.267622	0.346000	0.362488	
809	0.297899	191	0.706806	1.321092	809	0.297899	0.376000	0.362671	
827	0.296252	173	0.734104	1.321092	827	0.296252	0.372000	0.362795	
832	0.259615	168	0.744048	1.321092	832	0.259615	0.341000	0.362508	
824	0.304612	176	0.840909	1.321092	824	0.304612	0.399000	0.362982	
820	0.310976	180	0.744444	1.321092	820	0.310976	0.389000	0.363316	
830	0.279518	170	0.811765	1.321092	830	0.279518	0.370000	0.363400	
834	0.302158	166	0.789157	1.321092	834	0.302158	0.383000	0.363645	
815	0.287117	185	0.832432	1.321092	815	0.287117	0.388000	0.363946	
826	0.323245	174	0.718391	1.321092	826	0.323245	0.392000	0.364288	
820	0.287805	180	0.738889	1.321092	820	0.287805	0.369000	0.364345	
837	0.327360	163	0.797546	1.321092	837	0.327360	0.404000	0.364817	
840	0.302381	160	0.731250	1.321092	840	0.302381	0.371000	0.364890	
832	0.293269	168	0.755952	1.321092	832	0.293269	0.371000	0.364961	
824	0.314320	176	0.744318	1.321092	824	0.314320	0.390000	0.365249	
839	0.290822	161	0.714286	1.321092	839	0.290822	0.359000	0.365178	
830	0.309639	170	0.829412	1.321092	830	0.309639	0.398000	0.365546	
828	0.294686	172	0.691860	1.321092	828	0.294686	0.363000	0.365518	
835	0.329341	165	0.800000	1.321092	835	0.329341	0.407000	0.365974	
834	0.275779	166	0.789157	1.321092	834	0.275779	0.361000	0.365920	
834	0.294964	166	0.734940	1.321092	834	0.294964	0.368000	0.365942	
827	0.328900	173	0.728324	1.321092	827	0.328900	0.398000	0.366283	
830	0.261446	170	0.852941	1.321092	830	0.261446	0.362000	0.366238	
828	0.344203	172	0.732558	1.321092	828	0.344203	0.411000	0.366705	
835	0.280240	165	0.666667	1.321092	835	0.280240	0.344000	0.366470	
856	0.331776	144	0.701389	1.321092	856	0.331776	0.385000	0.366660	
808	0.303218	192	0.807292	1.321092	808	0.303218	0.400000	0.366996	
836	0.283493	164	0.762195	1.321092	836	0.283493	0.362000	0.366946	
849	0.299176	151	0.728477	1.321092	849	0.299176	0.364000	0.366917	
851	0.297297	149	0.697987	1.321092	851	0.297297	0.357000	0.366820	
845	0.306509	155	0.812903	1.321092	845	0.306509	0.385000	0.366996	
844	0.306872	156	0.698718	1.321092	844	0.306872	0.368000	0.367006	
837	0.318996	163	0.687117	1.321092	837	0.318996	0.379000	0.367120	
