Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.728651	-1.728651
1	0.950747	750	-1.710445	-3.439097
2	0.926679	750	-1.677730	-5.116827
3	0.902980	750	-1.690923	-6.807750
4	0.879648	750	-1.636306	-8.444056
5	0.856682	750	-1.615302	-10.059358
6	0.834079	750	-1.587824	-11.647182
7	0.811838	750	-1.560068	-13.207251
8	0.789957	750	-1.547213	-14.754463
9	0.768433	750	-1.532471	-16.286935
10	0.747266	750	-1.503764	-17.790699
11	0.726452	750	-1.485449	-19.276148
12	0.705989	750	-1.464047	-20.740195
13	0.685877	750	-1.433345	-22.173540
14	0.666112	750	-1.416180	-23.589720
15	0.646693	750	-1.387747	-24.977467
16	0.627618	750	-1.367956	-26.345423
17	0.608884	750	-1.332641	-27.678064
18	0.590490	750	-1.316406	-28.994471
19	0.572433	750	-1.278340	-30.272811
20	0.554712	750	-1.269231	-31.542042
21	0.537324	750	-1.248021	-32.790063
22	0.520268	750	-1.225277	-34.015340
23	0.503540	750	-1.217124	-35.232463
24	0.487139	750	-1.176270	-36.408733
25	0.471063	750	-1.149072	-37.557805
26	0.455310	750	-1.145168	-38.702973
27	0.439877	750	-1.107424	-39.810398
28	0.424762	750	-1.099761	-40.910159
29	0.409963	750	-1.073284	-41.983443
30	0.395478	750	-1.048778	-43.032221
31	0.381305	750	-1.029373	-44.061594
32	0.367440	750	-1.005731	-45.067325
33	0.353883	750	-0.991150	-46.058474
34	0.340630	750	-0.963368	-47.021842
35	0.327680	750	-0.944261	-47.966104
36	0.315030	750	-0.921938	-48.888042
37	0.302677	750	-0.909698	-49.797740
38	0.290619	750	-0.889788	-50.687529
39	0.278855	750	-0.868156	-51.555685
40	0.267381	750	-0.839302	-52.394987
41	0.256195	750	-0.823970	-53.218958
42	0.245294	750	-0.804420	-54.023378
43	0.234677	750	-0.782462	-54.805839
44	0.224340	750	-0.770284	-55.576124
45	0.214281	750	-0.751564	-56.327688
46	0.204498	750	-0.738400	-57.066088
47	0.194988	750	-0.716053	-57.782141
48	0.185749	750	-0.693358	-58.475499
49	0.176777	750	-0.671530	-59.147029
50	0.168070	750	-0.657558	-59.804587
51	0.159626	750	-0.635628	-60.440215
52	0.151441	750	-0.623182	-61.063397
53	0.143514	750	-0.597057	-61.660455
54	0.135841	750	-0.602063	-62.262518
55	0.128420	750	-0.571508	-62.834026
56	0.121247	750	-0.559614	-63.393639
57	0.114320	750	-0.534385	-63.928024
58	0.107637	750	-0.520365	-64.448389
59	0.101193	750	-0.518684	-64.967073
60	0.094986	750	-0.478507	-65.445580
61	0.089014	750	-0.480588	-65.926168
62	0.083273	750	-0.461260	-66.387428
63	0.077760	750	-0.454067	-66.841496
64	0.072472	750	-0.411609	-67.253105
65	0.067406	750	-0.410485	-67.663590
66	0.062558	750	-0.392831	-68.056421
67	0.057926	750	-0.384777	-68.441198
68	0.053506	750	-0.368505	-68.809703
69	0.049295	750	-0.350040	-69.159743
70	0.045289	750	-0.342356	-69.502099
71	0.041485	750	-0.318860	-69.820959
72	0.037880	750	-0.307510	-70.128469
73	0.034469	750	-0.291922	-70.420392
74	0.031250	750	-0.290033	-70.710424
75	0.028218	750	-0.277949	-70.988373
76	0.025370	750	-0.250094	-71.238467
77	0.022702	750	-0.251489	-71.489956
78	0.020209	750	-0.226165	-71.716121
79	0.017889	750	-0.215227	-71.931348
80	0.015736	750	-0.199603	-72.130951
81	0.013746	750	-0.188178	-72.319129
82	0.011916	750	-0.197634	-72.516763
83	0.010240	750	-0.177380	-72.694143
84	0.008714	750	-0.146371	-72.840514
85	0.007334	750	-0.138032	-72.978546
86	0.006093	750	-0.124384	-73.102930
87	0.004988	750	-0.120066	-73.222996
88	0.004013	750	-0.108695	-73.331692
89	0.003162	750	-0.089961	-73.421652
90	0.002430	750	-0.085838	-73.507490
91	0.001810	750	-0.071003	-73.578494
92	0.001296	750	-0.061790	-73.640283
93	0.000882	750	-0.044615	-73.684899
94	0.000559	750	-0.037161	-73.722060
95	0.000320	750	-0.028434	-73.750493
96	0.000156	750	-0.017808	-73.768301
97	0.000057	750	-0.010983	-73.779284
98	0.000010	750	-0.005452	-73.784736
99	0.000000	750	-0.001070	-73.785805
Log marginal likelihood:	-73.785805
