Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
835	0.265868	165	0.727273	1.511637	835	0.265868	0.342000	0.238433	
851	0.266745	149	0.744966	1.511637	851	0.266745	0.338000	0.246729	
820	0.247561	180	0.800000	1.511637	820	0.247561	0.347000	0.254442	
838	0.309069	162	0.740741	1.511637	838	0.309069	0.379000	0.263338	
842	0.292162	158	0.784810	1.511637	842	0.292162	0.370000	0.270449	
821	0.282582	179	0.787709	1.511637	821	0.282582	0.373000	0.276858	
841	0.292509	159	0.635220	1.511637	841	0.292509	0.347000	0.280983	
832	0.290865	168	0.702381	1.511637	832	0.290865	0.360000	0.285373	
840	0.263095	160	0.775000	1.511637	840	0.263095	0.345000	0.288511	
829	0.272618	171	0.789474	1.511637	829	0.272618	0.361000	0.292135	
836	0.269139	164	0.798780	1.511637	836	0.269139	0.356000	0.295176	
845	0.276923	155	0.658065	1.511637	845	0.276923	0.336000	0.297032	
857	0.252042	143	0.671329	1.511637	857	0.252042	0.312000	0.297683	
847	0.275089	153	0.777778	1.511637	847	0.275089	0.352000	0.299946	
846	0.287234	154	0.753247	1.511637	846	0.287234	0.359000	0.302308	
831	0.277978	169	0.786982	1.511637	831	0.277978	0.364000	0.304681	
832	0.281250	168	0.750000	1.511637	832	0.281250	0.360000	0.306729	
830	0.259036	170	0.711765	1.511637	830	0.259036	0.336000	0.307775	
842	0.255344	158	0.784810	1.511637	842	0.255344	0.339000	0.308851	
853	0.257913	147	0.761905	1.511637	853	0.257913	0.332000	0.309623	
845	0.304142	155	0.735484	1.511637	845	0.304142	0.371000	0.311603	
834	0.263789	166	0.746988	1.511637	834	0.263789	0.344000	0.312615	
839	0.276520	161	0.838509	1.511637	839	0.276520	0.367000	0.314263	
820	0.276829	180	0.744444	1.511637	820	0.276829	0.361000	0.315638	
826	0.277240	174	0.758621	1.511637	826	0.277240	0.361000	0.316934	
833	0.249700	167	0.778443	1.511637	833	0.249700	0.338000	0.317519	
845	0.274556	155	0.780645	1.511637	845	0.274556	0.353000	0.318478	
829	0.218335	171	0.719298	1.511637	829	0.218335	0.304000	0.318097	
844	0.250000	156	0.794872	1.511637	844	0.250000	0.335000	0.318530	
854	0.247073	146	0.719178	1.511637	854	0.247073	0.316000	0.318467	
847	0.277450	153	0.712418	1.511637	847	0.277450	0.344000	0.319090	
848	0.270047	152	0.789474	1.511637	848	0.270047	0.349000	0.319802	
840	0.310714	160	0.681250	1.511637	840	0.310714	0.370000	0.320969	
822	0.248175	178	0.786517	1.511637	822	0.248175	0.344000	0.321493	
852	0.309859	148	0.736486	1.511637	852	0.309859	0.373000	0.322637	
845	0.293491	155	0.735484	1.511637	845	0.293491	0.362000	0.323493	
847	0.258560	153	0.777778	1.511637	847	0.258560	0.338000	0.323802	
832	0.252404	168	0.785714	1.511637	832	0.252404	0.342000	0.324181	
820	0.278049	180	0.744444	1.511637	820	0.278049	0.362000	0.324953	
830	0.232530	170	0.764706	1.511637	830	0.232530	0.323000	0.324914	
857	0.311552	143	0.776224	1.511637	857	0.311552	0.378000	0.325954	
831	0.299639	169	0.822485	1.511637	831	0.299639	0.388000	0.327148	
852	0.273474	148	0.783784	1.511637	852	0.273474	0.349000	0.327560	
828	0.306763	172	0.755814	1.511637	828	0.306763	0.384000	0.328605	
842	0.288599	158	0.645570	1.511637	842	0.288599	0.345000	0.328903	
827	0.290206	173	0.757225	1.511637	827	0.290206	0.371000	0.329655	
823	0.281896	177	0.706215	1.511637	823	0.281896	0.357000	0.330135	
848	0.274764	152	0.828947	1.511637	848	0.274764	0.359000	0.330632	
817	0.266830	183	0.715847	1.511637	817	0.266830	0.349000	0.330944	
815	0.236810	185	0.794595	1.511637	815	0.236810	0.340000	0.331094	
825	0.288485	175	0.771429	1.511637	825	0.288485	0.373000	0.331781	
843	0.289442	157	0.751592	1.511637	843	0.289442	0.362000	0.332269	
843	0.263345	157	0.796178	1.511637	843	0.263345	0.347000	0.332503	
807	0.270136	193	0.689119	1.511637	807	0.270136	0.351000	0.332792	
819	0.247863	181	0.773481	1.511637	819	0.247863	0.343000	0.332949	
841	0.291320	159	0.817610	1.511637	841	0.291320	0.375000	0.333586	
854	0.279859	146	0.801370	1.511637	854	0.279859	0.356000	0.333920	
854	0.278689	146	0.753425	1.511637	854	0.278689	0.348000	0.334127	
843	0.275208	157	0.808917	1.511637	843	0.275208	0.359000	0.334488	
840	0.245238	160	0.756250	1.511637	840	0.245238	0.327000	0.334381	
821	0.243605	179	0.770950	1.511637	821	0.243605	0.338000	0.334432	
829	0.294331	171	0.824561	1.511637	829	0.294331	0.385000	0.335134	
833	0.283313	167	0.748503	1.511637	833	0.283313	0.361000	0.335489	
846	0.304965	154	0.824675	1.511637	846	0.304965	0.385000	0.336158	
826	0.244552	174	0.724138	1.511637	826	0.244552	0.328000	0.336049	
818	0.277506	182	0.807692	1.511637	818	0.277506	0.374000	0.336548	
831	0.292419	169	0.792899	1.511637	831	0.292419	0.377000	0.337074	
