Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-0.447130	-0.447130
1	0.950747	750	-0.446596	-0.893726
2	0.926679	750	-0.450793	-1.344519
3	0.902980	750	-0.431160	-1.775679
4	0.879648	750	-0.428710	-2.204389
5	0.856682	750	-0.422389	-2.626778
6	0.834079	750	-0.416451	-3.043229
7	0.811838	750	-0.411494	-3.454723
8	0.789957	750	-0.404688	-3.859411
9	0.768433	750	-0.393625	-4.253036
10	0.747266	750	-0.389574	-4.642610
11	0.726452	750	-0.395147	-5.037757
12	0.705989	750	-0.385767	-5.423523
13	0.685877	750	-0.377426	-5.800950
14	0.666112	750	-0.361656	-6.162606
15	0.646693	750	-0.359057	-6.521663
16	0.627618	750	-0.359667	-6.881330
17	0.608884	750	-0.352953	-7.234282
18	0.590490	750	-0.356375	-7.590657
19	0.572433	750	-0.339922	-7.930580
20	0.554712	750	-0.342392	-8.272972
21	0.537324	750	-0.335734	-8.608706
22	0.520268	750	-0.324281	-8.932987
23	0.503540	750	-0.323444	-9.256430
24	0.487139	750	-0.317699	-9.574129
25	0.471063	750	-0.314387	-9.888516
26	0.455310	750	-0.315172	-10.203688
27	0.439877	750	-0.306156	-10.509845
28	0.424762	750	-0.293722	-10.803566
29	0.409963	750	-0.290298	-11.093865
30	0.395478	750	-0.287458	-11.381323
31	0.381305	750	-0.292716	-11.674039
32	0.367440	750	-0.283915	-11.957955
33	0.353883	750	-0.269114	-12.227068
34	0.340630	750	-0.265617	-12.492685
35	0.327680	750	-0.257962	-12.750648
36	0.315030	750	-0.260782	-13.011430
37	0.302677	750	-0.257458	-13.268887
38	0.290619	750	-0.245061	-13.513949
39	0.278855	750	-0.260898	-13.774846
40	0.267381	750	-0.233509	-14.008355
41	0.256195	750	-0.235354	-14.243709
42	0.245294	750	-0.236597	-14.480306
43	0.234677	750	-0.221596	-14.701902
44	0.224340	750	-0.216899	-14.918801
45	0.214281	750	-0.209268	-15.128069
46	0.204498	750	-0.222465	-15.350534
47	0.194988	750	-0.208982	-15.559515
48	0.185749	750	-0.199364	-15.758879
49	0.176777	750	-0.198143	-15.957022
50	0.168070	750	-0.200386	-16.157408
51	0.159626	750	-0.182334	-16.339742
52	0.151441	750	-0.179812	-16.519554
53	0.143514	750	-0.179989	-16.699543
54	0.135841	750	-0.181168	-16.880711
55	0.128420	750	-0.163201	-17.043912
56	0.121247	750	-0.167711	-17.211623
57	0.114320	750	-0.158421	-17.370043
58	0.107637	750	-0.162662	-17.532706
59	0.101193	750	-0.152010	-17.684716
60	0.094986	750	-0.149722	-17.834438
61	0.089014	750	-0.145694	-17.980132
62	0.083273	750	-0.141898	-18.122030
63	0.077760	750	-0.137663	-18.259693
64	0.072472	750	-0.133966	-18.393659
65	0.067406	750	-0.126295	-18.519954
66	0.062558	750	-0.127227	-18.647181
67	0.057926	750	-0.121429	-18.768610
68	0.053506	750	-0.111982	-18.880593
69	0.049295	750	-0.112756	-18.993348
70	0.045289	750	-0.108873	-19.102221
71	0.041485	750	-0.106742	-19.208963
72	0.037880	750	-0.097676	-19.306639
73	0.034469	750	-0.101563	-19.408201
74	0.031250	750	-0.093836	-19.502038
75	0.028218	750	-0.081203	-19.583241
76	0.025370	750	-0.081296	-19.664537
77	0.022702	750	-0.077377	-19.741914
78	0.020209	750	-0.077821	-19.819735
79	0.017889	750	-0.064154	-19.883890
80	0.015736	750	-0.063422	-19.947312
81	0.013746	750	-0.059455	-20.006767
82	0.011916	750	-0.054491	-20.061258
83	0.010240	750	-0.049364	-20.110623
84	0.008714	750	-0.048989	-20.159611
85	0.007334	750	-0.041602	-20.201213
86	0.006093	750	-0.037351	-20.238565
87	0.004988	750	-0.033875	-20.272440
88	0.004013	750	-0.029910	-20.302350
89	0.003162	750	-0.027091	-20.329442
90	0.002430	750	-0.023322	-20.352764
91	0.001810	750	-0.018483	-20.371247
92	0.001296	750	-0.016112	-20.387358
93	0.000882	750	-0.013247	-20.400606
94	0.000559	750	-0.009870	-20.410476
95	0.000320	750	-0.007600	-20.418076
96	0.000156	750	-0.005276	-20.423352
97	0.000057	750	-0.003250	-20.426602
98	0.000010	750	-0.001519	-20.428121
99	0.000000	750	-0.000322	-20.428443
Log marginal likelihood:	-20.428443
