Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
826	0.380145	174	0.695402	1.870951	826	0.380145	0.435000	0.344969	
831	0.403129	169	0.573964	1.870951	831	0.403129	0.432000	0.352221	
830	0.231325	170	0.647059	2.848258	830	0.231325	0.302000	0.348358	
843	0.239620	157	0.700637	2.848258	843	0.239620	0.312000	0.345761	
850	0.248235	150	0.606667	2.848258	850	0.248235	0.302000	0.342844	
820	0.219512	180	0.677778	2.848258	820	0.219512	0.302000	0.340291	
842	0.225653	158	0.734177	2.848258	842	0.225653	0.306000	0.338274	
853	0.209848	147	0.530612	2.848258	853	0.209848	0.257000	0.333759	
819	0.255189	181	0.596685	2.848258	819	0.255189	0.317000	0.332877	
846	0.193853	154	0.636364	2.848258	846	0.193853	0.262000	0.329334	
841	0.312723	159	0.679245	2.498089	841	0.312723	0.371000	0.331318	
834	0.261391	166	0.572289	2.498089	834	0.261391	0.313000	0.330485	
826	0.220339	174	0.718391	2.498089	826	0.220339	0.307000	0.329464	
814	0.287469	186	0.672043	2.498089	814	0.287469	0.359000	0.330695	
841	0.275862	159	0.616352	2.498089	841	0.275862	0.330000	0.330667	
829	0.281062	171	0.526316	2.498089	829	0.281062	0.323000	0.330372	
824	0.291262	176	0.721591	2.498089	824	0.291262	0.367000	0.331728	
833	0.291717	167	0.592814	2.498089	833	0.291717	0.342000	0.332095	
830	0.292771	170	0.611765	2.498089	830	0.292771	0.347000	0.332609	
838	0.257757	162	0.617284	2.498089	838	0.257757	0.316000	0.332056	
821	0.281364	179	0.648045	2.498089	821	0.281364	0.347000	0.332538	
843	0.255042	157	0.649682	2.498089	843	0.255042	0.317000	0.332052	
834	0.272182	166	0.734940	2.498089	834	0.272182	0.349000	0.332566	
821	0.265530	179	0.715084	2.498089	821	0.265530	0.346000	0.332961	
824	0.269417	176	0.625000	2.498089	824	0.269417	0.332000	0.332933	
840	0.258333	160	0.612500	2.498089	840	0.258333	0.315000	0.332435	
838	0.244630	162	0.530864	2.498089	838	0.244630	0.291000	0.331315	
832	0.294471	168	0.535714	2.498089	832	0.294471	0.335000	0.331412	
821	0.275274	179	0.653631	2.498089	821	0.275274	0.343000	0.331709	
835	0.281437	165	0.539394	2.498089	835	0.281437	0.324000	0.331517	
837	0.279570	163	0.582822	2.498089	837	0.279570	0.329000	0.331455	
825	0.266667	175	0.674286	2.498089	825	0.266667	0.338000	0.331611	
829	0.282268	171	0.631579	2.498089	829	0.282268	0.342000	0.331853	
837	0.260454	163	0.588957	2.498089	837	0.260454	0.314000	0.331447	
843	0.281139	157	0.585987	2.498089	843	0.281139	0.329000	0.331393	
830	0.312048	170	0.605882	2.498089	830	0.312048	0.362000	0.332058	
825	0.269091	175	0.622857	2.498089	825	0.269091	0.331000	0.332035	
841	0.298454	159	0.622642	2.498089	841	0.298454	0.350000	0.332410	
825	0.258182	175	0.645714	2.498089	825	0.258182	0.326000	0.332279	
834	0.298561	166	0.578313	2.498089	834	0.298561	0.345000	0.332533	
824	0.242718	176	0.551136	2.498089	824	0.242718	0.297000	0.331837	
836	0.239234	164	0.628049	2.498089	836	0.239234	0.303000	0.331282	
841	0.271106	159	0.597484	2.498089	841	0.271106	0.323000	0.331126	
832	0.257212	168	0.642857	2.498089	832	0.257212	0.322000	0.330957	
839	0.268176	161	0.602484	2.498089	839	0.268176	0.322000	0.330794	
816	0.269608	184	0.733696	2.498089	816	0.269608	0.355000	0.331226	
845	0.262722	155	0.651613	2.498089	845	0.262722	0.323000	0.331082	
829	0.271411	171	0.660819	2.498089	829	0.271411	0.338000	0.331201	
840	0.260714	160	0.587500	2.498089	840	0.260714	0.313000	0.330893	
836	0.271531	164	0.682927	2.498089	836	0.271531	0.339000	0.331028	
834	0.262590	166	0.608434	2.498089	834	0.262590	0.320000	0.330847	
830	0.340964	170	0.623529	2.498089	830	0.340964	0.389000	0.331785	
835	0.259880	165	0.563636	2.498089	835	0.259880	0.310000	0.331439	
831	0.228640	169	0.573964	2.498089	831	0.228640	0.287000	0.330745	
840	0.272619	160	0.593750	2.498089	840	0.272619	0.324000	0.330641	
812	0.296798	188	0.595745	2.498089	812	0.296798	0.353000	0.330980	
845	0.256805	155	0.664516	2.498089	845	0.256805	0.320000	0.330816	
819	0.264957	181	0.629834	2.498089	819	0.264957	0.331000	0.330819	
824	0.234223	176	0.585227	2.498089	824	0.234223	0.296000	0.330314	
807	0.270136	193	0.637306	2.498089	807	0.270136	0.341000	0.330467	
837	0.261649	163	0.644172	2.498089	837	0.261649	0.324000	0.330376	
832	0.256010	168	0.708333	2.498089	832	0.256010	0.332000	0.330398	
843	0.234875	157	0.611465	2.498089	843	0.234875	0.294000	0.329900	
851	0.252644	149	0.664430	2.498089	851	0.252644	0.314000	0.329685	
809	0.244747	191	0.628272	2.498089	809	0.244747	0.318000	0.329529	
834	0.274580	166	0.686747	2.498089	834	0.274580	0.343000	0.329706	
870	0.227586	130	0.584615	2.498089	870	0.227586	0.274000	0.328983	
834	0.308153	166	0.710843	2.498089	834	0.308153	0.375000	0.329573	
813	0.258303	187	0.668449	2.498089	813	0.258303	0.335000	0.329641	
839	0.261025	161	0.633540	2.498089	839	0.261025	0.321000	0.329533	
818	0.288509	182	0.554945	2.498089	818	0.288509	0.337000	0.329626	
833	0.267707	167	0.592814	2.498089	833	0.267707	0.322000	0.329533	
845	0.293491	155	0.625806	2.498089	845	0.293491	0.345000	0.329719	
822	0.296837	178	0.657303	2.498089	822	0.296837	0.361000	0.330091	
815	0.256442	185	0.708108	2.498089	815	0.256442	0.340000	0.330208	
833	0.295318	167	0.652695	2.498089	833	0.295318	0.355000	0.330496	
830	0.273494	170	0.635294	2.498089	830	0.273494	0.335000	0.330548	
848	0.274764	152	0.546053	2.498089	848	0.274764	0.316000	0.330383	
838	0.306683	162	0.598765	2.498089	838	0.306683	0.354000	0.330648	
831	0.257521	169	0.698225	2.498089	831	0.257521	0.332000	0.330663	
839	0.266985	161	0.645963	2.498089	839	0.266985	0.328000	0.330634	
838	0.267303	162	0.691358	2.498089	838	0.267303	0.336000	0.330692	
832	0.268029	168	0.672619	2.498089	832	0.268029	0.336000	0.330749	
820	0.267073	180	0.644444	2.498089	820	0.267073	0.335000	0.330794	
817	0.259486	183	0.562842	2.498089	817	0.259486	0.315000	0.330628	
838	0.273270	162	0.604938	2.498089	838	0.273270	0.327000	0.330590	
830	0.266265	170	0.652941	2.498089	830	0.266265	0.332000	0.330605	
